ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
アニメ	名詞,一般,*,*,*,*,アニメ,アニメ,アニメ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ポップカルチャー	名詞,固有名詞,一般,*,*,*,ポップカルチャー,ポップカルチャー,ポップカルチャー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
主	名詞,形容動詞語幹,*,*,*,*,主,オモ,オモ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
対象	名詞,一般,*,*,*,*,対象,タイショウ,タイショー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
戦後	名詞,副詞可能,*,*,*,*,戦後,センゴ,センゴ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
文化	名詞,一般,*,*,*,*,文化,ブンカ,ブンカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
位相	名詞,一般,*,*,*,*,位相,イソウ,イソー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
アニメ	名詞,一般,*,*,*,*,アニメ,アニメ,アニメ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ポップカルチャー	名詞,固有名詞,一般,*,*,*,ポップカルチャー,ポップカルチャー,ポップカルチャー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
対象	名詞,一般,*,*,*,*,対象,タイショウ,タイショー
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
文化的	名詞,固有名詞,一般,*,*,*,文化的,ブンカテキ,ブンカテキ
意義	名詞,一般,*,*,*,*,意義,イギ,イギ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考察	名詞,サ変接続,*,*,*,*,考察,コウサツ,コーサツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
主	名詞,形容動詞語幹,*,*,*,*,主,オモ,オモ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
1990年代	名詞,固有名詞,一般,*,*,*,1990年代,センキュウヒャクキュウジュウネンダイ,センキュウヒャクキュウジュウネンダイ
以後	名詞,接尾,副詞可能,*,*,*,以後,イゴ,イゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アニメ作品	名詞,固有名詞,一般,*,*,*,アニメ作品,アニメサクヒン,アニメサクヒン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り上げ	動詞,自立,*,*,一段,連用形,取り上げる,トリアゲ,トリアゲ
、	記号,読点,*,*,*,*,、,、,、
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文化	名詞,一般,*,*,*,*,文化,ブンカ,ブンカ
ジャンル	名詞,一般,*,*,*,*,ジャンル,ジャンル,ジャンル
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
適宜	名詞,副詞可能,*,*,*,*,適宜,テキギ,テキギ
触れる	動詞,自立,*,*,一段,基本形,触れる,フレル,フレル
。	記号,句点,*,*,*,*,。,。,。
ポップカルチャー	名詞,固有名詞,一般,*,*,*,ポップカルチャー,ポップカルチャー,ポップカルチャー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
軸	名詞,一般,*,*,*,*,軸,ジク,ジク
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
文化	名詞,一般,*,*,*,*,文化,ブンカ,ブンカ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
この	連体詞,*,*,*,*,*,この,コノ,コノ
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
／	記号,一般,*,*,*,*,／,／,／
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
語ろ	動詞,自立,*,*,五段・ラ行,未然ウ接続,語る,カタロ,カタロ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
追究	名詞,サ変接続,*,*,*,*,追究,ツイキュウ,ツイキュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いき	動詞,非自立,*,*,五段・カ行促音便,連用形,いく,イキ,イキ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
。	記号,句点,*,*,*,*,。,。,。
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
1990年代	名詞,固有名詞,一般,*,*,*,1990年代,センキュウヒャクキュウジュウネンダイ,センキュウヒャクキュウジュウネンダイ
以後	名詞,接尾,副詞可能,*,*,*,以後,イゴ,イゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アニメ	名詞,一般,*,*,*,*,アニメ,アニメ,アニメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
思想	名詞,一般,*,*,*,*,思想,シソウ,シソー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
通時的	名詞,固有名詞,一般,*,*,*,通時的,ツウジテキ,ツージテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
追う	動詞,自立,*,*,五段・ワ行促音便,基本形,追う,オウ,オウ
。	記号,句点,*,*,*,*,。,。,。
後半	名詞,副詞可能,*,*,*,*,後半,コウハン,コーハン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
文化	名詞,一般,*,*,*,*,文化,ブンカ,ブンカ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
語る	動詞,自立,*,*,五段・ラ行,基本形,語る,カタル,カタル
際	名詞,非自立,副詞可能,*,*,*,際,サイ,サイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
欠か	動詞,自立,*,*,五段・カ行イ音便,未然形,欠く,カカ,カカ
せ	動詞,接尾,*,*,一段,未然形,せる,セ,セ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
トピック	名詞,一般,*,*,*,*,トピック,トピック,トピック
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
「	記号,括弧開,*,*,*,*,「,「,「
身体性	名詞,固有名詞,一般,*,*,*,身体性,シンタイセイ,シンタイセイ
」	記号,括弧閉,*,*,*,*,」,」,」
「	記号,括弧開,*,*,*,*,「,「,「
美少年	名詞,一般,*,*,*,*,美少年,ビショウネン,ビショーネン
」	記号,括弧閉,*,*,*,*,」,」,」
「	記号,括弧開,*,*,*,*,「,「,「
災害	名詞,一般,*,*,*,*,災害,サイガイ,サイガイ
」	記号,括弧閉,*,*,*,*,」,」,」
「	記号,括弧開,*,*,*,*,「,「,「
ファンダム	名詞,固有名詞,一般,*,*,*,ファンダム,ファンダム,ファンダム
」	記号,括弧閉,*,*,*,*,」,」,」
等	名詞,接尾,一般,*,*,*,等,トウ,トー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
映像	名詞,一般,*,*,*,*,映像,エイゾウ,エイゾー
、	記号,読点,*,*,*,*,、,、,、
文字	名詞,一般,*,*,*,*,文字,モジ,モジ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
等	名詞,接尾,一般,*,*,*,等,トウ,トー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
全て	名詞,副詞可能,*,*,*,*,全て,スベテ,スベテ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時	名詞,接尾,副詞可能,*,*,*,時,ジ,ジ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
・	記号,一般,*,*,*,*,・,・,・
配付	名詞,サ変接続,*,*,*,*,配付,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
取り上げる	動詞,自立,*,*,一段,基本形,取り上げる,トリアゲル,トリアゲル
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作品	名詞,一般,*,*,*,*,作品,サクヒン,サクヒン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
下記	名詞,一般,*,*,*,*,下記,カキ,カキ
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
の	助詞,連体化,*,*,*,*,の,ノ,ノ
通り	名詞,一般,*,*,*,*,通り,トオリ,トーリ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
変更	名詞,サ変接続,*,*,*,*,変更,ヘンコウ,ヘンコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
可能性	名詞,固有名詞,一般,*,*,*,可能性,カノウセイ,カノーセイ
も	助詞,係助詞,*,*,*,*,も,モ,モ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
東浩紀	名詞,固有名詞,人名,一般,*,*,東浩紀,アズマヒロキ,アズマヒロキ
『	記号,括弧開,*,*,*,*,『,『,『
動物化するポストモダン	名詞,固有名詞,一般,*,*,*,動物化するポストモダン,ドウブツカスルポストモダン,ドーブツカスルポストモダン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
講談社現代新書	名詞,固有名詞,一般,*,*,*,講談社現代新書,コウダンシャゲンダイシンショ,コーダンシャゲンダイシンショ
）	記号,括弧閉,*,*,*,*,）,）,）
『	記号,括弧開,*,*,*,*,『,『,『
ゲーム的リアリズムの誕生	名詞,固有名詞,一般,*,*,*,ゲーム的リアリズムの誕生,ゲームテキリアリズムノタンジョウ,ゲームテキリアリズムノタンジョー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
同	名詞,一般,*,*,*,*,同,ドウ,ドー
）	記号,括弧閉,*,*,*,*,）,）,）
小山昌宏	名詞,固有名詞,人名,一般,*,*,小山昌宏,コヤママサヒロ,コヤママサヒロ
・	記号,一般,*,*,*,*,・,・,・
須川	名詞,固有名詞,人名,姓,*,*,須川,スガワ,スガワ
亜紀子	名詞,固有名詞,人名,名,*,*,亜紀子,アキコ,アキコ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
『	記号,括弧開,*,*,*,*,『,『,『
アニメ	名詞,一般,*,*,*,*,アニメ,アニメ,アニメ
研究	名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
入門	名詞,サ変接続,*,*,*,*,入門,ニュウモン,ニューモン
・	記号,一般,*,*,*,*,・,・,・
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
現代書館	名詞,固有名詞,組織,*,*,*,現代書館,ゲンダイショカン,ゲンダイショカン
）	記号,括弧閉,*,*,*,*,）,）,）
千田	名詞,固有名詞,人名,姓,*,*,千田,センダ,センダ
洋幸	名詞,固有名詞,人名,名,*,*,洋幸,ヒロユキ,ヒロユキ
『	記号,括弧開,*,*,*,*,『,『,『
危機	名詞,一般,*,*,*,*,危機,キキ,キキ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
表象	名詞,サ変接続,*,*,*,*,表象,ヒョウショウ,ヒョーショー
―	記号,一般,*,*,*,*,―,―,―
ポップカルチャー	名詞,固有名詞,一般,*,*,*,ポップカルチャー,ポップカルチャー,ポップカルチャー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
災厄	名詞,一般,*,*,*,*,災厄,サイヤク,サイヤク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
遭遇	名詞,サ変接続,*,*,*,*,遭遇,ソウグウ,ソーグー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
おうふう	名詞,固有名詞,組織,*,*,*,おうふう,オウフウ,オーフー
）	記号,括弧閉,*,*,*,*,）,）,）
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
で	助詞,格助詞,一般,*,*,*,で,デ,デ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1戦	名詞,固有名詞,一般,*,*,*,1戦,イッセン,イッセン
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
アニメ	名詞,一般,*,*,*,*,アニメ,アニメ,アニメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
出発	名詞,サ変接続,*,*,*,*,出発,シュッパツ,シュッパツ
――	記号,一般,*,*,*,*,――,――,――
ゴジラ	名詞,固有名詞,一般,*,*,*,ゴジラ,ゴジラ,ゴジラ
／	記号,一般,*,*,*,*,／,／,／
アトム	名詞,一般,*,*,*,*,アトム,アトム,アトム
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
『	記号,括弧開,*,*,*,*,『,『,『
宇宙戦艦ヤマト	名詞,固有名詞,一般,*,*,*,宇宙戦艦ヤマト,ウチュウセンカンヤマト,ウチューセンカンヤマト
』	記号,括弧閉,*,*,*,*,』,』,』
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
2	名詞,数,*,*,*,*,*
再帰	名詞,サ変接続,*,*,*,*,再帰,サイキ,サイキ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
近代	名詞,一般,*,*,*,*,近代,キンダイ,キンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
到来	名詞,サ変接続,*,*,*,*,到来,トウライ,トーライ
――	記号,一般,*,*,*,*,――,――,――
『	記号,括弧開,*,*,*,*,『,『,『
美少女戦士セーラームーン	名詞,固有名詞,一般,*,*,*,美少女戦士セーラームーン,ビショウジョセンシセーラームーン,ビショージョセンシセーラームーン
』	記号,括弧閉,*,*,*,*,』,』,』
と	助詞,格助詞,引用,*,*,*,と,ト,ト
“	記号,括弧開,*,*,*,*,“,“,“
虚構	名詞,サ変接続,*,*,*,*,虚構,キョコウ,キョコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ
”	記号,括弧閉,*,*,*,*,”,”,”
31990	名詞,数,*,*,*,*,*
年代	名詞,接尾,助数詞,*,*,*,年代,ネンダイ,ネンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
思想	名詞,一般,*,*,*,*,思想,シソウ,シソー
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)――	記号,一般,*,*,*,*,*
庵野秀明	名詞,固有名詞,人名,一般,*,*,庵野秀明,アンノヒデアキ,アンノヒデアキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
『	記号,括弧開,*,*,*,*,『,『,『
新世紀エヴァンゲリオン	名詞,固有名詞,一般,*,*,*,新世紀エヴァンゲリオン,シンセイキエヴァンゲリオン,シンセイキエヴァンゲリオン
』	記号,括弧閉,*,*,*,*,』,』,』
の	助詞,連体化,*,*,*,*,の,ノ,ノ
試み	名詞,一般,*,*,*,*,試み,ココロミ,ココロミ
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
41990	名詞,数,*,*,*,*,*
年代	名詞,接尾,助数詞,*,*,*,年代,ネンダイ,ネンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
思想	名詞,一般,*,*,*,*,思想,シソウ,シソー
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)――	記号,一般,*,*,*,*,*
庵野秀明	名詞,固有名詞,人名,一般,*,*,庵野秀明,アンノヒデアキ,アンノヒデアキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
『	記号,括弧開,*,*,*,*,『,『,『
新世紀エヴァンゲリオン	名詞,固有名詞,一般,*,*,*,新世紀エヴァンゲリオン,シンセイキエヴァンゲリオン,シンセイキエヴァンゲリオン
』	記号,括弧閉,*,*,*,*,』,』,』
の	助詞,連体化,*,*,*,*,の,ノ,ノ
試み	名詞,一般,*,*,*,*,試み,ココロミ,ココロミ
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
52000	名詞,数,*,*,*,*,*
年代	名詞,接尾,助数詞,*,*,*,年代,ネンダイ,ネンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
思想	名詞,一般,*,*,*,*,思想,シソウ,シソー
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)――『	記号,一般,*,*,*,*,*
涼宮ハルヒの憂鬱	名詞,固有名詞,一般,*,*,*,涼宮ハルヒの憂鬱,スズミヤハルヒノユウウツ,スズミヤハルヒノユーウツ
』	記号,括弧閉,*,*,*,*,』,』,』
『	記号,括弧開,*,*,*,*,『,『,『
ゼーガペイン	名詞,固有名詞,一般,*,*,*,ZEGAPAIN,ゼーガペイン,ゼーガペイン
』	記号,括弧閉,*,*,*,*,』,』,』
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ループ	名詞,一般,*,*,*,*,ループ,ループ,ループ
／	記号,一般,*,*,*,*,／,／,／
セカイ系	名詞,固有名詞,一般,*,*,*,セカイ系,セカイケイ,セカイケイ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
62000	名詞,数,*,*,*,*,*
年代	名詞,接尾,助数詞,*,*,*,年代,ネンダイ,ネンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
思想	名詞,一般,*,*,*,*,思想,シソウ,シソー
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)――『	記号,一般,*,*,*,*,*
けいおん！	名詞,固有名詞,一般,*,*,*,けいおん!,ケイオン,ケイオン
』	記号,括弧閉,*,*,*,*,』,』,』
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
空気系	名詞,固有名詞,一般,*,*,*,空気系,クウキケイ,クーキケイ
作品	名詞,一般,*,*,*,*,作品,サクヒン,サクヒン
／	記号,一般,*,*,*,*,／,／,／
多幸感	名詞,固有名詞,一般,*,*,*,多幸感,タコウカン,タコーカン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
生み出す	動詞,自立,*,*,五段・サ行,基本形,生み出す,ウミダス,ウミダス
仕掛け	名詞,一般,*,*,*,*,仕掛け,シカケ,シカケ
72010	名詞,数,*,*,*,*,*
年代	名詞,接尾,助数詞,*,*,*,年代,ネンダイ,ネンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
――	記号,一般,*,*,*,*,――,――,――
『	記号,括弧開,*,*,*,*,『,『,『
魔法少女まどか☆マギカ	名詞,固有名詞,一般,*,*,*,魔法少女まどか☆マギカ,マホウショウジョマドカマギカ,マホーショージョマドカマギカ
』	記号,括弧閉,*,*,*,*,』,』,』
の	助詞,連体化,*,*,*,*,の,ノ,ノ
崇高	名詞,一般,*,*,*,*,崇高,スウコウ,スーコー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
病	名詞,一般,*,*,*,*,病,ヤマイ,ヤマイ
82010	名詞,数,*,*,*,*,*
年代	名詞,接尾,助数詞,*,*,*,年代,ネンダイ,ネンダイ
以降	名詞,副詞可能,*,*,*,*,以降,イコウ,イコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
――	記号,一般,*,*,*,*,――,――,――
鬼	名詞,一般,*,*,*,*,鬼,オニ,オニ
滅	名詞,一般,*,*,*,*,滅,メツ,メツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
シンエヴァ	名詞,一般,*,*,*,*,*
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
？	記号,一般,*,*,*,*,？,？,？
9	名詞,数,*,*,*,*,*
