ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
「	記号,括弧開,*,*,*,*,「,「,「
現代日本語文法	名詞,固有名詞,一般,*,*,*,現代日本語文法,ゲンダイニホンゴブンポウ,ゲンダイニホンゴブンポー
Ⅰ	名詞,数,*,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
引き続き	動詞,自立,*,*,五段・カ行イ音便,連用形,引き続く,ヒキツヅキ,ヒキツズキ
、	記号,読点,*,*,*,*,、,、,、
現代日本語文法	名詞,固有名詞,一般,*,*,*,現代日本語文法,ゲンダイニホンゴブンポウ,ゲンダイニホンゴブンポー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
主要	名詞,形容動詞語幹,*,*,*,*,主要,シュヨウ,シュヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
適切	名詞,形容動詞語幹,*,*,*,*,適切,テキセツ,テキセツ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
上	名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
基づい	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,基づく,モトヅイ,モトズイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
分析	名詞,サ変接続,*,*,*,*,分析,ブンセキ,ブンセキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
春学	名詞,固有名詞,一般,*,*,*,春学,ハルガク,ハルガク
期	名詞,接尾,一般,*,*,*,期,キ,キ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
引き続き	動詞,自立,*,*,五段・カ行イ音便,連用形,引き続く,ヒキツヅキ,ヒキツズキ
、	記号,読点,*,*,*,*,、,、,、
現代日本語文法	名詞,固有名詞,一般,*,*,*,現代日本語文法,ゲンダイニホンゴブンポウ,ゲンダイニホンゴブンポー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
体系	名詞,一般,*,*,*,*,体系,タイケイ,タイケイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
そのため	名詞,一般,*,*,*,*,そのため,ソノタメ,ソノタメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
現代語	名詞,固有名詞,一般,*,*,*,現代語,ゲンダイゴ,ゲンダイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
現象	名詞,一般,*,*,*,*,現象,ゲンショウ,ゲンショー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
対象	名詞,一般,*,*,*,*,対象,タイショウ,タイショー
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
観察	名詞,サ変接続,*,*,*,*,観察,カンサツ,カンサツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
分析	名詞,サ変接続,*,*,*,*,分析,ブンセキ,ブンセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
具体	名詞,一般,*,*,*,*,具体,グタイ,グタイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
文例	名詞,一般,*,*,*,*,文例,ブンレイ,ブンレイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
もとづき	動詞,自立,*,*,五段・カ行イ音便,連用形,もとづく,モトヅキ,モトズキ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、	記号,読点,*,*,*,*,、,、,、
平易	名詞,形容動詞語幹,*,*,*,*,平易,ヘイイ,ヘイイ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
学校文法	名詞,固有名詞,一般,*,*,*,学校文法,ガッコウブンポウ,ガッコーブンポー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
も	助詞,係助詞,*,*,*,*,も,モ,モ
適宜	名詞,副詞可能,*,*,*,*,適宜,テキギ,テキギ
言及	名詞,サ変接続,*,*,*,*,言及,ゲンキュウ,ゲンキュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
つもり	名詞,非自立,一般,*,*,*,つもり,ツモリ,ツモリ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
唐沢	名詞,固有名詞,人名,姓,*,*,唐沢,カラサワ,カラサワ
伊都夫	名詞,固有名詞,人名,名,*,*,伊都夫,イツオ,イツオ
（	記号,括弧開,*,*,*,*,（,（,（
2010	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
『	記号,括弧開,*,*,*,*,『,『,『
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
解い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,解く,トイ,トイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
学ぶ	名詞,一般,*,*,*,*,学部,ガクブ,ガクブ
日本語教育	名詞,固有名詞,一般,*,*,*,日本語教育,ニホンゴキョウイク,ニホンゴキョーイク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
』	記号,括弧閉,*,*,*,*,』,』,』
スリーエーネットワーク	名詞,固有名詞,一般,*,*,*,スリーエーネットワーク,スリーエーネットワーク,スリーエーネットワーク
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
山田敏弘	名詞,固有名詞,人名,一般,*,*,山田敏弘,ヤマダトシヒロ,ヤマダトシヒロ
『	記号,括弧開,*,*,*,*,『,『,『
国語	名詞,一般,*,*,*,*,国語,コクゴ,コクゴ
教師	名詞,一般,*,*,*,*,教師,キョウシ,キョーシ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
知っ	動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おき	動詞,非自立,*,*,五段・カ行イ音便,連用形,おく,オキ,オキ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
』	記号,括弧閉,*,*,*,*,』,』,』
、	記号,読点,*,*,*,*,、,、,、
松岡弘	名詞,固有名詞,人名,一般,*,*,松岡弘,マツオカヒロム,マツオカヒロム
監修	名詞,サ変接続,*,*,*,*,監修,カンシュウ,カンシュー
『	記号,括弧開,*,*,*,*,『,『,『
初級	名詞,一般,*,*,*,*,初級,ショキュウ,ショキュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
教える	動詞,自立,*,*,一段,基本形,教える,オシエル,オシエル
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
ハンドブック	名詞,一般,*,*,*,*,ハンドブック,ハンドブック,ハンドブック
』	記号,括弧閉,*,*,*,*,』,』,』
スリーエーネットワーク	名詞,固有名詞,一般,*,*,*,スリーエーネットワーク,スリーエーネットワーク,スリーエーネットワーク
、	記号,読点,*,*,*,*,、,、,、
白川	名詞,固有名詞,人名,姓,*,*,白川,シラカワ,シラカワ
博之	名詞,固有名詞,人名,名,*,*,博之,ヒロユキ,ヒロユキ
監修	名詞,サ変接続,*,*,*,*,監修,カンシュウ,カンシュー
『	記号,括弧開,*,*,*,*,『,『,『
中	接頭詞,名詞接続,*,*,*,*,中,チュウ,チュー
上級	名詞,一般,*,*,*,*,上級,ジョウキュウ,ジョーキュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
教える	動詞,自立,*,*,一段,基本形,教える,オシエル,オシエル
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
ハンドブック	名詞,一般,*,*,*,*,ハンドブック,ハンドブック,ハンドブック
』	記号,括弧閉,*,*,*,*,』,』,』
スリーエーネットワーク	名詞,固有名詞,一般,*,*,*,スリーエーネットワーク,スリーエーネットワーク,スリーエーネットワーク
、	記号,読点,*,*,*,*,、,、,、
益岡隆志	名詞,固有名詞,人名,一般,*,*,益岡隆志,マスオカタカシ,マスオカタカシ
・	記号,一般,*,*,*,*,・,・,・
田窪行則	名詞,固有名詞,人名,一般,*,*,田窪行則,タクボユキノリ,タクボユキノリ
『	記号,括弧開,*,*,*,*,『,『,『
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
―	記号,一般,*,*,*,*,―,―,―
改訂版	名詞,固有名詞,一般,*,*,*,改訂版,カイテイバン,カイテイバン
―	記号,一般,*,*,*,*,―,―,―
』	記号,括弧閉,*,*,*,*,』,』,』
くろしお出版	名詞,固有名詞,一般,*,*,*,くろしお出版,クロシオシュッパン,クロシオシュッパン
、	記号,読点,*,*,*,*,、,、,、
久野	名詞,固有名詞,人名,姓,*,*,久野,ヒサノ,ヒサノ
すすむ	動詞,自立,*,*,五段・マ行,基本形,すすむ,ススム,ススム
『	記号,括弧開,*,*,*,*,『,『,『
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
研究	名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
』	記号,括弧閉,*,*,*,*,』,』,』
大修館書店	名詞,固有名詞,組織,*,*,*,大修館書店,タイシュウカンショテン,タイシューカンショテン
,、	記号,一般,*,*,*,*,*
寺村秀夫	名詞,固有名詞,人名,一般,*,*,寺村秀夫,テラムラヒデオ,テラムラヒデオ
『	記号,括弧開,*,*,*,*,『,『,『
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
シンタクス	名詞,固有名詞,一般,*,*,*,シンタクス,シンタクス,シンタクス
と	助詞,格助詞,一般,*,*,*,と,ト,ト
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ
』	記号,括弧閉,*,*,*,*,』,』,』
くろしお出版	名詞,固有名詞,一般,*,*,*,くろしお出版,クロシオシュッパン,クロシオシュッパン
、	記号,読点,*,*,*,*,、,、,、
仁田義雄	名詞,固有名詞,人名,一般,*,*,仁田義雄,ニッタヨシオ,ニッタヨシオ
『	記号,括弧開,*,*,*,*,『,『,『
仁田義雄	名詞,固有名詞,人名,一般,*,*,仁田義雄,ニッタヨシオ,ニッタヨシオ
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
著作	名詞,サ変接続,*,*,*,*,著作,チョサク,チョサク
選	名詞,接尾,一般,*,*,*,選,セン,セン
」	記号,括弧閉,*,*,*,*,」,」,」
ひつじ書房	名詞,固有名詞,一般,*,*,*,ひつじ書房,ヒツジショボウ,ヒツジショボー
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
平常点	名詞,固有名詞,一般,*,*,*,平常点,ヘイジョウテン,ヘイジョーテン
（	記号,括弧開,*,*,*,*,（,（,（
20	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
学期	名詞,一般,*,*,*,*,学期,ガッキ,ガッキ
末	名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
（	記号,括弧開,*,*,*,*,（,（,（
80	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
春	名詞,一般,*,*,*,*,春,ハル,ハル
学期	名詞,一般,*,*,*,*,学期,ガッキ,ガッキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ふり	名詞,非自立,一般,*,*,*,ふり,フリ,フリ
返り	動詞,自立,*,*,五段・ラ行,連用形,返る,カエリ,カエリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
今期	名詞,一般,*,*,*,*,今期,コンキ,コンキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
展望	名詞,サ変接続,*,*,*,*,展望,テンボウ,テンボー
、	記号,読点,*,*,*,*,、,、,、
アスペクト	名詞,一般,*,*,*,*,アスペクト,アスペクト,アスペクト
Ⅰ	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
基本的	名詞,固有名詞,一般,*,*,*,基本的,キホンテキ,キホンテキ
用語	名詞,一般,*,*,*,*,用語,ヨウゴ,ヨーゴ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
）	記号,括弧閉,*,*,*,*,）,）,）
162	名詞,数,*,*,*,*,*
アスペクト	名詞,一般,*,*,*,*,アスペクト,アスペクト,アスペクト
Ⅱ	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
テイル	名詞,固有名詞,一般,*,*,*,teil,テイル,テイル
形	名詞,接尾,一般,*,*,*,形,ガタ,ガタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ
用法	名詞,一般,*,*,*,*,用法,ヨウホウ,ヨーホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
分類	名詞,サ変接続,*,*,*,*,分類,ブンルイ,ブンルイ
）	記号,括弧閉,*,*,*,*,）,）,）
173	名詞,数,*,*,*,*,*
テンス	名詞,一般,*,*,*,*,テンス,テンス,テンス
（	記号,括弧開,*,*,*,*,（,（,（
タ	名詞,一般,*,*,*,*,*
形	名詞,接尾,一般,*,*,*,形,ガタ,ガタ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ル	名詞,一般,*,*,*,*,*
形	名詞,接尾,一般,*,*,*,形,ガタ,ガタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ
用法	名詞,一般,*,*,*,*,用法,ヨウホウ,ヨーホー
）	記号,括弧閉,*,*,*,*,）,）,）
184	名詞,数,*,*,*,*,*
モダリティ	名詞,一般,*,*,*,*,モダリティ,モダリティ,モダリティ
Ⅰ	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
定義	名詞,サ変接続,*,*,*,*,定義,テイギ,テイギ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
分類	名詞,サ変接続,*,*,*,*,分類,ブンルイ,ブンルイ
）	記号,括弧閉,*,*,*,*,）,）,）
195	名詞,数,*,*,*,*,*
モダリティ	名詞,一般,*,*,*,*,モダリティ,モダリティ,モダリティ
Ⅱ	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
助動詞	名詞,一般,*,*,*,*,助動詞,ジョドウシ,ジョドーシ
・	記号,一般,*,*,*,*,・,・,・
終	名詞,一般,*,*,*,*,終,オワリ,オワリ
助詞	名詞,一般,*,*,*,*,助詞,ジョシ,ジョシ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
）	記号,括弧閉,*,*,*,*,）,）,）
206	名詞,数,*,*,*,*,*
ノダ	名詞,固有名詞,組織,*,*,*,ノダ,ノダ,ノダ
文	名詞,一般,*,*,*,*,文,ブン,ブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
機能	名詞,サ変接続,*,*,*,*,機能,キノウ,キノー
217	名詞,数,*,*,*,*,*
複	名詞,一般,*,*,*,*,複,フク,フク
文Ⅰ	名詞,固有名詞,一般,*,*,*,文Ⅰ,ブンイチ,ブンイチ
（	記号,括弧開,*,*,*,*,（,（,（
連体	名詞,一般,*,*,*,*,連体,レンタイ,レンタイ
修飾語	名詞,固有名詞,一般,*,*,*,修飾語,シュウショクゴ,シューショクゴ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
）	記号,括弧閉,*,*,*,*,）,）,）
228	名詞,数,*,*,*,*,*
複	名詞,一般,*,*,*,*,複,フク,フク
文Ⅱ	名詞,固有名詞,一般,*,*,*,文Ⅱ,ブンニ,ブンニ
（	記号,括弧開,*,*,*,*,（,（,（
条件	名詞,一般,*,*,*,*,条件,ジョウケン,ジョーケン
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
）	記号,括弧閉,*,*,*,*,）,）,）
239	名詞,数,*,*,*,*,*
副詞	名詞,一般,*,*,*,*,副詞,フクシ,フクシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
諸相	名詞,一般,*,*,*,*,諸相,ショソウ,ショソー
2410	名詞,数,*,*,*,*,*
とりたて	動詞,自立,*,*,一段,連用形,とりたてる,トリタテ,トリタテ
助詞	名詞,一般,*,*,*,*,助詞,ジョシ,ジョシ
（	記号,括弧開,*,*,*,*,（,（,（
副	接頭詞,名詞接続,*,*,*,*,副,フク,フク
助詞	名詞,一般,*,*,*,*,助詞,ジョシ,ジョシ
）	記号,括弧閉,*,*,*,*,）,）,）
の	助詞,連体化,*,*,*,*,の,ノ,ノ
諸相	名詞,一般,*,*,*,*,諸相,ショソウ,ショソー
2511	名詞,数,*,*,*,*,*
接続詞	名詞,一般,*,*,*,*,接続詞,セツゾクシ,セツゾクシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
諸相	名詞,一般,*,*,*,*,諸相,ショソウ,ショソー
2612	名詞,数,*,*,*,*,*
現代語	名詞,固有名詞,一般,*,*,*,現代語,ゲンダイゴ,ゲンダイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
敬語	名詞,一般,*,*,*,*,敬語,ケイゴ,ケイゴ
Ⅰ	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
誤用	名詞,サ変接続,*,*,*,*,誤用,ゴヨウ,ゴヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実態	名詞,一般,*,*,*,*,実態,ジッタイ,ジッタイ
）	記号,括弧閉,*,*,*,*,）,）,）
2713	名詞,数,*,*,*,*,*
現代語	名詞,固有名詞,一般,*,*,*,現代語,ゲンダイゴ,ゲンダイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
敬語	名詞,一般,*,*,*,*,敬語,ケイゴ,ケイゴ
Ⅱ	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
動詞	名詞,一般,*,*,*,*,動詞,ドウシ,ドーシ
敬語	名詞,一般,*,*,*,*,敬語,ケイゴ,ケイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
分類	名詞,サ変接続,*,*,*,*,分類,ブンルイ,ブンルイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
機能	名詞,サ変接続,*,*,*,*,機能,キノウ,キノー
）	記号,括弧閉,*,*,*,*,）,）,）
2814	名詞,数,*,*,*,*,*
