ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ゲーム	名詞,一般,*,*,*,*,ゲーム,ゲーム,ゲーム
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、	記号,読点,*,*,*,*,、,、,、
異性	名詞,一般,*,*,*,*,異性,イセイ,イセイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
様々	名詞,形容動詞語幹,*,*,*,*,様々,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
レベル	名詞,一般,*,*,*,*,レベル,レベル,レベル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
と	助詞,格助詞,一般,*,*,*,と,ト,ト
協同	名詞,サ変接続,*,*,*,*,協同,キョウドウ,キョードー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
プレー	名詞,サ変接続,*,*,*,*,プレー,プレー,プレー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
喜び	名詞,一般,*,*,*,*,喜び,ヨロコビ,ヨロコビ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
、	記号,読点,*,*,*,*,、,、,、
生涯	名詞,副詞可能,*,*,*,*,生涯,ショウガイ,ショーガイ
にわたり	助詞,格助詞,連語,*,*,*,にわたり,ニワタリ,ニワタリ
スポーツ	名詞,一般,*,*,*,*,スポーツ,スポーツ,スポーツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
親しめる	動詞,自立,*,*,一段,基本形,親しめる,シタシメル,シタシメル
態度	名詞,一般,*,*,*,*,態度,タイド,タイド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
様々	名詞,形容動詞語幹,*,*,*,*,様々,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ゲーム	名詞,一般,*,*,*,*,ゲーム,ゲーム,ゲーム
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
毎	接頭詞,名詞接続,*,*,*,*,毎,マイ,マイ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
、	記号,読点,*,*,*,*,、,、,、
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
本質	名詞,一般,*,*,*,*,本質,ホンシツ,ホンシツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実地	名詞,一般,*,*,*,*,実地,ジッチ,ジッチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
体験	名詞,サ変接続,*,*,*,*,体験,タイケン,タイケン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
男女比率	名詞,固有名詞,一般,*,*,*,男女比率,ダンジョヒリツ,ダンジョヒリツ
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
、	記号,読点,*,*,*,*,、,、,、
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
形態	名詞,一般,*,*,*,*,形態,ケイタイ,ケイタイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
男女	名詞,一般,*,*,*,*,男女,ダンジョ,ダンジョ
共	名詞,接尾,一般,*,*,*,共,ドモ,ドモ
習	名詞,固有名詞,一般,*,*,*,習,シュウ,シュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ゲーム	名詞,一般,*,*,*,*,ゲーム,ゲーム,ゲーム
も	助詞,係助詞,*,*,*,*,も,モ,モ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
適宜	名詞,副詞可能,*,*,*,*,適宜,テキギ,テキギ
、	記号,読点,*,*,*,*,、,、,、
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
中山雅雄	名詞,固有名詞,人名,一般,*,*,中山雅雄,ナカヤママサオ,ナカヤママサオ
（	記号,括弧開,*,*,*,*,（,（,（
2018	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
コーチング	名詞,固有名詞,一般,*,*,*,コーチング,コーチング,コーチング
大修館書店	名詞,固有名詞,組織,*,*,*,大修館書店,タイシュウカンショテン,タイシューカンショテン
￥	記号,一般,*,*,*,*,￥,エン,エン
2	名詞,数,*,*,*,*,*
,	記号,一般,*,*,*,*,*
400	名詞,数,*,*,*,*,*
＋	記号,一般,*,*,*,*,＋,タス,タス
税	名詞,一般,*,*,*,*,税,ゼイ,ゼイ
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
平常点	名詞,固有名詞,一般,*,*,*,平常点,ヘイジョウテン,ヘイジョーテン
（	記号,括弧開,*,*,*,*,（,（,（
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
態度	名詞,一般,*,*,*,*,態度,タイド,タイド
・	記号,一般,*,*,*,*,・,・,・
協力	名詞,サ変接続,*,*,*,*,協力,キョウリョク,キョーリョク
姿勢	名詞,一般,*,*,*,*,姿勢,シセイ,シセイ
）	記号,括弧閉,*,*,*,*,）,）,）
80%	名詞,固有名詞,一般,*,*,*,80%,ハチジュウパーセント,ハチジュウパーセント
実技	名詞,一般,*,*,*,*,実技,ジツギ,ジツギ
点	名詞,接尾,一般,*,*,*,点,テン,テン
（	記号,括弧開,*,*,*,*,（,（,（
ルール	名詞,一般,*,*,*,*,ルール,ルール,ルール
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
・	記号,一般,*,*,*,*,・,・,・
上達	名詞,サ変接続,*,*,*,*,上達,ジョウタツ,ジョータツ
度合い	名詞,一般,*,*,*,*,度合い,ドアイ,ドアイ
）	記号,括弧閉,*,*,*,*,）,）,）
20%	名詞,固有名詞,一般,*,*,*,20%,ニジュウパーセント,ニジュウパーセント
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
（	記号,括弧開,*,*,*,*,（,（,（
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
・	記号,一般,*,*,*,*,・,・,・
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
・	記号,一般,*,*,*,*,・,・,・
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
）	記号,括弧閉,*,*,*,*,）,）,）
2	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
１	名詞,数,*,*,*,*,１,イチ,イチ
「	記号,括弧開,*,*,*,*,「,「,「
ボール	名詞,一般,*,*,*,*,ボール,ボール,ボール
コントロール	名詞,サ変接続,*,*,*,*,コントロール,コントロール,コントロール
（	記号,括弧開,*,*,*,*,（,（,（
キック	名詞,サ変接続,*,*,*,*,キック,キック,キック
・	記号,一般,*,*,*,*,・,・,・
ドリブル	名詞,サ変接続,*,*,*,*,ドリブル,ドリブル,ドリブル
）	記号,括弧閉,*,*,*,*,）,）,）
」	記号,括弧閉,*,*,*,*,」,」,」
3	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
２	名詞,数,*,*,*,*,２,ニ,ニ
「	記号,括弧開,*,*,*,*,「,「,「
パス	名詞,サ変接続,*,*,*,*,パス,パス,パス
ゲーム	名詞,一般,*,*,*,*,ゲーム,ゲーム,ゲーム
」	記号,括弧閉,*,*,*,*,」,」,」
4	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
３	名詞,数,*,*,*,*,３,サン,サン
「	記号,括弧開,*,*,*,*,「,「,「
ミニゲーム	名詞,一般,*,*,*,*,ミニゲーム,ミニゲーム,ミニゲーム
（	記号,括弧開,*,*,*,*,（,（,（
4	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
4	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
ルール	名詞,一般,*,*,*,*,ルール,ルール,ルール
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
」	記号,括弧閉,*,*,*,*,」,」,」
5	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
４	名詞,数,*,*,*,*,４,ヨン,ヨン
「	記号,括弧開,*,*,*,*,「,「,「
ミニゲーム	名詞,一般,*,*,*,*,ミニゲーム,ミニゲーム,ミニゲーム
（	記号,括弧開,*,*,*,*,（,（,（
4	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
4	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
攻撃	名詞,サ変接続,*,*,*,*,攻撃,コウゲキ,コーゲキ
」	記号,括弧閉,*,*,*,*,」,」,」
6	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
５	名詞,数,*,*,*,*,５,ゴ,ゴ
「	記号,括弧開,*,*,*,*,「,「,「
ミニゲーム	名詞,一般,*,*,*,*,ミニゲーム,ミニゲーム,ミニゲーム
（	記号,括弧開,*,*,*,*,（,（,（
4	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
4	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
守備	名詞,サ変接続,*,*,*,*,守備,シュビ,シュビ
」	記号,括弧閉,*,*,*,*,」,」,」
7	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
６	名詞,数,*,*,*,*,６,ロク,ロク
「	記号,括弧開,*,*,*,*,「,「,「
ミニゲーム	名詞,一般,*,*,*,*,ミニゲーム,ミニゲーム,ミニゲーム
（	記号,括弧開,*,*,*,*,（,（,（
6	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
6	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
ルール	名詞,一般,*,*,*,*,ルール,ルール,ルール
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
」	記号,括弧閉,*,*,*,*,」,」,」
8	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
７	名詞,数,*,*,*,*,７,ナナ,ナナ
「	記号,括弧開,*,*,*,*,「,「,「
ミニゲーム	名詞,一般,*,*,*,*,ミニゲーム,ミニゲーム,ミニゲーム
（	記号,括弧開,*,*,*,*,（,（,（
6	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
6	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
攻撃	名詞,サ変接続,*,*,*,*,攻撃,コウゲキ,コーゲキ
」	記号,括弧閉,*,*,*,*,」,」,」
9	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
８	名詞,数,*,*,*,*,８,ハチ,ハチ
「	記号,括弧開,*,*,*,*,「,「,「
ミニゲーム	名詞,一般,*,*,*,*,ミニゲーム,ミニゲーム,ミニゲーム
（	記号,括弧開,*,*,*,*,（,（,（
6	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
6	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
守備	名詞,サ変接続,*,*,*,*,守備,シュビ,シュビ
」	記号,括弧閉,*,*,*,*,」,」,」
10	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
９	名詞,数,*,*,*,*,９,キュウ,キュー
「	記号,括弧開,*,*,*,*,「,「,「
ハーフコートゲーム	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
8	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
8	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
ルール	名詞,一般,*,*,*,*,ルール,ルール,ルール
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
」	記号,括弧閉,*,*,*,*,」,」,」
11	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
10	名詞,数,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
ハーフコートゲーム	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
8	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
8	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
攻撃	名詞,サ変接続,*,*,*,*,攻撃,コウゲキ,コーゲキ
」	記号,括弧閉,*,*,*,*,」,」,」
12	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
11	名詞,数,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
ハーフコートゲーム	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
8	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
8	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
守備	名詞,サ変接続,*,*,*,*,守備,シュビ,シュビ
」	記号,括弧閉,*,*,*,*,」,」,」
13	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
12	名詞,数,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
ハーフコートゲーム	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
8	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
8	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
システム	名詞,一般,*,*,*,*,システム,システム,システム
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ポジション	名詞,一般,*,*,*,*,ポジション,ポジション,ポジション
」	記号,括弧閉,*,*,*,*,」,」,」
14	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
13	名詞,数,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
ハーフコートゲーム	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
8	名詞,数,*,*,*,*,*
対	名詞,接続詞的,*,*,*,*,対,タイ,タイ
8	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
リーグ戦	名詞,固有名詞,一般,*,*,*,リーグ戦,リーグセン,リーグセン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
仕方	名詞,ナイ形容詞語幹,*,*,*,*,仕方,シカタ,シカタ
」	記号,括弧閉,*,*,*,*,」,」,」
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
（	記号,括弧開,*,*,*,*,（,（,（
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
・	記号,一般,*,*,*,*,・,・,・
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
・	記号,一般,*,*,*,*,・,・,・
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
）	記号,括弧閉,*,*,*,*,）,）,）
2	名詞,数,*,*,*,*,*
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
１	名詞,数,*,*,*,*,１,イチ,イチ
「	記号,括弧開,*,*,*,*,「,「,「
ボール	名詞,一般,*,*,*,*,ボール,ボール,ボール
コントロール	名詞,サ変接続,*,*,*,*,コントロール,コントロール,コントロール
（	記号,括弧開,*,*,*,*,（,（,（
キック	名詞,サ変接続,*,*,*,*,キック,キック,キック
・	記号,一般,*,*,*,*,・,・,・
ドリブル	名詞,サ変接続,*,*,*,*,ドリブル,ドリブル,ドリブル
）	記号,括弧閉,*,*,*,*,）,）,）
