ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
有理数	名詞,一般,*,*,*,*,有理数,ユウリスウ,ユーリスー
、	記号,読点,*,*,*,*,、,、,、
実数	名詞,一般,*,*,*,*,実数,ジッスウ,ジッスー
、	記号,読点,*,*,*,*,、,、,、
複素数	名詞,一般,*,*,*,*,複素数,フクソスウ,フクソスー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
加減乗除	名詞,サ変接続,*,*,*,*,加減乗除,カゲンジョウジョ,カゲンジョージョ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
代数	名詞,一般,*,*,*,*,代数,ダイスウ,ダイスー
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
体	名詞,一般,*,*,*,*,体,カラダ,カラダ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
体	名詞,一般,*,*,*,*,体,カラダ,カラダ
上	名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
多項式環	名詞,固有名詞,一般,*,*,*,多項式環,タコウシキカン,タコーシキカン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
、	記号,読点,*,*,*,*,、,、,、
代数方程式	名詞,固有名詞,一般,*,*,*,代数方程式,ダイスウホウテイシキ,ダイスーホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
可解	名詞,固有名詞,一般,*,*,*,可解,カカイ,カカイ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
体	名詞,接尾,一般,*,*,*,体,タイ,タイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
次数	名詞,一般,*,*,*,*,次数,ジスウ,ジスー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
調べ	動詞,自立,*,*,一段,連用形,調べる,シラベ,シラベ
、	記号,読点,*,*,*,*,、,、,、
ギリシャ	名詞,固有名詞,地域,国,*,*,ギリシャ,ギリシャ,ギリシャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
三	名詞,数,*,*,*,*,三,サン,サン
大	接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ
作図	名詞,サ変接続,*,*,*,*,作図,サクズ,サクズ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
。	記号,句点,*,*,*,*,。,。,。
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
、	記号,読点,*,*,*,*,、,、,、
体	名詞,一般,*,*,*,*,体,カラダ,カラダ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
群	名詞,一般,*,*,*,*,群,グン,グン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
づける	動詞,自立,*,*,一段,基本形,づける,ヅケル,ズケル
ガロア理論	名詞,固有名詞,一般,*,*,*,ガロア理論,ガロアリロン,ガロアリロン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
述べ	動詞,自立,*,*,一段,連用形,述べる,ノベ,ノベ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
代数方程式	名詞,固有名詞,一般,*,*,*,代数方程式,ダイスウホウテイシキ,ダイスーホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベキ	名詞,一般,*,*,*,*,*
根	名詞,一般,*,*,*,*,根,ネ,ネ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
可解	名詞,固有名詞,一般,*,*,*,可解,カカイ,カカイ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
使用	名詞,サ変接続,*,*,*,*,使用,シヨウ,シヨー
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
と	助詞,並立助詞,*,*,*,*,と,ト,ト
学期	名詞,一般,*,*,*,*,学期,ガッキ,ガッキ
末	名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
体	名詞,接尾,助数詞,*,*,*,体,タイ,タイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
次数	名詞,一般,*,*,*,*,次数,ジスウ,ジスー
2	名詞,数,*,*,*,*,*
作図	名詞,サ変接続,*,*,*,*,作図,サクズ,サクズ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
可能性	名詞,固有名詞,一般,*,*,*,可能性,カノウセイ,カノーセイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
体	名詞,接尾,一般,*,*,*,体,タイ,タイ
3	名詞,数,*,*,*,*,*
作図	名詞,サ変接続,*,*,*,*,作図,サクズ,サクズ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
不可能	名詞,形容動詞語幹,*,*,*,*,不可能,フカノウ,フカノー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
4代	名詞,固有名詞,一般,*,*,*,4代,ヨンダイ,ヨンダイ
数	名詞,接尾,一般,*,*,*,数,スウ,スー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
体	名詞,接尾,一般,*,*,*,体,タイ,タイ
5代	名詞,固有名詞,一般,*,*,*,5代,ゴダイ,ゴダイ
数	名詞,接尾,一般,*,*,*,数,スウ,スー
閉包	名詞,一般,*,*,*,*,閉包,ヘイホウ,ヘイホー
6分	名詞,固有名詞,一般,*,*,*,6分,ロップン,ロップン
解体	名詞,サ変接続,*,*,*,*,解体,カイタイ,カイタイ
7	名詞,数,*,*,*,*,*
自己同型	名詞,固有名詞,一般,*,*,*,自己同型,ジコドウケイ,ジコドーケイ
群	名詞,接尾,一般,*,*,*,群,グン,グン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
固定	名詞,サ変接続,*,*,*,*,固定,コテイ,コテイ
体	名詞,接尾,一般,*,*,*,体,タイ,タイ
8	名詞,数,*,*,*,*,*
ガロア理論	名詞,固有名詞,一般,*,*,*,ガロア理論,ガロアリロン,ガロアリロン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
定理	名詞,一般,*,*,*,*,定理,テイリ,テイリ
9	名詞,数,*,*,*,*,*
いくつか	名詞,一般,*,*,*,*,いくつか,イクツカ,イクツカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
例	名詞,一般,*,*,*,*,例,レイ,レイ
10分	名詞,固有名詞,一般,*,*,*,10分,ジュップン,ジュップン
離	名詞,固有名詞,地域,一般,*,*,離,ハナレ,ハナレ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
11	名詞,数,*,*,*,*,*
可解群	名詞,固有名詞,一般,*,*,*,可解群,カカイグン,カカイグン
12	名詞,数,*,*,*,*,*
方程式	名詞,一般,*,*,*,*,方程式,ホウテイシキ,ホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベキ	名詞,一般,*,*,*,*,*
根	名詞,一般,*,*,*,*,根,ネ,ネ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
可解	名詞,固有名詞,一般,*,*,*,可解,カカイ,カカイ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
13	名詞,数,*,*,*,*,*
方程式	名詞,一般,*,*,*,*,方程式,ホウテイシキ,ホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベキ	名詞,一般,*,*,*,*,*
根	名詞,一般,*,*,*,*,根,ネ,ネ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
可解	名詞,固有名詞,一般,*,*,*,可解,カカイ,カカイ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ガロア	名詞,固有名詞,一般,*,*,*,ガロア,ガロア,ガロア
の	助詞,連体化,*,*,*,*,の,ノ,ノ
定理	名詞,一般,*,*,*,*,定理,テイリ,テイリ
14	名詞,数,*,*,*,*,*
ベキ	名詞,一般,*,*,*,*,*
根	名詞,一般,*,*,*,*,根,ネ,ネ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
解け	動詞,自立,*,*,一段,未然形,解ける,トケ,トケ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
方程式	名詞,一般,*,*,*,*,方程式,ホウテイシキ,ホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
例	名詞,一般,*,*,*,*,例,レイ,レイ
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
および	名詞,一般,*,*,*,*,お呼び,オヨビ,オヨビ
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
体	名詞,接尾,助数詞,*,*,*,体,タイ,タイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
次数	名詞,一般,*,*,*,*,次数,ジスウ,ジスー
2	名詞,数,*,*,*,*,*
作図	名詞,サ変接続,*,*,*,*,作図,サクズ,サクズ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
可能性	名詞,固有名詞,一般,*,*,*,可能性,カノウセイ,カノーセイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
体	名詞,接尾,一般,*,*,*,体,タイ,タイ
3	名詞,数,*,*,*,*,*
作図	名詞,サ変接続,*,*,*,*,作図,サクズ,サクズ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
不可能	名詞,形容動詞語幹,*,*,*,*,不可能,フカノウ,フカノー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
4	名詞,数,*,*,*,*,*
代数	名詞,一般,*,*,*,*,代数,ダイスウ,ダイスー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
体	名詞,接尾,一般,*,*,*,体,タイ,タイ
5	名詞,数,*,*,*,*,*
代数	名詞,一般,*,*,*,*,代数,ダイスウ,ダイスー
閉包	名詞,一般,*,*,*,*,閉包,ヘイホウ,ヘイホー
6	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
解体	名詞,サ変接続,*,*,*,*,解体,カイタイ,カイタイ
7	名詞,数,*,*,*,*,*
自己同型	名詞,固有名詞,一般,*,*,*,自己同型,ジコドウケイ,ジコドーケイ
群	名詞,接尾,一般,*,*,*,群,グン,グン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
固定	名詞,サ変接続,*,*,*,*,固定,コテイ,コテイ
体	名詞,接尾,一般,*,*,*,体,タイ,タイ
8	名詞,数,*,*,*,*,*
ガロア理論	名詞,固有名詞,一般,*,*,*,ガロア理論,ガロアリロン,ガロアリロン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
定理	名詞,一般,*,*,*,*,定理,テイリ,テイリ
9	名詞,数,*,*,*,*,*
いくつか	名詞,一般,*,*,*,*,いくつか,イクツカ,イクツカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
例	名詞,一般,*,*,*,*,例,レイ,レイ
10	名詞,数,*,*,*,*,*
分離	名詞,サ変接続,*,*,*,*,分離,ブンリ,ブンリ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
11	名詞,数,*,*,*,*,*
可解群	名詞,固有名詞,一般,*,*,*,可解群,カカイグン,カカイグン
12	名詞,数,*,*,*,*,*
方程式	名詞,一般,*,*,*,*,方程式,ホウテイシキ,ホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベキ	名詞,一般,*,*,*,*,*
根	名詞,一般,*,*,*,*,根,ネ,ネ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
可解	名詞,固有名詞,一般,*,*,*,可解,カカイ,カカイ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
13	名詞,数,*,*,*,*,*
方程式	名詞,一般,*,*,*,*,方程式,ホウテイシキ,ホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベキ	名詞,一般,*,*,*,*,*
根	名詞,一般,*,*,*,*,根,ネ,ネ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
可解	名詞,固有名詞,一般,*,*,*,可解,カカイ,カカイ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ガロア	名詞,固有名詞,一般,*,*,*,ガロア,ガロア,ガロア
の	助詞,連体化,*,*,*,*,の,ノ,ノ
定理	名詞,一般,*,*,*,*,定理,テイリ,テイリ
14	名詞,数,*,*,*,*,*
ベキ	名詞,一般,*,*,*,*,*
根	名詞,一般,*,*,*,*,根,ネ,ネ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
解け	動詞,自立,*,*,一段,未然形,解ける,トケ,トケ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
方程式	名詞,一般,*,*,*,*,方程式,ホウテイシキ,ホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
例	名詞,一般,*,*,*,*,例,レイ,レイ
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
および	名詞,一般,*,*,*,*,お呼び,オヨビ,オヨビ
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
下位	名詞,一般,*,*,*,*,下位,カイ,カイ
学年	名詞,一般,*,*,*,*,学年,ガクネン,ガクネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
認め	動詞,自立,*,*,一段,未然形,認める,ミトメ,ミトメ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メッセージ	名詞,一般,*,*,*,*,メッセージ,メッセージ,メッセージ
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
）	記号,括弧閉,*,*,*,*,）,）,）
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
EOS
