ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
位相空間	名詞,固有名詞,一般,*,*,*,位相空間,イソウクウカン,イソークーカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学び	動詞,自立,*,*,五段・バ行,連用形,学ぶ,マナビ,マナビ
,	記号,一般,*,*,*,*,*
簡単	名詞,形容動詞語幹,*,*,*,*,簡単,カンタン,カンタン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
図形	名詞,一般,*,*,*,*,図形,ヅケイ,ズケイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
求め	動詞,自立,*,*,一段,未然形,求める,モトメ,モトメ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
.	記号,一般,*,*,*,*,*
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
道	名詞,接尾,一般,*,*,*,道,ドウ,ドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ホモトピー	名詞,固有名詞,一般,*,*,*,ホモトピー,ホモトピー,ホモトピー
,	記号,一般,*,*,*,*,*
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
,	記号,一般,*,*,*,*,*
連続写像	名詞,固有名詞,一般,*,*,*,連続写像,レンゾクシャゾウ,レンゾクシャゾー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ホモトピー	名詞,固有名詞,一般,*,*,*,ホモトピー,ホモトピー,ホモトピー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
,	記号,一般,*,*,*,*,*
円周	名詞,一般,*,*,*,*,円周,エンシュウ,エンシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
,	記号,一般,*,*,*,*,*
Seifert	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
van	名詞,固有名詞,一般,*,*,*,van,バン,バン
Kampen	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
定理	名詞,一般,*,*,*,*,定理,テイリ,テイリ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
.	記号,一般,*,*,*,*,*
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
「	記号,括弧開,*,*,*,*,「,「,「
トポロジー	名詞,一般,*,*,*,*,トポロジー,トポロジー,トポロジー
入門	名詞,サ変接続,*,*,*,*,入門,ニュウモン,ニューモン
」,	記号,一般,*,*,*,*,*
松本幸夫	名詞,固有名詞,人名,一般,*,*,松本幸夫,マツモトユキオ,マツモトユキオ
(	記号,一般,*,*,*,*,*
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
),	記号,一般,*,*,*,*,*
岩波書店	名詞,固有名詞,組織,*,*,*,岩波書店,イワナミショテン,イワナミショテン
,	記号,一般,*,*,*,*,*
7776円	名詞,固有名詞,一般,*,*,*,7776円,ナナセンナナヒャクナナジュウロクエン,ナナセンナナヒャクナナジュウロクエン
.	記号,一般,*,*,*,*,*
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
「	記号,括弧開,*,*,*,*,「,「,「
代数	名詞,一般,*,*,*,*,代数,ダイスウ,ダイスー
トポロジー	名詞,一般,*,*,*,*,トポロジー,トポロジー,トポロジー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
群	名詞,接尾,一般,*,*,*,群,グン,グン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ホモロジー	名詞,固有名詞,一般,*,*,*,ホモロジー,ホモロジー,ホモロジー
群	名詞,接尾,一般,*,*,*,群,グン,グン
」,	記号,一般,*,*,*,*,*
和久井	名詞,固有名詞,人名,姓,*,*,和久井,ワクイ,ワクイ
道久	名詞,固有名詞,人名,名,*,*,道久,ミチヒサ,ミチヒサ
(	記号,一般,*,*,*,*,*
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
),	記号,一般,*,*,*,*,*
近代科学社	名詞,固有名詞,一般,*,*,*,近代科学社,キンダイカガクシャ,キンダイカガクシャ
Digital	名詞,固有名詞,一般,*,*,*,Digital,デジタル,デジタル
,	記号,一般,*,*,*,*,*
3850円	名詞,固有名詞,一般,*,*,*,3850円,サンゼンハッピャクゴジュウエン,サンゼンハッピャクゴジュウエン
.	記号,一般,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
曲面	名詞,一般,*,*,*,*,曲面,キョクメン,キョクメン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
結び目	名詞,一般,*,*,*,*,結び目,ムスビメ,ムスビメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
トポロジー	名詞,一般,*,*,*,*,トポロジー,トポロジー,トポロジー
」,	記号,一般,*,*,*,*,*
小林	名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ
一	名詞,数,*,*,*,*,一,イチ,イチ
章	名詞,接尾,助数詞,*,*,*,章,ショウ,ショー
(	記号,一般,*,*,*,*,*
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
),	記号,一般,*,*,*,*,*
朝倉書店	名詞,固有名詞,組織,*,*,*,朝倉書店,アサクラショテン,アサクラショテン
,	記号,一般,*,*,*,*,*
3024円	名詞,固有名詞,一般,*,*,*,3024円,サンゼンニジュウヨンエン,サンゼンニジュウヨンエン
.	記号,一般,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
Algebraic	名詞,固有名詞,組織,*,*,*,*
Topology	名詞,一般,*,*,*,*,*
」,	記号,一般,*,*,*,*,*
Allen	名詞,固有名詞,組織,*,*,*,*
Hatcher	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
),	記号,一般,*,*,*,*,*
Cambridge	名詞,固有名詞,組織,*,*,*,*
University	名詞,一般,*,*,*,*,*
Press	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
3915円	名詞,固有名詞,一般,*,*,*,3915円,サンゼンキュウヒャクジュウゴエン,サンゼンキュウヒャクジュウゴエン
.	記号,一般,*,*,*,*,*
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
.	記号,一般,*,*,*,*,*
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
1	名詞,数,*,*,*,*,*
位相空間	名詞,固有名詞,一般,*,*,*,位相空間,イソウクウカン,イソークーカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
道	名詞,一般,*,*,*,*,道,ミチ,ミチ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
ホモトピー	名詞,固有名詞,一般,*,*,*,ホモトピー,ホモトピー,ホモトピー
2	名詞,数,*,*,*,*,*
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
定義	名詞,サ変接続,*,*,*,*,定義,テイギ,テイギ
I	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
定義	名詞,サ変接続,*,*,*,*,定義,テイギ,テイギ
II	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
位相	名詞,一般,*,*,*,*,位相,イソウ,イソー
不変	名詞,一般,*,*,*,*,不変,フヘン,フヘン
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
5	名詞,数,*,*,*,*,*
連続写像	名詞,固有名詞,一般,*,*,*,連続写像,レンゾクシャゾウ,レンゾクシャゾー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ホモトピー	名詞,固有名詞,一般,*,*,*,ホモトピー,ホモトピー,ホモトピー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
I	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
連続写像	名詞,固有名詞,一般,*,*,*,連続写像,レンゾクシャゾウ,レンゾクシャゾー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ホモトピー	名詞,固有名詞,一般,*,*,*,ホモトピー,ホモトピー,ホモトピー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
II	名詞,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
円周	名詞,一般,*,*,*,*,円周,エンシュウ,エンシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
I	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
円周	名詞,一般,*,*,*,*,円周,エンシュウ,エンシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
II	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
積	名詞,一般,*,*,*,*,積,セキ,セキ
空間	名詞,一般,*,*,*,*,空間,クウカン,クーカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
I	名詞,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
積	名詞,一般,*,*,*,*,積,セキ,セキ
空間	名詞,一般,*,*,*,*,空間,クウカン,クーカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
II	名詞,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
群	名詞,接尾,一般,*,*,*,群,グン,グン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
表示	名詞,サ変接続,*,*,*,*,表示,ヒョウジ,ヒョージ
I	名詞,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
群	名詞,接尾,一般,*,*,*,群,グン,グン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
表示	名詞,サ変接続,*,*,*,*,表示,ヒョウジ,ヒョージ
II	名詞,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
Seifert	名詞,一般,*,*,*,*,*
-	記号,一般,*,*,*,*,*
van	名詞,固有名詞,一般,*,*,*,van,バン,バン
Kampen	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
定理	名詞,一般,*,*,*,*,定理,テイリ,テイリ
14	名詞,数,*,*,*,*,*
閉曲	名詞,一般,*,*,*,*,*
面	名詞,接尾,一般,*,*,*,面,メン,メン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本群	名詞,固有名詞,一般,*,*,*,基本群,キホングン,キホングン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
分類	名詞,サ変接続,*,*,*,*,分類,ブンルイ,ブンルイ
定理	名詞,一般,*,*,*,*,定理,テイリ,テイリ
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
予習	名詞,サ変接続,*,*,*,*,予習,ヨシュウ,ヨシュー
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
課す	動詞,自立,*,*,五段・サ行,基本形,課す,カス,カス
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
下位	名詞,一般,*,*,*,*,下位,カイ,カイ
学年	名詞,一般,*,*,*,*,学年,ガクネン,ガクネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
不可	名詞,一般,*,*,*,*,不可,フカ,フカ
.	記号,一般,*,*,*,*,*
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メッセージ	名詞,一般,*,*,*,*,メッセージ,メッセージ,メッセージ
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
）	記号,括弧閉,*,*,*,*,）,）,）
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
.	記号,一般,*,*,*,*,*
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
情勢	名詞,一般,*,*,*,*,情勢,ジョウセイ,ジョーセイ
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
(	記号,一般,*,*,*,*,*
ライブ配信	名詞,固有名詞,一般,*,*,*,ライブ配信,ライブハイシン,ライブハイシン
型	名詞,接尾,一般,*,*,*,型,ガタ,ガタ
)	記号,一般,*,*,*,*,*
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
変更	名詞,サ変接続,*,*,*,*,変更,ヘンコウ,ヘンコー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
可能性	名詞,固有名詞,一般,*,*,*,可能性,カノウセイ,カノーセイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
.	記号,一般,*,*,*,*,*
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
上	名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
挙げ	動詞,自立,*,*,一段,連用形,挙げる,アゲ,アゲ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
暫定	名詞,サ変接続,*,*,*,*,暫定,ザンテイ,ザンテイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
、	記号,読点,*,*,*,*,、,、,、
変更	名詞,サ変接続,*,*,*,*,変更,ヘンコウ,ヘンコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
可能性	名詞,固有名詞,一般,*,*,*,可能性,カノウセイ,カノーセイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
(	記号,一般,*,*,*,*,*
初回	名詞,一般,*,*,*,*,初回,ショカイ,ショカイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
指示	名詞,サ変接続,*,*,*,*,指示,シジ,シジ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
)	記号,一般,*,*,*,*,*
EOS
