ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
確率論	名詞,固有名詞,一般,*,*,*,確率論,カクリツロン,カクリツロン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
確率微分方程式	名詞,固有名詞,一般,*,*,*,確率微分方程式,カクリツビブンホウテイシキ,カクリツビブンホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
春学	名詞,固有名詞,一般,*,*,*,春学,ハルガク,ハルガク
期	名詞,接尾,一般,*,*,*,期,キ,キ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
確率論	名詞,固有名詞,一般,*,*,*,確率論,カクリツロン,カクリツロン
特	名詞,一般,*,*,*,*,特,トク,トク
論	名詞,接尾,一般,*,*,*,論,ロン,ロン
Ⅰ	名詞,数,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
・	記号,一般,*,*,*,*,・,・,・
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
後	名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ
、	記号,読点,*,*,*,*,、,、,、
マルチンゲール	名詞,固有名詞,一般,*,*,*,マルチンゲール,マルチンゲール,マルチンゲール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ブラウン運動	名詞,固有名詞,一般,*,*,*,ブラウン運動,ブラウンウンドウ,ブラウンウンドー
、	記号,読点,*,*,*,*,、,、,、
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
、	記号,読点,*,*,*,*,、,、,、
確率微分方程式	名詞,固有名詞,一般,*,*,*,確率微分方程式,カクリツビブンホウテイシキ,カクリツビブンホーテイシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
講義ノート	名詞,固有名詞,一般,*,*,*,講義ノート,コウギノート,コーギノート
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
。	記号,句点,*,*,*,*,。,。,。
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
（	記号,括弧開,*,*,*,*,（,（,（
50	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
と	助詞,格助詞,引用,*,*,*,と,ト,ト
学期	名詞,一般,*,*,*,*,学期,ガッキ,ガッキ
末	名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
（	記号,括弧開,*,*,*,*,（,（,（
50	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
で	助詞,格助詞,一般,*,*,*,で,デ,デ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
（	記号,括弧開,*,*,*,*,（,（,（
離散	名詞,サ変接続,*,*,*,*,離散,リサン,リサン
型	名詞,接尾,一般,*,*,*,型,ガタ,ガタ
条件付き期待値	名詞,固有名詞,一般,*,*,*,条件付き期待値,ジョウケンンツキキタイチ,ジョーケンンツキキタイチ
）	記号,括弧閉,*,*,*,*,）,）,）
2	名詞,数,*,*,*,*,*
σ	記号,アルファベット,*,*,*,*,σ,シグマ,シグマ
集合体	名詞,固有名詞,一般,*,*,*,集合体,シュウゴウタイ,シューゴータイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
条件付き期待値	名詞,固有名詞,一般,*,*,*,条件付き期待値,ジョウケンンツキキタイチ,ジョーケンンツキキタイチ
3	名詞,数,*,*,*,*,*
マルチンゲール	名詞,固有名詞,一般,*,*,*,マルチンゲール,マルチンゲール,マルチンゲール
4	名詞,数,*,*,*,*,*
ブラウン運動	名詞,固有名詞,一般,*,*,*,ブラウン運動,ブラウンウンドウ,ブラウンウンドー
（	記号,括弧開,*,*,*,*,（,（,（
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
）	記号,括弧閉,*,*,*,*,）,）,）
5	名詞,数,*,*,*,*,*
コイン	名詞,一般,*,*,*,*,コイン,コイン,コイン
投げ	動詞,自立,*,*,一段,連用形,投げる,ナゲ,ナゲ
ランダムウォーク	名詞,固有名詞,一般,*,*,*,ランダムウォーク,ランダムウォーク,ランダムウォーク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ブラウン運動	名詞,固有名詞,一般,*,*,*,ブラウン運動,ブラウンウンドウ,ブラウンウンドー
6	名詞,数,*,*,*,*,*
ブラウン運動	名詞,固有名詞,一般,*,*,*,ブラウン運動,ブラウンウンドウ,ブラウンウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
7	名詞,数,*,*,*,*,*
ブラウン運動	名詞,固有名詞,一般,*,*,*,ブラウン運動,ブラウンウンドウ,ブラウンウンドー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
マルチンゲール	名詞,固有名詞,一般,*,*,*,マルチンゲール,マルチンゲール,マルチンゲール
8	名詞,数,*,*,*,*,*
マルコフ過程	名詞,固有名詞,一般,*,*,*,マルコフ過程,マルコフカテイ,マルコフカテイ
，	記号,読点,*,*,*,*,，,，,，
ポアソン	名詞,一般,*,*,*,*,ポアソン,ポアソン,ポアソン
過程	名詞,一般,*,*,*,*,過程,カテイ,カテイ
9	名詞,数,*,*,*,*,*
スティルチェス	名詞,一般,*,*,*,*,*
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
，	記号,読点,*,*,*,*,，,，,，
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
10	名詞,数,*,*,*,*,*
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
11	名詞,数,*,*,*,*,*
伊藤	名詞,固有名詞,人名,姓,*,*,伊藤,イトウ,イトー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
公式	名詞,形容動詞語幹,*,*,*,*,公式,コウシキ,コーシキ
12	名詞,数,*,*,*,*,*
確率微分方程式	名詞,固有名詞,一般,*,*,*,確率微分方程式,カクリツビブンホウテイシキ,カクリツビブンホーテイシキ
13	名詞,数,*,*,*,*,*
簡単	名詞,形容動詞語幹,*,*,*,*,簡単,カンタン,カンタン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
確率微分方程式	名詞,固有名詞,一般,*,*,*,確率微分方程式,カクリツビブンホウテイシキ,カクリツビブンホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解法	名詞,一般,*,*,*,*,解法,カイホウ,カイホー
14	名詞,数,*,*,*,*,*
確率微分方程式	名詞,固有名詞,一般,*,*,*,確率微分方程式,カクリツビブンホウテイシキ,カクリツビブンホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
（	記号,括弧開,*,*,*,*,（,（,（
運動方程式	名詞,固有名詞,一般,*,*,*,運動方程式,ウンドウホウテイシキ,ウンドーホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ランダム	名詞,一般,*,*,*,*,ランダム,ランダム,ランダム
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
）	記号,括弧閉,*,*,*,*,）,）,）
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
（	記号,括弧開,*,*,*,*,（,（,（
離散	名詞,サ変接続,*,*,*,*,離散,リサン,リサン
型	名詞,接尾,一般,*,*,*,型,ガタ,ガタ
条件付き期待値	名詞,固有名詞,一般,*,*,*,条件付き期待値,ジョウケンンツキキタイチ,ジョーケンンツキキタイチ
）	記号,括弧閉,*,*,*,*,）,）,）
2	名詞,数,*,*,*,*,*
σ	記号,アルファベット,*,*,*,*,σ,シグマ,シグマ
集合体	名詞,固有名詞,一般,*,*,*,集合体,シュウゴウタイ,シューゴータイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
条件付き期待値	名詞,固有名詞,一般,*,*,*,条件付き期待値,ジョウケンンツキキタイチ,ジョーケンンツキキタイチ
3	名詞,数,*,*,*,*,*
マルチンゲール	名詞,固有名詞,一般,*,*,*,マルチンゲール,マルチンゲール,マルチンゲール
4	名詞,数,*,*,*,*,*
ブラウン運動	名詞,固有名詞,一般,*,*,*,ブラウン運動,ブラウンウンドウ,ブラウンウンドー
（	記号,括弧開,*,*,*,*,（,（,（
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
）	記号,括弧閉,*,*,*,*,）,）,）
5	名詞,数,*,*,*,*,*
コイン	名詞,一般,*,*,*,*,コイン,コイン,コイン
投げ	動詞,自立,*,*,一段,連用形,投げる,ナゲ,ナゲ
ランダムウォーク	名詞,固有名詞,一般,*,*,*,ランダムウォーク,ランダムウォーク,ランダムウォーク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ブラウン運動	名詞,固有名詞,一般,*,*,*,ブラウン運動,ブラウンウンドウ,ブラウンウンドー
6	名詞,数,*,*,*,*,*
ブラウン運動	名詞,固有名詞,一般,*,*,*,ブラウン運動,ブラウンウンドウ,ブラウンウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
7	名詞,数,*,*,*,*,*
ブラウン運動	名詞,固有名詞,一般,*,*,*,ブラウン運動,ブラウンウンドウ,ブラウンウンドー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
マルチンゲール	名詞,固有名詞,一般,*,*,*,マルチンゲール,マルチンゲール,マルチンゲール
8	名詞,数,*,*,*,*,*
マルコフ過程	名詞,固有名詞,一般,*,*,*,マルコフ過程,マルコフカテイ,マルコフカテイ
，	記号,読点,*,*,*,*,，,，,，
ポアソン	名詞,一般,*,*,*,*,ポアソン,ポアソン,ポアソン
過程	名詞,一般,*,*,*,*,過程,カテイ,カテイ
9	名詞,数,*,*,*,*,*
スティルチェス	名詞,一般,*,*,*,*,*
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
，	記号,読点,*,*,*,*,，,，,，
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
10	名詞,数,*,*,*,*,*
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
11	名詞,数,*,*,*,*,*
伊藤	名詞,固有名詞,人名,姓,*,*,伊藤,イトウ,イトー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
公式	名詞,形容動詞語幹,*,*,*,*,公式,コウシキ,コーシキ
12	名詞,数,*,*,*,*,*
確率微分方程式	名詞,固有名詞,一般,*,*,*,確率微分方程式,カクリツビブンホウテイシキ,カクリツビブンホーテイシキ
13	名詞,数,*,*,*,*,*
簡単	名詞,形容動詞語幹,*,*,*,*,簡単,カンタン,カンタン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
確率微分方程式	名詞,固有名詞,一般,*,*,*,確率微分方程式,カクリツビブンホウテイシキ,カクリツビブンホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解法	名詞,一般,*,*,*,*,解法,カイホウ,カイホー
14	名詞,数,*,*,*,*,*
確率微分方程式	名詞,固有名詞,一般,*,*,*,確率微分方程式,カクリツビブンホウテイシキ,カクリツビブンホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
（	記号,括弧開,*,*,*,*,（,（,（
運動方程式	名詞,固有名詞,一般,*,*,*,運動方程式,ウンドウホウテイシキ,ウンドーホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ランダム	名詞,一般,*,*,*,*,ランダム,ランダム,ランダム
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
）	記号,括弧閉,*,*,*,*,）,）,）
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
マルチンゲール	名詞,固有名詞,一般,*,*,*,マルチンゲール,マルチンゲール,マルチンゲール
、	記号,読点,*,*,*,*,、,、,、
ブラウン運動	名詞,固有名詞,一般,*,*,*,ブラウン運動,ブラウンウンドウ,ブラウンウンドー
、	記号,読点,*,*,*,*,、,、,、
ポアソン	名詞,一般,*,*,*,*,ポアソン,ポアソン,ポアソン
過程	名詞,一般,*,*,*,*,過程,カテイ,カテイ
、	記号,読点,*,*,*,*,、,、,、
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
、	記号,読点,*,*,*,*,、,、,、
確率微分方程式	名詞,固有名詞,一般,*,*,*,確率微分方程式,カクリツビブンホウテイシキ,カクリツビブンホーテイシキ
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
下位	名詞,一般,*,*,*,*,下位,カイ,カイ
学年	名詞,一般,*,*,*,*,学年,ガクネン,ガクネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ
ませ	助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ
ん	助動詞,*,*,*,不変化型,基本形,ん,ン,ン
。	記号,句点,*,*,*,*,。,。,。
春学	名詞,固有名詞,一般,*,*,*,春学,ハルガク,ハルガク
期	名詞,接尾,一般,*,*,*,期,キ,キ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
確率論	名詞,固有名詞,一般,*,*,*,確率論,カクリツロン,カクリツロン
特	名詞,一般,*,*,*,*,特,トク,トク
論	名詞,接尾,一般,*,*,*,論,ロン,ロン
I	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
前提	名詞,一般,*,*,*,*,前提,ゼンテイ,ゼンテイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メッセージ	名詞,一般,*,*,*,*,メッセージ,メッセージ,メッセージ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
終了	名詞,サ変接続,*,*,*,*,終了,シュウリョウ,シューリョー
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
、	記号,読点,*,*,*,*,、,、,、
用語	名詞,一般,*,*,*,*,用語,ヨウゴ,ヨーゴ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
数多く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,数多い,カズオオク,カズオーク
現れる	動詞,自立,*,*,一段,基本形,現れる,アラワレル,アラワレル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
しっかり	副詞,助詞類接続,*,*,*,*,しっかり,シッカリ,シッカリ
つかむ	動詞,自立,*,*,五段・マ行,基本形,つかむ,ツカム,ツカム
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
下さい	動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,下さる,クダサイ,クダサイ
。	記号,句点,*,*,*,*,。,。,。
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
）	記号,括弧閉,*,*,*,*,）,）,）
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
（	記号,括弧開,*,*,*,*,（,（,（
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
情勢	名詞,一般,*,*,*,*,情勢,ジョウセイ,ジョーセイ
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
変更	名詞,サ変接続,*,*,*,*,変更,ヘンコウ,ヘンコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
可能性	名詞,固有名詞,一般,*,*,*,可能性,カノウセイ,カノーセイ
