ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
この	連体詞,*,*,*,*,*,この,コノ,コノ
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
以下	名詞,非自立,副詞可能,*,*,*,以下,イカ,イカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
2つ	名詞,一般,*,*,*,*,2つ,フタツ,フタツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
もっ	動詞,自立,*,*,五段・タ行,連用タ接続,もつ,モッ,モッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
線形代数	名詞,固有名詞,一般,*,*,*,線形代数,センケイダイスウ,センケイダイスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
諸	接頭詞,名詞接続,*,*,*,*,諸,ショ,ショ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
具体	名詞,一般,*,*,*,*,具体,グタイ,グタイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
実例	名詞,一般,*,*,*,*,実例,ジツレイ,ジツレイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
調べ	動詞,自立,*,*,一段,連用形,調べる,シラベ,シラベ
、	記号,読点,*,*,*,*,、,、,、
自身	名詞,一般,*,*,*,*,自身,ジシン,ジシン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
努力	名詞,サ変接続,*,*,*,*,努力,ドリョク,ドリョク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
解明	名詞,サ変接続,*,*,*,*,解明,カイメイ,カイメイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を通じて	助詞,格助詞,連語,*,*,*,を通じて,ヲツウジテ,ヲツージテ
、	記号,読点,*,*,*,*,、,、,、
線形代数	名詞,固有名詞,一般,*,*,*,線形代数,センケイダイスウ,センケイダイスー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
深い	形容詞,自立,*,*,形容詞・アウオ段,基本形,深い,フカイ,フカイ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
獲得	名詞,サ変接続,*,*,*,*,獲得,カクトク,カクトク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
数学	名詞,一般,*,*,*,*,数学,スウガク,スーガク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
研究対象	名詞,固有名詞,一般,*,*,*,研究対象,ケンキュウタイショウ,ケンキュータイショー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
言語	名詞,一般,*,*,*,*,言語,ゲンゴ,ゲンゴ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
言語	名詞,一般,*,*,*,*,言語,ゲンゴ,ゲンゴ
能力	名詞,一般,*,*,*,*,能力,ノウリョク,ノーリョク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
欠如	名詞,サ変接続,*,*,*,*,欠如,ケツジョ,ケツジョ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
後年	名詞,副詞可能,*,*,*,*,後年,コウネン,コーネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
大きく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク
響い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,響く,ヒビイ,ヒビイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くる	動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル
。	記号,句点,*,*,*,*,。,。,。
そこで	接続詞,*,*,*,*,*,そこで,ソコデ,ソコデ
この	連体詞,*,*,*,*,*,この,コノ,コノ
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
頻繁	名詞,形容動詞語幹,*,*,*,*,頻繁,ヒンパン,ヒンパン
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を通じて	助詞,格助詞,連語,*,*,*,を通じて,ヲツウジテ,ヲツージテ
、	記号,読点,*,*,*,*,、,、,、
理系	名詞,一般,*,*,*,*,理系,リケイ,リケイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作文	名詞,サ変接続,*,*,*,*,作文,サクブン,サクブン
能力	名詞,一般,*,*,*,*,能力,ノウリョク,ノーリョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
養う	動詞,自立,*,*,五段・ワ行促音便,基本形,養う,ヤシナウ,ヤシナウ
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
(a)	記号,一般,*,*,*,*,(・A・),カオモジ,カオモジ
抽象	名詞,サ変接続,*,*,*,*,抽象,チュウショウ,チューショー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
線形空間	名詞,固有名詞,一般,*,*,*,線形空間,センケイクウカン,センケイクーカン
・	記号,一般,*,*,*,*,・,・,・
線形	名詞,一般,*,*,*,*,線形,センケイ,センケイ
写像	名詞,サ変接続,*,*,*,*,写像,シャゾウ,シャゾー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
諸	接頭詞,名詞接続,*,*,*,*,諸,ショ,ショ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
、	記号,読点,*,*,*,*,、,、,、
(	記号,一般,*,*,*,*,*
b	名詞,固有名詞,組織,*,*,*,*
)	記号,一般,*,*,*,*,*
固有値	名詞,一般,*,*,*,*,固有値,コユウチ,コユーチ
・	記号,一般,*,*,*,*,・,・,・
固有ベクトル	名詞,一般,*,*,*,*,固有ベクトル,コユウベクトル,コユーベクトル
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
計算	名詞,サ変接続,*,*,*,*,計算,ケイサン,ケイサン
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
、	記号,読点,*,*,*,*,、,、,、
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、	記号,読点,*,*,*,*,、,、,、
具体例	名詞,固有名詞,一般,*,*,*,具体例,グタイレイ,グタイレイ
を通じて	助詞,格助詞,連語,*,*,*,を通じて,ヲツウジテ,ヲツージテ
実地	名詞,一般,*,*,*,*,実地,ジッチ,ジッチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
確かめる	動詞,自立,*,*,一段,基本形,確かめる,タシカメル,タシカメル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
寺田文行	名詞,固有名詞,人名,一般,*,*,寺田文行,テラダフミユキ,テラダフミユキ
・	記号,一般,*,*,*,*,・,・,・
増田	名詞,固有名詞,人名,姓,*,*,増田,マスダ,マスダ
真郎	名詞,固有名詞,人名,名,*,*,真郎,シンロウ,シンロー
『	記号,括弧開,*,*,*,*,『,『,『
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
線形代数	名詞,固有名詞,一般,*,*,*,線形代数,センケイダイスウ,センケイダイスー
サイエンス	名詞,固有名詞,一般,*,*,*,サイエンス,サイエンス,サイエンス
ライブラリ	名詞,一般,*,*,*,*,ライブラリ,ライブラリ,ライブラリ
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
数学	名詞,一般,*,*,*,*,数学,スウガク,スーガク
＝	記号,一般,*,*,*,*,＝,＝,＝
２	名詞,数,*,*,*,*,２,ニ,ニ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
サイエンス社	名詞,固有名詞,一般,*,*,*,サイエンス社,サイエンスシャ,サイエンスシャ
、	記号,読点,*,*,*,*,、,、,、
ISBN	名詞,固有名詞,一般,*,*,*,ISBN,アイエスビーエヌ,アイエスビーエヌ
978	名詞,数,*,*,*,*,*
-4	名詞,固有名詞,一般,*,*,*,−4,マイナスヨン,マイナスヨン
-	記号,一般,*,*,*,*,*
7819	名詞,数,*,*,*,*,*
-	記号,一般,*,*,*,*,*
0176	名詞,数,*,*,*,*,*
-3	名詞,固有名詞,一般,*,*,*,−3,マイナスサン,マイナスサン
）	記号,括弧閉,*,*,*,*,）,）,）
。	記号,句点,*,*,*,*,。,。,。
書名	名詞,一般,*,*,*,*,書名,ショメイ,ショメイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
著者	名詞,一般,*,*,*,*,著者,チョシャ,チョシャ
名	名詞,接尾,一般,*,*,*,名,メイ,メイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
似	動詞,自立,*,*,一段,連用形,似る,ニ,ニ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
書籍	名詞,一般,*,*,*,*,書籍,ショセキ,ショセキ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
注意	名詞,サ変接続,*,*,*,*,注意,チュウイ,チューイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
！	記号,一般,*,*,*,*,！,！,！
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
木下是雄	名詞,固有名詞,人名,一般,*,*,木下是雄,キノシタコレオ,キノシタコレオ
『	記号,括弧開,*,*,*,*,『,『,『
理科系の作文技術	名詞,固有名詞,一般,*,*,*,理科系の作文技術,リカケイノサクブンギジュツ,リカケイノサクブンギジュツ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
中公新書	名詞,固有名詞,一般,*,*,*,中公新書,チュウコウシンショ,チューコーシンショ
）	記号,括弧閉,*,*,*,*,）,）,）
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
WebClass	名詞,一般,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
通じ	動詞,自立,*,*,一段,連用形,通じる,ツウジ,ツージ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
電子	名詞,一般,*,*,*,*,電子,デンシ,デンシ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
形態	名詞,一般,*,*,*,*,形態,ケイタイ,ケイタイ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
、	記号,読点,*,*,*,*,、,、,、
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
期間中	名詞,固有名詞,一般,*,*,*,期間中,キカンチュウ,キカンチュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
期末	名詞,一般,*,*,*,*,期末,キマツ,キマツ
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
義務	名詞,一般,*,*,*,*,義務,ギム,ギム
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
平常	副詞,助詞類接続,*,*,*,*,平常,ヘイジョウ,ヘイジョー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
添削	名詞,サ変接続,*,*,*,*,添削,テンサク,テンサク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
再	接頭詞,名詞接続,*,*,*,*,再,サイ,サイ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
繰り返し	動詞,自立,*,*,五段・サ行,連用形,繰り返す,クリカエシ,クリカエシ
、	記号,読点,*,*,*,*,、,、,、
合格	名詞,サ変接続,*,*,*,*,合格,ゴウカク,ゴーカク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
達し	動詞,自立,*,*,五段・サ行,連用形,達す,タッシ,タッシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
個数	名詞,一般,*,*,*,*,個数,コスウ,コスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
多少	名詞,一般,*,*,*,*,多少,タショウ,タショー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
期末	名詞,一般,*,*,*,*,期末,キマツ,キマツ
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
各人	名詞,一般,*,*,*,*,各人,カクジン,カクジン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
異なる	動詞,自立,*,*,五段・ラ行,基本形,異なる,コトナル,コトナル
数値	名詞,一般,*,*,*,*,数値,スウチ,スーチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
行列	名詞,サ変接続,*,*,*,*,行列,ギョウレツ,ギョーレツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
ランダム	名詞,一般,*,*,*,*,ランダム,ランダム,ランダム
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
割り当て	動詞,自立,*,*,一段,連用形,割り当てる,ワリアテ,ワリアテ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
計算	名詞,サ変接続,*,*,*,*,計算,ケイサン,ケイサン
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
平常	副詞,助詞類接続,*,*,*,*,平常,ヘイジョウ,ヘイジョー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
平常点	名詞,固有名詞,一般,*,*,*,平常点,ヘイジョウテン,ヘイジョーテン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
期末	名詞,一般,*,*,*,*,期末,キマツ,キマツ
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
期末	名詞,一般,*,*,*,*,期末,キマツ,キマツ
点	名詞,接尾,一般,*,*,*,点,テン,テン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
各個	名詞,一般,*,*,*,*,各個,カッコ,カッコ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
算出	名詞,サ変接続,*,*,*,*,算出,サンシュツ,サンシュツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
のち	名詞,非自立,副詞可能,*,*,*,のち,ノチ,ノチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
機械的	名詞,固有名詞,一般,*,*,*,機械的,キカイテキ,キカイテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
算出	名詞,サ変接続,*,*,*,*,算出,サンシュツ,サンシュツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
合格	名詞,サ変接続,*,*,*,*,合格,ゴウカク,ゴーカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
十分条件	名詞,固有名詞,一般,*,*,*,十分条件,ジュウブンジョウケン,ジューブンジョーケン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
冒頭	名詞,一般,*,*,*,*,冒頭,ボウトウ,ボートー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
明示	名詞,サ変接続,*,*,*,*,明示,メイジ,メイジ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
10	名詞,数,*,*,*,*,*
～	記号,一般,*,*,*,*,*
12月	名詞,固有名詞,一般,*,*,*,12月,ジュウニガツ,ジューニガツ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
抽象	名詞,サ変接続,*,*,*,*,抽象,チュウショウ,チューショー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
線形空間	名詞,固有名詞,一般,*,*,*,線形空間,センケイクウカン,センケイクーカン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
線形	名詞,一般,*,*,*,*,線形,センケイ,センケイ
写像	名詞,サ変接続,*,*,*,*,写像,シャゾウ,シャゾー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
、	記号,読点,*,*,*,*,、,、,、
12	名詞,数,*,*,*,*,*
～	記号,一般,*,*,*,*,*
来年2月	名詞,固有名詞,一般,*,*,*,来年2月,ライネンニガツ,ライネンニガツ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
固有値	名詞,一般,*,*,*,*,固有値,コユウチ,コユーチ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
固有ベクトル	名詞,一般,*,*,*,*,固有ベクトル,コユウベクトル,コユーベクトル
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
「	記号,括弧開,*,*,*,*,「,「,「
線形	名詞,一般,*,*,*,*,線形,センケイ,センケイ
数学	名詞,一般,*,*,*,*,数学,スウガク,スーガク
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
進み	動詞,自立,*,*,五段・マ行,連用形,進む,ススミ,ススミ
具合	名詞,一般,*,*,*,*,具合,グアイ,グアイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
程度	名詞,一般,*,*,*,*,程度,テイド,テイド
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
適宜	名詞,副詞可能,*,*,*,*,適宜,テキギ,テキギ
調整	名詞,サ変接続,*,*,*,*,調整,チョウセイ,チョーセイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
