ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
コミュニケーション能力	名詞,固有名詞,一般,*,*,*,コミュニケーション能力,コミュニケーションノウリョク,コミュニケーションノーリョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
養う	動詞,自立,*,*,五段・ワ行促音便,基本形,養う,ヤシナウ,ヤシナウ
。	記号,句点,*,*,*,*,。,。,。
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
、	記号,読点,*,*,*,*,、,、,、
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解力	名詞,固有名詞,一般,*,*,*,理解力,リカイリョク,リカイリョク
ならび	名詞,一般,*,*,*,*,並び,ナラビ,ナラビ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
口頭	名詞,一般,*,*,*,*,口頭,コウトウ,コートー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
意見	名詞,サ変接続,*,*,*,*,意見,イケン,イケン
交換	名詞,サ変接続,*,*,*,*,交換,コウカン,コーカン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
能力	名詞,一般,*,*,*,*,能力,ノウリョク,ノーリョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
養う	動詞,自立,*,*,五段・ワ行促音便,基本形,養う,ヤシナウ,ヤシナウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
この	連体詞,*,*,*,*,*,この,コノ,コノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
平易な	名詞,固有名詞,一般,*,*,*,平易な,ヘイイナ,ヘイーナ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ビデオ	名詞,一般,*,*,*,*,ビデオ,ビデオ,ビデオ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見る	動詞,自立,*,*,一段,基本形,見る,ミル,ミル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
、	記号,読点,*,*,*,*,、,、,、
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
聞き取り	動詞,自立,*,*,五段・ラ行,連用形,聞き取る,キキトリ,キキトリ
、	記号,読点,*,*,*,*,、,、,、
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
能力	名詞,一般,*,*,*,*,能力,ノウリョク,ノーリョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
養う	動詞,自立,*,*,五段・ワ行促音便,基本形,養う,ヤシナウ,ヤシナウ
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
下記	名詞,一般,*,*,*,*,下記,カキ,カキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用いる	動詞,自立,*,*,一段,基本形,用いる,モチイル,モチイル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
映像	名詞,一般,*,*,*,*,映像,エイゾウ,エイゾー
・	記号,一般,*,*,*,*,・,・,・
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
視聴	名詞,サ変接続,*,*,*,*,視聴,シチョウ,シチョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
練習問題	名詞,固有名詞,一般,*,*,*,練習問題,レンシュウモンダイ,レンシューモンダイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解く	動詞,自立,*,*,五段・カ行イ音便,基本形,解く,トク,トク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
、	記号,読点,*,*,*,*,、,、,、
リスニング	名詞,一般,*,*,*,*,リスニング,リスニング,リスニング
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
向上	名詞,サ変接続,*,*,*,*,向上,コウジョウ,コージョー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
関連	名詞,サ変接続,*,*,*,*,関連,カンレン,カンレン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
語句	名詞,一般,*,*,*,*,語句,ゴク,ゴク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
拡充	名詞,サ変接続,*,*,*,*,拡充,カクジュウ,カクジュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
図る	動詞,自立,*,*,五段・ラ行,基本形,図る,ハカル,ハカル
。	記号,句点,*,*,*,*,。,。,。
1回	名詞,固有名詞,一般,*,*,*,1回,イッカイ,イッカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
当たり	名詞,一般,*,*,*,*,当たり,アタリ,アタリ
1	名詞,数,*,*,*,*,*
ユニット	名詞,一般,*,*,*,*,ユニット,ユニット,ユニット
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ペース	名詞,一般,*,*,*,*,ペース,ペース,ペース
で	助詞,格助詞,一般,*,*,*,で,デ,デ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
学期	名詞,一般,*,*,*,*,学期,ガッキ,ガッキ
末	名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
期末試験	名詞,固有名詞,一般,*,*,*,期末試験,キマツシケン,キマツシケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
『	記号,括弧開,*,*,*,*,『,『,『
AFP	名詞,固有名詞,一般,*,*,*,AFP,エーエフピー,エーエフピー
World	名詞,固有名詞,人名,一般,*,*,WORLD,ワールド,ワールド
News	名詞,固有名詞,人名,一般,*,*,NEWS,ニュース,ニュース
Report	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
Makoto	名詞,固有名詞,人名,一般,*,*,MAKOTO,マコト,マコト
Shishido	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
Kevin	名詞,固有名詞,人名,一般,*,*,KEVIN,ケヴィン,ケヴィン
Murphy	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
Mariko	名詞,固有名詞,一般,*,*,*,Mariko,マリコ,マリコ
Takahashi	名詞,一般,*,*,*,*,*
成美	名詞,固有名詞,地域,一般,*,*,成美,セイビ,セイビ
堂	名詞,接尾,一般,*,*,*,堂,ドウ,ドー
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
平常点	名詞,固有名詞,一般,*,*,*,平常点,ヘイジョウテン,ヘイジョーテン
（	記号,括弧開,*,*,*,*,（,（,（
予習	名詞,サ変接続,*,*,*,*,予習,ヨシュウ,ヨシュー
等	名詞,接尾,一般,*,*,*,等,トウ,トー
、	記号,読点,*,*,*,*,、,、,、
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
臨む	動詞,自立,*,*,五段・マ行,基本形,臨む,ノゾム,ノゾム
姿勢	名詞,一般,*,*,*,*,姿勢,シセイ,シセイ
）	記号,括弧閉,*,*,*,*,）,）,）
20	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
期末試験	名詞,固有名詞,一般,*,*,*,期末試験,キマツシケン,キマツシケン
80	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
日数	名詞,一般,*,*,*,*,日数,ニッスウ,ニッスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
1	名詞,数,*,*,*,*,*
/	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
欠席	名詞,サ変接続,*,*,*,*,欠席,ケッセキ,ケッセキ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
期末試験	名詞,固有名詞,一般,*,*,*,期末試験,キマツシケン,キマツシケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
受験資格	名詞,固有名詞,一般,*,*,*,受験資格,ジュケンシカク,ジュケンシカク
なし	形容詞,自立,*,*,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
単位	名詞,一般,*,*,*,*,単位,タンイ,タンイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
与え	動詞,自立,*,*,一段,未然形,与える,アタエ,アタエ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
Lesson 1	名詞,固有名詞,一般,*,*,*,Lesson 1,レッスンワン,レッスンワン
Donate	名詞,一般,*,*,*,*,*
what	名詞,一般,*,*,*,*,*
you	名詞,固有名詞,人名,一般,*,*,YOU,ユウ,ユー
don	名詞,固有名詞,組織,*,*,*,*
'	記号,一般,*,*,*,*,*
t	名詞,固有名詞,組織,*,*,*,*
us	名詞,固有名詞,人名,一般,*,*,us,アス,アス
e2	名詞,固有名詞,一般,*,*,*,E2,イーツー,イーツー
Lesson	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
Avoid	名詞,固有名詞,一般,*,*,*,Avoid,アヴォイド,アヴォイド
throwing	名詞,一般,*,*,*,*,*
away	名詞,固有名詞,一般,*,*,*,AWAY,アウェイ,アウェイ
foo	名詞,固有名詞,人名,一般,*,*,FOO,フウ,フー
d3	名詞,固有名詞,一般,*,*,*,D3,ディースリー,ディースリー
Lesson	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
Vaccinate	名詞,一般,*,*,*,*,*
your	名詞,一般,*,*,*,*,*
family	名詞,固有名詞,人名,一般,*,*,Family,ファミリー,ファミリー
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
protect	名詞,一般,*,*,*,*,*
them	名詞,固有名詞,人名,一般,*,*,THEM,ゼム,ゼム
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
improve	名詞,固有名詞,人名,一般,*,*,Improve,インプルーブ,インプルーブ
public	名詞,固有名詞,組織,*,*,*,*
health	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
Help	名詞,一般,*,*,*,*,*
children	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
your	名詞,一般,*,*,*,*,*
community	名詞,固有名詞,一般,*,*,*,COMMUNITY,コミュニティ,コミュニティ
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
read	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
Call	名詞,固有名詞,組織,*,*,*,*
out	名詞,固有名詞,一般,*,*,*,out,アウト,アウト
sexist	名詞,一般,*,*,*,*,*
language	名詞,固有名詞,人名,一般,*,*,Language,ランゲージ,ランゲージ
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
behavior	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
Avoid	名詞,固有名詞,一般,*,*,*,Avoid,アヴォイド,アヴォイド
wasting	名詞,一般,*,*,*,*,*
water	名詞,固有名詞,人名,一般,*,*,Water,ウォーター,ウォーター
7	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
Use	名詞,一般,*,*,*,*,*
only	名詞,固有名詞,組織,*,*,*,オンリー,オンリー,オンリー
energy	名詞,一般,*,*,*,*,*
efficient	名詞,一般,*,*,*,*,*
appliances	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
light	名詞,固有名詞,人名,一般,*,*,light,ライト,ライト
bulbs	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
Buy	名詞,一般,*,*,*,*,*
from	名詞,一般,*,*,*,*,*
green	名詞,固有名詞,一般,*,*,*,green,グリーン,グリーン
companies	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
Think	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
innovative	名詞,一般,*,*,*,*,*
new	名詞,一般,*,*,*,*,*
ways	名詞,一般,*,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
repurpose	名詞,一般,*,*,*,*,*
old	名詞,一般,*,*,*,*,*
material	名詞,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
Lesson 1	名詞,固有名詞,一般,*,*,*,Lesson 1,レッスンワン,レッスンワン
0	名詞,数,*,*,*,*,*
Raise	名詞,一般,*,*,*,*,*
your	名詞,一般,*,*,*,*,*
voice	名詞,固有名詞,人名,一般,*,*,THE VOICE,ヴォイス,ヴォイス
against	名詞,固有名詞,一般,*,*,*,AGAINST,アゲインスト,アゲインスト
discrimination	名詞,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
Lesson 1	名詞,固有名詞,一般,*,*,*,Lesson 1,レッスンワン,レッスンワン
1	名詞,数,*,*,*,*,*
Bike	名詞,固有名詞,人名,一般,*,*,THE BIKE,バイク,バイク
,	記号,一般,*,*,*,*,*
walk	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
or	名詞,固有名詞,組織,*,*,*,*
use	名詞,一般,*,*,*,*,*
public	名詞,一般,*,*,*,*,*
transportation	名詞,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
Lesson 1	名詞,固有名詞,一般,*,*,*,Lesson 1,レッスンワン,レッスンワン
2	名詞,数,*,*,*,*,*
Recycle	名詞,一般,*,*,*,*,*
paper	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
plastic	名詞,固有名詞,人名,一般,*,*,PLASTIC,プラスティック,プラスティック
,	記号,一般,*,*,*,*,*
glass	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
and a	名詞,固有名詞,一般,*,*,*,And A,アンドエー,アンドエー
luminum	名詞,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
Lesson 1	名詞,固有名詞,一般,*,*,*,Lesson 1,レッスンワン,レッスンワン
3	名詞,数,*,*,*,*,*
Educate	名詞,一般,*,*,*,*,*
young	名詞,一般,*,*,*,*,*
people	名詞,固有名詞,人名,一般,*,*,PEOPLE,ピープル,ピープル
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
climate	名詞,固有名詞,組織,*,*,*,*
change	名詞,一般,*,*,*,*,*
14	名詞,数,*,*,*,*,*
Lesson 1	名詞,固有名詞,一般,*,*,*,Lesson 1,レッスンワン,レッスンワン
4	名詞,数,*,*,*,*,*
Avoid	名詞,固有名詞,一般,*,*,*,Avoid,アヴォイド,アヴォイド
plastic	名詞,固有名詞,人名,一般,*,*,PLASTIC,プラスティック,プラスティック
bags	名詞,固有名詞,組織,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
keep	名詞,固有名詞,一般,*,*,*,keep,キープ,キープ
the oc	名詞,固有名詞,一般,*,*,*,The OC,ジオーシー,ジオーシー
ean	名詞,固有名詞,一般,*,*,*,EAN,イアン,イアン
safe	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
clean	名詞,固有名詞,一般,*,*,*,CLEAN,クリーン,クリーン
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
Lesson 1	名詞,固有名詞,一般,*,*,*,Lesson 1,レッスンワン,レッスンワン
Donate	名詞,一般,*,*,*,*,*
what	名詞,一般,*,*,*,*,*
you	名詞,固有名詞,人名,一般,*,*,YOU,ユウ,ユー
don	名詞,固有名詞,組織,*,*,*,*
'	記号,一般,*,*,*,*,*
t	名詞,固有名詞,組織,*,*,*,*
use	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
Avoid	名詞,固有名詞,一般,*,*,*,Avoid,アヴォイド,アヴォイド
throwing	名詞,一般,*,*,*,*,*
away	名詞,固有名詞,一般,*,*,*,AWAY,アウェイ,アウェイ
food	名詞,固有名詞,一般,*,*,*,food,ゴハン,ゴハン
3	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
Vaccinate	名詞,一般,*,*,*,*,*
your	名詞,一般,*,*,*,*,*
family	名詞,固有名詞,人名,一般,*,*,Family,ファミリー,ファミリー
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
protect	名詞,一般,*,*,*,*,*
them	名詞,固有名詞,人名,一般,*,*,THEM,ゼム,ゼム
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
improve	名詞,固有名詞,人名,一般,*,*,Improve,インプルーブ,インプルーブ
public	名詞,固有名詞,組織,*,*,*,*
health	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
Help	名詞,一般,*,*,*,*,*
children	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
your	名詞,一般,*,*,*,*,*
community	名詞,固有名詞,一般,*,*,*,COMMUNITY,コミュニティ,コミュニティ
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
read	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
Call	名詞,固有名詞,組織,*,*,*,*
out	名詞,固有名詞,一般,*,*,*,out,アウト,アウト
sexist	名詞,一般,*,*,*,*,*
language	名詞,固有名詞,人名,一般,*,*,Language,ランゲージ,ランゲージ
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
behavior	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
Avoid	名詞,固有名詞,一般,*,*,*,Avoid,アヴォイド,アヴォイド
wasting	名詞,一般,*,*,*,*,*
water	名詞,固有名詞,人名,一般,*,*,Water,ウォーター,ウォーター
7	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
Use	名詞,一般,*,*,*,*,*
only	名詞,固有名詞,組織,*,*,*,オンリー,オンリー,オンリー
energy	名詞,一般,*,*,*,*,*
efficient	名詞,一般,*,*,*,*,*
appliances	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
light	名詞,固有名詞,人名,一般,*,*,light,ライト,ライト
bulbs	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
Buy	名詞,一般,*,*,*,*,*
from	名詞,一般,*,*,*,*,*
green	名詞,固有名詞,一般,*,*,*,green,グリーン,グリーン
companies	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
Lesson	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
Think	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
innovative	名詞,一般,*,*,*,*,*
new	名詞,一般,*,*,*,*,*
ways	名詞,一般,*,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
repurpose	名詞,一般,*,*,*,*,*
old	名詞,一般,*,*,*,*,*
material	名詞,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
Lesson 1	名詞,固有名詞,一般,*,*,*,Lesson 1,レッスンワン,レッスンワン
0	名詞,数,*,*,*,*,*
