ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
固体	名詞,一般,*,*,*,*,固体,コタイ,コタイ
地球物理学	名詞,固有名詞,一般,*,*,*,地球物理学,チキュウブツリガク,チキューブツリガク
関連	名詞,サ変接続,*,*,*,*,関連,カンレン,カンレン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
英文	名詞,一般,*,*,*,*,英文,エイブン,エイブン
文献	名詞,一般,*,*,*,*,文献,ブンケン,ブンケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
講読	名詞,サ変接続,*,*,*,*,講読,コウドク,コードク
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
，	記号,読点,*,*,*,*,，,，,，
英文	名詞,一般,*,*,*,*,英文,エイブン,エイブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
専門	名詞,一般,*,*,*,*,専門,センモン,センモン
書	名詞,接尾,一般,*,*,*,書,ショ,ショ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
論文	名詞,一般,*,*,*,*,論文,ロンブン,ロンブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
読解	名詞,サ変接続,*,*,*,*,読解,ドッカイ,ドッカイ
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
養う	動詞,自立,*,*,五段・ワ行促音便,基本形,養う,ヤシナウ,ヤシナウ
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
，	記号,読点,*,*,*,*,，,，,，
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
固体	名詞,一般,*,*,*,*,固体,コタイ,コタイ
地球物理学	名詞,固有名詞,一般,*,*,*,地球物理学,チキュウブツリガク,チキューブツリガク
関連	名詞,サ変接続,*,*,*,*,関連,カンレン,カンレン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
英文	名詞,一般,*,*,*,*,英文,エイブン,エイブン
文献	名詞,一般,*,*,*,*,文献,ブンケン,ブンケン
（	記号,括弧開,*,*,*,*,（,（,（
下記	名詞,一般,*,*,*,*,下記,カキ,カキ
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
Chapter	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Seismology	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
Measuring	名詞,固有名詞,組織,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Interior	名詞,一般,*,*,*,*,*
-	記号,一般,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
教材	名詞,一般,*,*,*,*,教材,キョウザイ,キョーザイ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
，	記号,読点,*,*,*,*,，,，,，
地震学	名詞,固有名詞,一般,*,*,*,地震学,ジシンガク,ジシンガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含む	動詞,自立,*,*,五段・マ行,基本形,含む,フクム,フクム
固体	名詞,一般,*,*,*,*,固体,コタイ,コタイ
地球物理学	名詞,固有名詞,一般,*,*,*,地球物理学,チキュウブツリガク,チキューブツリガク
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
深める	動詞,自立,*,*,一段,基本形,深める,フカメル,フカメル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
Solid	名詞,固有名詞,組織,*,*,*,*
Earth	名詞,固有名詞,一般,*,*,*,Earth,アース,アース
-	記号,一般,*,*,*,*,*
An	名詞,固有名詞,組織,*,*,*,*
Introduction	名詞,一般,*,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
Global	名詞,一般,*,*,*,*,*
Geophysics	名詞,一般,*,*,*,*,*
-	記号,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2nd	名詞,固有名詞,一般,*,*,*,2nd,セカンド,セカンド
.	記号,一般,*,*,*,*,*
edition	名詞,固有名詞,一般,*,*,*,Edition,エディション,エディション
),	記号,一般,*,*,*,*,*
C	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
M	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
R	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
Fowler	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
Cambridge	名詞,固有名詞,組織,*,*,*,*
Univ	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Press	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
,	記号,一般,*,*,*,*,*
180	名詞,数,*,*,*,*,*
yen	名詞,固有名詞,一般,*,*,*,yen,エン,エン
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
地震学	名詞,固有名詞,一般,*,*,*,地震学,ジシンガク,ジシンガク
（	記号,括弧開,*,*,*,*,（,（,（
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
３	名詞,数,*,*,*,*,３,サン,サン
版	名詞,接尾,助数詞,*,*,*,版,ハン,ハン
）	記号,括弧閉,*,*,*,*,）,）,）
，	記号,読点,*,*,*,*,，,，,，
宇津徳治	名詞,固有名詞,人名,一般,*,*,宇津徳治,ウツトクジ,ウツトクジ
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
，	記号,読点,*,*,*,*,，,，,，
共立出版	名詞,固有名詞,一般,*,*,*,共立出版,キョウリツシュッパン,キョーリツシュッパン
，	記号,読点,*,*,*,*,，,，,，
5	名詞,数,*,*,*,*,*
,	記号,一般,*,*,*,*,*
000	名詞,数,*,*,*,*,*
円	名詞,接尾,助数詞,*,*,*,円,エン,エン
＋	記号,一般,*,*,*,*,＋,タス,タス
税	名詞,一般,*,*,*,*,税,ゼイ,ゼイ
地震学	名詞,固有名詞,一般,*,*,*,地震学,ジシンガク,ジシンガク
（	記号,括弧開,*,*,*,*,（,（,（
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
地球科学	名詞,固有名詞,一般,*,*,*,地球科学,チキュウカガク,チキューカガク
入門	名詞,サ変接続,*,*,*,*,入門,ニュウモン,ニューモン
シリーズ６	名詞,固有名詞,一般,*,*,*,シリーズ6,シリーズシックス,シリーズシックス
）	記号,括弧閉,*,*,*,*,）,）,）
，	記号,読点,*,*,*,*,，,，,，
長谷川昭	名詞,固有名詞,人名,一般,*,*,長谷川昭,ハセガワアキラ,ハセガワアキラ
・	記号,一般,*,*,*,*,・,・,・
佐藤春夫	名詞,固有名詞,人名,一般,*,*,佐藤春夫,サトウハルオ,サトーハルオ
・	記号,一般,*,*,*,*,・,・,・
西村	名詞,固有名詞,人名,姓,*,*,西村,ニシムラ,ニシムラ
太志	名詞,固有名詞,人名,名,*,*,太志,タイシ,タイシ
共著	名詞,一般,*,*,*,*,共著,キョウチョ,キョーチョ
，	記号,読点,*,*,*,*,，,，,，
共立出版	名詞,固有名詞,一般,*,*,*,共立出版,キョウリツシュッパン,キョーリツシュッパン
，	記号,読点,*,*,*,*,，,，,，
5	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
600円	名詞,固有名詞,一般,*,*,*,600円,ロッピャクエン,ロッピャクエン
＋	記号,一般,*,*,*,*,＋,タス,タス
税	名詞,一般,*,*,*,*,税,ゼイ,ゼイ
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
平常点	名詞,固有名詞,一般,*,*,*,平常点,ヘイジョウテン,ヘイジョーテン
（	記号,括弧開,*,*,*,*,（,（,（
30	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
理解度	名詞,固有名詞,一般,*,*,*,理解度,リカイド,リカイド
（	記号,括弧開,*,*,*,*,（,（,（
70	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
Waves	名詞,固有名詞,人名,一般,*,*,Waves,ウェーブス,ウェーブス
Through	名詞,固有名詞,組織,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Introduction	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
Body	名詞,固有名詞,人名,一般,*,*,BODY,ボディ,ボディ
Wave	名詞,固有名詞,人名,一般,*,*,WAVE,ウェイブ,ウェイブ
s2	名詞,固有名詞,一般,*,*,*,S2,エスツー,エスツー
Waves	名詞,固有名詞,人名,一般,*,*,Waves,ウェーブス,ウェーブス
Through	名詞,固有名詞,組織,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Surface	名詞,固有名詞,人名,一般,*,*,SURFACE,サーフィス,サーフィス
Waves	名詞,固有名詞,人名,一般,*,*,Waves,ウェーブス,ウェーブス
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
3W	名詞,固有名詞,一般,*,*,*,3W,サンワット,サンワット
aves	名詞,一般,*,*,*,*,*
Through	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Surface	名詞,固有名詞,人名,一般,*,*,SURFACE,サーフィス,サーフィス
Waves	名詞,固有名詞,人名,一般,*,*,Waves,ウェーブス,ウェーブス
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
4W	名詞,固有名詞,一般,*,*,*,4W,ヨンワット,ヨンワット
aves	名詞,一般,*,*,*,*,*
Through	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Free	名詞,固有名詞,組織,*,*,*,*
Oscillations	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,一般,*,*,*,Earth,アース,アース
5	名詞,数,*,*,*,*,*
Earthquake	名詞,一般,*,*,*,*,*
Seismology	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Location	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
Earthquakes	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
Earthquake	名詞,一般,*,*,*,*,*
Seismology	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Aftershocks	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
Foreshocks	名詞,固有名詞,組織,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
Swarms	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
Earthquake	名詞,固有名詞,組織,*,*,*,*
Magnitude	名詞,固有名詞,一般,*,*,*,Magnitude,マグニテュード,マグニテュード
7	名詞,数,*,*,*,*,*
Earthquake	名詞,一般,*,*,*,*,*
Seismology	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Seismic	名詞,固有名詞,組織,*,*,*,*
Moment	名詞,固有名詞,一般,*,*,*,Moment,モーメント,モーメント
,	記号,一般,*,*,*,*,*
Magnitude	名詞,固有名詞,一般,*,*,*,Magnitude,マグニテュード,マグニテュード
-	記号,一般,*,*,*,*,*
Frequency	名詞,固有名詞,組織,*,*,*,*
Relation	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
Earthquake	名詞,一般,*,*,*,*,*
Seismology	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Energy	名詞,固有名詞,組織,*,*,*,*
Released	名詞,一般,*,*,*,*,*
by	名詞,固有名詞,一般,*,*,*,BY,ビーワイ,ビーワイ
Earthquakes	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
Observation	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
Earthquakes	名詞,一般,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Seismic	名詞,固有名詞,組織,*,*,*,*
Phases	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
Earthquake	名詞,一般,*,*,*,*,*
Seismology	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Earthquake	名詞,固有名詞,組織,*,*,*,*
Fault	名詞,一般,*,*,*,*,*
-	記号,一般,*,*,*,*,*
Plane	名詞,固有名詞,組織,*,*,*,*
Solutions	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
Earthquake	名詞,一般,*,*,*,*,*
Seismology	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Earthquake	名詞,固有名詞,組織,*,*,*,*
Fault	名詞,一般,*,*,*,*,*
-	記号,一般,*,*,*,*,*
Plane	名詞,固有名詞,組織,*,*,*,*
Solutions	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
Interior	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Seismic	名詞,固有名詞,組織,*,*,*,*
Velocities	名詞,一般,*,*,*,*,*
for	名詞,固有名詞,一般,*,*,*,for,フォー,フォー
the	名詞,一般,*,*,*,*,the,ザ,ザ
Whole	名詞,一般,*,*,*,*,*
Earth	名詞,固有名詞,一般,*,*,*,Earth,アース,アース
12	名詞,数,*,*,*,*,*
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
Interior	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Density	名詞,固有名詞,組織,*,*,*,*
and	名詞,固有名詞,一般,*,*,*,AND,アンド,アンド
Elastic	名詞,固有名詞,一般,*,*,*,Elastic,エラスティック,エラスティック
Moduli	名詞,一般,*,*,*,*,*
for	名詞,固有名詞,一般,*,*,*,for,フォー,フォー
the	名詞,一般,*,*,*,*,the,ザ,ザ
Whole	名詞,一般,*,*,*,*,*
Eart	名詞,固有名詞,人名,一般,*,*,EART,アート,アート
h13	名詞,固有名詞,一般,*,*,*,H13,エイチジュウサン,エイチジュウサン
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
Interior	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Attenuation	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
Seismic	名詞,一般,*,*,*,*,*
Waves	名詞,固有名詞,人名,一般,*,*,Waves,ウェーブス,ウェーブス
,	記号,一般,*,*,*,*,*
Seismic	名詞,固有名詞,組織,*,*,*,*
Tomography	名詞,一般,*,*,*,*,*
14	名詞,数,*,*,*,*,*
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
Interior	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Composition	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Eart	名詞,固有名詞,人名,一般,*,*,EART,アート,アート
h15	名詞,固有名詞,一般,*,*,*,H15,エイチジュウゴネン,エイチジュウゴネン
ディスカッション	名詞,サ変接続,*,*,*,*,ディスカッション,ディスカッション,ディスカッション
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
Waves	名詞,固有名詞,人名,一般,*,*,Waves,ウェーブス,ウェーブス
Through	名詞,固有名詞,組織,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Introduction	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
Body	名詞,固有名詞,人名,一般,*,*,BODY,ボディ,ボディ
Waves	名詞,固有名詞,人名,一般,*,*,Waves,ウェーブス,ウェーブス
2	名詞,数,*,*,*,*,*
Waves	名詞,固有名詞,一般,*,*,*,Waves,ウェーブス,ウェーブス
Through	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Surface	名詞,固有名詞,人名,一般,*,*,SURFACE,サーフィス,サーフィス
Waves	名詞,固有名詞,人名,一般,*,*,Waves,ウェーブス,ウェーブス
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
Waves	名詞,固有名詞,一般,*,*,*,Waves,ウェーブス,ウェーブス
Through	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Surface	名詞,固有名詞,人名,一般,*,*,SURFACE,サーフィス,サーフィス
Waves	名詞,固有名詞,人名,一般,*,*,Waves,ウェーブス,ウェーブス
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
Waves	名詞,固有名詞,一般,*,*,*,Waves,ウェーブス,ウェーブス
Through	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,人名,一般,*,*,EARTH,アース,アース
(	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Free	名詞,固有名詞,組織,*,*,*,*
Oscillations	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Earth	名詞,固有名詞,一般,*,*,*,Earth,アース,アース
5	名詞,数,*,*,*,*,*
Earthquake	名詞,一般,*,*,*,*,*
Seismology	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Location	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
Earthquakes	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
Earthquake	名詞,一般,*,*,*,*,*
Seismology	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
);	記号,一般,*,*,*,*,*
Aftershocks	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
Foreshocks	名詞,固有名詞,組織,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
Swarms	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
Earthquake	名詞,固有名詞,組織,*,*,*,*
Magnitude	名詞,固有名詞,一般,*,*,*,Magnitude,マグニテュード,マグニテュード
7	名詞,数,*,*,*,*,*
