ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
公式	名詞,形容動詞語幹,*,*,*,*,公式,コウシキ,コーシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
単に	副詞,一般,*,*,*,*,単に,タンニ,タンニ
覚える	動詞,自立,*,*,一段,基本形,覚える,オボエル,オボエル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
，	記号,読点,*,*,*,*,，,，,，
物理	名詞,一般,*,*,*,*,物理,ブツリ,ブツリ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目指す	動詞,自立,*,*,五段・サ行,基本形,目指す,メザス,メザス
．	記号,句点,*,*,*,*,．,．,．
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
質点	名詞,一般,*,*,*,*,質点,シツテン,シツテン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
，	記号,読点,*,*,*,*,，,，,，
座標	名詞,一般,*,*,*,*,座標,ザヒョウ,ザヒョー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
速度	名詞,一般,*,*,*,*,速度,ソクド,ソクド
，	記号,読点,*,*,*,*,，,，,，
力	名詞,一般,*,*,*,*,力,チカラ,チカラ
，	記号,読点,*,*,*,*,，,，,，
加速度	名詞,一般,*,*,*,*,加速度,カソクド,カソクド
と	助詞,並立助詞,*,*,*,*,と,ト,ト
運動方程式	名詞,固有名詞,一般,*,*,*,運動方程式,ウンドウホウテイシキ,ウンドーホーテイシキ
，	記号,読点,*,*,*,*,，,，,，
さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト
と	助詞,並立助詞,*,*,*,*,と,ト,ト
エネルギー	名詞,一般,*,*,*,*,エネルギー,エネルギー,エネルギー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
．	記号,句点,*,*,*,*,．,．,．
さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
剛体	名詞,一般,*,*,*,*,剛体,ゴウタイ,ゴータイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
慣性モーメント	名詞,固有名詞,一般,*,*,*,慣性モーメント,カンセイモーメント,カンセイモーメント
と	助詞,並立助詞,*,*,*,*,と,ト,ト
力のモーメント	名詞,固有名詞,一般,*,*,*,力のモーメント,チカラノモーメント,チカラノモーメント
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
も	助詞,係助詞,*,*,*,*,も,モ,モ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
事項	名詞,一般,*,*,*,*,事項,ジコウ,ジコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
静	名詞,固有名詞,地域,一般,*,*,静,シズ,シズ
電場	名詞,一般,*,*,*,*,電場,デンジョウ,デンジョー
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
静磁場	名詞,固有名詞,一般,*,*,*,静磁場,セイジバ,セイジバ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
後	名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ
，	記号,読点,*,*,*,*,，,，,，
電流	名詞,一般,*,*,*,*,電流,デンリュウ,デンリュー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
磁場	名詞,一般,*,*,*,*,磁場,ジバ,ジバ
，	記号,読点,*,*,*,*,，,，,，
電磁誘導	名詞,固有名詞,一般,*,*,*,電磁誘導,デンジユウドウ,デンジユウドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
．	記号,句点,*,*,*,*,．,．,．
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
ウェブ	名詞,固有名詞,一般,*,*,*,Web,ウェブ,ウェブ
クラス	名詞,一般,*,*,*,*,クラス,クラス,クラス
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
アップロード	名詞,固有名詞,一般,*,*,*,アップロード,アップロード,アップロード
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
予習	名詞,サ変接続,*,*,*,*,予習,ヨシュウ,ヨシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
おこなっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,おこなう,オコナッ,オコナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
前提	名詞,一般,*,*,*,*,前提,ゼンテイ,ゼンテイ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
進める	動詞,自立,*,*,一段,基本形,進める,ススメル,ススメル
．	記号,句点,*,*,*,*,．,．,．
物理	名詞,一般,*,*,*,*,物理,ブツリ,ブツリ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
問う	動詞,自立,*,*,五段・ワ行促音便,基本形,問う,トウ,トウ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
解答	名詞,サ変接続,*,*,*,*,解答,カイトウ,カイトー
，	記号,読点,*,*,*,*,，,，,，
グループ	名詞,一般,*,*,*,*,グループ,グループ,グループ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
討論	名詞,サ変接続,*,*,*,*,討論,トウロン,トーロン
，	記号,読点,*,*,*,*,，,，,，
再	接頭詞,名詞接続,*,*,*,*,再,サイ,サイ
解答	名詞,サ変接続,*,*,*,*,解答,カイトウ,カイトー
，	記号,読点,*,*,*,*,，,，,，
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
１セット	名詞,固有名詞,一般,*,*,*,1セット,イチセット,イチセット
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
，	記号,読点,*,*,*,*,，,，,，
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
項目	名詞,一般,*,*,*,*,項目,コウモク,コーモク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
数	名詞,数,*,*,*,*,数,スウ,スー
題	名詞,接尾,助数詞,*,*,*,題,ダイ,ダイ
ずつ	助詞,副助詞,*,*,*,*,ずつ,ズツ,ズツ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
形	名詞,一般,*,*,*,*,形,カタチ,カタチ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
進める	動詞,自立,*,*,一段,基本形,進める,ススメル,ススメル
．	記号,句点,*,*,*,*,．,．,．
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
討論	名詞,サ変接続,*,*,*,*,討論,トウロン,トーロン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
元	名詞,一般,*,*,*,*,元,モト,モト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
おこなう	動詞,自立,*,*,五段・ワ行促音便,基本形,おこなう,オコナウ,オコナウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
も	助詞,係助詞,*,*,*,*,も,モ,モ
求める	動詞,自立,*,*,一段,基本形,求める,モトメル,モトメル
．	記号,句点,*,*,*,*,．,．,．
テキストウェブクラス	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
アップロード	名詞,固有名詞,一般,*,*,*,アップロード,アップロード,アップロード
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
オリジナル	名詞,一般,*,*,*,*,オリジナル,オリジナル,オリジナル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用いる	動詞,自立,*,*,一段,基本形,用いる,モチイル,モチイル
．	記号,句点,*,*,*,*,．,．,．
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
使用	名詞,サ変接続,*,*,*,*,使用,シヨウ,シヨー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
物理	名詞,一般,*,*,*,*,物理,ブツリ,ブツリ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
物理	名詞,一般,*,*,*,*,物理,ブツリ,ブツリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
小出昭一郎	名詞,固有名詞,人名,一般,*,*,小出昭一郎,コイデショウイチロウ,コイデショウイチロー
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
（	記号,括弧開,*,*,*,*,（,（,（
裳華房	名詞,固有名詞,組織,*,*,*,裳華房,ショウカボウ,ショウカボー
）	記号,括弧閉,*,*,*,*,）,）,）
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
物理	名詞,一般,*,*,*,*,物理,ブツリ,ブツリ
１	名詞,数,*,*,*,*,１,イチ,イチ
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
・	記号,一般,*,*,*,*,・,・,・
力	名詞,固有名詞,人名,名,*,*,力,ツトム,ツトム
・	記号,一般,*,*,*,*,・,・,・
エネルギー	名詞,一般,*,*,*,*,エネルギー,エネルギー,エネルギー
金原	名詞,固有名詞,人名,姓,*,*,金原,キンバラ,キンバラ
粲	名詞,固有名詞,人名,名,*,*,粲,ツバラ,ツバラ
：	記号,一般,*,*,*,*,：,：,：
編著	名詞,一般,*,*,*,*,編著,ヘンチョ,ヘンチョ
（	記号,括弧開,*,*,*,*,（,（,（
実教出版	名詞,固有名詞,組織,*,*,*,実教出版,ジツキョウシュッパン,ジツキョーシュッパン
）	記号,括弧閉,*,*,*,*,）,）,）
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
物理	名詞,一般,*,*,*,*,物理,ブツリ,ブツリ
２	名詞,数,*,*,*,*,２,ニ,ニ
電磁気	名詞,一般,*,*,*,*,電磁気,デンジキ,デンジキ
・	記号,一般,*,*,*,*,・,・,・
波動	名詞,一般,*,*,*,*,波動,ハドウ,ハドー
・	記号,一般,*,*,*,*,・,・,・
熱	名詞,一般,*,*,*,*,熱,ネツ,ネツ
金原	名詞,固有名詞,人名,姓,*,*,金原,キンバラ,キンバラ
粲	名詞,固有名詞,人名,名,*,*,粲,ツバラ,ツバラ
：	記号,一般,*,*,*,*,：,：,：
編著	名詞,一般,*,*,*,*,編著,ヘンチョ,ヘンチョ
（	記号,括弧開,*,*,*,*,（,（,（
実教出版	名詞,固有名詞,組織,*,*,*,実教出版,ジツキョウシュッパン,ジツキョーシュッパン
）	記号,括弧閉,*,*,*,*,）,）,）
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
様々	名詞,形容動詞語幹,*,*,*,*,様々,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
市販	名詞,サ変接続,*,*,*,*,市販,シハン,シハン
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
．	記号,句点,*,*,*,*,．,．,．
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
Web	名詞,固有名詞,一般,*,*,*,Web,ウェブ,ウェブ
Class	名詞,固有名詞,一般,*,*,*,Class,クラス,クラス
で	助詞,格助詞,一般,*,*,*,で,デ,デ
出題	名詞,サ変接続,*,*,*,*,出題,シュツダイ,シュツダイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
演習問題	名詞,固有名詞,一般,*,*,*,演習問題,エンシュウモンダイ,エンシューモンダイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
度	名詞,接尾,一般,*,*,*,度,ド,ド
，	記号,読点,*,*,*,*,，,，,，
中間テスト	名詞,固有名詞,一般,*,*,*,中間テスト,チュウカンテスト,チューカンテスト
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
期末テスト	名詞,固有名詞,一般,*,*,*,期末テスト,キマツテスト,キマツテスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
項目	名詞,一般,*,*,*,*,項目,コウモク,コーモク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
割合	名詞,一般,*,*,*,*,割合,ワリアイ,ワリアイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
演習問題	名詞,固有名詞,一般,*,*,*,演習問題,エンシュウモンダイ,エンシューモンダイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
度	名詞,接尾,一般,*,*,*,度,ド,ド
40	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
，	記号,読点,*,*,*,*,，,，,，
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
60%	名詞,固有名詞,一般,*,*,*,60%,ロクジュウパーセント,ロクジュウパーセント
（	記号,括弧開,*,*,*,*,（,（,（
概数	名詞,一般,*,*,*,*,概数,ガイスウ,ガイスー
）	記号,括弧閉,*,*,*,*,）,）,）
．	記号,句点,*,*,*,*,．,．,．
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
60%	名詞,固有名詞,一般,*,*,*,60%,ロクジュウパーセント,ロクジュウパーセント
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
合格	名詞,サ変接続,*,*,*,*,合格,ゴウカク,ゴーカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基準	名詞,一般,*,*,*,*,基準,キジュン,キジュン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
，	記号,読点,*,*,*,*,，,，,，
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
，	記号,読点,*,*,*,*,，,，,，
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
数学	名詞,一般,*,*,*,*,数学,スウガク,スーガク
2	名詞,数,*,*,*,*,*
物体	名詞,一般,*,*,*,*,物体,ブッタイ,ブッタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
，	記号,読点,*,*,*,*,，,，,，
変位	名詞,サ変接続,*,*,*,*,変位,ヘンイ,ヘンイ
，	記号,読点,*,*,*,*,，,，,，
速度	名詞,一般,*,*,*,*,速度,ソクド,ソクド
，	記号,読点,*,*,*,*,，,，,，
加速度	名詞,一般,*,*,*,*,加速度,カソクド,カソクド
3	名詞,数,*,*,*,*,*
質量	名詞,一般,*,*,*,*,質量,シツリョウ,シツリョー
，	記号,読点,*,*,*,*,，,，,，
力	名詞,一般,*,*,*,*,力,チカラ,チカラ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ニュートン	名詞,一般,*,*,*,*,ニュートン,ニュートン,ニュートン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
法則	名詞,一般,*,*,*,*,法則,ホウソク,ホーソク
，	記号,読点,*,*,*,*,，,，,，
慣性	名詞,一般,*,*,*,*,慣性,カンセイ,カンセイ
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
4	名詞,数,*,*,*,*,*
作用	名詞,サ変接続,*,*,*,*,作用,サヨウ,サヨー
・	記号,一般,*,*,*,*,・,・,・
反作用	名詞,サ変接続,*,*,*,*,反作用,ハンサヨウ,ハンサヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
法則	名詞,一般,*,*,*,*,法則,ホウソク,ホーソク
，	記号,読点,*,*,*,*,，,，,，
力積	名詞,固有名詞,一般,*,*,*,力積,リキセキ,リキセキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
運動量	名詞,固有名詞,一般,*,*,*,運動量,ウンドウリョウ,ウンドーリョー
，	記号,読点,*,*,*,*,，,，,，
運動量	名詞,固有名詞,一般,*,*,*,運動量,ウンドウリョウ,ウンドーリョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
保存	名詞,サ変接続,*,*,*,*,保存,ホゾン,ホゾン
5	名詞,数,*,*,*,*,*
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト
と	助詞,並立助詞,*,*,*,*,と,ト,ト
エネルギー	名詞,一般,*,*,*,*,エネルギー,エネルギー,エネルギー
，	記号,読点,*,*,*,*,，,，,，
