ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
2年	名詞,固有名詞,一般,*,*,*,2年,ニネン,ニネン
次	名詞,接尾,一般,*,*,*,次,ジ,ジ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
関連	名詞,サ変接続,*,*,*,*,関連,カンレン,カンレン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
発展	名詞,サ変接続,*,*,*,*,発展,ハッテン,ハッテン
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
，	記号,読点,*,*,*,*,，,，,，
卒業研究	名詞,固有名詞,一般,*,*,*,卒業研究,ソツギョウケンキュウ,ソツギョーケンキュー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
専門	名詞,一般,*,*,*,*,専門,センモン,センモン
分野	名詞,一般,*,*,*,*,分野,ブンヤ,ブンヤ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
研究	名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ゼミ	名詞,一般,*,*,*,*,ゼミ,ゼミ,ゼミ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
．	記号,句点,*,*,*,*,．,．,．
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
教室	名詞,一般,*,*,*,*,教室,キョウシツ,キョーシツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
，	記号,読点,*,*,*,*,，,，,，
専門	名詞,一般,*,*,*,*,専門,センモン,センモン
分野	名詞,一般,*,*,*,*,分野,ブンヤ,ブンヤ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ゼミ	名詞,一般,*,*,*,*,ゼミ,ゼミ,ゼミ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
．	記号,句点,*,*,*,*,．,．,．
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
小出昭一郎	名詞,固有名詞,人名,一般,*,*,小出昭一郎,コイデショウイチロウ,コイデショウイチロー
「	記号,括弧開,*,*,*,*,「,「,「
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
I	名詞,一般,*,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
（	記号,括弧開,*,*,*,*,（,（,（
裳華房	名詞,固有名詞,組織,*,*,*,裳華房,ショウカボウ,ショウカボー
）	記号,括弧閉,*,*,*,*,）,）,）
，	記号,読点,*,*,*,*,，,，,，
砂川重信	名詞,固有名詞,人名,一般,*,*,砂川重信,スナカワシゲノブ,スナカワシゲノブ
「	記号,括弧開,*,*,*,*,「,「,「
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
」	記号,括弧閉,*,*,*,*,」,」,」
（	記号,括弧開,*,*,*,*,（,（,（
紀伊国屋書店	名詞,固有名詞,一般,*,*,*,紀伊国屋書店,キノクニヤショテン,キノクニヤショテン
）	記号,括弧閉,*,*,*,*,）,）,）
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
適宜	名詞,副詞可能,*,*,*,*,適宜,テキギ,テキギ
指示	名詞,サ変接続,*,*,*,*,指示,シジ,シジ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
・	記号,一般,*,*,*,*,・,・,・
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
・	記号,一般,*,*,*,*,・,・,・
実験	名詞,サ変接続,*,*,*,*,実験,ジッケン,ジッケン
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
取り組み	名詞,一般,*,*,*,*,取り組み,トリクミ,トリクミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
波	名詞,一般,*,*,*,*,波,ナミ,ナミ
2	名詞,数,*,*,*,*,*
不確定性原理	名詞,固有名詞,一般,*,*,*,不確定性原理,フカクテイセイゲンリ,フカクテイセイゲンリ
3	名詞,数,*,*,*,*,*
波	名詞,接尾,助数詞,*,*,*,波,ハ,ハ
束	名詞,一般,*,*,*,*,束,タバ,タバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
I	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
波	名詞,接尾,助数詞,*,*,*,波,ハ,ハ
束	名詞,一般,*,*,*,*,束,タバ,タバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
II	名詞,固有名詞,組織,*,*,*,*
5定	名詞,固有名詞,一般,*,*,*,5定,ゴテイ,ゴテイ
常	接頭詞,名詞接続,*,*,*,*,常,ツネ,ツネ
状態	名詞,一般,*,*,*,*,状態,ジョウタイ,ジョータイ
6	名詞,数,*,*,*,*,*
箱	名詞,接尾,助数詞,*,*,*,箱,ハコ,ハコ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自由粒子	名詞,固有名詞,一般,*,*,*,自由粒子,ジユウリュウシ,ジユーリューシ
7	名詞,数,*,*,*,*,*
調和振動子	名詞,固有名詞,一般,*,*,*,調和振動子,チョウワシンドウシ,チョーワシンドーシ
I	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
調和振動子	名詞,固有名詞,一般,*,*,*,調和振動子,チョウワシンドウシ,チョーワシンドーシ
II	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
固有	名詞,一般,*,*,*,*,固有,コユウ,コユー
関数	名詞,一般,*,*,*,*,関数,カンスウ,カンスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
直交	名詞,サ変接続,*,*,*,*,直交,チョッコウ,チョッコー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
10	名詞,数,*,*,*,*,*
フーリエ級数	名詞,固有名詞,一般,*,*,*,フーリエ級数,フーリエキュウスウ,フーリエキュウスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
フーリエ	名詞,固有名詞,人名,姓,*,*,フーリエ,フーリエ,フーリエ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
11	名詞,数,*,*,*,*,*
物理	名詞,一般,*,*,*,*,物理,ブツリ,ブツリ
量	名詞,接尾,一般,*,*,*,量,リョウ,リョウ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
演算子	名詞,固有名詞,一般,*,*,*,演算子,エンザンシ,エンザンシ
12	名詞,数,*,*,*,*,*
固有値	名詞,一般,*,*,*,*,固有値,コユウチ,コユーチ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
期待値	名詞,固有名詞,一般,*,*,*,期待値,キタイチ,キタイチ
13	名詞,数,*,*,*,*,*
波動関数	名詞,固有名詞,一般,*,*,*,波動関数,ハドウカンスウ,ハドーカンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
不確定性原理	名詞,固有名詞,一般,*,*,*,不確定性原理,フカクテイセイゲンリ,フカクテイセイゲンリ
14	名詞,数,*,*,*,*,*
群	名詞,接尾,一般,*,*,*,群,グン,グン
速度	名詞,一般,*,*,*,*,速度,ソクド,ソクド
と	助詞,並立助詞,*,*,*,*,と,ト,ト
波束の崩壊	名詞,固有名詞,一般,*,*,*,波束の崩壊,ハソクノホウカイ,ハソクノホーカイ
15	名詞,数,*,*,*,*,*
デルタ関数	名詞,固有名詞,一般,*,*,*,デルタ関数,デルタカンスウ,デルタカンスー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
位置	名詞,サ変接続,*,*,*,*,位置,イチ,イチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
固有	名詞,一般,*,*,*,*,固有,コユウ,コユー
関	名詞,接尾,一般,*,*,*,関,セキ,セキ
数	名詞,数,*,*,*,*,数,スウ,スー
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
波	名詞,一般,*,*,*,*,波,ナミ,ナミ
2	名詞,数,*,*,*,*,*
不確定性原理	名詞,固有名詞,一般,*,*,*,不確定性原理,フカクテイセイゲンリ,フカクテイセイゲンリ
3	名詞,数,*,*,*,*,*
波	名詞,接尾,助数詞,*,*,*,波,ハ,ハ
束	名詞,一般,*,*,*,*,束,タバ,タバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
I	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
波	名詞,接尾,助数詞,*,*,*,波,ハ,ハ
束	名詞,一般,*,*,*,*,束,タバ,タバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
II	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
定常状態	名詞,固有名詞,一般,*,*,*,定常状態,テイジョウジョウタイ,テイジョージョータイ
6	名詞,数,*,*,*,*,*
箱	名詞,接尾,助数詞,*,*,*,箱,ハコ,ハコ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自由粒子	名詞,固有名詞,一般,*,*,*,自由粒子,ジユウリュウシ,ジユーリューシ
7	名詞,数,*,*,*,*,*
調和振動子	名詞,固有名詞,一般,*,*,*,調和振動子,チョウワシンドウシ,チョーワシンドーシ
I	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
調和振動子	名詞,固有名詞,一般,*,*,*,調和振動子,チョウワシンドウシ,チョーワシンドーシ
II	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
固有	名詞,一般,*,*,*,*,固有,コユウ,コユー
関数	名詞,一般,*,*,*,*,関数,カンスウ,カンスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
直交	名詞,サ変接続,*,*,*,*,直交,チョッコウ,チョッコー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
10	名詞,数,*,*,*,*,*
フーリエ級数	名詞,固有名詞,一般,*,*,*,フーリエ級数,フーリエキュウスウ,フーリエキュウスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
フーリエ	名詞,固有名詞,人名,姓,*,*,フーリエ,フーリエ,フーリエ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
11	名詞,数,*,*,*,*,*
物理	名詞,一般,*,*,*,*,物理,ブツリ,ブツリ
量	名詞,接尾,一般,*,*,*,量,リョウ,リョウ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
演算子	名詞,固有名詞,一般,*,*,*,演算子,エンザンシ,エンザンシ
12	名詞,数,*,*,*,*,*
固有値	名詞,一般,*,*,*,*,固有値,コユウチ,コユーチ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
期待値	名詞,固有名詞,一般,*,*,*,期待値,キタイチ,キタイチ
13	名詞,数,*,*,*,*,*
波動関数	名詞,固有名詞,一般,*,*,*,波動関数,ハドウカンスウ,ハドーカンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
不確定性原理	名詞,固有名詞,一般,*,*,*,不確定性原理,フカクテイセイゲンリ,フカクテイセイゲンリ
14	名詞,数,*,*,*,*,*
群	名詞,接尾,一般,*,*,*,群,グン,グン
速度	名詞,一般,*,*,*,*,速度,ソクド,ソクド
と	助詞,並立助詞,*,*,*,*,と,ト,ト
波束の崩壊	名詞,固有名詞,一般,*,*,*,波束の崩壊,ハソクノホウカイ,ハソクノホーカイ
15	名詞,数,*,*,*,*,*
デルタ関数	名詞,固有名詞,一般,*,*,*,デルタ関数,デルタカンスウ,デルタカンスー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
位置	名詞,サ変接続,*,*,*,*,位置,イチ,イチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
固有	名詞,一般,*,*,*,*,固有,コユウ,コユー
関数	名詞,一般,*,*,*,*,関数,カンスウ,カンスー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
式	名詞,一般,*,*,*,*,式,シキ,シキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
すべて	名詞,副詞可能,*,*,*,*,すべて,スベテ,スベテ
導ける	動詞,自立,*,*,一段,基本形,導ける,ミチビケル,ミチビケル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
おこなう	動詞,自立,*,*,五段・ワ行促音便,基本形,おこなう,オコナウ,オコナウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
次に	接続詞,*,*,*,*,*,次に,ツギニ,ツギニ
，	記号,読点,*,*,*,*,，,，,，
式	名詞,一般,*,*,*,*,式,シキ,シキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
思考	名詞,サ変接続,*,*,*,*,思考,シコウ,シコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
深める	動詞,自立,*,*,一段,基本形,深める,フカメル,フカメル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
，	記号,読点,*,*,*,*,，,，,，
物理数学	名詞,固有名詞,一般,*,*,*,物理数学,ブツリスウガク,ブツリスーガク
，	記号,読点,*,*,*,*,，,，,，
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
原則	名詞,一般,*,*,*,*,原則,ゲンソク,ゲンソク
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
全	接頭詞,名詞接続,*,*,*,*,全,ゼン,ゼン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メッセージ	名詞,一般,*,*,*,*,メッセージ,メッセージ,メッセージ
数式	名詞,一般,*,*,*,*,数式,スウシキ,スーシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
導出	名詞,サ変接続,*,*,*,*,導出,ドウシュツ,ドーシュツ
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
，	記号,読点,*,*,*,*,，,，,，
少し	副詞,助詞類接続,*,*,*,*,少し,スコシ,スコシ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
曖昧	名詞,形容動詞語幹,*,*,*,*,曖昧,アイマイ,アイマイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
まま	名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
せ	動詞,自立,*,*,サ変・スル,未然ヌ接続,する,セ,セ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
，	記号,読点,*,*,*,*,，,，,，
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
思える	動詞,自立,*,*,一段,基本形,思える,オモエル,オモエル
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
遡り	動詞,自立,*,*,五段・ラ行,連用形,遡る,サカノボリ,サカノボリ
徹底的	名詞,形容動詞語幹,*,*,*,*,徹底的,テッテイテキ,テッテイテキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
探究	名詞,サ変接続,*,*,*,*,探究,タンキュウ,タンキュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
