ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
一般的	名詞,固有名詞,一般,*,*,*,一般的,イッパンテキ,イッパンテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
植物	名詞,一般,*,*,*,*,植物,ショクブツ,ショクブツ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
と	助詞,接続助詞,*,*,*,*,と,ト,ト
光合成	名詞,一般,*,*,*,*,光合成,コウゴウセイ,コーゴーセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行い	動詞,自立,*,*,五段・ワ行促音便,連用形,行う,オコナイ,オコナイ
，	記号,読点,*,*,*,*,，,，,，
酸素	名詞,一般,*,*,*,*,酸素,サンソ,サンソ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
発生	名詞,サ変接続,*,*,*,*,発生,ハッセイ,ハッセイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
多	接頭詞,名詞接続,*,*,*,*,多,タ,タ
細胞	名詞,一般,*,*,*,*,細胞,サイボウ,サイボー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
大型	名詞,一般,*,*,*,*,大型,オオガタ,オーガタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
陸上植物	名詞,固有名詞,一般,*,*,*,陸上植物,リクジョウショクブツ,リクジョーショクブツ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
イメージ	名詞,サ変接続,*,*,*,*,イメージ,イメージ,イメージ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
がち	名詞,接尾,形容動詞語幹,*,*,*,がち,ガチ,ガチ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
，	記号,読点,*,*,*,*,，,，,，
光合成	名詞,一般,*,*,*,*,光合成,コウゴウセイ,コーゴーセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
生物	名詞,一般,*,*,*,*,生物,セイブツ,セイブツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
水中	名詞,一般,*,*,*,*,水中,スイチュウ,スイチュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
多く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,多い,オオク,オーク
存在	名詞,サ変接続,*,*,*,*,存在,ソンザイ,ソンザイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
単細胞	名詞,一般,*,*,*,*,単細胞,タンサイボウ,タンサイボー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
生き	動詞,自立,*,*,一段,連用形,生きる,イキ,イキ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
藻類	名詞,一般,*,*,*,*,藻類,ソウルイ,ソールイ
も	助詞,係助詞,*,*,*,*,も,モ,モ
含ま	動詞,自立,*,*,五段・マ行,未然形,含む,フクマ,フクマ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
，	記号,読点,*,*,*,*,，,，,，
とても	副詞,助詞類接続,*,*,*,*,とても,トテモ,トテモ
多様性	名詞,固有名詞,一般,*,*,*,多様性,タヨウセイ,タヨーセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
高い	名詞,一般,*,*,*,*,高位,コウイ,コウイ
グループ	名詞,一般,*,*,*,*,グループ,グループ,グループ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
．	記号,句点,*,*,*,*,．,．,．
これら	名詞,代名詞,一般,*,*,*,これら,コレラ,コレラ
光合成	名詞,一般,*,*,*,*,光合成,コウゴウセイ,コーゴーセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
生物	名詞,一般,*,*,*,*,生物,セイブツ,セイブツ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
過程	名詞,一般,*,*,*,*,過程,カテイ,カテイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
経	動詞,自立,*,*,一段,連用形,経る,ヘ,ヘ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
進化	名詞,サ変接続,*,*,*,*,進化,シンカ,シンカ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
，	記号,読点,*,*,*,*,，,，,，
また	接続詞,*,*,*,*,*,また,マタ,マタ
，	記号,読点,*,*,*,*,，,，,，
藻類	名詞,一般,*,*,*,*,藻類,ソウルイ,ソールイ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
植物	名詞,一般,*,*,*,*,植物,ショクブツ,ショクブツ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学び	動詞,自立,*,*,五段・バ行,連用形,学ぶ,マナビ,マナビ
，	記号,読点,*,*,*,*,，,，,，
植物	名詞,一般,*,*,*,*,植物,ショクブツ,ショクブツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
起源	名詞,一般,*,*,*,*,起源,キゲン,キゲン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
もらう	動詞,非自立,*,*,五段・ワ行促音便,基本形,もらう,モラウ,モラウ
．	記号,句点,*,*,*,*,．,．,．
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
系統分類学	名詞,固有名詞,一般,*,*,*,系統分類学,ケイトウブンルイガク,ケイトーブンルイガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
，	記号,読点,*,*,*,*,，,，,，
進化	名詞,サ変接続,*,*,*,*,進化,シンカ,シンカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メカニズム	名詞,一般,*,*,*,*,メカニズム,メカニズム,メカニズム
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ん	動詞,自立,*,*,五段・バ行,連用タ接続,学ぶ,マナン,マナン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
もらい	動詞,非自立,*,*,五段・ワ行促音便,連用形,もらう,モライ,モライ
，	記号,読点,*,*,*,*,，,，,，
植物	名詞,一般,*,*,*,*,植物,ショクブツ,ショクブツ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
生物	名詞,一般,*,*,*,*,生物,セイブツ,セイブツ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
生まれる	動詞,自立,*,*,一段,基本形,生まれる,ウマレル,ウマレル
きっかけ	名詞,一般,*,*,*,*,きっかけ,キッカケ,キッカケ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
細胞内	名詞,固有名詞,一般,*,*,*,細胞内,サイボウナイ,サイボーナイ
共生	名詞,サ変接続,*,*,*,*,共生,キョウセイ,キョーセイ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
葉緑体	名詞,固有名詞,一般,*,*,*,葉緑体,ヨウリョクタイ,ヨウリョクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
獲得	名詞,サ変接続,*,*,*,*,獲得,カクトク,カクトク
，	記号,読点,*,*,*,*,，,，,，
様々	名詞,形容動詞語幹,*,*,*,*,様々,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
光合成	名詞,一般,*,*,*,*,光合成,コウゴウセイ,コーゴーセイ
生物の分類	名詞,固有名詞,一般,*,*,*,生物の分類,セイブツノブンルイ,セイブツノブンルイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
，	記号,読点,*,*,*,*,，,，,，
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
陸上	名詞,一般,*,*,*,*,陸上,リクジョウ,リクジョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
進出	名詞,サ変接続,*,*,*,*,進出,シンシュツ,シンシュツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
，	記号,読点,*,*,*,*,，,，,，
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン
，	記号,読点,*,*,*,*,，,，,，
図	名詞,一般,*,*,*,*,図,ズ,ズ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
使用	名詞,サ変接続,*,*,*,*,使用,シヨウ,シヨー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
スライド	名詞,一般,*,*,*,*,スライド,スライド,スライド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
Web	名詞,固有名詞,一般,*,*,*,Web,ウェブ,ウェブ
Class	名詞,固有名詞,一般,*,*,*,Class,クラス,クラス
で	助詞,格助詞,一般,*,*,*,で,デ,デ
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
・	記号,一般,*,*,*,*,・,・,・
藻類	名詞,一般,*,*,*,*,藻類,ソウルイ,ソールイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
藻類	名詞,一般,*,*,*,*,藻類,ソウルイ,ソールイ
30億	名詞,固有名詞,一般,*,*,*,30億,サンジュウオク,サンジュウオク
年	名詞,接尾,一般,*,*,*,年,ネン,ネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自然	名詞,形容動詞語幹,*,*,*,*,自然,シゼン,シゼン
史	名詞,接尾,一般,*,*,*,史,シ,シ
井上勲	名詞,固有名詞,人名,一般,*,*,井上勲,イノウエイサオ,イノーエイサオ
東海大	名詞,固有名詞,組織,*,*,*,東海大,トウカイダイ,トーカイダイ
出版	名詞,サ変接続,*,*,*,*,出版,シュッパン,シュッパン
会	名詞,接尾,一般,*,*,*,会,カイ,カイ
（	記号,括弧開,*,*,*,*,（,（,（
あらゆる	連体詞,*,*,*,*,*,あらゆる,アラユル,アラユル
視点	名詞,一般,*,*,*,*,視点,シテン,シテン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
藻類	名詞,一般,*,*,*,*,藻類,ソウルイ,ソールイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
良書	名詞,一般,*,*,*,*,良書,リョウショ,リョーショ
）	記号,括弧閉,*,*,*,*,）,）,）
藻類	名詞,一般,*,*,*,*,藻類,ソウルイ,ソールイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
多様性	名詞,固有名詞,一般,*,*,*,多様性,タヨウセイ,タヨーセイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
千原光雄	名詞,固有名詞,人名,一般,*,*,千原光雄,チハラミツオ,チハラミツオ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
裳華房	名詞,固有名詞,組織,*,*,*,裳華房,ショウカボウ,ショウカボー
（	記号,括弧開,*,*,*,*,（,（,（
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
分類	名詞,サ変接続,*,*,*,*,分類,ブンルイ,ブンルイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
他	名詞,非自立,副詞可能,*,*,*,他,ホカ,ホカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
様々	名詞,形容動詞語幹,*,*,*,*,様々,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
トピックス	名詞,一般,*,*,*,*,トピックス,トピックス,トピックス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
）	記号,括弧閉,*,*,*,*,）,）,）
藻類	名詞,一般,*,*,*,*,藻類,ソウルイ,ソールイ
多様性	名詞,固有名詞,一般,*,*,*,多様性,タヨウセイ,タヨーセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生物学	名詞,固有名詞,一般,*,*,*,生物学,セイブツガク,セイブツガク
千原光雄編著内田老鶴圃	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
分類	名詞,サ変接続,*,*,*,*,分類,ブンルイ,ブンルイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
専門	名詞,一般,*,*,*,*,専門,センモン,センモン
書	名詞,接尾,一般,*,*,*,書,ショ,ショ
）	記号,括弧閉,*,*,*,*,）,）,）
藻類	名詞,一般,*,*,*,*,藻類,ソウルイ,ソールイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生活史	名詞,固有名詞,一般,*,*,*,生活史,セイカツシ,セイカツシ
集成	名詞,サ変接続,*,*,*,*,集成,シュウセイ,シューセイ
1	名詞,数,*,*,*,*,*
-3	名詞,固有名詞,一般,*,*,*,−3,マイナスサン,マイナスサン
堀	名詞,固有名詞,人名,姓,*,*,堀,ホリ,ホリ
輝	名詞,固有名詞,人名,名,*,*,輝,アキラ,アキラ
三	名詞,数,*,*,*,*,三,サン,サン
編	名詞,接尾,助数詞,*,*,*,編,ヘン,ヘン
内田	名詞,固有名詞,人名,姓,*,*,内田,ウチダ,ウチダ
老	接頭詞,名詞接続,*,*,*,*,老,ロウ,ロー
鶴	名詞,一般,*,*,*,*,鶴,ツル,ツル
圃	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
個々	名詞,一般,*,*,*,*,個々,ココ,ココ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生活環	名詞,固有名詞,一般,*,*,*,生活環,セイカツカン,セイカツカン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
専門	名詞,一般,*,*,*,*,専門,センモン,センモン
書	名詞,接尾,一般,*,*,*,書,ショ,ショ
）	記号,括弧閉,*,*,*,*,）,）,）
・	記号,一般,*,*,*,*,・,・,・
陸上植物	名詞,固有名詞,一般,*,*,*,陸上植物,リクジョウショクブツ,リクジョーショクブツ
植物	名詞,一般,*,*,*,*,植物,ショクブツ,ショクブツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
多様性	名詞,固有名詞,一般,*,*,*,多様性,タヨウセイ,タヨーセイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
加藤	名詞,固有名詞,人名,姓,*,*,加藤,カトウ,カトー
雅啓	名詞,固有名詞,人名,名,*,*,雅啓,マサヒロ,マサヒロ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
裳華房	名詞,固有名詞,組織,*,*,*,裳華房,ショウカボウ,ショウカボー
（	記号,括弧開,*,*,*,*,（,（,（
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
分類	名詞,サ変接続,*,*,*,*,分類,ブンルイ,ブンルイ
群	名詞,接尾,一般,*,*,*,群,グン,グン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
特徴	名詞,一般,*,*,*,*,特徴,トクチョウ,トクチョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
わかり	動詞,自立,*,*,五段・ラ行,連用形,わかる,ワカリ,ワカリ
やすく	形容詞,非自立,*,*,形容詞・アウオ段,連用テ接続,やすい,ヤスク,ヤスク
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
）	記号,括弧閉,*,*,*,*,）,）,）
植物	名詞,一般,*,*,*,*,植物,ショクブツ,ショクブツ
分類学	名詞,固有名詞,一般,*,*,*,分類学,ブンルイガク,ブンルイガク
伊藤	名詞,固有名詞,人名,姓,*,*,伊藤,イトウ,イトー
元己	名詞,固有名詞,人名,名,*,*,元己,モトキ,モトキ
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
東京大学出版会	名詞,固有名詞,一般,*,*,*,東京大学出版会,トウキョウダイガクシュッパンカイ,トーキョーダイガクシュッパンカイ
（	記号,括弧開,*,*,*,*,（,（,（
分類学	名詞,固有名詞,一般,*,*,*,分類学,ブンルイガク,ブンルイガク
、	記号,読点,*,*,*,*,、,、,、
種	名詞,一般,*,*,*,*,種,タネ,タネ
分化	名詞,サ変接続,*,*,*,*,分化,ブンカ,ブンカ
、	記号,読点,*,*,*,*,、,、,、
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
進化	名詞,サ変接続,*,*,*,*,進化,シンカ,シンカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
）	記号,括弧閉,*,*,*,*,）,）,）
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
植物	名詞,一般,*,*,*,*,植物,ショクブツ,ショクブツ
分類	名詞,サ変接続,*,*,*,*,分類,ブンルイ,ブンルイ
体系	名詞,一般,*,*,*,*,体系,タイケイ,タイケイ
伊藤	名詞,固有名詞,人名,姓,*,*,伊藤,イトウ,イトー
元己	名詞,固有名詞,人名,名,*,*,元己,モトキ,モトキ
・	記号,一般,*,*,*,*,・,・,・
井鷺	名詞,固有名詞,人名,姓,*,*,井鷺,イサギ,イサギ
裕司	名詞,固有名詞,人名,名,*,*,裕司,ユウジ,ユージ
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
（	記号,括弧開,*,*,*,*,（,（,（
APG	名詞,固有名詞,組織,*,*,*,*
分類	名詞,サ変接続,*,*,*,*,分類,ブンルイ,ブンルイ
体系	名詞,一般,*,*,*,*,体系,タイケイ,タイケイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
入門書	名詞,固有名詞,一般,*,*,*,入門書,ニュウモンショ,ニューモンショ
）	記号,括弧閉,*,*,*,*,）,）,）
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
内	名詞,接尾,一般,*,*,*,内,ナイ,ナイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
or	名詞,一般,*,*,*,*,*
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
（	記号,括弧開,*,*,*,*,（,（,（
20	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）:	記号,一般,*,*,*,*,*
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
中間試験	名詞,固有名詞,一般,*,*,*,中間試験,チュウカンシケン,チューカンシケン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
期末試験	名詞,固有名詞,一般,*,*,*,期末試験,キマツシケン,キマツシケン
（	記号,括弧開,*,*,*,*,（,（,（
