ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
無機化学	名詞,固有名詞,一般,*,*,*,無機化学,ムキカガク,ムキカガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
錯体化学	名詞,固有名詞,一般,*,*,*,錯体化学,サクタイカガク,サクタイカガク
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
事項	名詞,一般,*,*,*,*,事項,ジコウ,ジコー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
溶液	名詞,一般,*,*,*,*,溶液,ヨウエキ,ヨーエキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
化学	名詞,一般,*,*,*,*,化学,カガク,カガク
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
事項	名詞,一般,*,*,*,*,事項,ジコウ,ジコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
錯体化学	名詞,固有名詞,一般,*,*,*,錯体化学,サクタイカガク,サクタイカガク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
電子	名詞,一般,*,*,*,*,電子,デンシ,デンシ
スペクトル	名詞,一般,*,*,*,*,スペクトル,スペクトル,スペクトル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
溶液	名詞,一般,*,*,*,*,溶液,ヨウエキ,ヨーエキ
内	名詞,接尾,一般,*,*,*,内,ナイ,ナイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
生成	名詞,サ変接続,*,*,*,*,生成,セイセイ,セイセイ
反応	名詞,サ変接続,*,*,*,*,反応,ハンノウ,ハンノー
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
事項	名詞,一般,*,*,*,*,事項,ジコウ,ジコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
溶液	名詞,一般,*,*,*,*,溶液,ヨウエキ,ヨーエキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
化学	名詞,一般,*,*,*,*,化学,カガク,カガク
に関して	助詞,格助詞,連語,*,*,*,に関して,ニカンシテ,ニカンシテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
水	名詞,一般,*,*,*,*,水,ミズ,ミズ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
有機	名詞,一般,*,*,*,*,有機,ユウキ,ユーキ
溶媒	名詞,一般,*,*,*,*,溶媒,ヨウバイ,ヨーバイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
元素	名詞,一般,*,*,*,*,元素,ゲンソ,ゲンソ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
、	記号,読点,*,*,*,*,、,、,、
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
、	記号,読点,*,*,*,*,、,、,、
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
電子	名詞,一般,*,*,*,*,電子,デンシ,デンシ
スペクトル	名詞,一般,*,*,*,*,スペクトル,スペクトル,スペクトル
、	記号,読点,*,*,*,*,、,、,、
水溶液	名詞,一般,*,*,*,*,水溶液,スイヨウエキ,スイヨーエキ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
錯	名詞,一般,*,*,*,*,*
生成	名詞,サ変接続,*,*,*,*,生成,セイセイ,セイセイ
反応	名詞,サ変接続,*,*,*,*,反応,ハンノウ,ハンノー
、	記号,読点,*,*,*,*,、,、,、
溶媒	名詞,一般,*,*,*,*,溶媒,ヨウバイ,ヨーバイ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
水	名詞,一般,*,*,*,*,水,ミズ,ミズ
、	記号,読点,*,*,*,*,、,、,、
溶媒	名詞,一般,*,*,*,*,溶媒,ヨウバイ,ヨーバイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
特性	名詞,一般,*,*,*,*,特性,トクセイ,トクセイ
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
シュライバー	名詞,固有名詞,一般,*,*,*,シュライバー,シュライバー,シュライバー
・	記号,一般,*,*,*,*,・,・,・
アトキンス	名詞,固有名詞,一般,*,*,*,アトキンス,アトキンス,アトキンス
無機化学	名詞,固有名詞,一般,*,*,*,無機化学,ムキカガク,ムキカガク
（	記号,括弧開,*,*,*,*,（,（,（
下	名詞,一般,*,*,*,*,下,シタ,シタ
）	記号,括弧閉,*,*,*,*,）,）,）
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
なし	形容詞,自立,*,*,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ
。	記号,句点,*,*,*,*,。,。,。
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
終了	名詞,サ変接続,*,*,*,*,終了,シュウリョウ,シューリョー
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
割合	名詞,一般,*,*,*,*,割合,ワリアイ,ワリアイ
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
なお	接続詞,*,*,*,*,*,なお,ナオ,ナオ
、	記号,読点,*,*,*,*,、,、,、
基本的	名詞,固有名詞,一般,*,*,*,基本的,キホンテキ,キホンテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
終了	名詞,サ変接続,*,*,*,*,終了,シュウリョウ,シューリョー
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
筆記試験	名詞,固有名詞,一般,*,*,*,筆記試験,ヒッキシケン,ヒッキシケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
コロナ	名詞,一般,*,*,*,*,コロナ,コロナ,コロナ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
筆記試験	名詞,固有名詞,一般,*,*,*,筆記試験,ヒッキシケン,ヒッキシケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
代わり	名詞,一般,*,*,*,*,代わり,カワリ,カワリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
で	助詞,格助詞,一般,*,*,*,で,デ,デ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
典型元素	名詞,固有名詞,一般,*,*,*,典型元素,テンケイゲンソ,テンケイゲンソ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
電子配置	名詞,固有名詞,一般,*,*,*,電子配置,デンシハイチ,デンシハイチ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
化学	名詞,一般,*,*,*,*,化学,カガク,カガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
①	記号,一般,*,*,*,*,*
2典	名詞,固有名詞,一般,*,*,*,2典,ニテン,ニテン
型	名詞,接尾,一般,*,*,*,型,ガタ,ガタ
元素	名詞,一般,*,*,*,*,元素,ゲンソ,ゲンソ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
電子配置	名詞,固有名詞,一般,*,*,*,電子配置,デンシハイチ,デンシハイチ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
化学	名詞,一般,*,*,*,*,化学,カガク,カガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
②	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
典型元素	名詞,固有名詞,一般,*,*,*,典型元素,テンケイゲンソ,テンケイゲンソ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
電子配置	名詞,固有名詞,一般,*,*,*,電子配置,デンシハイチ,デンシハイチ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
化学	名詞,一般,*,*,*,*,化学,カガク,カガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
③	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
混成軌道	名詞,固有名詞,一般,*,*,*,混成軌道,コンセイキドウ,コンセイキドー
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
・	記号,一般,*,*,*,*,・,・,・
結晶場理論	名詞,固有名詞,一般,*,*,*,結晶場理論,ケッショウバリロン,ケッショーバリロン
・	記号,一般,*,*,*,*,・,・,・
配位子場理論	名詞,固有名詞,一般,*,*,*,配位子場理論,ハイイシバリロン,ハイイシバリロン
5	名詞,数,*,*,*,*,*
電子	名詞,一般,*,*,*,*,電子,デンシ,デンシ
スペクトル	名詞,一般,*,*,*,*,スペクトル,スペクトル,スペクトル
と	助詞,並立助詞,*,*,*,*,と,ト,ト
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
①	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
電子	名詞,一般,*,*,*,*,電子,デンシ,デンシ
スペクトル	名詞,一般,*,*,*,*,スペクトル,スペクトル,スペクトル
と	助詞,並立助詞,*,*,*,*,と,ト,ト
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
②	記号,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
電子	名詞,一般,*,*,*,*,電子,デンシ,デンシ
スペクトル	名詞,一般,*,*,*,*,スペクトル,スペクトル,スペクトル
と	助詞,並立助詞,*,*,*,*,と,ト,ト
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
③	記号,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
水溶液	名詞,一般,*,*,*,*,水溶液,スイヨウエキ,スイヨーエキ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
金属	名詞,一般,*,*,*,*,金属,キンゾク,キンゾク
イオン	名詞,一般,*,*,*,*,イオン,イオン,イオン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
錯	名詞,一般,*,*,*,*,*
生成	名詞,サ変接続,*,*,*,*,生成,セイセイ,セイセイ
反応	名詞,サ変接続,*,*,*,*,反応,ハンノウ,ハンノー
9	名詞,数,*,*,*,*,*
水溶液	名詞,一般,*,*,*,*,水溶液,スイヨウエキ,スイヨーエキ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
配位子	名詞,固有名詞,一般,*,*,*,配位子,ハイイシ,ハイイシ
置換反応	名詞,固有名詞,一般,*,*,*,置換反応,チカンハンノウ,チカンハンノー
10	名詞,数,*,*,*,*,*
特異	名詞,形容動詞語幹,*,*,*,*,特異,トクイ,トクイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
溶媒	名詞,一般,*,*,*,*,溶媒,ヨウバイ,ヨーバイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
水	名詞,一般,*,*,*,*,水,ミズ,ミズ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
①	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
特異	名詞,形容動詞語幹,*,*,*,*,特異,トクイ,トクイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
溶媒	名詞,一般,*,*,*,*,溶媒,ヨウバイ,ヨーバイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
水	名詞,一般,*,*,*,*,水,ミズ,ミズ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
②	記号,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
溶解	名詞,サ変接続,*,*,*,*,溶解,ヨウカイ,ヨーカイ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
溶媒	名詞,一般,*,*,*,*,溶媒,ヨウバイ,ヨーバイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
13	名詞,数,*,*,*,*,*
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
合成	名詞,サ変接続,*,*,*,*,合成,ゴウセイ,ゴーセイ
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
14	名詞,数,*,*,*,*,*
溶存	名詞,サ変接続,*,*,*,*,溶存,ヨウゾン,ヨーゾン
化学種	名詞,固有名詞,一般,*,*,*,化学種,カガクシュ,カガクシュ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
活量	名詞,固有名詞,一般,*,*,*,活量,カツリョウ,カツリョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
熱力学	名詞,固有名詞,一般,*,*,*,熱力学,ネツリキガク,ネツリキガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
考察	名詞,サ変接続,*,*,*,*,考察,コウサツ,コーサツ
15	名詞,数,*,*,*,*,*
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
理解度	名詞,固有名詞,一般,*,*,*,理解度,リカイド,リカイド
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
典型元素	名詞,固有名詞,一般,*,*,*,典型元素,テンケイゲンソ,テンケイゲンソ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
電子配置	名詞,固有名詞,一般,*,*,*,電子配置,デンシハイチ,デンシハイチ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
化学	名詞,一般,*,*,*,*,化学,カガク,カガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
①	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
典型元素	名詞,固有名詞,一般,*,*,*,典型元素,テンケイゲンソ,テンケイゲンソ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
電子配置	名詞,固有名詞,一般,*,*,*,電子配置,デンシハイチ,デンシハイチ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
化学	名詞,一般,*,*,*,*,化学,カガク,カガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
②	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
典型元素	名詞,固有名詞,一般,*,*,*,典型元素,テンケイゲンソ,テンケイゲンソ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
電子配置	名詞,固有名詞,一般,*,*,*,電子配置,デンシハイチ,デンシハイチ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
化学	名詞,一般,*,*,*,*,化学,カガク,カガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
③	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
混成軌道	名詞,固有名詞,一般,*,*,*,混成軌道,コンセイキドウ,コンセイキドー
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
・	記号,一般,*,*,*,*,・,・,・
結晶場理論	名詞,固有名詞,一般,*,*,*,結晶場理論,ケッショウバリロン,ケッショーバリロン
・	記号,一般,*,*,*,*,・,・,・
配位子場理論	名詞,固有名詞,一般,*,*,*,配位子場理論,ハイイシバリロン,ハイイシバリロン
5	名詞,数,*,*,*,*,*
電子	名詞,一般,*,*,*,*,電子,デンシ,デンシ
スペクトル	名詞,一般,*,*,*,*,スペクトル,スペクトル,スペクトル
と	助詞,並立助詞,*,*,*,*,と,ト,ト
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
①	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
電子	名詞,一般,*,*,*,*,電子,デンシ,デンシ
スペクトル	名詞,一般,*,*,*,*,スペクトル,スペクトル,スペクトル
と	助詞,並立助詞,*,*,*,*,と,ト,ト
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
②	記号,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
電子	名詞,一般,*,*,*,*,電子,デンシ,デンシ
スペクトル	名詞,一般,*,*,*,*,スペクトル,スペクトル,スペクトル
と	助詞,並立助詞,*,*,*,*,と,ト,ト
錯体	名詞,一般,*,*,*,*,錯体,サクタイ,サクタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
③	記号,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
水溶液	名詞,一般,*,*,*,*,水溶液,スイヨウエキ,スイヨーエキ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
金属	名詞,一般,*,*,*,*,金属,キンゾク,キンゾク
イオン	名詞,一般,*,*,*,*,イオン,イオン,イオン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
錯	名詞,一般,*,*,*,*,*
生成	名詞,サ変接続,*,*,*,*,生成,セイセイ,セイセイ
