ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク
教養	名詞,一般,*,*,*,*,教養,キョウヨウ,キョーヨー
レベル	名詞,一般,*,*,*,*,レベル,レベル,レベル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
，	記号,読点,*,*,*,*,，,，,，
微積分	名詞,一般,*,*,*,*,微積分,ビセキブン,ビセキブン
・	記号,一般,*,*,*,*,・,・,・
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
・	記号,一般,*,*,*,*,・,・,・
行列	名詞,サ変接続,*,*,*,*,行列,ギョウレツ,ギョーレツ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
，	記号,読点,*,*,*,*,，,，,，
数理物理学	名詞,固有名詞,一般,*,*,*,数理物理学,スウリブツリガク,スーリブツリガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
側面	名詞,一般,*,*,*,*,側面,ソクメン,ソクメン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
通じ	動詞,自立,*,*,一段,連用形,通じる,ツウジ,ツージ
，	記号,読点,*,*,*,*,，,，,，
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
分野	名詞,一般,*,*,*,*,分野,ブンヤ,ブンヤ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
法則	名詞,一般,*,*,*,*,法則,ホウソク,ホーソク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
，	記号,読点,*,*,*,*,，,，,，
物理的	名詞,固有名詞,一般,*,*,*,物理的,ブツリテキ,ブツリテキ
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
数学	名詞,一般,*,*,*,*,数学,スウガク,スーガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
、	記号,読点,*,*,*,*,、,、,、
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
動画	名詞,一般,*,*,*,*,動画,ドウガ,ドーガ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
WebClass	名詞,固有名詞,組織,*,*,*,*
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
ダウンロード	名詞,サ変接続,*,*,*,*,ダウンロード,ダウンロード,ダウンロード
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
井上光	名詞,固有名詞,人名,一般,*,*,井上光,イノウエヒカル,イノーエヒカル
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
『	記号,括弧開,*,*,*,*,『,『,『
工科系	名詞,固有名詞,一般,*,*,*,工科系,コウカケイ,コーカケイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
』<	記号,一般,*,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
２	名詞,数,*,*,*,*,２,ニ,ニ
版	名詞,接尾,助数詞,*,*,*,版,ハン,ハン
>（	記号,一般,*,*,*,*,*
東京教学社	名詞,固有名詞,組織,*,*,*,東京教学社,トウキョウキョウガクシャ,トーキョーキョーガクシャ
，	記号,読点,*,*,*,*,，,，,，
2592円	名詞,固有名詞,一般,*,*,*,2592円,ニセンゴヒャクキュウジュウニエン,ニセンゴヒャクキュウジュウニエン
）	記号,括弧閉,*,*,*,*,）,）,）
砂川重信	名詞,固有名詞,人名,一般,*,*,砂川重信,スナカワシゲノブ,スナカワシゲノブ
『	記号,括弧開,*,*,*,*,『,『,『
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
-	記号,一般,*,*,*,*,*
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ
学ぶ	名詞,一般,*,*,*,*,学部,ガクブ,ガクブ
人	名詞,接尾,一般,*,*,*,人,ジン,ジン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
-（	記号,一般,*,*,*,*,*
改訂版	名詞,固有名詞,一般,*,*,*,改訂版,カイテイバン,カイテイバン
）	記号,括弧閉,*,*,*,*,）,）,）
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
培風館	名詞,固有名詞,組織,*,*,*,培風館,バイフウカン,バイフーカン
，	記号,読点,*,*,*,*,，,，,，
2106	名詞,数,*,*,*,*,*
円	名詞,接尾,助数詞,*,*,*,円,エン,エン
）	記号,括弧閉,*,*,*,*,）,）,）
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
100%	名詞,固有名詞,人名,一般,*,*,100%,ヒャクパーセント,ヒャクパーセント
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
Web	名詞,固有名詞,一般,*,*,*,Web,ウェブ,ウェブ
Class	名詞,固有名詞,一般,*,*,*,Class,クラス,クラス
で	助詞,格助詞,一般,*,*,*,で,デ,デ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
・	記号,一般,*,*,*,*,・,・,・
空間	名詞,一般,*,*,*,*,空間,クウカン,クーカン
、	記号,読点,*,*,*,*,、,、,、
等	接頭詞,名詞接続,*,*,*,*,等,トウ,トー
加速度	名詞,一般,*,*,*,*,加速度,カソクド,カソクド
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
2	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
物体	名詞,一般,*,*,*,*,物体,ブッタイ,ブッタイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
受ける	動詞,自立,*,*,一段,基本形,受ける,ウケル,ウケル
力	名詞,一般,*,*,*,*,力,チカラ,チカラ
3	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
空気	名詞,一般,*,*,*,*,空気,クウキ,クーキ
抵抗	名詞,サ変接続,*,*,*,*,抵抗,テイコウ,テイコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
受ける	動詞,自立,*,*,一段,基本形,受ける,ウケル,ウケル
物体	名詞,一般,*,*,*,*,物体,ブッタイ,ブッタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
，	記号,読点,*,*,*,*,，,，,，
等速	名詞,固有名詞,一般,*,*,*,等速,トウソク,トウソク
円運動	名詞,サ変接続,*,*,*,*,円運動,エンウンドウ,エンウンドー
4	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
単	接頭詞,名詞接続,*,*,*,*,単,タン,タン
振動	名詞,サ変接続,*,*,*,*,振動,シンドウ,シンドー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
解法	名詞,一般,*,*,*,*,解法,カイホウ,カイホー
，	記号,読点,*,*,*,*,，,，,，
単	接頭詞,名詞接続,*,*,*,*,単,タン,タン
振り子	名詞,一般,*,*,*,*,振り子,フリコ,フリコ
5	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
減衰振動	名詞,固有名詞,一般,*,*,*,減衰振動,ゲンスイシンドウ,ゲンスイシンドー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
2	名詞,数,*,*,*,*,*
階	名詞,接尾,助数詞,*,*,*,階,カイ,カイ
線形	名詞,一般,*,*,*,*,線形,センケイ,センケイ
定数係数	名詞,固有名詞,一般,*,*,*,定数係数,テイスウケイスウ,テイスーケイスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
常微分方程式	名詞,固有名詞,一般,*,*,*,常微分方程式,ジョウビブンホウテイシキ,ジョウビブンホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解法	名詞,一般,*,*,*,*,解法,カイホウ,カイホー
6	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
力積	名詞,固有名詞,一般,*,*,*,力積,リキセキ,リキセキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
運動量	名詞,固有名詞,一般,*,*,*,運動量,ウンドウリョウ,ウンドーリョー
，	記号,読点,*,*,*,*,，,，,，
物体	名詞,一般,*,*,*,*,物体,ブッタイ,ブッタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
衝突	名詞,サ変接続,*,*,*,*,衝突,ショウトツ,ショートツ
7	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト
と	助詞,並立助詞,*,*,*,*,と,ト,ト
運動エネルギー	名詞,固有名詞,一般,*,*,*,運動エネルギー,ウンドウエネルギー,ウンドーエネルギー
8	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
保存	名詞,サ変接続,*,*,*,*,保存,ホゾン,ホゾン
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ポテンシャル	名詞,一般,*,*,*,*,ポテンシャル,ポテンシャル,ポテンシャル
エネルギー	名詞,一般,*,*,*,*,エネルギー,エネルギー,エネルギー
，	記号,読点,*,*,*,*,，,，,，
力学的エネルギー	名詞,固有名詞,一般,*,*,*,力学的エネルギー,リキガクテキエネルギー,リキガクテキエネルギー
保存	名詞,サ変接続,*,*,*,*,保存,ホゾン,ホゾン
則	名詞,接尾,一般,*,*,*,則,ソク,ソク
9	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
円運動	名詞,サ変接続,*,*,*,*,円運動,エンウンドウ,エンウンドー
，	記号,読点,*,*,*,*,，,，,，
回転	名詞,サ変接続,*,*,*,*,回転,カイテン,カイテン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
関わる	動詞,自立,*,*,五段・ラ行,基本形,関わる,カカワル,カカワル
力	名詞,一般,*,*,*,*,力,チカラ,チカラ
，	記号,読点,*,*,*,*,，,，,，
力のモーメント	名詞,固有名詞,一般,*,*,*,力のモーメント,チカラノモーメント,チカラノモーメント
，	記号,読点,*,*,*,*,，,，,，
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
積	名詞,一般,*,*,*,*,積,セキ,セキ
10	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
角運動量	名詞,固有名詞,一般,*,*,*,角運動量,カクウンドウリョウ,カクウンドーリョー
，	記号,読点,*,*,*,*,，,，,，
回転	名詞,サ変接続,*,*,*,*,回転,カイテン,カイテン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運動方程式	名詞,固有名詞,一般,*,*,*,運動方程式,ウンドウホウテイシキ,ウンドーホーテイシキ
11	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
剛体	名詞,一般,*,*,*,*,剛体,ゴウタイ,ゴータイ
12	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
：	記号,一般,*,*,*,*,：,：,：
クーロン力	名詞,固有名詞,一般,*,*,*,クーロン力,クーロンリョク,クーロンリョク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
電場	名詞,一般,*,*,*,*,電場,デンジョウ,デンジョー
、	記号,読点,*,*,*,*,、,、,、
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
13	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
：	記号,一般,*,*,*,*,：,：,：
ガウスの法則	名詞,固有名詞,一般,*,*,*,ガウスの法則,ガウスノホウソク,ガウスノホーソク
、	記号,読点,*,*,*,*,、,、,、
電位	名詞,一般,*,*,*,*,電位,デンイ,デンイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
電位差	名詞,一般,*,*,*,*,電位差,デンイサ,デンイサ
14	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
：	記号,一般,*,*,*,*,：,：,：
磁場	名詞,一般,*,*,*,*,磁場,ジバ,ジバ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
、	記号,読点,*,*,*,*,、,、,、
ローレンツ力	名詞,固有名詞,一般,*,*,*,ローレンツ力,ローレンツリョク,ローレンツリョク
15	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
：	記号,一般,*,*,*,*,：,：,：
マクスウェル方程式	名詞,固有名詞,一般,*,*,*,マクスウェル方程式,マクスウェルホウテイシキ,マクスウェルホーテイシキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
電磁波	名詞,一般,*,*,*,*,電磁波,デンジハ,デンジハ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
・	記号,一般,*,*,*,*,・,・,・
空間	名詞,一般,*,*,*,*,空間,クウカン,クーカン
、	記号,読点,*,*,*,*,、,、,、
等	接頭詞,名詞接続,*,*,*,*,等,トウ,トー
加速度	名詞,一般,*,*,*,*,加速度,カソクド,カソクド
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
2	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
物体	名詞,一般,*,*,*,*,物体,ブッタイ,ブッタイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
受ける	動詞,自立,*,*,一段,基本形,受ける,ウケル,ウケル
力	名詞,一般,*,*,*,*,力,チカラ,チカラ
3	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
空気	名詞,一般,*,*,*,*,空気,クウキ,クーキ
抵抗	名詞,サ変接続,*,*,*,*,抵抗,テイコウ,テイコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
受ける	動詞,自立,*,*,一段,基本形,受ける,ウケル,ウケル
物体	名詞,一般,*,*,*,*,物体,ブッタイ,ブッタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
，	記号,読点,*,*,*,*,，,，,，
等速	名詞,固有名詞,一般,*,*,*,等速,トウソク,トウソク
円運動	名詞,サ変接続,*,*,*,*,円運動,エンウンドウ,エンウンドー
4	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
単	接頭詞,名詞接続,*,*,*,*,単,タン,タン
振動	名詞,サ変接続,*,*,*,*,振動,シンドウ,シンドー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
解法	名詞,一般,*,*,*,*,解法,カイホウ,カイホー
，	記号,読点,*,*,*,*,，,，,，
単	接頭詞,名詞接続,*,*,*,*,単,タン,タン
振り子	名詞,一般,*,*,*,*,振り子,フリコ,フリコ
5	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
減衰振動	名詞,固有名詞,一般,*,*,*,減衰振動,ゲンスイシンドウ,ゲンスイシンドー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
2	名詞,数,*,*,*,*,*
階	名詞,接尾,助数詞,*,*,*,階,カイ,カイ
線形	名詞,一般,*,*,*,*,線形,センケイ,センケイ
定数係数	名詞,固有名詞,一般,*,*,*,定数係数,テイスウケイスウ,テイスーケイスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
常微分方程式	名詞,固有名詞,一般,*,*,*,常微分方程式,ジョウビブンホウテイシキ,ジョウビブンホーテイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解法	名詞,一般,*,*,*,*,解法,カイホウ,カイホー
6	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
力積	名詞,固有名詞,一般,*,*,*,力積,リキセキ,リキセキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
運動量	名詞,固有名詞,一般,*,*,*,運動量,ウンドウリョウ,ウンドーリョー
，	記号,読点,*,*,*,*,，,，,，
物体	名詞,一般,*,*,*,*,物体,ブッタイ,ブッタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
衝突	名詞,サ変接続,*,*,*,*,衝突,ショウトツ,ショートツ
7	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト
と	助詞,並立助詞,*,*,*,*,と,ト,ト
運動エネルギー	名詞,固有名詞,一般,*,*,*,運動エネルギー,ウンドウエネルギー,ウンドーエネルギー
8	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
保存	名詞,サ変接続,*,*,*,*,保存,ホゾン,ホゾン
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ポテンシャル	名詞,一般,*,*,*,*,ポテンシャル,ポテンシャル,ポテンシャル
エネルギー	名詞,一般,*,*,*,*,エネルギー,エネルギー,エネルギー
，	記号,読点,*,*,*,*,，,，,，
力学的エネルギー	名詞,固有名詞,一般,*,*,*,力学的エネルギー,リキガクテキエネルギー,リキガクテキエネルギー
保存	名詞,サ変接続,*,*,*,*,保存,ホゾン,ホゾン
則	名詞,接尾,一般,*,*,*,則,ソク,ソク
9	名詞,数,*,*,*,*,*
力学	名詞,一般,*,*,*,*,力学,リキガク,リキガク
：	記号,一般,*,*,*,*,：,：,：
円運動	名詞,サ変接続,*,*,*,*,円運動,エンウンドウ,エンウンドー
，	記号,読点,*,*,*,*,，,，,，
回転	名詞,サ変接続,*,*,*,*,回転,カイテン,カイテン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
