ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
特殊相対性理論	名詞,固有名詞,一般,*,*,*,特殊相対性理論,トクシュソウタイセイリロン,トクシュソータイセイリロン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
特殊	名詞,形容動詞語幹,*,*,*,*,特殊,トクシュ,トクシュ
相対性原理	名詞,一般,*,*,*,*,相対性原理,ソウタイセイゲンリ,ソータイセイゲンリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
光速	名詞,一般,*,*,*,*,光速,コウソク,コーソク
不変	名詞,一般,*,*,*,*,不変,フヘン,フヘン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原理	名詞,一般,*,*,*,*,原理,ゲンリ,ゲンリ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
二つ	名詞,一般,*,*,*,*,二つ,フタツ,フタツ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
，	名詞,数,*,*,*,*,，,，,，
時間	名詞,接尾,助数詞,*,*,*,時間,ジカン,ジカン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
長さ	名詞,固有名詞,一般,*,*,*,長さ,ナガサ,ナガサ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
相対性	名詞,固有名詞,一般,*,*,*,相対性,ソウタイセイ,ソータイセイ
，	記号,読点,*,*,*,*,，,，,，
質量	名詞,一般,*,*,*,*,質量,シツリョウ,シツリョー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
エネルギー	名詞,一般,*,*,*,*,エネルギー,エネルギー,エネルギー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
等価	名詞,一般,*,*,*,*,等価,トウカ,トーカ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
導か	動詞,自立,*,*,五段・カ行イ音便,未然形,導く,ミチビカ,ミチビカ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
，	記号,読点,*,*,*,*,，,，,，
ローレンツ変換	名詞,固有名詞,一般,*,*,*,ローレンツ変換,ローレンツヘンカン,ローレンツヘンカン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
時空	名詞,一般,*,*,*,*,時空,ジクウ,ジクー
図	名詞,接尾,一般,*,*,*,図,ズ,ズ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
後半	名詞,副詞可能,*,*,*,*,後半,コウハン,コーハン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
成立	名詞,サ変接続,*,*,*,*,成立,セイリツ,セイリツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
経緯	名詞,一般,*,*,*,*,経緯,ケイイ,ケイイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
なぞる	動詞,自立,*,*,五段・ラ行,基本形,なぞる,ナゾル,ナゾル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
で	助詞,格助詞,一般,*,*,*,で,デ,デ
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
差異	名詞,一般,*,*,*,*,差異,サイ,サイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
，	記号,読点,*,*,*,*,，,，,，
また	接続詞,*,*,*,*,*,また,マタ,マタ
，	記号,読点,*,*,*,*,，,，,，
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
発展	名詞,サ変接続,*,*,*,*,発展,ハッテン,ハッテン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
も	助詞,係助詞,*,*,*,*,も,モ,モ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
一般	名詞,一般,*,*,*,*,一般,イッパン,イッパン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
「	記号,括弧開,*,*,*,*,「,「,「
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
20世紀	名詞,固有名詞,一般,*,*,*,20世紀,ニジッセイキ,ニジッセイキ
以降	名詞,副詞可能,*,*,*,*,以降,イコウ,イコー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
誕生	名詞,サ変接続,*,*,*,*,誕生,タンジョウ,タンジョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
指す	動詞,自立,*,*,五段・サ行,基本形,指す,サス,サス
。	記号,句点,*,*,*,*,。,。,。
特殊	名詞,形容動詞語幹,*,*,*,*,特殊,トクシュ,トクシュ
および	助詞,接続助詞,*,*,*,*,および,オヨビ,オヨビ
一般相対性理論	名詞,固有名詞,一般,*,*,*,一般相対性理論,イッパンソウタイセイリロン,イッパンソータイセイリロン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
どちら	名詞,代名詞,一般,*,*,*,どちら,ドチラ,ドチラ
も	助詞,係助詞,*,*,*,*,も,モ,モ
20世紀	名詞,固有名詞,一般,*,*,*,20世紀,ニジッセイキ,ニジッセイキ
初頭	名詞,副詞可能,*,*,*,*,初頭,ショトウ,ショトー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
誕生	名詞,サ変接続,*,*,*,*,誕生,タンジョウ,タンジョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
体系	名詞,一般,*,*,*,*,体系,タイケイ,タイケイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
，	記号,読点,*,*,*,*,，,，,，
これら	名詞,代名詞,一般,*,*,*,これら,コレラ,コレラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
，	記号,読点,*,*,*,*,，,，,，
ニュートン力学	名詞,固有名詞,一般,*,*,*,ニュートン力学,ニュートンリキガク,ニュートンリキガク
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
マクスウェル	名詞,固有名詞,一般,*,*,*,maxwell,マクスウェル,マクスウェル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
といった	助詞,格助詞,連語,*,*,*,といった,トイッタ,トイッタ
19世紀	名詞,固有名詞,一般,*,*,*,19世紀,ジュウキュウセイキ,ジュウキュウセイキ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
と	助詞,格助詞,一般,*,*,*,と,ト,ト
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
異なる	動詞,自立,*,*,五段・ラ行,基本形,異なる,コトナル,コトナル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
，	記号,読点,*,*,*,*,，,，,，
それら	名詞,代名詞,一般,*,*,*,それら,ソレラ,ソレラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
最先端	名詞,一般,*,*,*,*,最先端,サイセンタン,サイセンタン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
関わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,関わる,カカワッ,カカワッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
指定	名詞,サ変接続,*,*,*,*,指定,シテイ,シテイ
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
特殊	名詞,形容動詞語幹,*,*,*,*,特殊,トクシュ,トクシュ
相対論	名詞,固有名詞,一般,*,*,*,相対論,ソウタイロン,ソータイロン
・	記号,一般,*,*,*,*,・,・,・
A	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
アインシュタイン	名詞,固有名詞,人名,姓,*,*,アインシュタイン,アインシュタイン,アインシュタイン
『	記号,括弧開,*,*,*,*,『,『,『
相対性理論	名詞,一般,*,*,*,*,相対性理論,ソウタイセイリロン,ソータイセイリロン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
岩波文庫	名詞,固有名詞,人名,一般,*,*,岩波文庫,イワナミブンコ,イワナミブンコ
）	記号,括弧閉,*,*,*,*,）,）,）
・	記号,一般,*,*,*,*,・,・,・
風間	名詞,固有名詞,人名,姓,*,*,風間,カザマ,カザマ
洋一	名詞,固有名詞,人名,名,*,*,洋一,ヨウイチ,ヨーイチ
『	記号,括弧開,*,*,*,*,『,『,『
相対性理論	名詞,一般,*,*,*,*,相対性理論,ソウタイセイリロン,ソータイセイリロン
入門	名詞,サ変接続,*,*,*,*,入門,ニュウモン,ニューモン
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
培風館	名詞,固有名詞,組織,*,*,*,培風館,バイフウカン,バイフーカン
）	記号,括弧閉,*,*,*,*,）,）,）
・	記号,一般,*,*,*,*,・,・,・
佐藤勝彦	名詞,固有名詞,人名,一般,*,*,佐藤勝彦,サトウカツヒコ,サトーカツヒコ
『	記号,括弧開,*,*,*,*,『,『,『
相対性理論	名詞,一般,*,*,*,*,相対性理論,ソウタイセイリロン,ソータイセイリロン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
岩波書店	名詞,固有名詞,組織,*,*,*,岩波書店,イワナミショテン,イワナミショテン
）	記号,括弧閉,*,*,*,*,）,）,）
・	記号,一般,*,*,*,*,・,・,・
小林	名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ
晋平	名詞,固有名詞,人名,名,*,*,晋平,シンペイ,シンペイ
『	記号,括弧開,*,*,*,*,『,『,『
ブラックホール	名詞,一般,*,*,*,*,ブラックホール,ブラックホール,ブラックホール
と	助詞,並立助詞,*,*,*,*,と,ト,ト
時空	名詞,一般,*,*,*,*,時空,ジクウ,ジクー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方程式	名詞,一般,*,*,*,*,方程式,ホウテイシキ,ホーテイシキ
：	記号,一般,*,*,*,*,：,：,：
15歳	名詞,固有名詞,一般,*,*,*,15歳,ジュウゴサイ,ジュウゴサイ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
一般	名詞,一般,*,*,*,*,一般,イッパン,イッパン
相対論	名詞,固有名詞,一般,*,*,*,相対論,ソウタイロン,ソータイロン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
森北出版	名詞,固有名詞,組織,*,*,*,森北出版,モリキタシュッパン,モリキタシュッパン
）	記号,括弧閉,*,*,*,*,）,）,）
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
・	記号,一般,*,*,*,*,・,・,・
和田純夫	名詞,固有名詞,人名,一般,*,*,和田純夫,ワダスミオ,ワダスミオ
『	記号,括弧開,*,*,*,*,『,『,『
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
きき	名詞,一般,*,*,*,*,きき,キキ,キキ
どころ	名詞,非自立,一般,*,*,*,どころ,ドコロ,ドコロ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
岩波書店	名詞,固有名詞,組織,*,*,*,岩波書店,イワナミショテン,イワナミショテン
）	記号,括弧閉,*,*,*,*,）,）,）
・	記号,一般,*,*,*,*,・,・,・
松浦壮	名詞,固有名詞,人名,一般,*,*,松浦壮,マツウラソウ,マツーラソー
『	記号,括弧開,*,*,*,*,『,『,『
量子	名詞,一般,*,*,*,*,量子,リョウシ,リョーシ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なんだろう	名詞,固有名詞,一般,*,*,*,なんだろう,ナンダロウ,ナンダロー
宇宙	名詞,一般,*,*,*,*,宇宙,ウチュウ,ウチュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
支配	名詞,サ変接続,*,*,*,*,支配,シハイ,シハイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
究極	名詞,一般,*,*,*,*,究極,キュウキョク,キューキョク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
しくみ	動詞,自立,*,*,五段・マ行,連用形,しくむ,シクミ,シクミ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
講談社	名詞,固有名詞,組織,*,*,*,講談社,コウダンシャ,コーダンシャ
）	記号,括弧閉,*,*,*,*,）,）,）
・	記号,一般,*,*,*,*,・,・,・
小林	名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ
晋平	名詞,固有名詞,人名,名,*,*,晋平,シンペイ,シンペイ
『	記号,括弧開,*,*,*,*,『,『,『
宇宙	名詞,一般,*,*,*,*,宇宙,ウチュウ,ウチュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
見え	名詞,一般,*,*,*,*,見え,ミエ,ミエ
方	名詞,接尾,一般,*,*,*,方,カタ,カタ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
変わる	動詞,自立,*,*,五段・ラ行,基本形,変わる,カワル,カワル
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
入門	名詞,サ変接続,*,*,*,*,入門,ニュウモン,ニューモン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
ベレ	名詞,固有名詞,一般,*,*,*,*
出版	名詞,サ変接続,*,*,*,*,出版,シュッパン,シュッパン
）	記号,括弧閉,*,*,*,*,）,）,）
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
と	助詞,並立助詞,*,*,*,*,と,ト,ト
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
総合的	名詞,固有名詞,一般,*,*,*,総合的,ソウゴウテキ,ソーゴーテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
判断	名詞,サ変接続,*,*,*,*,判断,ハンダン,ハンダン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
特殊	名詞,形容動詞語幹,*,*,*,*,特殊,トクシュ,トクシュ
相対論	名詞,固有名詞,一般,*,*,*,相対論,ソウタイロン,ソータイロン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
背景	名詞,一般,*,*,*,*,背景,ハイケイ,ハイケイ
2	名詞,数,*,*,*,*,*
ニュートン力学	名詞,固有名詞,一般,*,*,*,ニュートン力学,ニュートンリキガク,ニュートンリキガク
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
相対性	名詞,固有名詞,一般,*,*,*,相対性,ソウタイセイ,ソータイセイ
3	名詞,数,*,*,*,*,*
光速	名詞,一般,*,*,*,*,光速,コウソク,コーソク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
測定	名詞,サ変接続,*,*,*,*,測定,ソクテイ,ソクテイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
光速	名詞,一般,*,*,*,*,光速,コウソク,コーソク
不変	名詞,一般,*,*,*,*,不変,フヘン,フヘン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原理	名詞,一般,*,*,*,*,原理,ゲンリ,ゲンリ
4	名詞,数,*,*,*,*,*
同時性	名詞,固有名詞,一般,*,*,*,同時性,ドウジセイ,ドージセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
相対性	名詞,固有名詞,一般,*,*,*,相対性,ソウタイセイ,ソータイセイ
5	名詞,数,*,*,*,*,*
ローレンツ変換	名詞,固有名詞,一般,*,*,*,ローレンツ変換,ローレンツヘンカン,ローレンツヘンカン
6	名詞,数,*,*,*,*,*
特殊	名詞,形容動詞語幹,*,*,*,*,特殊,トクシュ,トクシュ
相対論	名詞,固有名詞,一般,*,*,*,相対論,ソウタイロン,ソータイロン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
効果	名詞,一般,*,*,*,*,効果,コウカ,コーカ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
現れる	動詞,自立,*,*,一段,基本形,現れる,アラワレル,アラワレル
現象	名詞,一般,*,*,*,*,現象,ゲンショウ,ゲンショー
7	名詞,数,*,*,*,*,*
特殊	名詞,形容動詞語幹,*,*,*,*,特殊,トクシュ,トクシュ
相対論	名詞,固有名詞,一般,*,*,*,相対論,ソウタイロン,ソータイロン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
運動学	名詞,固有名詞,一般,*,*,*,運動学,ウンドウガク,ウンドーガク
8	名詞,数,*,*,*,*,*
特殊	名詞,形容動詞語幹,*,*,*,*,特殊,トクシュ,トクシュ
相対論	名詞,固有名詞,一般,*,*,*,相対論,ソウタイロン,ソータイロン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
9	名詞,数,*,*,*,*,*
黒体輻射	名詞,固有名詞,一般,*,*,*,黒体輻射,コクタイフクシャ,コクタイフクシャ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
プランク	名詞,固有名詞,人名,一般,*,*,Plank,プランク,プランク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
量子	名詞,一般,*,*,*,*,量子,リョウシ,リョーシ
仮説	名詞,一般,*,*,*,*,仮説,カセツ,カセツ
10	名詞,数,*,*,*,*,*
光電効果	名詞,固有名詞,一般,*,*,*,光電効果,コウデンコウカ,コウデンコーカ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
光量子	名詞,一般,*,*,*,*,光量子,コウリョウシ,コーリョーシ
仮説	名詞,一般,*,*,*,*,仮説,カセツ,カセツ
11	名詞,数,*,*,*,*,*
ボーア	名詞,固有名詞,一般,*,*,*,boa,ボーア,ボーア
模型	名詞,一般,*,*,*,*,模型,モケイ,モケイ
12	名詞,数,*,*,*,*,*
シュレディンガー方程式	名詞,固有名詞,一般,*,*,*,シュレディンガー方程式,シュレディンガーホウテイシキ,シュレディンガーホーテイシキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
波動関数	名詞,固有名詞,一般,*,*,*,波動関数,ハドウカンスウ,ハドーカンスー
13	名詞,数,*,*,*,*,*
簡単	名詞,形容動詞語幹,*,*,*,*,簡単,カンタン,カンタン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
量子	名詞,一般,*,*,*,*,量子,リョウシ,リョーシ
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ
