ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
数学	名詞,一般,*,*,*,*,数学,スウガク,スーガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
数学	名詞,一般,*,*,*,*,数学,スウガク,スーガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
、	記号,読点,*,*,*,*,、,、,、
スカラー	名詞,一般,*,*,*,*,スカラー,スカラー,スカラー
積	名詞,一般,*,*,*,*,積,セキ,セキ
、	記号,読点,*,*,*,*,、,、,、
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
積	名詞,一般,*,*,*,*,積,セキ,セキ
、	記号,読点,*,*,*,*,、,、,、
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
微分	名詞,サ変接続,*,*,*,*,微分,ビブン,ビブン
、	記号,読点,*,*,*,*,、,、,、
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
、	記号,読点,*,*,*,*,、,、,、
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
、	記号,読点,*,*,*,*,、,、,、
行列	名詞,サ変接続,*,*,*,*,行列,ギョウレツ,ギョーレツ
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
物理学	名詞,固有名詞,一般,*,*,*,物理学,ブツリガク,ブツリガク
、	記号,読点,*,*,*,*,、,、,、
小出昭一郎	名詞,固有名詞,人名,一般,*,*,小出昭一郎,コイデショウイチロウ,コイデショウイチロー
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
、	記号,読点,*,*,*,*,、,、,、
裳華房	名詞,固有名詞,組織,*,*,*,裳華房,ショウカボウ,ショウカボー
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
成績	名詞,一般,*,*,*,*,成績,セイセキ,セイセキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
判断	名詞,サ変接続,*,*,*,*,判断,ハンダン,ハンダン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
2	名詞,数,*,*,*,*,*
内積	名詞,一般,*,*,*,*,内積,ナイセキ,ナイセキ
、	記号,読点,*,*,*,*,、,、,、
外積	名詞,一般,*,*,*,*,外積,ガイセキ,ガイセキ
、	記号,読点,*,*,*,*,、,、,、
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
微分積分	名詞,固有名詞,一般,*,*,*,微分・積分,ビブンセキブン,ビブンセキブン
3	名詞,数,*,*,*,*,*
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
１	名詞,数,*,*,*,*,１,イチ,イチ
4	名詞,数,*,*,*,*,*
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
２5	名詞,数,*,*,*,*,*
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
３6	名詞,数,*,*,*,*,*
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
４7	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
１	名詞,数,*,*,*,*,１,イチ,イチ
8	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
２9	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
３10	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
４11	名詞,数,*,*,*,*,*
マックスウェル	名詞,固有名詞,一般,*,*,*,Maxwell,マックスウェル,マックスウェル
方程式	名詞,一般,*,*,*,*,方程式,ホウテイシキ,ホーテイシキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
12	名詞,数,*,*,*,*,*
無限	名詞,一般,*,*,*,*,無限,ムゲン,ムゲン
次元	名詞,一般,*,*,*,*,次元,ジゲン,ジゲン
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
変換	名詞,サ変接続,*,*,*,*,変換,ヘンカン,ヘンカン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
13	名詞,数,*,*,*,*,*
フーリエ変換	名詞,固有名詞,一般,*,*,*,フーリエ変換,フーリエヘンカン,フーリエヘンカン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
14	名詞,数,*,*,*,*,*
行列	名詞,サ変接続,*,*,*,*,行列,ギョウレツ,ギョーレツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
行列式	名詞,固有名詞,一般,*,*,*,行列式,ギョウレツシキ,ギョーレツシキ
15	名詞,数,*,*,*,*,*
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
2	名詞,数,*,*,*,*,*
内積	名詞,一般,*,*,*,*,内積,ナイセキ,ナイセキ
、	記号,読点,*,*,*,*,、,、,、
外積	名詞,一般,*,*,*,*,外積,ガイセキ,ガイセキ
、	記号,読点,*,*,*,*,、,、,、
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
微分積分	名詞,固有名詞,一般,*,*,*,微分・積分,ビブンセキブン,ビブンセキブン
3	名詞,数,*,*,*,*,*
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
１	名詞,数,*,*,*,*,１,イチ,イチ
4	名詞,数,*,*,*,*,*
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
２	名詞,数,*,*,*,*,２,ニ,ニ
5	名詞,数,*,*,*,*,*
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
３	名詞,数,*,*,*,*,３,サン,サン
6	名詞,数,*,*,*,*,*
古典力学	名詞,固有名詞,一般,*,*,*,古典力学,コテンリキガク,コテンリキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
４	名詞,数,*,*,*,*,４,ヨン,ヨン
7	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
１	名詞,数,*,*,*,*,１,イチ,イチ
8	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
２	名詞,数,*,*,*,*,２,ニ,ニ
9	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
３	名詞,数,*,*,*,*,３,サン,サン
10	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
４	名詞,数,*,*,*,*,４,ヨン,ヨン
11	名詞,数,*,*,*,*,*
マックスウェル	名詞,固有名詞,一般,*,*,*,Maxwell,マックスウェル,マックスウェル
方程式	名詞,一般,*,*,*,*,方程式,ホウテイシキ,ホーテイシキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
12	名詞,数,*,*,*,*,*
無限	名詞,一般,*,*,*,*,無限,ムゲン,ムゲン
次元	名詞,一般,*,*,*,*,次元,ジゲン,ジゲン
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
変換	名詞,サ変接続,*,*,*,*,変換,ヘンカン,ヘンカン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
13	名詞,数,*,*,*,*,*
フーリエ変換	名詞,固有名詞,一般,*,*,*,フーリエ変換,フーリエヘンカン,フーリエヘンカン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
量子力学	名詞,一般,*,*,*,*,量子力学,リョウシリキガク,リョーシリキガク
14	名詞,数,*,*,*,*,*
行列	名詞,サ変接続,*,*,*,*,行列,ギョウレツ,ギョーレツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
行列式	名詞,固有名詞,一般,*,*,*,行列式,ギョウレツシキ,ギョーレツシキ
15	名詞,数,*,*,*,*,*
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
ベクトル	名詞,一般,*,*,*,*,ベクトル,ベクトル,ベクトル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
微積分	名詞,一般,*,*,*,*,微積分,ビセキブン,ビセキブン
、	記号,読点,*,*,*,*,、,、,、
内積	名詞,一般,*,*,*,*,内積,ナイセキ,ナイセキ
、	記号,読点,*,*,*,*,、,、,、
外積	名詞,一般,*,*,*,*,外積,ガイセキ,ガイセキ
、	記号,読点,*,*,*,*,、,、,、
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メッセージ	名詞,一般,*,*,*,*,メッセージ,メッセージ,メッセージ
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
）	記号,括弧閉,*,*,*,*,）,）,）
基本的	名詞,固有名詞,一般,*,*,*,基本的,キホンテキ,キホンテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
も	助詞,係助詞,*,*,*,*,も,モ,モ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
数	名詞,数,*,*,*,*,数,スウ,スー
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
お知らせ	名詞,サ変接続,*,*,*,*,お知らせ,オシラセ,オシラセ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
EOS
