ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
古典	名詞,一般,*,*,*,*,古典,コテン,コテン
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
静電気学	名詞,固有名詞,一般,*,*,*,静電気学,セイデンキガク,セイデンキガク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
静	名詞,固有名詞,地域,一般,*,*,静,シズ,シズ
磁気	名詞,一般,*,*,*,*,磁気,ジキ,ジキ
学	名詞,接尾,一般,*,*,*,学,ガク,ガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
静	名詞,一般,*,*,*,*,静,セイ,セイ
電場	名詞,一般,*,*,*,*,電場,デンジョウ,デンジョー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
静磁場	名詞,固有名詞,一般,*,*,*,静磁場,セイジバ,セイジバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本法則	名詞,固有名詞,一般,*,*,*,基本法則,キホンホウソク,キホンホーソク
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
マクスウェルの方程式	名詞,固有名詞,一般,*,*,*,マクスウェルの方程式,マクスウェルノホウテイシキ,マクスウェルノホーテイシキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
至る	動詞,自立,*,*,五段・ラ行,基本形,至る,イタル,イタル
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
座	名詞,一般,*,*,*,*,座,ザ,ザ
学	名詞,接尾,一般,*,*,*,学,ガク,ガク
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
兵頭俊夫	名詞,固有名詞,人名,一般,*,*,兵頭俊夫,ヒョウドウトシオ,ヒョードートシオ
「	記号,括弧開,*,*,*,*,「,「,「
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
」	記号,括弧閉,*,*,*,*,」,」,」
裳華房	名詞,固有名詞,組織,*,*,*,裳華房,ショウカボウ,ショウカボー
、	記号,読点,*,*,*,*,、,、,、
1999年	名詞,固有名詞,一般,*,*,*,1999年,センキュウヒャクキュウジュウキュウネン,センキュウヒャクキュウジュウキュウネン
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
J	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
D	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
ジャクソン	名詞,固有名詞,人名,姓,*,*,ジャクソン,ジャクソン,ジャクソン
「	記号,括弧開,*,*,*,*,「,「,「
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
（	記号,括弧開,*,*,*,*,（,（,（
上	名詞,一般,*,*,*,*,上,ウエ,ウエ
）	記号,括弧閉,*,*,*,*,）,）,）
」	記号,括弧閉,*,*,*,*,」,」,」
吉岡書店	名詞,固有名詞,組織,*,*,*,吉岡書店,ヨシオカショテン,ヨシオカショテン
、	記号,読点,*,*,*,*,、,、,、
2002年	名詞,固有名詞,一般,*,*,*,2002年,ニセンニネン,ニセンニネン
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ
学問	名詞,サ変接続,*,*,*,*,学問,ガクモン,ガクモン
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
2	名詞,数,*,*,*,*,*
電場	名詞,一般,*,*,*,*,電場,デンジョウ,デンジョー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
クーロンの法則	名詞,固有名詞,一般,*,*,*,クーロンの法則,クーロンノホウソク,クーロンノホーソク
3	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
微積分	名詞,一般,*,*,*,*,微積分,ビセキブン,ビセキブン
4	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
5	名詞,数,*,*,*,*,*
ガウスの法則	名詞,固有名詞,一般,*,*,*,ガウスの法則,ガウスノホウソク,ガウスノホーソク
6	名詞,数,*,*,*,*,*
ガウスの法則	名詞,固有名詞,一般,*,*,*,ガウスの法則,ガウスノホウソク,ガウスノホーソク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
7	名詞,数,*,*,*,*,*
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
8	名詞,数,*,*,*,*,*
静	名詞,一般,*,*,*,*,静,セイ,セイ
電	名詞,接尾,一般,*,*,*,電,デン,デン
ポテンシャル	名詞,一般,*,*,*,*,ポテンシャル,ポテンシャル,ポテンシャル
9	名詞,数,*,*,*,*,*
電気	名詞,一般,*,*,*,*,電気,デンキ,デンキ
双極子	名詞,固有名詞,一般,*,*,*,双極子,ソウキョクシ,ソーキョクシ
10	名詞,数,*,*,*,*,*
導体	名詞,一般,*,*,*,*,導体,ドウタイ,ドータイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
静	名詞,固有名詞,地域,一般,*,*,静,シズ,シズ
電場	名詞,一般,*,*,*,*,電場,デンジョウ,デンジョー
11	名詞,数,*,*,*,*,*
鏡像	名詞,固有名詞,一般,*,*,*,鏡像,キョウゾウ,キョウゾー
電荷	名詞,サ変接続,*,*,*,*,電荷,デンカ,デンカ
12	名詞,数,*,*,*,*,*
定常	名詞,一般,*,*,*,*,定常,テイジョウ,テイジョー
電流	名詞,一般,*,*,*,*,電流,デンリュウ,デンリュー
13	名詞,数,*,*,*,*,*
直流回路	名詞,固有名詞,一般,*,*,*,直流回路,チョクリュウカイロ,チョクリューカイロ
14	名詞,数,*,*,*,*,*
磁場	名詞,一般,*,*,*,*,磁場,ジバ,ジバ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
磁束密度	名詞,固有名詞,一般,*,*,*,磁束密度,ジソクミツド,ジソクミツド
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
法則	名詞,一般,*,*,*,*,法則,ホウソク,ホーソク
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ
学問	名詞,サ変接続,*,*,*,*,学問,ガクモン,ガクモン
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
2	名詞,数,*,*,*,*,*
電場	名詞,一般,*,*,*,*,電場,デンジョウ,デンジョー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
クーロンの法則	名詞,固有名詞,一般,*,*,*,クーロンの法則,クーロンノホウソク,クーロンノホーソク
3	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
微積分	名詞,一般,*,*,*,*,微積分,ビセキブン,ビセキブン
4	名詞,数,*,*,*,*,*
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベクトル解析	名詞,固有名詞,一般,*,*,*,ベクトル解析,ベクトルカイセキ,ベクトルカイセキ
5	名詞,数,*,*,*,*,*
ガウスの法則	名詞,固有名詞,一般,*,*,*,ガウスの法則,ガウスノホウソク,ガウスノホーソク
6	名詞,数,*,*,*,*,*
ガウスの法則	名詞,固有名詞,一般,*,*,*,ガウスの法則,ガウスノホウソク,ガウスノホーソク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
7	名詞,数,*,*,*,*,*
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
8	名詞,数,*,*,*,*,*
静	名詞,一般,*,*,*,*,静,セイ,セイ
電	名詞,接尾,一般,*,*,*,電,デン,デン
ポテンシャル	名詞,一般,*,*,*,*,ポテンシャル,ポテンシャル,ポテンシャル
9	名詞,数,*,*,*,*,*
電気	名詞,一般,*,*,*,*,電気,デンキ,デンキ
双極子	名詞,固有名詞,一般,*,*,*,双極子,ソウキョクシ,ソーキョクシ
10	名詞,数,*,*,*,*,*
導体	名詞,一般,*,*,*,*,導体,ドウタイ,ドータイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
静	名詞,固有名詞,地域,一般,*,*,静,シズ,シズ
電場	名詞,一般,*,*,*,*,電場,デンジョウ,デンジョー
11	名詞,数,*,*,*,*,*
鏡像	名詞,固有名詞,一般,*,*,*,鏡像,キョウゾウ,キョウゾー
電荷	名詞,サ変接続,*,*,*,*,電荷,デンカ,デンカ
12	名詞,数,*,*,*,*,*
定常	名詞,一般,*,*,*,*,定常,テイジョウ,テイジョー
電流	名詞,一般,*,*,*,*,電流,デンリュウ,デンリュー
13	名詞,数,*,*,*,*,*
直流回路	名詞,固有名詞,一般,*,*,*,直流回路,チョクリュウカイロ,チョクリューカイロ
14	名詞,数,*,*,*,*,*
磁場	名詞,一般,*,*,*,*,磁場,ジバ,ジバ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
磁束密度	名詞,固有名詞,一般,*,*,*,磁束密度,ジソクミツド,ジソクミツド
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
法則	名詞,一般,*,*,*,*,法則,ホウソク,ホーソク
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
予習	名詞,サ変接続,*,*,*,*,予習,ヨシュウ,ヨシュー
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
、	記号,読点,*,*,*,*,、,、,、
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
演習問題	名詞,固有名詞,一般,*,*,*,演習問題,エンシュウモンダイ,エンシューモンダイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解く	動詞,自立,*,*,五段・カ行イ音便,基本形,解く,トク,トク
オンライン講義	名詞,固有名詞,一般,*,*,*,オンライン講義,オンラインコウギ,オンラインコーギ
用	名詞,接尾,一般,*,*,*,用,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ビデオ	名詞,一般,*,*,*,*,ビデオ,ビデオ,ビデオ
も	助詞,係助詞,*,*,*,*,も,モ,モ
視聴	名詞,サ変接続,*,*,*,*,視聴,シチョウ,シチョー
可	名詞,接尾,一般,*,*,*,可,カ,カ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
マクスウェルの方程式	名詞,固有名詞,一般,*,*,*,マクスウェルの方程式,マクスウェルノホウテイシキ,マクスウェルノホーテイシキ
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メッセージ	名詞,一般,*,*,*,*,メッセージ,メッセージ,メッセージ
電磁気学	名詞,固有名詞,一般,*,*,*,電磁気学,デンジキガク,デンジキガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
喜び	名詞,一般,*,*,*,*,喜び,ヨロコビ,ヨロコビ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
体験	名詞,サ変接続,*,*,*,*,体験,タイケン,タイケン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ください	動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,くださる,クダサイ,クダサイ
。	記号,句点,*,*,*,*,。,。,。
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
）	記号,括弧閉,*,*,*,*,）,）,）
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
EOS
