ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
社会科	名詞,固有名詞,一般,*,*,*,社会科,シャカイカ,シャカイカ
，	記号,読点,*,*,*,*,，,，,，
公民	名詞,一般,*,*,*,*,公民,コウミン,コーミン
科	名詞,接尾,一般,*,*,*,科,カ,カ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
成立	名詞,サ変接続,*,*,*,*,成立,セイリツ,セイリツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
理念	名詞,一般,*,*,*,*,理念,リネン,リネン
，	記号,読点,*,*,*,*,，,，,，
具体	名詞,一般,*,*,*,*,具体,グタイ,グタイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
，	記号,読点,*,*,*,*,，,，,，
教材研究	名詞,固有名詞,一般,*,*,*,教材研究,キョウザイケンキュウ,キョーザイケンキュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
，	記号,読点,*,*,*,*,，,，,，
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
づくり	名詞,接尾,一般,*,*,*,づくり,ヅクリ,ズクリ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
考察	名詞,サ変接続,*,*,*,*,考察,コウサツ,コーサツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
，	記号,読点,*,*,*,*,，,，,，
公民	名詞,一般,*,*,*,*,公民,コウミン,コーミン
科	名詞,接尾,一般,*,*,*,科,カ,カ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
直面	名詞,サ変接続,*,*,*,*,直面,チョクメン,チョクメン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
現代的	名詞,固有名詞,一般,*,*,*,現代的,ゲンダイテキ,ゲンダイテキ
・	記号,一般,*,*,*,*,・,・,・
将来的	名詞,固有名詞,一般,*,*,*,将来的,ショウライテキ,ショーライテキ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
認識	名詞,サ変接続,*,*,*,*,認識,ニンシキ,ニンシキ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
，	記号,読点,*,*,*,*,，,，,，
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
取り組み	名詞,一般,*,*,*,*,取り組み,トリクミ,トリクミ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
検討	名詞,サ変接続,*,*,*,*,検討,ケントウ,ケントー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
社会科	名詞,固有名詞,一般,*,*,*,社会科,シャカイカ,シャカイカ
・	記号,一般,*,*,*,*,・,・,・
公民	名詞,一般,*,*,*,*,公民,コウミン,コーミン
科	名詞,接尾,一般,*,*,*,科,カ,カ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
理念	名詞,一般,*,*,*,*,理念,リネン,リネン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
踏まえ	動詞,自立,*,*,一段,連用形,踏まえる,フマエ,フマエ
、	記号,読点,*,*,*,*,、,、,、
学習者	名詞,固有名詞,一般,*,*,*,学習者,ガクシュウシャ,ガクシューシャ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
置か	動詞,自立,*,*,五段・カ行イ音便,未然形,置く,オカ,オカ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
環境	名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
即し	動詞,自立,*,*,五段・サ行,連用形,即す,ソクシ,ソクシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
教材研究	名詞,固有名詞,一般,*,*,*,教材研究,キョウザイケンキュウ,キョーザイケンキュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
身	名詞,一般,*,*,*,*,身,ミ,ミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
つける	動詞,自立,*,*,一段,基本形,つける,ツケル,ツケル
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
、	記号,読点,*,*,*,*,、,、,、
公民	名詞,一般,*,*,*,*,公民,コウミン,コーミン
科	名詞,接尾,一般,*,*,*,科,カ,カ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
教科	名詞,一般,*,*,*,*,教科,キョウカ,キョーカ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
姿	名詞,一般,*,*,*,*,姿,スガタ,スガタ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
展望	名詞,サ変接続,*,*,*,*,展望,テンボウ,テンボー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
力	名詞,一般,*,*,*,*,力,チカラ,チカラ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つける	動詞,自立,*,*,一段,基本形,つける,ツケル,ツケル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
荒井	名詞,固有名詞,人名,姓,*,*,荒井,アライ,アライ
正剛	名詞,固有名詞,人名,名,*,*,正剛,セイゴウ,セイゴー
編著	名詞,一般,*,*,*,*,編著,ヘンチョ,ヘンチョ
『	記号,括弧開,*,*,*,*,『,『,『
中等教育	名詞,固有名詞,一般,*,*,*,中等教育,チュウトウキョウイク,チュートーキョーイク
社会科	名詞,固有名詞,一般,*,*,*,社会科,シャカイカ,シャカイカ
教師	名詞,一般,*,*,*,*,教師,キョウシ,キョーシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
専門性	名詞,固有名詞,一般,*,*,*,専門性,センモンセイ,センモンセイ
育成	名詞,サ変接続,*,*,*,*,育成,イクセイ,イクセイ
』	記号,括弧閉,*,*,*,*,』,』,』
学文社	名詞,固有名詞,組織,*,*,*,学文社,ガクブンシャ,ガクブンシャ
2022	名詞,数,*,*,*,*,*
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
文部科学省	名詞,固有名詞,組織,*,*,*,文部科学省,モンブカガクショウ,モンブカガクショー
『	記号,括弧開,*,*,*,*,『,『,『
中学校学習指導要領	名詞,固有名詞,一般,*,*,*,中学校学習指導要領,チュウガッコウガクシュウシドウヨウリョウ,チューガッコーガクシューシドーヨウリョー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
平成29年	名詞,固有名詞,一般,*,*,*,2017年,ヘイセイニジュウキュウネン,ヘイセイニジュウキュウネン
3月	名詞,固有名詞,一般,*,*,*,3月,サンガツ,サンガツ
告示	名詞,サ変接続,*,*,*,*,告示,コクジ,コクジ
）	記号,括弧閉,*,*,*,*,）,）,）
文部科学省	名詞,固有名詞,組織,*,*,*,文部科学省,モンブカガクショウ,モンブカガクショー
『	記号,括弧開,*,*,*,*,『,『,『
中学校学習指導要領	名詞,固有名詞,一般,*,*,*,中学校学習指導要領,チュウガッコウガクシュウシドウヨウリョウ,チューガッコーガクシューシドーヨウリョー
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
平成29年	名詞,固有名詞,一般,*,*,*,2017年,ヘイセイニジュウキュウネン,ヘイセイニジュウキュウネン
6月	名詞,固有名詞,一般,*,*,*,6月,ロクガツ,ロクガツ
）	記号,括弧閉,*,*,*,*,）,）,）
文部科学省	名詞,固有名詞,組織,*,*,*,文部科学省,モンブカガクショウ,モンブカガクショー
『	記号,括弧開,*,*,*,*,『,『,『
高等学校学習指導要領	名詞,固有名詞,一般,*,*,*,高等学校学習指導要領,コウトウガッコウガクシュウシドウヨウリョウ,コートーガッコーガクシューシドーヨウリョー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
平成30年	名詞,固有名詞,一般,*,*,*,平成30年,ヘイセイサンジュウネン,ヘイセイサンジュウネン
3月	名詞,固有名詞,一般,*,*,*,3月,サンガツ,サンガツ
告示	名詞,サ変接続,*,*,*,*,告示,コクジ,コクジ
）	記号,括弧閉,*,*,*,*,）,）,）
文部科学省	名詞,固有名詞,組織,*,*,*,文部科学省,モンブカガクショウ,モンブカガクショー
『	記号,括弧開,*,*,*,*,『,『,『
高等学校学習指導要領	名詞,固有名詞,一般,*,*,*,高等学校学習指導要領,コウトウガッコウガクシュウシドウヨウリョウ,コートーガッコーガクシューシドーヨウリョー
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
公民	名詞,一般,*,*,*,*,公民,コウミン,コーミン
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
平成30年	名詞,固有名詞,一般,*,*,*,平成30年,ヘイセイサンジュウネン,ヘイセイサンジュウネン
）	記号,括弧閉,*,*,*,*,）,）,）
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
〇	記号,一般,*,*,*,*,〇,〇,〇
リフレクション	名詞,固有名詞,一般,*,*,*,REFLECTION,リフレクション,リフレクション
ペーパー	名詞,一般,*,*,*,*,ペーパー,ペーパー,ペーパー
（	記号,括弧開,*,*,*,*,（,（,（
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
学び	名詞,一般,*,*,*,*,学び,マナビ,マナビ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
証	名詞,一般,*,*,*,*,証,アカシ,アカシ
）	記号,括弧閉,*,*,*,*,）,）,）
15	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
〇	記号,一般,*,*,*,*,〇,〇,〇
ダイアローグ	名詞,一般,*,*,*,*,ダイアローグ,ダイアローグ,ダイアローグ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
度	名詞,接尾,一般,*,*,*,度,ド,ド
15	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
〇	記号,一般,*,*,*,*,〇,〇,〇
公民	名詞,一般,*,*,*,*,公民,コウミン,コーミン
科	名詞,接尾,一般,*,*,*,科,カ,カ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
学習指導案	名詞,固有名詞,一般,*,*,*,学習指導案,ガクシュウシドウアン,ガクシューシドーアン
35	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
〇	記号,一般,*,*,*,*,〇,〇,〇
法廷	名詞,一般,*,*,*,*,法廷,ホウテイ,ホーテイ
傍聴	名詞,サ変接続,*,*,*,*,傍聴,ボウチョウ,ボーチョー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
35	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
（	記号,括弧開,*,*,*,*,（,（,（
自己紹介	名詞,固有名詞,一般,*,*,*,自己紹介,ジコショウカイ,ジコショーカイ
、	記号,読点,*,*,*,*,、,、,、
本	接頭詞,名詞接続,*,*,*,*,本,ホン,ホン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
、	記号,読点,*,*,*,*,、,、,、
なぜ	副詞,助詞類接続,*,*,*,*,なぜ,ナゼ,ナゼ
社会科	名詞,固有名詞,一般,*,*,*,社会科,シャカイカ,シャカイカ
教師	名詞,一般,*,*,*,*,教師,キョウシ,キョーシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
めざす	動詞,自立,*,*,五段・サ行,基本形,めざす,メザス,メザス
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
…	記号,一般,*,*,*,*,…,…,…
）	記号,括弧閉,*,*,*,*,）,）,）
2	名詞,数,*,*,*,*,*
NIE	名詞,一般,*,*,*,*,NIE,エヌアイイー,エヌアイイー
（	記号,括弧開,*,*,*,*,（,（,（
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
新聞	名詞,一般,*,*,*,*,新聞,シンブン,シンブン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
）	記号,括弧閉,*,*,*,*,）,）,）
新聞	名詞,一般,*,*,*,*,新聞,シンブン,シンブン
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
史	名詞,接尾,一般,*,*,*,史,シ,シ
3	名詞,数,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
婚姻届	名詞,固有名詞,一般,*,*,*,婚姻届,コンイントドケ,コンイントドケ
」	記号,括弧閉,*,*,*,*,」,」,」
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
「	記号,括弧開,*,*,*,*,「,「,「
法の下の平等	名詞,固有名詞,一般,*,*,*,法の下の平等,ホウノモトノビョウドウ,ホーノモトノビョウドー
」	記号,括弧閉,*,*,*,*,」,」,」
〔	記号,括弧開,*,*,*,*,〔,〔,〔
ダイアローグ	名詞,一般,*,*,*,*,ダイアローグ,ダイアローグ,ダイアローグ
〕	記号,括弧閉,*,*,*,*,〕,〕,〕
LGBTQ	名詞,固有名詞,一般,*,*,*,LGBTQ,エルジービーティーキュー,エルジービーティーキュー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
教師	名詞,一般,*,*,*,*,教師,キョウシ,キョーシ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
4	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
聲の形	名詞,固有名詞,一般,*,*,*,聲の形,コエノカタチ,コエノカタチ
』	記号,括弧閉,*,*,*,*,』,』,』
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
「	記号,括弧開,*,*,*,*,「,「,「
いじめ	名詞,一般,*,*,*,*,いじめ,イジメ,イジメ
」	記号,括弧閉,*,*,*,*,」,」,」
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
〔	記号,括弧開,*,*,*,*,〔,〔,〔
ダイアローグ	名詞,一般,*,*,*,*,ダイアローグ,ダイアローグ,ダイアローグ
〕	記号,括弧閉,*,*,*,*,〕,〕,〕
聴覚	名詞,一般,*,*,*,*,聴覚,チョウカク,チョーカク
障碍	名詞,一般,*,*,*,*,障碍,ショウガイ,ショーガイ
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
教師	名詞,一般,*,*,*,*,教師,キョウシ,キョーシ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
5	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
もののけ姫	名詞,固有名詞,一般,*,*,*,もののけ姫,モノノケヒメ,モノノケヒメ
』	記号,括弧閉,*,*,*,*,』,』,』
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
ハンセン病	名詞,一般,*,*,*,*,ハンセン病,ハンセンビョウ,ハンセンビョー
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
6	名詞,数,*,*,*,*,*
領土問題	名詞,固有名詞,一般,*,*,*,領土問題,リョウドモンダイ,リョードモンダイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アプローチ	名詞,サ変接続,*,*,*,*,アプローチ,アプローチ,アプローチ
＊	記号,一般,*,*,*,*,＊,＊,＊
北方領土問題	名詞,固有名詞,一般,*,*,*,北方領土問題,ホッポウリョウドモンダイ,ホッポーリョードモンダイ
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
7	名詞,数,*,*,*,*,*
民主主義	名詞,固有名詞,一般,*,*,*,民主主義,ミンシュシュギ,ミンシュシュギ
（	記号,括弧開,*,*,*,*,（,（,（
選択	名詞,サ変接続,*,*,*,*,選択,センタク,センタク
）	記号,括弧閉,*,*,*,*,）,）,）
の	助詞,連体化,*,*,*,*,の,ノ,ノ
限界	名詞,一般,*,*,*,*,限界,ゲンカイ,ゲンカイ
＊	記号,一般,*,*,*,*,＊,＊,＊
パウロス	名詞,固有名詞,一般,*,*,*,パウロス,パウロス,パウロス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
全員	名詞,一般,*,*,*,*,全員,ゼンイン,ゼンイン
当選	名詞,サ変接続,*,*,*,*,当選,トウセン,トーセン
モデル	名詞,一般,*,*,*,*,モデル,モデル,モデル
8	名詞,数,*,*,*,*,*
奨学金	名詞,固有名詞,一般,*,*,*,奨学金,ショウガクキン,ショーガクキン
破産	名詞,サ変接続,*,*,*,*,破産,ハサン,ハサン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
自己責任	名詞,固有名詞,一般,*,*,*,自己責任,ジコセキニン,ジコセキニン
」	記号,括弧閉,*,*,*,*,」,」,」
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
〔	記号,括弧開,*,*,*,*,〔,〔,〔
ダイアローグ	名詞,一般,*,*,*,*,ダイアローグ,ダイアローグ,ダイアローグ
〕	記号,括弧閉,*,*,*,*,〕,〕,〕
自己責任	名詞,固有名詞,一般,*,*,*,自己責任,ジコセキニン,ジコセキニン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
問う	動詞,自立,*,*,五段・ワ行促音便,基本形,問う,トウ,トウ
9	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
アハメド	名詞,固有名詞,一般,*,*,*,*
くん	名詞,接尾,人名,*,*,*,くん,クン,クン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
いのち	名詞,一般,*,*,*,*,いのち,イノチ,イノチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
リレー	名詞,サ変接続,*,*,*,*,リレー,リレー,リレー
』	記号,括弧閉,*,*,*,*,』,』,』
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
パレスチナ問題	名詞,固有名詞,一般,*,*,*,パレスチナ問題,パレスチナモンダイ,パレスチナモンダイ
10	名詞,数,*,*,*,*,*
学習指導案	名詞,固有名詞,一般,*,*,*,学習指導案,ガクシュウシドウアン,ガクシューシドーアン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
＋	記号,一般,*,*,*,*,＋,タス,タス
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
観察	名詞,サ変接続,*,*,*,*,観察,カンサツ,カンサツ
記録	名詞,サ変接続,*,*,*,*,記録,キロク,キロク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
とり	名詞,一般,*,*,*,*,とり,トリ,トリ
かた	名詞,接尾,一般,*,*,*,かた,カタ,カタ
11	名詞,数,*,*,*,*,*
〔	記号,括弧開,*,*,*,*,〔,〔,〔
教科	名詞,一般,*,*,*,*,教科,キョウカ,キョーカ
横断	名詞,サ変接続,*,*,*,*,横断,オウダン,オーダン
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
-	記号,一般,*,*,*,*,*
理科	名詞,一般,*,*,*,*,理科,リカ,リカ
-〕	記号,一般,*,*,*,*,*
水俣病	名詞,一般,*,*,*,*,水俣病,ミナマタビョウ,ミナマタビョー
事件	名詞,一般,*,*,*,*,事件,ジケン,ジケン
12	名詞,数,*,*,*,*,*
〔	記号,括弧開,*,*,*,*,〔,〔,〔
教科	名詞,一般,*,*,*,*,教科,キョウカ,キョーカ
横断	名詞,サ変接続,*,*,*,*,横断,オウダン,オーダン
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
-	記号,一般,*,*,*,*,*
理科	名詞,一般,*,*,*,*,理科,リカ,リカ
-〕	記号,一般,*,*,*,*,*
原子力発電	名詞,固有名詞,一般,*,*,*,原子力発電,ゲンシリョクハツデン,ゲンシリョクハツデン
