ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
読解	名詞,サ変接続,*,*,*,*,読解,ドッカイ,ドッカイ
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
向上	名詞,サ変接続,*,*,*,*,向上,コウジョウ,コージョー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
、	記号,読点,*,*,*,*,、,、,、
卒論	名詞,一般,*,*,*,*,卒論,ソツロン,ソツロン
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎的	名詞,固有名詞,一般,*,*,*,基礎的,キソテキ,キソテキ
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
「	記号,括弧開,*,*,*,*,「,「,「
国民	名詞,一般,*,*,*,*,国民,コクミン,コクミン
（	記号,括弧開,*,*,*,*,（,（,（
ネイション	名詞,固有名詞,一般,*,*,*,ネイション,ネイション,ネイション
）	記号,括弧閉,*,*,*,*,）,）,）
」	記号,括弧閉,*,*,*,*,」,」,」
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
一体感	名詞,固有名詞,一般,*,*,*,一体感,イッタイカン,イッタイカン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
いかに	副詞,一般,*,*,*,*,いかに,イカニ,イカニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
成立	名詞,サ変接続,*,*,*,*,成立,セイリツ,セイリツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
。	記号,句点,*,*,*,*,。,。,。
今回	名詞,副詞可能,*,*,*,*,今回,コンカイ,コンカイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
国民国家	名詞,固有名詞,一般,*,*,*,国民国家,コクミンコッカ,コクミンコッカ
論	名詞,接尾,一般,*,*,*,論,ロン,ロン
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原典	名詞,一般,*,*,*,*,原典,ゲンテン,ゲンテン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
、	記号,読点,*,*,*,*,、,、,、
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
にとって	助詞,格助詞,連語,*,*,*,にとって,ニトッテ,ニトッテ
必読	名詞,サ変接続,*,*,*,*,必読,ヒツドク,ヒツドク
文献	名詞,一般,*,*,*,*,文献,ブンケン,ブンケン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
ベネディクト・アンダーソン	名詞,固有名詞,人名,一般,*,*,ベネディクト・アンダーソン,ベネディクトアンダーソン,ベネディクトアンダーソン
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り上げる	動詞,自立,*,*,一段,基本形,取り上げる,トリアゲル,トリアゲル
。	記号,句点,*,*,*,*,。,。,。
本書	名詞,一般,*,*,*,*,本書,ホンショ,ホンショ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
日本近代史	名詞,固有名詞,一般,*,*,*,日本近代史,ニホンキンダイシ,ニホンキンダイシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文脈	名詞,一般,*,*,*,*,文脈,ブンミャク,ブンミャク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
欠か	動詞,自立,*,*,五段・カ行イ音便,未然形,欠く,カカ,カカ
せ	動詞,接尾,*,*,一段,未然形,せる,セ,セ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
、	記号,読点,*,*,*,*,、,、,、
ヨーロッパ	名詞,固有名詞,地域,一般,*,*,ヨーロッパ,ヨーロッパ,ヨーロッパ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
アメリカ	名詞,固有名詞,地域,国,*,*,アメリカ,アメリカ,アメリカ
、	記号,読点,*,*,*,*,、,、,、
東南アジア	名詞,固有名詞,地域,一般,*,*,東南アジア,トウナンアジア,トーナンアジア
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
世界史	名詞,固有名詞,一般,*,*,*,世界史,セカイシ,セカイシ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
視野	名詞,一般,*,*,*,*,視野,シヤ,シヤ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
得る	動詞,自立,*,*,一段,基本形,得る,エル,エル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
役立つ	動詞,自立,*,*,五段・タ行,基本形,役立つ,ヤクダツ,ヤクダツ
。	記号,句点,*,*,*,*,。,。,。
ただ	接続詞,*,*,*,*,*,ただ,タダ,タダ
、	記号,読点,*,*,*,*,、,、,、
誤読	名詞,サ変接続,*,*,*,*,誤読,ゴドク,ゴドク
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
やすい	形容詞,非自立,*,*,形容詞・アウオ段,基本形,やすい,ヤスイ,ヤスイ
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
先入観	名詞,一般,*,*,*,*,先入観,センニュウカン,センニューカン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
とらわれ	動詞,自立,*,*,一段,未然形,とらわれる,トラワレ,トラワレ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
、	記号,読点,*,*,*,*,、,、,、
ていねい	名詞,形容動詞語幹,*,*,*,*,ていねい,テイネイ,テイネイ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
読ん	動詞,自立,*,*,五段・マ行,連用タ接続,読む,ヨン,ヨン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
いき	動詞,非自立,*,*,五段・カ行促音便,連用形,いく,イキ,イキ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
ベネディクト・アンダーソン	名詞,固有名詞,人名,一般,*,*,ベネディクト・アンダーソン,ベネディクトアンダーソン,ベネディクトアンダーソン
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
（	記号,括弧開,*,*,*,*,（,（,（
白石隆	名詞,固有名詞,人名,一般,*,*,白石隆,シライシタカシ,シライシタカシ
,	記号,一般,*,*,*,*,*
白石さや	名詞,固有名詞,一般,*,*,*,白石さや,シライシサヤ,シライシサヤ
訳	名詞,接尾,一般,*,*,*,訳,ヤク,ヤク
）	記号,括弧閉,*,*,*,*,）,）,）
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
:	記号,一般,*,*,*,*,*
ナショナリズム	名詞,一般,*,*,*,*,ナショナリズム,ナショナリズム,ナショナリズム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
起源	名詞,一般,*,*,*,*,起源,キゲン,キゲン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
流行	名詞,サ変接続,*,*,*,*,流行,リュウコウ,リューコー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
書籍	名詞,一般,*,*,*,*,書籍,ショセキ,ショセキ
工房	名詞,一般,*,*,*,*,工房,コウボウ,コーボー
早山	名詞,固有名詞,人名,姓,*,*,早山,ハヤマ,ハヤマ
、	記号,読点,*,*,*,*,、,、,、
2007	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
適宜	名詞,副詞可能,*,*,*,*,適宜,テキギ,テキギ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
討論	名詞,サ変接続,*,*,*,*,討論,トウロン,トーロン
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
2	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
序	名詞,サ変接続,*,*,*,*,序,ジョ,ジョ
3	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
１	名詞,数,*,*,*,*,１,イチ,イチ
4	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
２5	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
３6	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
４7	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
５8	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
６9	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
７10	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
８11	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
９12	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
1013	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
1114	名詞,数,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
想像の共同体	名詞,固有名詞,一般,*,*,*,想像の共同体,ソウゾウノキョウドウタイ,ソーゾーノキョードータイ
』	記号,括弧閉,*,*,*,*,』,』,』
1215	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ
、	記号,読点,*,*,*,*,、,、,、
必ず	副詞,助詞類接続,*,*,*,*,必ず,カナラズ,カナラズ
読ん	動詞,自立,*,*,五段・マ行,連用タ接続,読む,ヨン,ヨン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
くる	動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
予習	名詞,サ変接続,*,*,*,*,予習,ヨシュウ,ヨシュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
２時間	名詞,固有名詞,一般,*,*,*,2時間,ニジカン,ニジカン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
要する	動詞,自立,*,*,サ変・−スル,基本形,要する,ヨウスル,ヨースル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
ナショナリズム	名詞,一般,*,*,*,*,ナショナリズム,ナショナリズム,ナショナリズム
、	記号,読点,*,*,*,*,、,、,、
植民地主義	名詞,固有名詞,一般,*,*,*,植民地主義,ショクミンチシュギ,ショクミンチシュギ
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ
、	記号,読点,*,*,*,*,、,、,、
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
生	名詞,接尾,一般,*,*,*,生,セイ,セイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
報告	名詞,サ変接続,*,*,*,*,報告,ホウコク,ホーコク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
もらう	動詞,非自立,*,*,五段・ワ行促音便,基本形,もらう,モラウ,モラウ
。	記号,句点,*,*,*,*,。,。,。
初回	名詞,一般,*,*,*,*,初回,ショカイ,ショカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
で	助詞,格助詞,一般,*,*,*,で,デ,デ
報告	名詞,サ変接続,*,*,*,*,報告,ホウコク,ホーコク
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決定	名詞,サ変接続,*,*,*,*,決定,ケッテイ,ケッテイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
希望者	名詞,固有名詞,一般,*,*,*,希望者,キボウシャ,キボーシャ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
初回	名詞,一般,*,*,*,*,初回,ショカイ,ショカイ
、	記号,読点,*,*,*,*,、,、,、
必ず	副詞,助詞類接続,*,*,*,*,必ず,カナラズ,カナラズ
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
質疑応答	名詞,固有名詞,一般,*,*,*,質疑応答,シツギオウトウ,シツギオウトー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
出席者	名詞,固有名詞,一般,*,*,*,出席者,シュッセキシャ,シュッセキシャ
全員	名詞,一般,*,*,*,*,全員,ゼンイン,ゼンイン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
発言	名詞,サ変接続,*,*,*,*,発言,ハツゲン,ハツゲン
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せる	動詞,接尾,*,*,一段,基本形,せる,セル,セル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
各自	名詞,副詞可能,*,*,*,*,各自,カクジ,カクジ
必ず	副詞,助詞類接続,*,*,*,*,必ず,カナラズ,カナラズ
読ん	動詞,自立,*,*,五段・マ行,連用タ接続,読む,ヨン,ヨン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
質問	名詞,サ変接続,*,*,*,*,質問,シツモン,シツモン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
論点	名詞,一般,*,*,*,*,論点,ロンテン,ロンテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メッセージ	名詞,一般,*,*,*,*,メッセージ,メッセージ,メッセージ
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
）	記号,括弧閉,*,*,*,*,）,）,）
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
EOS
