ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
近世	名詞,一般,*,*,*,*,近世,キンセイ,キンセイ
史	名詞,接尾,一般,*,*,*,史,シ,シ
研究	名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
および	名詞,一般,*,*,*,*,お呼び,オヨビ,オヨビ
歴史教育	名詞,固有名詞,一般,*,*,*,歴史教育,レキシキョウイク,レキシキョーイク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
史料	名詞,一般,*,*,*,*,史料,シリョウ,シリョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
読み方	名詞,一般,*,*,*,*,読み方,ヨミカタ,ヨミカタ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
、	記号,読点,*,*,*,*,、,、,、
文脈	名詞,一般,*,*,*,*,文脈,ブンミャク,ブンミャク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
正確	名詞,形容動詞語幹,*,*,*,*,正確,セイカク,セイカク
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
力	名詞,一般,*,*,*,*,力,チカラ,チカラ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つける	動詞,自立,*,*,一段,基本形,つける,ツケル,ツケル
。	記号,句点,*,*,*,*,。,。,。
近世	名詞,一般,*,*,*,*,近世,キンセイ,キンセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
古文書	名詞,一般,*,*,*,*,古文書,コモンジョ,コモンジョ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
版本	名詞,一般,*,*,*,*,版本,ハンポン,ハンポン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
題材	名詞,一般,*,*,*,*,題材,ダイザイ,ダイザイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
江戸時代	名詞,固有名詞,一般,*,*,*,江戸時代,エドジダイ,エドジダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
くずし字	名詞,固有名詞,一般,*,*,*,くずし字,クズシジ,クズシジ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
・	記号,一般,*,*,*,*,・,・,・
用法	名詞,一般,*,*,*,*,用法,ヨウホウ,ヨーホー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
修得	名詞,サ変接続,*,*,*,*,修得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
江戸時代	名詞,固有名詞,一般,*,*,*,江戸時代,エドジダイ,エドジダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
古文書	名詞,一般,*,*,*,*,古文書,コモンジョ,コモンジョ
、	記号,読点,*,*,*,*,、,、,、
出版物	名詞,固有名詞,一般,*,*,*,出版物,シュッパンブツ,シュッパンブツ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
読み	動詞,自立,*,*,五段・マ行,連用形,読む,ヨミ,ヨミ
、	記号,読点,*,*,*,*,、,、,、
史料	名詞,一般,*,*,*,*,史料,シリョウ,シリョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
背景	名詞,一般,*,*,*,*,背景,ハイケイ,ハイケイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
書物	名詞,一般,*,*,*,*,書物,ショモツ,ショモツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考察	名詞,サ変接続,*,*,*,*,考察,コウサツ,コーサツ
・	記号,一般,*,*,*,*,・,・,・
吟味	名詞,サ変接続,*,*,*,*,吟味,ギンミ,ギンミ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ
史料	名詞,一般,*,*,*,*,史料,シリョウ,シリョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
コピー	名詞,サ変接続,*,*,*,*,コピー,コピー,コピー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
史料	名詞,一般,*,*,*,*,史料,シリョウ,シリョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
こちら	名詞,代名詞,一般,*,*,*,こちら,コチラ,コチラ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
用意	名詞,サ変接続,*,*,*,*,用意,ヨウイ,ヨーイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
古文書	名詞,一般,*,*,*,*,古文書,コモンジョ,コモンジョ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
読む	動詞,自立,*,*,五段・マ行,基本形,読む,ヨム,ヨム
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
字典	名詞,一般,*,*,*,*,字典,ジテン,ジテン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
各自	名詞,副詞可能,*,*,*,*,各自,カクジ,カクジ
入手	名詞,サ変接続,*,*,*,*,入手,ニュウシュ,ニューシュ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
ただし	接続詞,*,*,*,*,*,ただし,タダシ,タダシ
、	記号,読点,*,*,*,*,、,、,、
現在	名詞,副詞可能,*,*,*,*,現在,ゲンザイ,ゲンザイ
入手	名詞,サ変接続,*,*,*,*,入手,ニュウシュ,ニューシュ
困難	名詞,形容動詞語幹,*,*,*,*,困難,コンナン,コンナン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
可能性	名詞,固有名詞,一般,*,*,*,可能性,カノウセイ,カノーセイ
も	助詞,係助詞,*,*,*,*,も,モ,モ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
初回	名詞,一般,*,*,*,*,初回,ショカイ,ショカイ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
入手	名詞,サ変接続,*,*,*,*,入手,ニュウシュ,ニューシュ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,未然形,いる,イ,イ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
可	名詞,一般,*,*,*,*,可,カ,カ
。	記号,句点,*,*,*,*,。,。,。
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
検討	名詞,サ変接続,*,*,*,*,検討,ケントウ,ケントー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
根岸茂夫	名詞,固有名詞,人名,一般,*,*,根岸茂夫,ネギシシゲオ,ネギシシゲオ
他	名詞,一般,*,*,*,*,他,タ,タ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
『	記号,括弧開,*,*,*,*,『,『,『
新編	名詞,一般,*,*,*,*,新編,シンペン,シンペン
古文書	名詞,一般,*,*,*,*,古文書,コモンジョ,コモンジョ
解読	名詞,サ変接続,*,*,*,*,解読,カイドク,カイドク
字典	名詞,一般,*,*,*,*,字典,ジテン,ジテン
』	記号,括弧閉,*,*,*,*,』,』,』
柏書房	名詞,固有名詞,組織,*,*,*,柏書房,カシワショボウ,カシワショボー
、	記号,読点,*,*,*,*,、,、,、
1993年	名詞,固有名詞,一般,*,*,*,1993年,センキュウヒャクキュウジュウサンネン,センキュウヒャクキュウジュウサンネン
。	記号,句点,*,*,*,*,。,。,。
児玉幸多	名詞,固有名詞,人名,一般,*,*,児玉幸多,コダマコウタ,コダマコウタ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
『	記号,括弧開,*,*,*,*,『,『,『
くずし字	名詞,固有名詞,一般,*,*,*,くずし字,クズシジ,クズシジ
会読	名詞,サ変接続,*,*,*,*,会読,カイドク,カイドク
字典	名詞,一般,*,*,*,*,字典,ジテン,ジテン
普及版	名詞,固有名詞,一般,*,*,*,普及版,フキュウバン,フキューバン
』	記号,括弧閉,*,*,*,*,』,』,』
東京堂出版	名詞,固有名詞,一般,*,*,*,東京堂出版,トウキョウドウシュッパン,トーキョードーシュッパン
、	記号,読点,*,*,*,*,、,、,、
1993年	名詞,固有名詞,一般,*,*,*,1993年,センキュウヒャクキュウジュウサンネン,センキュウヒャクキュウジュウサンネン
。	記号,句点,*,*,*,*,。,。,。
児玉幸多	名詞,固有名詞,人名,一般,*,*,児玉幸多,コダマコウタ,コダマコウタ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
『	記号,括弧開,*,*,*,*,『,『,『
くずし字	名詞,固有名詞,一般,*,*,*,くずし字,クズシジ,クズシジ
用例	名詞,一般,*,*,*,*,用例,ヨウレイ,ヨーレイ
辞典	名詞,一般,*,*,*,*,辞典,ジテン,ジテン
普及版	名詞,固有名詞,一般,*,*,*,普及版,フキュウバン,フキューバン
』	記号,括弧閉,*,*,*,*,』,』,』
東京堂出版	名詞,固有名詞,一般,*,*,*,東京堂出版,トウキョウドウシュッパン,トーキョードーシュッパン
、	記号,読点,*,*,*,*,、,、,、
1993年	名詞,固有名詞,一般,*,*,*,1993年,センキュウヒャクキュウジュウサンネン,センキュウヒャクキュウジュウサンネン
。	記号,句点,*,*,*,*,。,。,。
若尾俊平	名詞,固有名詞,人名,一般,*,*,若尾俊平,ワカオシュンペイ,ワカオシュンペイ
他	名詞,一般,*,*,*,*,他,タ,タ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
『	記号,括弧開,*,*,*,*,『,『,『
近世	名詞,一般,*,*,*,*,近世,キンセイ,キンセイ
古文書	名詞,一般,*,*,*,*,古文書,コモンジョ,コモンジョ
解読	名詞,サ変接続,*,*,*,*,解読,カイドク,カイドク
字典	名詞,一般,*,*,*,*,字典,ジテン,ジテン
』	記号,括弧閉,*,*,*,*,』,』,』
柏書房	名詞,固有名詞,組織,*,*,*,柏書房,カシワショボウ,カシワショボー
、	記号,読点,*,*,*,*,、,、,、
1972年	名詞,固有名詞,一般,*,*,*,1972年,センキュウヒャクナナジュウニネン,センキュウヒャクナナジュウニネン
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
日本歴史学会	名詞,固有名詞,組織,*,*,*,日本歴史学会,ニホンレキシガッカイ,ニホンレキシガッカイ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
『	記号,括弧開,*,*,*,*,『,『,『
概説	名詞,サ変接続,*,*,*,*,概説,ガイセツ,ガイセツ
古文書	名詞,一般,*,*,*,*,古文書,コモンジョ,コモンジョ
学	名詞,接尾,一般,*,*,*,学,ガク,ガク
近世	名詞,一般,*,*,*,*,近世,キンセイ,キンセイ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
』	記号,括弧閉,*,*,*,*,』,』,』
吉川弘文館	名詞,固有名詞,組織,*,*,*,吉川弘文館,ヨシカワコウブンカン,ヨシカワコーブンカン
、	記号,読点,*,*,*,*,、,、,、
1989年	名詞,固有名詞,一般,*,*,*,1989年,センキュウヒャクハチジュウキュウネン,センキュウヒャクハチジュウキュウネン
。	記号,句点,*,*,*,*,。,。,。
歴史科学協議会	名詞,固有名詞,一般,*,*,*,歴史科学協議会,レキシカガクキョウギカイ,レキシカガクキョーギカイ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
『	記号,括弧開,*,*,*,*,『,『,『
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
よむ	動詞,自立,*,*,五段・マ行,基本形,よむ,ヨム,ヨム
』	記号,括弧閉,*,*,*,*,』,』,』
東京大学出版会	名詞,固有名詞,一般,*,*,*,東京大学出版会,トウキョウダイガクシュッパンカイ,トーキョーダイガクシュッパンカイ
、	記号,読点,*,*,*,*,、,、,、
2004年	名詞,固有名詞,一般,*,*,*,2004年,ニセンヨネン,ニセンヨネン
。	記号,句点,*,*,*,*,。,。,。
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含む	動詞,自立,*,*,五段・マ行,基本形,含む,フクム,フクム
平常点	名詞,固有名詞,一般,*,*,*,平常点,ヘイジョウテン,ヘイジョーテン
（	記号,括弧開,*,*,*,*,（,（,（
50	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
（	記号,括弧開,*,*,*,*,（,（,（
50	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
古文書	名詞,一般,*,*,*,*,古文書,コモンジョ,コモンジョ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
読む	動詞,自立,*,*,五段・マ行,基本形,読む,ヨム,ヨム
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ツール	名詞,一般,*,*,*,*,ツール,ツール,ツール
の	助詞,連体化,*,*,*,*,の,ノ,ノ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
。	記号,句点,*,*,*,*,。,。,。
2	名詞,数,*,*,*,*,*
村	名詞,接尾,地域,*,*,*,村,ムラ,ムラ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
町	名詞,一般,*,*,*,*,町,マチ,マチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文書	名詞,一般,*,*,*,*,文書,ブンショ,ブンショ
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
近世	名詞,一般,*,*,*,*,近世,キンセイ,キンセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
村方	名詞,一般,*,*,*,*,村方,ムラカタ,ムラカタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文書	名詞,一般,*,*,*,*,文書,ブンショ,ブンショ
（	記号,括弧開,*,*,*,*,（,（,（
借金	名詞,サ変接続,*,*,*,*,借金,シャッキン,シャッキン
証文	名詞,一般,*,*,*,*,証文,ショウモン,ショーモン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
人別	名詞,一般,*,*,*,*,人別,ニンベツ,ニンベツ
送り状	名詞,一般,*,*,*,*,送り状,オクリジョウ,オクリジョー
、	記号,読点,*,*,*,*,、,、,、
御用	名詞,一般,*,*,*,*,御用,ゴヨウ,ゴヨー
留	名詞,固有名詞,地域,一般,*,*,留,トメ,トメ
）	記号,括弧閉,*,*,*,*,）,）,）
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り上げる	動詞,自立,*,*,一段,基本形,取り上げる,トリアゲル,トリアゲル
。	記号,句点,*,*,*,*,。,。,。
3	名詞,数,*,*,*,*,*
村	名詞,接尾,地域,*,*,*,村,ムラ,ムラ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
町	名詞,一般,*,*,*,*,町,マチ,マチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文書	名詞,一般,*,*,*,*,文書,ブンショ,ブンショ
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
近世	名詞,一般,*,*,*,*,近世,キンセイ,キンセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
村方	名詞,一般,*,*,*,*,村方,ムラカタ,ムラカタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文書	名詞,一般,*,*,*,*,文書,ブンショ,ブンショ
（	記号,括弧開,*,*,*,*,（,（,（
借金	名詞,サ変接続,*,*,*,*,借金,シャッキン,シャッキン
証文	名詞,一般,*,*,*,*,証文,ショウモン,ショーモン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
人別	名詞,一般,*,*,*,*,人別,ニンベツ,ニンベツ
送り状	名詞,一般,*,*,*,*,送り状,オクリジョウ,オクリジョー
、	記号,読点,*,*,*,*,、,、,、
御用	名詞,一般,*,*,*,*,御用,ゴヨウ,ゴヨー
留	名詞,固有名詞,地域,一般,*,*,留,トメ,トメ
）	記号,括弧閉,*,*,*,*,）,）,）
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り上げる	動詞,自立,*,*,一段,基本形,取り上げる,トリアゲル,トリアゲル
。	記号,句点,*,*,*,*,。,。,。
4	名詞,数,*,*,*,*,*
村	名詞,接尾,地域,*,*,*,村,ムラ,ムラ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
町	名詞,一般,*,*,*,*,町,マチ,マチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文書	名詞,一般,*,*,*,*,文書,ブンショ,ブンショ
（	記号,括弧開,*,*,*,*,（,（,（
３	名詞,数,*,*,*,*,３,サン,サン
）	記号,括弧閉,*,*,*,*,）,）,）
近世	名詞,一般,*,*,*,*,近世,キンセイ,キンセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
村方	名詞,一般,*,*,*,*,村方,ムラカタ,ムラカタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文書	名詞,一般,*,*,*,*,文書,ブンショ,ブンショ
（	記号,括弧開,*,*,*,*,（,（,（
借金	名詞,サ変接続,*,*,*,*,借金,シャッキン,シャッキン
証文	名詞,一般,*,*,*,*,証文,ショウモン,ショーモン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
人別	名詞,一般,*,*,*,*,人別,ニンベツ,ニンベツ
送り状	名詞,一般,*,*,*,*,送り状,オクリジョウ,オクリジョー
、	記号,読点,*,*,*,*,、,、,、
御用	名詞,一般,*,*,*,*,御用,ゴヨウ,ゴヨー
留	名詞,固有名詞,地域,一般,*,*,留,トメ,トメ
）	記号,括弧閉,*,*,*,*,）,）,）
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り上げる	動詞,自立,*,*,一段,基本形,取り上げる,トリアゲル,トリアゲル
。	記号,句点,*,*,*,*,。,。,。
5	名詞,数,*,*,*,*,*
村	名詞,接尾,地域,*,*,*,村,ムラ,ムラ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
町	名詞,一般,*,*,*,*,町,マチ,マチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文書	名詞,一般,*,*,*,*,文書,ブンショ,ブンショ
（	記号,括弧開,*,*,*,*,（,（,（
４	名詞,数,*,*,*,*,４,ヨン,ヨン
）	記号,括弧閉,*,*,*,*,）,）,）
近世	名詞,一般,*,*,*,*,近世,キンセイ,キンセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
村方	名詞,一般,*,*,*,*,村方,ムラカタ,ムラカタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文書	名詞,一般,*,*,*,*,文書,ブンショ,ブンショ
（	記号,括弧開,*,*,*,*,（,（,（
借金	名詞,サ変接続,*,*,*,*,借金,シャッキン,シャッキン
証文	名詞,一般,*,*,*,*,証文,ショウモン,ショーモン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
人別	名詞,一般,*,*,*,*,人別,ニンベツ,ニンベツ
送り状	名詞,一般,*,*,*,*,送り状,オクリジョウ,オクリジョー
、	記号,読点,*,*,*,*,、,、,、
御用	名詞,一般,*,*,*,*,御用,ゴヨウ,ゴヨー
留	名詞,固有名詞,地域,一般,*,*,留,トメ,トメ
）	記号,括弧閉,*,*,*,*,）,）,）
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り上げる	動詞,自立,*,*,一段,基本形,取り上げる,トリアゲル,トリアゲル
。	記号,句点,*,*,*,*,。,。,。
6	名詞,数,*,*,*,*,*
村	名詞,接尾,地域,*,*,*,村,ムラ,ムラ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
町	名詞,一般,*,*,*,*,町,マチ,マチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
