ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
2022年度	名詞,固有名詞,一般,*,*,*,2022年度,ニセンニジュウニネンド,ニセンニジュウニネンド
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
施行	名詞,サ変接続,*,*,*,*,施行,シコウ,シコー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
高等学校学習指導要領	名詞,固有名詞,一般,*,*,*,高等学校学習指導要領,コウトウガッコウガクシュウシドウヨウリョウ,コートーガッコーガクシューシドーヨウリョー
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
、	記号,読点,*,*,*,*,、,、,、
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ
教科	名詞,一般,*,*,*,*,教科,キョウカ,キョーカ
(	記号,一般,*,*,*,*,*
地理歴史	名詞,固有名詞,一般,*,*,*,地理歴史,チリレキシ,チリレキシ
科	名詞,接尾,一般,*,*,*,科,カ,カ
・	記号,一般,*,*,*,*,・,・,・
公民	名詞,一般,*,*,*,*,公民,コウミン,コーミン
科	名詞,接尾,一般,*,*,*,科,カ,カ
)	記号,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
大きく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク
再編	名詞,サ変接続,*,*,*,*,再編,サイヘン,サイヘン
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
世界史	名詞,固有名詞,一般,*,*,*,世界史,セカイシ,セカイシ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
日本史	名詞,固有名詞,一般,*,*,*,日本史,ニホンシ,ニホンシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
統合	名詞,サ変接続,*,*,*,*,統合,トウゴウ,トーゴー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
「	記号,括弧開,*,*,*,*,「,「,「
歴史総合	名詞,固有名詞,一般,*,*,*,歴史総合,レキシソウゴウ,レキシソウゴー
」	記号,括弧閉,*,*,*,*,」,」,」
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
近現代史	名詞,固有名詞,一般,*,*,*,近現代史,キンゲンダイシ,キンゲンダイシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
近現代史	名詞,固有名詞,一般,*,*,*,近現代史,キンゲンダイシ,キンゲンダイシ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
つなぐ	動詞,自立,*,*,五段・ガ行,基本形,つなぐ,ツナグ,ツナグ
視点	名詞,一般,*,*,*,*,視点,シテン,シテン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
打ち出さ	動詞,自立,*,*,五段・サ行,未然形,打ち出す,ウチダサ,ウチダサ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
しかし	接続詞,*,*,*,*,*,しかし,シカシ,シカシ
「	記号,括弧開,*,*,*,*,「,「,「
歴史総合	名詞,固有名詞,一般,*,*,*,歴史総合,レキシソウゴウ,レキシソウゴー
」	記号,括弧閉,*,*,*,*,」,」,」
で	助詞,格助詞,一般,*,*,*,で,デ,デ
取り上げ	動詞,自立,*,*,一段,未然形,取り上げる,トリアゲ,トリアゲ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
「	記号,括弧開,*,*,*,*,「,「,「
近代化	名詞,固有名詞,一般,*,*,*,近代化,キンダイカ,キンダイカ
」	記号,括弧閉,*,*,*,*,」,」,」
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
産業革命	名詞,固有名詞,一般,*,*,*,産業革命,サンギョウカクメイ,サンギョーカクメイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
「	記号,括弧開,*,*,*,*,「,「,「
工業化	名詞,固有名詞,一般,*,*,*,工業化,コウギョウカ,コーギョーカ
」	記号,括弧閉,*,*,*,*,」,」,」
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
力点	名詞,一般,*,*,*,*,力点,リキテン,リキテン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
置か	動詞,自立,*,*,五段・カ行イ音便,未然形,置く,オカ,オカ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
市民革命	名詞,固有名詞,一般,*,*,*,市民革命,シミンカクメイ,シミンカクメイ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
達成	名詞,サ変接続,*,*,*,*,達成,タッセイ,タッセイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
「	記号,括弧開,*,*,*,*,「,「,「
民主化	名詞,固有名詞,一般,*,*,*,民主化,ミンシュカ,ミンシュカ
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
側面	名詞,一般,*,*,*,*,側面,ソクメン,ソクメン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
著しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,著しい,イチジルシク,イチジルシク
軽視	名詞,サ変接続,*,*,*,*,軽視,ケイシ,ケイシ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
補う	動詞,自立,*,*,五段・ワ行促音便,基本形,補う,オギナウ,オギナウ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
、	記号,読点,*,*,*,*,、,、,、
17世紀	名詞,固有名詞,一般,*,*,*,17世紀,ジュウシチセイキ,ジュウシチセイキ
イギリス	名詞,固有名詞,地域,国,*,*,イギリス,イギリス,イギリス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ピューリタン	名詞,固有名詞,一般,*,*,*,ピューリタン,ピューリタン,ピューリタン
革命	名詞,一般,*,*,*,*,革命,カクメイ,カクメイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
始まり	動詞,自立,*,*,五段・ラ行,連用形,始まる,ハジマリ,ハジマリ
、	記号,読点,*,*,*,*,、,、,、
18世紀	名詞,固有名詞,一般,*,*,*,18世紀,ジュウハッセイキ,ジュウハッセイキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
フランス革命	名詞,固有名詞,一般,*,*,*,フランス革命,フランスカクメイ,フランスカクメイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
受け継が	動詞,自立,*,*,五段・ガ行,未然形,受け継ぐ,ウケツガ,ウケツガ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
民主化	名詞,固有名詞,一般,*,*,*,民主化,ミンシュカ,ミンシュカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
流れ	名詞,一般,*,*,*,*,流れ,ナガレ,ナガレ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
意義	名詞,一般,*,*,*,*,意義,イギ,イギ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
英	名詞,固有名詞,地域,国,*,*,英,エイ,エイ
仏	名詞,固有名詞,地域,国,*,*,仏,フツ,フツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
諸	接頭詞,名詞接続,*,*,*,*,諸,ショ,ショ
革命	名詞,一般,*,*,*,*,革命,カクメイ,カクメイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
19世紀	名詞,固有名詞,一般,*,*,*,19世紀,ジュウキュウセイキ,ジュウキュウセイキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
明治維新	名詞,固有名詞,一般,*,*,*,明治維新,メイジイシン,メイジイシン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
影響	名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
与え	動詞,自立,*,*,一段,連用形,与える,アタエ,アタエ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
でしょ	助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
。	記号,句点,*,*,*,*,。,。,。
この	連体詞,*,*,*,*,*,この,コノ,コノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
ピューリタン	名詞,固有名詞,一般,*,*,*,ピューリタン,ピューリタン,ピューリタン
革命	名詞,一般,*,*,*,*,革命,カクメイ,カクメイ
、	記号,読点,*,*,*,*,、,、,、
フランス革命	名詞,固有名詞,一般,*,*,*,フランス革命,フランスカクメイ,フランスカクメイ
、	記号,読点,*,*,*,*,、,、,、
明治維新	名詞,固有名詞,一般,*,*,*,明治維新,メイジイシン,メイジイシン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学び	動詞,自立,*,*,五段・バ行,連用形,学ぶ,マナビ,マナビ
、	記号,読点,*,*,*,*,、,、,、
世界史	名詞,固有名詞,一般,*,*,*,世界史,セカイシ,セカイシ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
日本史	名詞,固有名詞,一般,*,*,*,日本史,ニホンシ,ニホンシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
革命	名詞,一般,*,*,*,*,革命,カクメイ,カクメイ
史	名詞,接尾,一般,*,*,*,史,シ,シ
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
民主化	名詞,固有名詞,一般,*,*,*,民主化,ミンシュカ,ミンシュカ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
観点	名詞,一般,*,*,*,*,観点,カンテン,カンテン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
各国	名詞,一般,*,*,*,*,各国,カッコク,カッコク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
革命	名詞,一般,*,*,*,*,革命,カクメイ,カクメイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
比較	名詞,サ変接続,*,*,*,*,比較,ヒカク,ヒカク
検討	名詞,サ変接続,*,*,*,*,検討,ケントウ,ケントー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
見方	名詞,一般,*,*,*,*,見方,ミカタ,ミカタ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
身	名詞,一般,*,*,*,*,身,ミ,ミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
付け	動詞,自立,*,*,一段,連用形,付ける,ツケ,ツケ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
英	名詞,固有名詞,地域,国,*,*,英,エイ,エイ
仏	名詞,固有名詞,地域,国,*,*,仏,フツ,フツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
革命	名詞,一般,*,*,*,*,革命,カクメイ,カクメイ
史	名詞,接尾,一般,*,*,*,史,シ,シ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
新	接頭詞,名詞接続,*,*,*,*,新,シン,シン
動向	名詞,一般,*,*,*,*,動向,ドウコウ,ドーコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
講読	名詞,サ変接続,*,*,*,*,講読,コウドク,コードク
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
学び	動詞,自立,*,*,五段・バ行,連用形,学ぶ,マナビ,マナビ
、	記号,読点,*,*,*,*,、,、,、
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
、	記号,読点,*,*,*,*,、,、,、
明治維新	名詞,固有名詞,一般,*,*,*,明治維新,メイジイシン,メイジイシン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
自由民権運動	名詞,固有名詞,一般,*,*,*,自由民権運動,ジユウミンケンウンドウ,ジユーミンケンウンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
特色	名詞,一般,*,*,*,*,特色,トクショク,トクショク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
考察	名詞,サ変接続,*,*,*,*,考察,コウサツ,コーサツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
それら	名詞,代名詞,一般,*,*,*,それら,ソレラ,ソレラ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
得	動詞,自立,*,*,一段,未然形,得る,エ,エ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
知見	名詞,一般,*,*,*,*,知見,チケン,チケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
活かし	動詞,自立,*,*,五段・サ行,連用形,活かす,イカシ,イカシ
、	記号,読点,*,*,*,*,、,、,、
ヨーロッパ	名詞,固有名詞,地域,一般,*,*,ヨーロッパ,ヨーロッパ,ヨーロッパ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
諸	接頭詞,名詞接続,*,*,*,*,諸,ショ,ショ
革命	名詞,一般,*,*,*,*,革命,カクメイ,カクメイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
明治維新	名詞,固有名詞,一般,*,*,*,明治維新,メイジイシン,メイジイシン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
比較	名詞,サ変接続,*,*,*,*,比較,ヒカク,ヒカク
検討	名詞,サ変接続,*,*,*,*,検討,ケントウ,ケントー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
世界史	名詞,固有名詞,一般,*,*,*,世界史,セカイシ,セカイシ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
日本史	名詞,固有名詞,一般,*,*,*,日本史,ニホンシ,ニホンシ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
有機的	名詞,固有名詞,一般,*,*,*,有機的,ユウキテキ,ユーキテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
関連	名詞,サ変接続,*,*,*,*,関連,カンレン,カンレン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
担当	名詞,サ変接続,*,*,*,*,担当,タントウ,タントー
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
・	記号,一般,*,*,*,*,・,・,・
コメント	名詞,サ変接続,*,*,*,*,コメント,コメント,コメント
、	記号,読点,*,*,*,*,、,、,、
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
報告	名詞,サ変接続,*,*,*,*,報告,ホウコク,ホーコク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
組み合わせ	動詞,自立,*,*,一段,連用形,組み合わせる,クミアワセ,クミアワセ
、	記号,読点,*,*,*,*,、,、,、
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
・	記号,一般,*,*,*,*,・,・,・
岩井淳	名詞,固有名詞,人名,一般,*,*,岩井淳,イワイアツシ,イワイアツシ
『	記号,括弧開,*,*,*,*,『,『,『
ピューリタン	名詞,固有名詞,一般,*,*,*,ピューリタン,ピューリタン,ピューリタン
革命	名詞,一般,*,*,*,*,革命,カクメイ,カクメイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
複合	名詞,サ変接続,*,*,*,*,複合,フクゴウ,フクゴー
国家	名詞,一般,*,*,*,*,国家,コッカ,コッカ
』(	記号,一般,*,*,*,*,*
山川出版社	名詞,固有名詞,一般,*,*,*,山川出版社,ヤマカワシュッパンシャ,ヤマカワシュッパンシャ
、	記号,読点,*,*,*,*,、,、,、
2010年	名詞,固有名詞,一般,*,*,*,2010年,ニセンジュウネン,ニセンジュウネン
、	記号,読点,*,*,*,*,、,、,、
税込	名詞,一般,*,*,*,*,税込,ゼイコミ,ゼイコミ
801円	名詞,固有名詞,一般,*,*,*,801円,ハッピャクイチエン,ハッピャクイチエン
)	記号,一般,*,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
遅塚	名詞,固有名詞,人名,姓,*,*,遅塚,チヅカ,チズカ
忠	名詞,固有名詞,人名,名,*,*,忠,タダシ,タダシ
躬	名詞,一般,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
フランス革命	名詞,固有名詞,一般,*,*,*,フランス革命,フランスカクメイ,フランスカクメイ
』(	記号,一般,*,*,*,*,*
岩波ジュニア新書	名詞,固有名詞,一般,*,*,*,岩波ジュニア新書,イワナミジュニアシンショ,イワナミジュニアシンショ
、	記号,読点,*,*,*,*,、,、,、
1997年	名詞,固有名詞,一般,*,*,*,1997年,センキュウヒャクキュウジュウナナ,センキュウヒャクキュウジュウナナ
、	記号,読点,*,*,*,*,、,、,、
税込	名詞,一般,*,*,*,*,税込,ゼイコミ,ゼイコミ
946円	名詞,固有名詞,一般,*,*,*,946円,キュウヒャクヨンジュウロクエン,キュウヒャクヨンジュウロクエン
)	記号,一般,*,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
新	接頭詞,名詞接続,*,*,*,*,新,シン,シン
井勝	名詞,固有名詞,人名,姓,*,*,井勝,イカツ,イカツ
紘	名詞,固有名詞,人名,名,*,*,紘,ヒロシ,ヒロシ
『	記号,括弧開,*,*,*,*,『,『,『
五日市憲法	名詞,固有名詞,一般,*,*,*,五日市憲法,イツカイチケンポウ,イツカイチケンポー
』(	記号,一般,*,*,*,*,*
岩波新書	名詞,固有名詞,一般,*,*,*,岩波新書,イワナミシンショ,イワナミシンショ
、	記号,読点,*,*,*,*,、,、,、
2018年	名詞,固有名詞,一般,*,*,*,2018年,ニセンジュウハチネン,ニセンジュウハチネン
、	記号,読点,*,*,*,*,、,、,、
税込	名詞,一般,*,*,*,*,税込,ゼイコミ,ゼイコミ
902円	名詞,固有名詞,一般,*,*,*,902円,キュウヒャクニエン,キュウヒャクニエン
)	記号,一般,*,*,*,*,*
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
・	記号,一般,*,*,*,*,・,・,・
岩井	名詞,固有名詞,人名,姓,*,*,岩井,イワイ,イワイ
淳	名詞,固有名詞,人名,名,*,*,淳,アツシ,アツシ
・	記号,一般,*,*,*,*,・,・,・
山	名詞,一般,*,*,*,*,山,ヤマ,ヤマ
﨑耕	名詞,一般,*,*,*,*,*
一	名詞,数,*,*,*,*,一,イチ,イチ
編	名詞,接尾,助数詞,*,*,*,編,ヘン,ヘン
『	記号,括弧開,*,*,*,*,『,『,『
比較	名詞,サ変接続,*,*,*,*,比較,ヒカク,ヒカク
