ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
地中海	名詞,固有名詞,地域,一般,*,*,地中海,チチュウカイ,チチューカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
西洋	名詞,一般,*,*,*,*,西洋,セイヨウ,セイヨー
世界の歴史	名詞,固有名詞,一般,*,*,*,世界の歴史,セカイノレキシ,セカイノレキシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
。	記号,句点,*,*,*,*,。,。,。
具体	名詞,一般,*,*,*,*,具体,グタイ,グタイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
以下	名詞,非自立,副詞可能,*,*,*,以下,イカ,イカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
通り	名詞,一般,*,*,*,*,通り,トオリ,トーリ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
古代	名詞,一般,*,*,*,*,古代,コダイ,コダイ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
15世紀	名詞,固有名詞,一般,*,*,*,15世紀,ジュウゴセイキ,ジュウゴセイキ
にかけて	助詞,格助詞,連語,*,*,*,にかけて,ニカケテ,ニカケテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
地中海世界	名詞,固有名詞,一般,*,*,*,地中海世界,チチュウカイセカイ,チチューカイセカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
得る	動詞,自立,*,*,一段,基本形,得る,エル,エル
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
地中海	名詞,固有名詞,地域,一般,*,*,地中海,チチュウカイ,チチューカイ
周辺	名詞,一般,*,*,*,*,周辺,シュウヘン,シューヘン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
一つ	名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
（	記号,括弧開,*,*,*,*,（,（,（
３	名詞,数,*,*,*,*,３,サン,サン
）	記号,括弧閉,*,*,*,*,）,）,）
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
過去	名詞,副詞可能,*,*,*,*,過去,カコ,カコ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
つながり	名詞,一般,*,*,*,*,つながり,ツナガリ,ツナガリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
地中海	名詞,固有名詞,地域,一般,*,*,地中海,チチュウカイ,チチューカイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
西洋	名詞,固有名詞,地域,一般,*,*,西洋,セイヨウ,セイヨー
世界の歴史	名詞,固有名詞,一般,*,*,*,世界の歴史,セカイノレキシ,セカイノレキシ
二十一世紀	名詞,固有名詞,一般,*,*,*,二十一世紀,ニジュウイッセイキ,ニジューイッセイキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
向き合っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,向き合う,ムキアッ,ムキアッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いか	動詞,非自立,*,*,五段・カ行促音便,未然形,いく,イカ,イカ
なけれ	助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
宗教	名詞,一般,*,*,*,*,宗教,シュウキョウ,シューキョー
、	記号,読点,*,*,*,*,、,、,、
文明	名詞,一般,*,*,*,*,文明,ブンメイ,ブンメイ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人間社会	名詞,固有名詞,一般,*,*,*,人間社会,ニンゲンシャカイ,ニンゲンシャカイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
直面	名詞,サ変接続,*,*,*,*,直面,チョクメン,チョクメン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
多く	名詞,副詞可能,*,*,*,*,多く,オオク,オーク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
困難	名詞,形容動詞語幹,*,*,*,*,困難,コンナン,コンナン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
キリスト教	名詞,一般,*,*,*,*,キリスト教,キリストキョウ,キリストキョー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
イスラーム	名詞,固有名詞,一般,*,*,*,イスラーム,イスラーム,イスラーム
教	名詞,一般,*,*,*,*,教,キョウ,キョー
、	記号,読点,*,*,*,*,、,、,、
ユダヤ教	名詞,固有名詞,一般,*,*,*,ユダヤ教,ユダヤキョウ,ユダヤキョー
といった	助詞,格助詞,連語,*,*,*,といった,トイッタ,トイッタ
、	記号,読点,*,*,*,*,、,、,、
宗教	名詞,一般,*,*,*,*,宗教,シュウキョウ,シューキョー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
伴う	動詞,自立,*,*,五段・ワ行促音便,基本形,伴う,トモナウ,トモナウ
文明	名詞,一般,*,*,*,*,文明,ブンメイ,ブンメイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
関わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,関わる,カカワッ,カカワッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
それら	名詞,代名詞,一般,*,*,*,それら,ソレラ,ソレラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
全て	名詞,副詞可能,*,*,*,*,全て,スベテ,スベテ
地中海	名詞,固有名詞,地域,一般,*,*,地中海,チチュウカイ,チチューカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り巻く	動詞,自立,*,*,五段・カ行イ音便,基本形,取り巻く,トリマク,トリマク
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ
、	記号,読点,*,*,*,*,、,、,、
発展	名詞,サ変接続,*,*,*,*,発展,ハッテン,ハッテン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
この	連体詞,*,*,*,*,*,この,コノ,コノ
点	名詞,非自立,一般,*,*,*,点,テン,テン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
こそ	助詞,係助詞,*,*,*,*,こそ,コソ,コソ
、	記号,読点,*,*,*,*,、,、,、
地中海世界	名詞,固有名詞,一般,*,*,*,地中海世界,チチュウカイセカイ,チチューカイセカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ん	動詞,自立,*,*,五段・バ行,連用タ接続,学ぶ,マナン,マナン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
意義	名詞,一般,*,*,*,*,意義,イギ,イギ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いえよ	動詞,自立,*,*,一段,未然ウ接続,いえる,イエヨ,イエヨ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。	記号,句点,*,*,*,*,。,。,。
この	連体詞,*,*,*,*,*,この,コノ,コノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
オリエント	名詞,一般,*,*,*,*,オリエント,オリエント,オリエント
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
文明	名詞,一般,*,*,*,*,文明,ブンメイ,ブンメイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
揺籃	名詞,一般,*,*,*,*,揺籃,ヨウラン,ヨーラン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
、	記号,読点,*,*,*,*,、,、,、
ローマ	名詞,固有名詞,地域,一般,*,*,ローマ,ローマ,ローマ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
地中海世界	名詞,固有名詞,一般,*,*,*,地中海世界,チチュウカイセカイ,チチューカイセカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
支配	名詞,サ変接続,*,*,*,*,支配,シハイ,シハイ
、	記号,読点,*,*,*,*,、,、,、
イスラーム	名詞,固有名詞,一般,*,*,*,イスラーム,イスラーム,イスラーム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
台頭	名詞,サ変接続,*,*,*,*,台頭,タイトウ,タイトー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
経	動詞,自立,*,*,一段,連用形,経る,ヘ,ヘ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
イタリア	名詞,固有名詞,地域,国,*,*,イタリア,イタリア,イタリア
都市	名詞,一般,*,*,*,*,都市,トシ,トシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
覇権	名詞,一般,*,*,*,*,覇権,ハケン,ハケン
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り上げ	動詞,自立,*,*,一段,連用形,取り上げる,トリアゲ,トリアゲ
、	記号,読点,*,*,*,*,、,、,、
地中海	名詞,固有名詞,地域,一般,*,*,地中海,チチュウカイ,チチューカイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
西洋	名詞,一般,*,*,*,*,西洋,セイヨウ,セイヨー
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
形成	名詞,サ変接続,*,*,*,*,形成,ケイセイ,ケイセイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
もたらし	動詞,自立,*,*,五段・サ行,連用形,もたらす,モタラシ,モタラシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
影響	名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
探っ	動詞,自立,*,*,五段・ラ行,連用タ接続,探る,サグッ,サグッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
使用	名詞,サ変接続,*,*,*,*,使用,シヨウ,シヨー
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
適宜	名詞,副詞可能,*,*,*,*,適宜,テキギ,テキギ
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
プリント	名詞,サ変接続,*,*,*,*,プリント,プリント,プリント
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
則っ	動詞,自立,*,*,五段・ラ行,連用タ接続,則る,ノットッ,ノットッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進める	動詞,自立,*,*,一段,基本形,進める,ススメル,ススメル
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
本村凌二	名詞,固有名詞,人名,一般,*,*,本村凌二,モトムラリョウジ,モトムラリョージ
・	記号,一般,*,*,*,*,・,・,・
高山博	名詞,固有名詞,人名,一般,*,*,高山博,タカヤマヒロシ,タカヤマヒロシ
『	記号,括弧開,*,*,*,*,『,『,『
地中海世界	名詞,固有名詞,一般,*,*,*,地中海世界,チチュウカイセカイ,チチューカイセカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
―	記号,一般,*,*,*,*,―,―,―
古代	名詞,一般,*,*,*,*,古代,コダイ,コダイ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
近世	名詞,一般,*,*,*,*,近世,キンセイ,キンセイ
―	記号,一般,*,*,*,*,―,―,―
』	記号,括弧閉,*,*,*,*,』,』,』
放送大学教育振興会	名詞,固有名詞,一般,*,*,*,放送大学教育振興会,ホウソウダイガクキョウイクシンコウカイ,ホーソーダイガクキョーイクシンコーカイ
2009年	名詞,固有名詞,一般,*,*,*,2009年,ニセンキュウネン,ニセンキュウネン
服部良久	名詞,固有名詞,人名,一般,*,*,服部良久,ハットリヨシヒサ,ハットリヨシヒサ
・	記号,一般,*,*,*,*,・,・,・
南川高志	名詞,固有名詞,人名,一般,*,*,南川高志,ミナミカワタカシ,ミナミカワタカシ
・	記号,一般,*,*,*,*,・,・,・
山辺規子	名詞,固有名詞,人名,一般,*,*,山辺規子,ヤマベノリコ,ヤマベノリコ
『	記号,括弧開,*,*,*,*,『,『,『
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
西洋史	名詞,固有名詞,一般,*,*,*,西洋史,セイヨウシ,セイヨーシ
[	記号,一般,*,*,*,*,*
古代	名詞,一般,*,*,*,*,古代,コダイ,コダイ
・	記号,一般,*,*,*,*,・,・,・
中世	名詞,一般,*,*,*,*,中世,チュウセイ,チューセイ
]』	記号,一般,*,*,*,*,*
ミネルヴァ書房	名詞,固有名詞,組織,*,*,*,ミネルヴァ書房,ミネルヴァショボウ,ミネルバショボー
2006年	名詞,固有名詞,一般,*,*,*,2006年,ニセンロクネン,ニセンロクネン
伊藤貞夫	名詞,固有名詞,人名,一般,*,*,伊藤貞夫,イトウサダオ,イトーサダオ
『	記号,括弧開,*,*,*,*,『,『,『
古代ギリシア	名詞,固有名詞,一般,*,*,*,古代ギリシア,コダイギリシア,コダイギリシア
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
』	記号,括弧閉,*,*,*,*,』,』,』
講談社学術文庫	名詞,固有名詞,一般,*,*,*,講談社学術文庫,コウダンシャガクジュツブンコ,コーダンシャガクジュツブンコ
2004年	名詞,固有名詞,一般,*,*,*,2004年,ニセンヨネン,ニセンヨネン
森谷公俊	名詞,固有名詞,人名,一般,*,*,森谷公俊,モリタニキミトシ,モリタニキミトシ
『	記号,括弧開,*,*,*,*,『,『,『
興亡の世界史	名詞,固有名詞,一般,*,*,*,興亡の世界史,コウボウノセカイシ,コーボーノセカイシ
01	名詞,数,*,*,*,*,*
アレクサンドロス	名詞,固有名詞,一般,*,*,*,アレクサンドロス,アレクサンドロス,アレクサンドロス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
征服	名詞,サ変接続,*,*,*,*,征服,セイフク,セイフク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
神話	名詞,一般,*,*,*,*,神話,シンワ,シンワ
』	記号,括弧閉,*,*,*,*,』,』,』
講談社	名詞,固有名詞,組織,*,*,*,講談社,コウダンシャ,コーダンシャ
2007年	名詞,固有名詞,一般,*,*,*,2007年,ニセンナナネン,ニセンナナネン
本村凌二	名詞,固有名詞,人名,一般,*,*,本村凌二,モトムラリョウジ,モトムラリョージ
『	記号,括弧開,*,*,*,*,『,『,『
興亡の世界史	名詞,固有名詞,一般,*,*,*,興亡の世界史,コウボウノセカイシ,コーボーノセカイシ
04	名詞,数,*,*,*,*,*
地中海世界	名詞,固有名詞,一般,*,*,*,地中海世界,チチュウカイセカイ,チチューカイセカイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ローマ帝国	名詞,固有名詞,地域,国,*,*,ローマ帝国,ローマテイコク,ローマテイコク
』	記号,括弧閉,*,*,*,*,』,』,』
講談社	名詞,固有名詞,組織,*,*,*,講談社,コウダンシャ,コーダンシャ
2007年	名詞,固有名詞,一般,*,*,*,2007年,ニセンナナネン,ニセンナナネン
井上浩一	名詞,固有名詞,人名,一般,*,*,井上浩一,イノウエコウイチ,イノーエコーイチ
『	記号,括弧開,*,*,*,*,『,『,『
生き残っ	動詞,自立,*,*,五段・ラ行,連用タ接続,生き残る,イキノコッ,イキノコッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
帝国	名詞,一般,*,*,*,*,帝国,テイコク,テイコク
ビザンティン	名詞,固有名詞,一般,*,*,*,ビザンティン,ビザンティン,ビザンティン
』	記号,括弧閉,*,*,*,*,』,』,』
講談社学術文庫	名詞,固有名詞,一般,*,*,*,講談社学術文庫,コウダンシャガクジュツブンコ,コーダンシャガクジュツブンコ
2008年	名詞,固有名詞,一般,*,*,*,2008年,ニセンハチネン,ニセンハチネン
根津	名詞,固有名詞,人名,姓,*,*,根津,ネヅ,ネズ
由	名詞,固有名詞,人名,名,*,*,由,ユカリ,ユカリ
喜夫	名詞,固有名詞,人名,名,*,*,喜夫,ヨシオ,ヨシオ
『	記号,括弧開,*,*,*,*,『,『,『
ビザンツ	名詞,固有名詞,一般,*,*,*,ビザンツ,ビザンツ,ビザンツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
国家	名詞,一般,*,*,*,*,国家,コッカ,コッカ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
』	記号,括弧閉,*,*,*,*,』,』,』
山川出版社	名詞,固有名詞,一般,*,*,*,山川出版社,ヤマカワシュッパンシャ,ヤマカワシュッパンシャ
2008年	名詞,固有名詞,一般,*,*,*,2008年,ニセンハチネン,ニセンハチネン
高山博	名詞,固有名詞,人名,一般,*,*,高山博,タカヤマヒロシ,タカヤマヒロシ
『	記号,括弧開,*,*,*,*,『,『,『
ヨーロッパ	名詞,固有名詞,地域,一般,*,*,ヨーロッパ,ヨーロッパ,ヨーロッパ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
イスラーム	名詞,固有名詞,一般,*,*,*,イスラーム,イスラーム,イスラーム
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
』	記号,括弧閉,*,*,*,*,』,』,』
山川出版社	名詞,固有名詞,一般,*,*,*,山川出版社,ヤマカワシュッパンシャ,ヤマカワシュッパンシャ
2007年	名詞,固有名詞,一般,*,*,*,2007年,ニセンナナネン,ニセンナナネン
太田	名詞,固有名詞,人名,姓,*,*,太田,オオタ,オータ
敬子	名詞,固有名詞,人名,名,*,*,敬子,ケイコ,ケイコ
『	記号,括弧開,*,*,*,*,『,『,『
十字軍	名詞,一般,*,*,*,*,十字軍,ジュウジグン,ジュージグン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
地中海世界	名詞,固有名詞,一般,*,*,*,地中海世界,チチュウカイセカイ,チチューカイセカイ
』	記号,括弧閉,*,*,*,*,』,』,』
山川出版社	名詞,固有名詞,一般,*,*,*,山川出版社,ヤマカワシュッパンシャ,ヤマカワシュッパンシャ
2011年	名詞,固有名詞,一般,*,*,*,2011年,ニセンジュウイチネン,ニセンジュウイチネン
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
通常	名詞,一般,*,*,*,*,通常,ツウジョウ,ツージョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
取り組み	名詞,一般,*,*,*,*,取り組み,トリクミ,トリクミ
（	記号,括弧開,*,*,*,*,（,（,（
質問	名詞,サ変接続,*,*,*,*,質問,シツモン,シツモン
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
