ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
（	記号,括弧開,*,*,*,*,（,（,（
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
至る	動詞,自立,*,*,五段・ラ行,基本形,至る,イタル,イタル
過程	名詞,一般,*,*,*,*,過程,カテイ,カテイ
）	記号,括弧閉,*,*,*,*,）,）,）
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
観察	名詞,サ変接続,*,*,*,*,観察,カンサツ,カンサツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
歴史言語学	名詞,固有名詞,一般,*,*,*,歴史言語学,レキシゲンゴガク,レキシゲンゴガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
分析	名詞,サ変接続,*,*,*,*,分析,ブンセキ,ブンセキ
・	記号,一般,*,*,*,*,・,・,・
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考察	名詞,サ変接続,*,*,*,*,考察,コウサツ,コーサツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
知る	動詞,自立,*,*,五段・ラ行,基本形,知る,シル,シル
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
、	記号,読点,*,*,*,*,、,、,、
歴史的	名詞,固有名詞,一般,*,*,*,歴史的,レキシテキ,レキシテキ
観点	名詞,一般,*,*,*,*,観点,カンテン,カンテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り入れる	動詞,自立,*,*,一段,基本形,取り入れる,トリイレル,トリイレル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
、	記号,読点,*,*,*,*,、,、,、
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
・	記号,一般,*,*,*,*,・,・,・
語法	名詞,一般,*,*,*,*,語法,ゴホウ,ゴホー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
深める	動詞,自立,*,*,一段,基本形,深める,フカメル,フカメル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
後期	名詞,一般,*,*,*,*,後期,コウキ,コーキ
近代英語	名詞,固有名詞,一般,*,*,*,近代英語,キンダイエイゴ,キンダイエイゴ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
観察	名詞,サ変接続,*,*,*,*,観察,カンサツ,カンサツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
語法	名詞,一般,*,*,*,*,語法,ゴホウ,ゴホー
・	記号,一般,*,*,*,*,・,・,・
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
概観	名詞,サ変接続,*,*,*,*,概観,ガイカン,ガイカン
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
文献	名詞,一般,*,*,*,*,文献,ブンケン,ブンケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
講読	名詞,サ変接続,*,*,*,*,講読,コウドク,コードク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
うち	名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
いくつか	名詞,一般,*,*,*,*,いくつか,イクツカ,イクツカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
トピック	名詞,一般,*,*,*,*,トピック,トピック,トピック
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
各自	名詞,副詞可能,*,*,*,*,各自,カクジ,カクジ
コーパス	名詞,一般,*,*,*,*,コーパス,コーパス,コーパス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
配付	名詞,サ変接続,*,*,*,*,配付,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
Understanding	名詞,固有名詞,一般,*,*,*,Understanding,アンダースタンディング,アンダースタンディング
Language	名詞,固有名詞,人名,一般,*,*,Language,ランゲージ,ランゲージ
Change	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
Burridge	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
K.	名詞,固有名詞,人名,一般,*,*,K.,ケイ,ケイ
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
Bergs	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
A	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
Routledge	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
Language	名詞,固有名詞,人名,一般,*,*,Language,ランゲージ,ランゲージ
Change	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
Joan	名詞,固有名詞,組織,*,*,*,*
Bybee	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Cambridge	名詞,固有名詞,組織,*,*,*,*
University	名詞,一般,*,*,*,*,*
Press	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Historical	名詞,固有名詞,組織,*,*,*,*
Linguistics	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Winters	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
M	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
E	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
John	名詞,固有名詞,組織,*,*,*,*
Benjamins	名詞,固有名詞,一般,*,*,*,Benjamins,ベンジャミンズ,ベンジャミンズ
Publishing	名詞,一般,*,*,*,*,*
Company	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
A	名詞,固有名詞,組織,*,*,*,*
Brief	名詞,一般,*,*,*,*,*
History	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
English	名詞,固有名詞,一般,*,*,*,English,イングリッシュ,イングリッシュ
Syntax	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Fischer	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
O	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
De	名詞,固有名詞,一般,*,*,*,De,ディーイー,ディーイー
Smet	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
H.	名詞,固有名詞,人名,一般,*,*,H.,エイチ,エイチ
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
Van	名詞,固有名詞,組織,*,*,*,*
der	名詞,一般,*,*,*,*,*
Wurff	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
W	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
探偵小説	名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
.	記号,一般,*,*,*,*,*
秋元実治	名詞,固有名詞,一般,*,*,*,秋元実治,アキモトミノジ,アキモトミノジ
.	記号,一般,*,*,*,*,*
開拓	名詞,サ変接続,*,*,*,*,開拓,カイタク,カイタク
社	名詞,接尾,一般,*,*,*,社,シャ,シャ
Mysteries	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
English	名詞,固有名詞,一般,*,*,*,English,イングリッシュ,イングリッシュ
Grammar	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Calude	名詞,固有名詞,組織,*,*,*,*
A	名詞,一般,*,*,*,*,*
.S	名詞,固有名詞,一般,*,*,*,.S,ドッツ,ドッツ
.	記号,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
Bauer	名詞,固有名詞,組織,*,*,*,*
L	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
RoutledgeDavid	名詞,固有名詞,組織,*,*,*,*
Crystal	名詞,一般,*,*,*,*,*
'	記号,一般,*,*,*,*,*
s	名詞,固有名詞,組織,*,*,*,*
50	名詞,数,*,*,*,*,*
Questions	名詞,一般,*,*,*,*,*
about	名詞,固有名詞,人名,一般,*,*,ABOUT,アバウト,アバウト
English	名詞,固有名詞,一般,*,*,*,English,イングリッシュ,イングリッシュ
Usage	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Cambridge	名詞,固有名詞,組織,*,*,*,*
UP	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
、	記号,読点,*,*,*,*,、,、,、
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
適宜	名詞,副詞可能,*,*,*,*,適宜,テキギ,テキギ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
程度	名詞,接尾,一般,*,*,*,程度,テイド,テイド
、	記号,読点,*,*,*,*,、,、,、
調査報告	名詞,固有名詞,一般,*,*,*,調査報告,チョウサホウコク,チョーサホーコク
・	記号,一般,*,*,*,*,・,・,・
ディスカッション	名詞,サ変接続,*,*,*,*,ディスカッション,ディスカッション,ディスカッション
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
程度	名詞,接尾,一般,*,*,*,程度,テイド,テイド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
あわせ	動詞,自立,*,*,一段,連用形,あわせる,アワセ,アワセ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
総合的	名詞,固有名詞,一般,*,*,*,総合的,ソウゴウテキ,ソーゴーテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
2	名詞,数,*,*,*,*,*
コーパス	名詞,一般,*,*,*,*,コーパス,コーパス,コーパス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
3	名詞,数,*,*,*,*,*
コーパス	名詞,一般,*,*,*,*,コーパス,コーパス,コーパス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
事実調査	名詞,固有名詞,一般,*,*,*,事実調査,ジジツチョウサ,ジジツチョーサ
COCA	名詞,一般,*,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
BNC	名詞,固有名詞,人名,一般,*,*,BNC,ビーエヌシー,ビーエヌシー
4	名詞,数,*,*,*,*,*
コーパス	名詞,一般,*,*,*,*,コーパス,コーパス,コーパス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
事実調査	名詞,固有名詞,一般,*,*,*,事実調査,ジジツチョウサ,ジジツチョーサ
COHA	名詞,一般,*,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
TIME	名詞,固有名詞,一般,*,*,*,TIME,タイム,タイム
5	名詞,数,*,*,*,*,*
コーパス	名詞,一般,*,*,*,*,コーパス,コーパス,コーパス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
事実調査	名詞,固有名詞,一般,*,*,*,事実調査,ジジツチョウサ,ジジツチョーサ
Hansard	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
Ngramviewer	名詞,固有名詞,組織,*,*,*,*
6	名詞,数,*,*,*,*,*
受動態	名詞,一般,*,*,*,*,受動態,ジュドウタイ,ジュドータイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
用法	名詞,一般,*,*,*,*,用法,ヨウホウ,ヨーホー
（	記号,括弧開,*,*,*,*,（,（,（
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
）	記号,括弧閉,*,*,*,*,）,）,）
7	名詞,数,*,*,*,*,*
受動態	名詞,一般,*,*,*,*,受動態,ジュドウタイ,ジュドータイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
後期	名詞,一般,*,*,*,*,後期,コウキ,コーキ
近代英語	名詞,固有名詞,一般,*,*,*,近代英語,キンダイエイゴ,キンダイエイゴ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
8	名詞,数,*,*,*,*,*
再帰動詞	名詞,固有名詞,一般,*,*,*,再帰動詞,サイキドウシ,サイキドーシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
用法	名詞,一般,*,*,*,*,用法,ヨウホウ,ヨーホー
（	記号,括弧開,*,*,*,*,（,（,（
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
）	記号,括弧閉,*,*,*,*,）,）,）
9	名詞,数,*,*,*,*,*
再帰動詞	名詞,固有名詞,一般,*,*,*,再帰動詞,サイキドウシ,サイキドーシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
後期	名詞,一般,*,*,*,*,後期,コウキ,コーキ
近代英語	名詞,固有名詞,一般,*,*,*,近代英語,キンダイエイゴ,キンダイエイゴ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
10	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
合成	名詞,サ変接続,*,*,*,*,合成,ゴウセイ,ゴーセイ
述語	名詞,一般,*,*,*,*,述語,ジュツゴ,ジュツゴ
11	名詞,数,*,*,*,*,*
合成	名詞,サ変接続,*,*,*,*,合成,ゴウセイ,ゴーセイ
述語	名詞,一般,*,*,*,*,述語,ジュツゴ,ジュツゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史的変化	名詞,固有名詞,一般,*,*,*,歴史的変化,レキシテキヘンカ,レキシテキヘンカ
12	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
仮定	名詞,サ変接続,*,*,*,*,仮定,カテイ,カテイ
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
13	名詞,数,*,*,*,*,*
仮定	名詞,サ変接続,*,*,*,*,仮定,カテイ,カテイ
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史的	名詞,固有名詞,一般,*,*,*,歴史的,レキシテキ,レキシテキ
発達	名詞,サ変接続,*,*,*,*,発達,ハッタツ,ハッタツ
14	名詞,数,*,*,*,*,*
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
結果発表	名詞,固有名詞,一般,*,*,*,結果発表,ケッカハッピョウ,ケッカハッピョー
および	名詞,一般,*,*,*,*,お呼び,オヨビ,オヨビ
ディスカッション	名詞,サ変接続,*,*,*,*,ディスカッション,ディスカッション,ディスカッション
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
振り返り	動詞,自立,*,*,五段・ラ行,連用形,振り返る,フリカエリ,フリカエリ
回	動詞,非自立,*,*,五段・ラ行,体言接続特殊２,回る,マワ,マワ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
2	名詞,数,*,*,*,*,*
コーパス	名詞,一般,*,*,*,*,コーパス,コーパス,コーパス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
3	名詞,数,*,*,*,*,*
コーパス	名詞,一般,*,*,*,*,コーパス,コーパス,コーパス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
事実調査	名詞,固有名詞,一般,*,*,*,事実調査,ジジツチョウサ,ジジツチョーサ
COCA	名詞,一般,*,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
BNC	名詞,固有名詞,人名,一般,*,*,BNC,ビーエヌシー,ビーエヌシー
4	名詞,数,*,*,*,*,*
コーパス	名詞,一般,*,*,*,*,コーパス,コーパス,コーパス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
事実調査	名詞,固有名詞,一般,*,*,*,事実調査,ジジツチョウサ,ジジツチョーサ
COHA	名詞,一般,*,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
TIME	名詞,固有名詞,一般,*,*,*,TIME,タイム,タイム
5	名詞,数,*,*,*,*,*
