ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
To	名詞,一般,*,*,*,*,*
improve	名詞,固有名詞,一般,*,*,*,IMPROVE,インプルーブ,インプルーブ
English	名詞,固有名詞,一般,*,*,*,English,イングリッシュ,イングリッシュ
communication	名詞,一般,*,*,*,*,*
skills	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
rhythm	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
pronunciation	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
intonation	名詞,固有名詞,組織,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
stress	名詞,固有名詞,組織,*,*,*,*
through	名詞,一般,*,*,*,*,*
group	名詞,一般,*,*,*,*,*
discus	名詞,固有名詞,一般,*,*,*,DISCUS,ディスカス,ディスカス
sion	名詞,固有名詞,人名,一般,*,*,SION,シオン,シオン
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
oral	名詞,固有名詞,組織,*,*,*,*
presentations	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
In	名詞,一般,*,*,*,*,*
addition	名詞,一般,*,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
studying	名詞,一般,*,*,*,*,*
communication	名詞,一般,*,*,*,*,*
skills	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
we	名詞,固有名詞,組織,*,*,*,*
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
study	名詞,一般,*,*,*,*,*
“	記号,括弧開,*,*,*,*,“,“,“
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
Internet	名詞,固有名詞,一般,*,*,*,Internet,インターネット,インターネット
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
Global	名詞,固有名詞,組織,*,*,*,*
Culture	名詞,一般,*,*,*,*,*
”	記号,括弧閉,*,*,*,*,”,”,”
by	名詞,固有名詞,一般,*,*,*,BY,ビーワイ,ビーワイ
focusing	名詞,一般,*,*,*,*,*
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
new	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
global	名詞,固有名詞,一般,*,*,*,GLOBAL,グローバル,グローバル
cultural	名詞,一般,*,*,*,*,*
productions	名詞,一般,*,*,*,*,*
made	名詞,固有名詞,一般,*,*,*,MADE,メイド,メイド
possible	名詞,一般,*,*,*,*,*
by	名詞,固有名詞,一般,*,*,*,BY,ビーワイ,ビーワイ
the	名詞,一般,*,*,*,*,the,ザ,ザ
spread	名詞,固有名詞,人名,一般,*,*,SPREAD,スプレッド,スプレッド
of	名詞,固有名詞,組織,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Internet	名詞,固有名詞,一般,*,*,*,Internet,インターネット,インターネット
.	記号,一般,*,*,*,*,*
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
class	名詞,固有名詞,人名,一般,*,*,class,クラス,クラス
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
be	名詞,固有名詞,組織,*,*,*,*
taught	名詞,一般,*,*,*,*,*
face to face	名詞,固有名詞,一般,*,*,*,Face to Face,フェイストゥフェイス,フェイストゥフェイス
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
campus	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
Texts	名詞,一般,*,*,*,*,*
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
be	名詞,固有名詞,組織,*,*,*,*
handed	名詞,一般,*,*,*,*,*
out	名詞,固有名詞,一般,*,*,*,out,アウト,アウト
by	名詞,固有名詞,一般,*,*,*,BY,ビーワイ,ビーワイ
the	名詞,一般,*,*,*,*,the,ザ,ザ
instructor	名詞,一般,*,*,*,*,*
or	名詞,一般,*,*,*,*,*
research	名詞,固有名詞,人名,一般,*,*,RESEARCH,リサーチ,リサーチ
ed	名詞,固有名詞,人名,一般,*,*,Ed,エド,エド
online	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
None	名詞,一般,*,*,*,*,*
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
Recorded	名詞,一般,*,*,*,*,*
speech	名詞,固有名詞,一般,*,*,*,speech,スピーチ,スピーチ
submitted	名詞,一般,*,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
the	名詞,一般,*,*,*,*,the,ザ,ザ
instructor	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
20%	名詞,固有名詞,一般,*,*,*,20%,ニジュウパーセント,ニジュウパーセント
);	記号,一般,*,*,*,*,*
Group	名詞,固有名詞,組織,*,*,*,*
projects	名詞,一般,*,*,*,*,*
that	名詞,一般,*,*,*,*,*
include	名詞,一般,*,*,*,*,*
two	名詞,固有名詞,一般,*,*,*,TWO,ツゥ,ツゥ
oral	名詞,一般,*,*,*,*,*
presentations	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
5%	名詞,固有名詞,一般,*,*,*,5%,ゴパーセント,ゴパーセント
);	記号,一般,*,*,*,*,*
Final	名詞,固有名詞,一般,*,*,*,Final,ファイナル,ファイナル
project	名詞,一般,*,*,*,*,*
/	記号,一般,*,*,*,*,*
report	名詞,固有名詞,組織,*,*,*,*
that	名詞,一般,*,*,*,*,*
includes	名詞,一般,*,*,*,*,*
a	名詞,接尾,助数詞,*,*,*,a,アール,アール
recorded	名詞,固有名詞,組織,*,*,*,*
speech	名詞,固有名詞,一般,*,*,*,speech,スピーチ,スピーチ
(	記号,一般,*,*,*,*,*
75%	名詞,固有名詞,一般,*,*,*,75%,ナナジュウゴパーセント,ナナジュウゴパーセント
).	記号,一般,*,*,*,*,*
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
1	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Introduction	名詞,固有名詞,組織,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
the	名詞,一般,*,*,*,*,the,ザ,ザ
class	名詞,固有名詞,人名,一般,*,*,class,クラス,クラス
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
teaching	名詞,固有名詞,組織,*,*,*,*
method	名詞,固有名詞,一般,*,*,*,method,メソッド,メソッド
;	記号,一般,*,*,*,*,*
conversation	名詞,固有名詞,組織,*,*,*,*
activity	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Practice	名詞,固有名詞,人名,一般,*,*,PRACTICE,プラクティス,プラクティス
for	名詞,固有名詞,一般,*,*,*,for,フォー,フォー
recorded	名詞,一般,*,*,*,*,*
speech	名詞,固有名詞,一般,*,*,*,speech,スピーチ,スピーチ
submitted	名詞,一般,*,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
the	名詞,一般,*,*,*,*,the,ザ,ザ
instructor	名詞,一般,*,*,*,*,*
;	記号,一般,*,*,*,*,*
conversation	名詞,固有名詞,組織,*,*,*,*
activity	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Choose	名詞,固有名詞,組織,*,*,*,*
topics	名詞,一般,*,*,*,*,*
for	名詞,固有名詞,一般,*,*,*,for,フォー,フォー
group	名詞,一般,*,*,*,*,*
project	名詞,一般,*,*,*,*,*
;	記号,一般,*,*,*,*,*
conversation	名詞,固有名詞,組織,*,*,*,*
activity	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
In	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
class	名詞,固有名詞,一般,*,*,*,class,クラス,クラス
discus	名詞,固有名詞,一般,*,*,*,DISCUS,ディスカス,ディスカス
sion	名詞,固有名詞,人名,一般,*,*,SION,シオン,シオン
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
group	名詞,固有名詞,組織,*,*,*,*
project	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
individual	名詞,固有名詞,一般,*,*,*,INDIVIDUAL,インディビジュアル,インディビジュアル
counseling	名詞,一般,*,*,*,*,*
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
first	名詞,固有名詞,人名,一般,*,*,FIRST,ファースト,ファースト
recorded	名詞,固有名詞,組織,*,*,*,*
speech	名詞,固有名詞,一般,*,*,*,speech,スピーチ,スピーチ
5	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
In	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
class	名詞,固有名詞,一般,*,*,*,class,クラス,クラス
discus	名詞,固有名詞,一般,*,*,*,DISCUS,ディスカス,ディスカス
sion	名詞,固有名詞,人名,一般,*,*,SION,シオン,シオン
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
group	名詞,固有名詞,組織,*,*,*,*
project	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
individual	名詞,固有名詞,一般,*,*,*,INDIVIDUAL,インディビジュアル,インディビジュアル
counseling	名詞,一般,*,*,*,*,*
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
first	名詞,固有名詞,人名,一般,*,*,FIRST,ファースト,ファースト
recorded	名詞,固有名詞,組織,*,*,*,*
spe	名詞,固有名詞,一般,*,*,*,SPE,エスピーイー,エスピーイー
ec	名詞,固有名詞,一般,*,*,*,EC,イーシー,イーシー
h6	名詞,固有名詞,一般,*,*,*,H6,エイチロク,エイチロク
.	記号,一般,*,*,*,*,*
In	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
class	名詞,固有名詞,一般,*,*,*,class,クラス,クラス
discus	名詞,固有名詞,一般,*,*,*,DISCUS,ディスカス,ディスカス
sion	名詞,固有名詞,人名,一般,*,*,SION,シオン,シオン
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
group	名詞,固有名詞,組織,*,*,*,*
project	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
individual	名詞,固有名詞,一般,*,*,*,INDIVIDUAL,インディビジュアル,インディビジュアル
counseling	名詞,一般,*,*,*,*,*
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
first	名詞,固有名詞,人名,一般,*,*,FIRST,ファースト,ファースト
recorded	名詞,固有名詞,組織,*,*,*,*
speech	名詞,固有名詞,一般,*,*,*,speech,スピーチ,スピーチ
7	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Lecture	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
discus	名詞,固有名詞,一般,*,*,*,DISCUS,ディスカス,ディスカス
sion	名詞,固有名詞,人名,一般,*,*,SION,シオン,シオン
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
communication	名詞,固有名詞,組織,*,*,*,*
techniques	名詞,一般,*,*,*,*,*
;	記号,一般,*,*,*,*,*
conversation	名詞,固有名詞,組織,*,*,*,*
activity	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Lecture	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
discus	名詞,固有名詞,一般,*,*,*,DISCUS,ディスカス,ディスカス
sion	名詞,固有名詞,人名,一般,*,*,SION,シオン,シオン
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
communication	名詞,固有名詞,組織,*,*,*,*
techniques	名詞,一般,*,*,*,*,*
;	記号,一般,*,*,*,*,*
conversation	名詞,固有名詞,組織,*,*,*,*
activity	名詞,一般,*,*,*,*,*
9.	名詞,固有名詞,一般,*,*,*,9.,キュウ,キュー
1	名詞,数,*,*,*,*,*
st	名詞,固有名詞,一般,*,*,*,ST,エスティ,エスティ
oral	名詞,一般,*,*,*,*,*
presentation	名詞,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
st	名詞,固有名詞,一般,*,*,*,ST,エスティ,エスティ
oral	名詞,一般,*,*,*,*,*
presentation	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
day	名詞,固有名詞,組織,*,*,*,*
211	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
st	名詞,固有名詞,一般,*,*,*,ST,エスティ,エスティ
oral	名詞,一般,*,*,*,*,*
presentation	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
day	名詞,固有名詞,組織,*,*,*,*
312	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
In	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
class	名詞,固有名詞,一般,*,*,*,class,クラス,クラス
discus	名詞,固有名詞,一般,*,*,*,DISCUS,ディスカス,ディスカス
sion	名詞,固有名詞,人名,一般,*,*,SION,シオン,シオン
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
group	名詞,固有名詞,組織,*,*,*,*
project	名詞,一般,*,*,*,*,*
;	記号,一般,*,*,*,*,*
conversation	名詞,固有名詞,組織,*,*,*,*
activity	名詞,一般,*,*,*,*,*
13.	名詞,固有名詞,一般,*,*,*,13.,ジュウサン,ジュウサン
Presentations	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
final	名詞,一般,*,*,*,*,*
project	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
report	名詞,一般,*,*,*,*,*
14	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Presentations	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
final	名詞,一般,*,*,*,*,*
project	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
report	名詞,一般,*,*,*,*,*
15	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Submission	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
final	名詞,一般,*,*,*,*,*
project	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
recorded	名詞,固有名詞,組織,*,*,*,*
speech	名詞,固有名詞,一般,*,*,*,speech,スピーチ,スピーチ
;	記号,一般,*,*,*,*,*
conversation	名詞,固有名詞,組織,*,*,*,*
activity	名詞,一般,*,*,*,*,*
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
Review	名詞,一般,*,*,*,*,*
the c	名詞,固有名詞,一般,*,*,*,THE C,ザシー,ザシー
ontent	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
previous	名詞,一般,*,*,*,*,*
lesson	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
preparation	名詞,一般,*,*,*,*,*
for	名詞,固有名詞,一般,*,*,*,for,フォー,フォー
the	名詞,一般,*,*,*,*,the,ザ,ザ
next	名詞,固有名詞,組織,*,*,*,NeXT,ネクスト,ネクスト
lesson	名詞,一般,*,*,*,*,*
;	記号,一般,*,*,*,*,*
complete	名詞,固有名詞,組織,*,*,*,*
reading	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
/	記号,一般,*,*,*,*,*
or	名詞,固有名詞,組織,*,*,*,*
other	名詞,固有名詞,一般,*,*,*,other,アザー,アザー
assignments	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
Time	名詞,固有名詞,一般,*,*,*,Time,タイム,タイム
required	名詞,一般,*,*,*,*,*
:	記号,一般,*,*,*,*,*
about	名詞,固有名詞,人名,一般,*,*,ABOUT,アバウト,アバウト
90	名詞,数,*,*,*,*,*
minutes	名詞,一般,*,*,*,*,*
).	記号,一般,*,*,*,*,*
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
アクティブ・ラーニング	名詞,固有名詞,一般,*,*,*,アクティブ・ラーニング,アクティブラーニング,アクティブラーニング
、	記号,読点,*,*,*,*,、,、,、
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
アプローチ	名詞,サ変接続,*,*,*,*,アプローチ,アプローチ,アプローチ
、	記号,読点,*,*,*,*,、,、,、
グループ学習	名詞,固有名詞,一般,*,*,*,グループ学習,グループガクシュウ,グループガクシュー
、	記号,読点,*,*,*,*,、,、,、
発表会	名詞,固有名詞,一般,*,*,*,発表会,ハッピョウカイ,ハッピョーカイ
、	記号,読点,*,*,*,*,、,、,、
ディスカッション	名詞,サ変接続,*,*,*,*,ディスカッション,ディスカッション,ディスカッション
Active	名詞,固有名詞,一般,*,*,*,Active,アクティブ,アクティブ
/	記号,一般,*,*,*,*,*
Learning	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
Team A	名詞,固有名詞,一般,*,*,*,Team A,チームエー,チームエー
pproach	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
Group	名詞,固有名詞,組織,*,*,*,*
Learning	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
Presentation	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
Discussion	名詞,固有名詞,組織,*,*,*,*
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メッセージ	名詞,一般,*,*,*,*,メッセージ,メッセージ,メッセージ
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
）	記号,括弧閉,*,*,*,*,）,）,）
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
class	名詞,固有名詞,人名,一般,*,*,class,クラス,クラス
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
be	名詞,固有名詞,組織,*,*,*,*
taught	名詞,一般,*,*,*,*,*
face to face	名詞,固有名詞,一般,*,*,*,Face to Face,フェイストゥフェイス,フェイストゥフェイス
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
campus	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
EOS
