ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー
・	記号,一般,*,*,*,*,・,・,・
高等学校	名詞,固有名詞,一般,*,*,*,高等学校,コウトウガッコウ,コートーガッコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
、	記号,読点,*,*,*,*,、,、,、
器楽	名詞,一般,*,*,*,*,器楽,キガク,キガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
学習指導	名詞,固有名詞,一般,*,*,*,学習指導,ガクシュウシドウ,ガクシューシドー
、	記号,読点,*,*,*,*,、,、,、
教材	名詞,一般,*,*,*,*,教材,キョウザイ,キョーザイ
に関して	助詞,格助詞,連語,*,*,*,に関して,ニカンシテ,ニカンシテ
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行い	動詞,自立,*,*,五段・ワ行促音便,連用形,行う,オコナイ,オコナイ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
検討	名詞,サ変接続,*,*,*,*,検討,ケントウ,ケントー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
ピアノ	名詞,一般,*,*,*,*,ピアノ,ピアノ,ピアノ
伴奏	名詞,サ変接続,*,*,*,*,伴奏,バンソウ,バンソー
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
弾き	動詞,自立,*,*,五段・カ行イ音便,連用形,弾く,ハジキ,ハジキ
歌い	名詞,一般,*,*,*,*,歌意,カイ,カイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学び	動詞,自立,*,*,五段・バ行,連用形,学ぶ,マナビ,マナビ
、	記号,読点,*,*,*,*,、,、,、
教育実習	名詞,固有名詞,一般,*,*,*,教育実習,キョウイクジッシュウ,キョーイクジッシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含め	動詞,自立,*,*,一段,連用形,含める,フクメ,フクメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
グループ	名詞,一般,*,*,*,*,グループ,グループ,グループ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
器楽	名詞,一般,*,*,*,*,器楽,キガク,キガク
アンサンブル	名詞,一般,*,*,*,*,アンサンブル,アンサンブル,アンサンブル
、	記号,読点,*,*,*,*,、,、,、
関連	名詞,サ変接続,*,*,*,*,関連,カンレン,カンレン
楽曲	名詞,一般,*,*,*,*,楽曲,ガッキョク,ガッキョク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
鑑賞	名詞,サ変接続,*,*,*,*,鑑賞,カンショウ,カンショー
、	記号,読点,*,*,*,*,、,、,、
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
を通じて	助詞,格助詞,連語,*,*,*,を通じて,ヲツウジテ,ヲツージテ
、	記号,読点,*,*,*,*,、,、,、
器楽	名詞,一般,*,*,*,*,器楽,キガク,キガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
あり方	名詞,一般,*,*,*,*,あり方,アリカタ,アリカタ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
省察	名詞,サ変接続,*,*,*,*,省察,セイサツ,セイサツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
ピアノ	名詞,一般,*,*,*,*,ピアノ,ピアノ,ピアノ
伴奏	名詞,サ変接続,*,*,*,*,伴奏,バンソウ,バンソー
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
弾き	動詞,自立,*,*,五段・カ行イ音便,連用形,弾く,ハジキ,ハジキ
歌い	名詞,一般,*,*,*,*,歌意,カイ,カイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学び	動詞,自立,*,*,五段・バ行,連用形,学ぶ,マナビ,マナビ
、	記号,読点,*,*,*,*,、,、,、
教育実習	名詞,固有名詞,一般,*,*,*,教育実習,キョウイクジッシュウ,キョーイクジッシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含め	動詞,自立,*,*,一段,連用形,含める,フクメ,フクメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
主	名詞,形容動詞語幹,*,*,*,*,主,オモ,オモ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
➀	記号,一般,*,*,*,*,*
コード	名詞,一般,*,*,*,*,コード,コード,コード
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
コード	名詞,一般,*,*,*,*,コード,コード,コード
伴奏	名詞,サ変接続,*,*,*,*,伴奏,バンソウ,バンソー
➁	記号,一般,*,*,*,*,*
歌唱	名詞,サ変接続,*,*,*,*,歌唱,カショウ,カショー
共通	名詞,サ変接続,*,*,*,*,共通,キョウツウ,キョーツー
教材	名詞,一般,*,*,*,*,教材,キョウザイ,キョーザイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
弾き	動詞,自立,*,*,五段・カ行イ音便,連用形,弾く,ハジキ,ハジキ
歌い	名詞,一般,*,*,*,*,歌意,カイ,カイ
➂	記号,一般,*,*,*,*,*
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
とりあげ	動詞,自立,*,*,一段,未然形,とりあげる,トリアゲ,トリアゲ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
合唱曲	名詞,固有名詞,一般,*,*,*,合唱曲,ガッショウキョク,ガッショーキョク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
伴奏	名詞,サ変接続,*,*,*,*,伴奏,バンソウ,バンソー
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
ミュージック	名詞,一般,*,*,*,*,ミュージック,ミュージック,ミュージック
・	記号,一般,*,*,*,*,・,・,・
ラボラトリー	名詞,一般,*,*,*,*,ラボラトリー,ラボラトリー,ラボラトリー
教室	名詞,一般,*,*,*,*,教室,キョウシツ,キョーシツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
使用	名詞,サ変接続,*,*,*,*,使用,シヨウ,シヨー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
協働	名詞,固有名詞,一般,*,*,*,協働,キョウドウ,キョードー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
内	名詞,接尾,一般,*,*,*,内,ナイ,ナイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
指示	名詞,サ変接続,*,*,*,*,指示,シジ,シジ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
『	記号,括弧開,*,*,*,*,『,『,『
最新	名詞,一般,*,*,*,*,最新,サイシン,サイシン
中等	名詞,一般,*,*,*,*,中等,チュウトウ,チュートー
科	名詞,接尾,一般,*,*,*,科,カ,カ
音楽教育	名詞,固有名詞,一般,*,*,*,音楽教育,オンガクキョウイク,オンガクキョーイク
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
[	記号,一般,*,*,*,*,*
改訂版	名詞,固有名詞,一般,*,*,*,改訂版,カイテイバン,カイテイバン
]	記号,一般,*,*,*,*,*
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー
・	記号,一般,*,*,*,*,・,・,・
高等学校	名詞,固有名詞,一般,*,*,*,高等学校,コウトウガッコウ,コートーガッコー
教員養成課程	名詞,固有名詞,人名,一般,*,*,教員養成課程,キョウインヨウセイカテイ,キョーインヨーセイカテイ
用	名詞,接尾,一般,*,*,*,用,ヨウ,ヨー
』	記号,括弧閉,*,*,*,*,』,』,』
『	記号,括弧開,*,*,*,*,『,『,『
最新	名詞,一般,*,*,*,*,最新,サイシン,サイシン
初等科音楽	名詞,固有名詞,一般,*,*,*,初等科音楽,ショトウカオンガク,ショトーカオンガク
教育法	名詞,固有名詞,一般,*,*,*,教育法,キョウイクホウ,キョーイクホー
[	記号,一般,*,*,*,*,*
改訂版	名詞,固有名詞,一般,*,*,*,改訂版,カイテイバン,カイテイバン
]	記号,一般,*,*,*,*,*
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー
教員養成課程	名詞,固有名詞,人名,一般,*,*,教員養成課程,キョウインヨウセイカテイ,キョーインヨーセイカテイ
用	名詞,接尾,一般,*,*,*,用,ヨウ,ヨー
』	記号,括弧閉,*,*,*,*,』,』,』
音楽之友社	名詞,固有名詞,組織,*,*,*,音楽之友社,オンガクノトモシャ,オンガクノトモシャ
(	記号,一般,*,*,*,*,*
2011	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
取り組み	動詞,自立,*,*,五段・マ行,連用形,取り組む,トリクミ,トリクミ
、	記号,読点,*,*,*,*,、,、,、
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
、	記号,読点,*,*,*,*,、,、,、
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
総合的	名詞,固有名詞,一般,*,*,*,総合的,ソウゴウテキ,ソーゴーテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
遅刻	名詞,サ変接続,*,*,*,*,遅刻,チコク,チコク
欠席	名詞,サ変接続,*,*,*,*,欠席,ケッセキ,ケッセキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
減点	名詞,サ変接続,*,*,*,*,減点,ゲンテン,ゲンテン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対象	名詞,一般,*,*,*,*,対象,タイショウ,タイショー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
2	名詞,数,*,*,*,*,*
ミュージック	名詞,一般,*,*,*,*,ミュージック,ミュージック,ミュージック
ベル	名詞,一般,*,*,*,*,ベル,ベル,ベル
3	名詞,数,*,*,*,*,*
トーンチャイム	名詞,固有名詞,一般,*,*,*,トーンチャイム,トーンチャイム,トーンチャイム
4	名詞,数,*,*,*,*,*
器楽	名詞,一般,*,*,*,*,器楽,キガク,キガク
アンサンブル	名詞,一般,*,*,*,*,アンサンブル,アンサンブル,アンサンブル
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
選曲	名詞,サ変接続,*,*,*,*,選曲,センキョク,センキョク
・	記号,一般,*,*,*,*,・,・,・
パート	名詞,一般,*,*,*,*,パート,パート,パート
分担	名詞,サ変接続,*,*,*,*,分担,ブンタン,ブンタン
5	名詞,数,*,*,*,*,*
器楽	名詞,一般,*,*,*,*,器楽,キガク,キガク
アンサンブル	名詞,一般,*,*,*,*,アンサンブル,アンサンブル,アンサンブル
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
編曲	名詞,サ変接続,*,*,*,*,編曲,ヘンキョク,ヘンキョク
6	名詞,数,*,*,*,*,*
器楽	名詞,一般,*,*,*,*,器楽,キガク,キガク
アンサンブル	名詞,一般,*,*,*,*,アンサンブル,アンサンブル,アンサンブル
（	記号,括弧開,*,*,*,*,（,（,（
３	名詞,数,*,*,*,*,３,サン,サン
）	記号,括弧閉,*,*,*,*,）,）,）
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
工夫	名詞,サ変接続,*,*,*,*,工夫,クフウ,クフー
7	名詞,数,*,*,*,*,*
器楽	名詞,一般,*,*,*,*,器楽,キガク,キガク
アンサンブル	名詞,一般,*,*,*,*,アンサンブル,アンサンブル,アンサンブル
（	記号,括弧開,*,*,*,*,（,（,（
４	名詞,数,*,*,*,*,４,ヨン,ヨン
）	記号,括弧閉,*,*,*,*,）,）,）
グループ	名詞,一般,*,*,*,*,グループ,グループ,グループ
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
・	記号,一般,*,*,*,*,・,・,・
相互	名詞,一般,*,*,*,*,相互,ソウゴ,ソーゴ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
8	名詞,数,*,*,*,*,*
器楽	名詞,一般,*,*,*,*,器楽,キガク,キガク
アンサンブル	名詞,一般,*,*,*,*,アンサンブル,アンサンブル,アンサンブル
演奏	名詞,サ変接続,*,*,*,*,演奏,エンソウ,エンソー
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
9基	名詞,固有名詞,一般,*,*,*,9基,キュウキ,キュウキ
本	名詞,一般,*,*,*,*,本,ホン,ホン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
コード	名詞,一般,*,*,*,*,コード,コード,コード
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
簡易	名詞,一般,*,*,*,*,簡易,カンイ,カンイ
伴奏	名詞,サ変接続,*,*,*,*,伴奏,バンソウ,バンソー
10	名詞,数,*,*,*,*,*
コード	名詞,一般,*,*,*,*,コード,コード,コード
伴奏	名詞,サ変接続,*,*,*,*,伴奏,バンソウ,バンソー
と	助詞,格助詞,引用,*,*,*,と,ト,ト
弾き	動詞,自立,*,*,五段・カ行イ音便,連用形,弾く,ハジキ,ハジキ
歌い	名詞,一般,*,*,*,*,歌意,カイ,カイ
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
11	名詞,数,*,*,*,*,*
コード	名詞,一般,*,*,*,*,コード,コード,コード
伴奏	名詞,サ変接続,*,*,*,*,伴奏,バンソウ,バンソー
と	助詞,格助詞,引用,*,*,*,と,ト,ト
弾き	動詞,自立,*,*,五段・カ行イ音便,連用形,弾く,ハジキ,ハジキ
歌い	名詞,一般,*,*,*,*,歌意,カイ,カイ
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
12	名詞,数,*,*,*,*,*
歌唱	名詞,サ変接続,*,*,*,*,歌唱,カショウ,カショー
教材	名詞,一般,*,*,*,*,教材,キョウザイ,キョーザイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ピアノ	名詞,一般,*,*,*,*,ピアノ,ピアノ,ピアノ
伴奏	名詞,サ変接続,*,*,*,*,伴奏,バンソウ,バンソー
13	名詞,数,*,*,*,*,*
ピアノ	名詞,一般,*,*,*,*,ピアノ,ピアノ,ピアノ
伴奏	名詞,サ変接続,*,*,*,*,伴奏,バンソウ,バンソー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
案	名詞,接尾,一般,*,*,*,案,アン,アン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
模擬授業	名詞,固有名詞,一般,*,*,*,模擬授業,モギジュギョウ,モギジュギョー
14	名詞,数,*,*,*,*,*
ピアノ	名詞,一般,*,*,*,*,ピアノ,ピアノ,ピアノ
伴奏	名詞,サ変接続,*,*,*,*,伴奏,バンソウ,バンソー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
模擬授業	名詞,固有名詞,一般,*,*,*,模擬授業,モギジュギョウ,モギジュギョー
15発	名詞,固有名詞,一般,*,*,*,15発,ジュウゴハツ,ジュウゴハツ
表	名詞,接尾,一般,*,*,*,表,ヒョウ,ヒョー
と	助詞,格助詞,引用,*,*,*,と,ト,ト
まとめ	動詞,自立,*,*,一段,連用形,まとめる,マトメ,マトメ
回	動詞,非自立,*,*,五段・ラ行,体言接続特殊２,回る,マワ,マワ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
2	名詞,数,*,*,*,*,*
ミュージック	名詞,一般,*,*,*,*,ミュージック,ミュージック,ミュージック
ベル	名詞,一般,*,*,*,*,ベル,ベル,ベル
3	名詞,数,*,*,*,*,*
トーンチャイム	名詞,固有名詞,一般,*,*,*,トーンチャイム,トーンチャイム,トーンチャイム
4	名詞,数,*,*,*,*,*
器楽	名詞,一般,*,*,*,*,器楽,キガク,キガク
アンサンブル	名詞,一般,*,*,*,*,アンサンブル,アンサンブル,アンサンブル
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
