ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
留学生	名詞,一般,*,*,*,*,留学生,リュウガクセイ,リューガクセイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
議論	名詞,サ変接続,*,*,*,*,議論,ギロン,ギロン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
協働	名詞,固有名詞,一般,*,*,*,協働,キョウドウ,キョードー
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
、	記号,読点,*,*,*,*,、,、,、
日本の文化	名詞,固有名詞,一般,*,*,*,日本の文化,ニホンノブンカ,ニホンノブンカ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
多面的	名詞,固有名詞,一般,*,*,*,多面的,タメンテキ,タメンテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
自ら	名詞,副詞可能,*,*,*,*,自ら,ミズカラ,ミズカラ
調べ	動詞,自立,*,*,一段,連用形,調べる,シラベ,シラベ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
論理的	名詞,固有名詞,一般,*,*,*,論理的,ロンリテキ,ロンリテキ
かつ	接続詞,*,*,*,*,*,かつ,カツ,カツ
分かり	動詞,自立,*,*,五段・ラ行,連用形,分かる,ワカリ,ワカリ
やすく	形容詞,非自立,*,*,形容詞・アウオ段,連用テ接続,やすい,ヤスク,ヤスク
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
能力	名詞,一般,*,*,*,*,能力,ノウリョク,ノーリョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
身	名詞,一般,*,*,*,*,身,ミ,ミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
つける	動詞,自立,*,*,一段,基本形,つける,ツケル,ツケル
。	記号,句点,*,*,*,*,。,。,。
Acquire	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
practical	名詞,一般,*,*,*,*,*
ability	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
conducting	名詞,一般,*,*,*,*,*
research	名詞,固有名詞,人名,一般,*,*,RESEARCH,リサーチ,リサーチ
,	記号,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
develop	名詞,固有名詞,組織,*,*,*,*
critical	名詞,一般,*,*,*,*,*
skills	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
thinking	名詞,固有名詞,一般,*,*,*,Thinking,シンキング,シンキング
,	記号,一般,*,*,*,*,*
planning	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
investigating	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
discus	名詞,固有名詞,一般,*,*,*,DISCUS,ディスカス,ディスカス
sing	名詞,固有名詞,人名,一般,*,*,Sing,シング,シング
,	記号,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
present	名詞,固有名詞,一般,*,*,*,present,プレゼント,プレゼント
ing	名詞,固有名詞,一般,*,*,*,ING,アイエヌジー,アイエヌジー
ideas	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
oral	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
written	名詞,固有名詞,組織,*,*,*,*
formats	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
日本の文化	名詞,固有名詞,一般,*,*,*,日本の文化,ニホンノブンカ,ニホンノブンカ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
トピック	名詞,一般,*,*,*,*,トピック,トピック,トピック
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
（	記号,括弧開,*,*,*,*,（,（,（
文献	名詞,一般,*,*,*,*,文献,ブンケン,ブンケン
・	記号,一般,*,*,*,*,・,・,・
フィールド	名詞,一般,*,*,*,*,フィールド,フィールド,フィールド
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
・	記号,一般,*,*,*,*,・,・,・
アンケート	名詞,一般,*,*,*,*,アンケート,アンケート,アンケート
・	記号,一般,*,*,*,*,・,・,・
インタビュー	名詞,サ変接続,*,*,*,*,インタビュー,インタビュー,インタビュー
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行い	名詞,一般,*,*,*,*,行い,オコナイ,オコナイ
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
他	名詞,一般,*,*,*,*,他,タ,タ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ワークショップ	名詞,一般,*,*,*,*,ワークショップ,ワークショップ,ワークショップ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
見学	名詞,サ変接続,*,*,*,*,見学,ケンガク,ケンガク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
も	助詞,係助詞,*,*,*,*,も,モ,モ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
（	記号,括弧開,*,*,*,*,（,（,（
COVID-19	名詞,固有名詞,一般,*,*,*,COVID-19,コビッドナインティーン,コビッドナインティーン
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
見学	名詞,サ変接続,*,*,*,*,見学,ケンガク,ケンガク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
可能性	名詞,固有名詞,一般,*,*,*,可能性,カノウセイ,カノーセイ
あり	動詞,自立,*,*,ラ変,基本形,あり,アリ,アリ
）	記号,括弧閉,*,*,*,*,）,）,）
。	記号,句点,*,*,*,*,。,。,。
問い	名詞,一般,*,*,*,*,問い,トイ,トイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
立て	動詞,自立,*,*,一段,連用形,立てる,タテ,タテ
方	名詞,接尾,特殊,*,*,*,方,カタ,カタ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
も	助詞,係助詞,*,*,*,*,も,モ,モ
学び	動詞,自立,*,*,五段・バ行,連用形,学ぶ,マナビ,マナビ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
取り組ん	動詞,自立,*,*,五段・マ行,連用タ接続,取り組む,トリクン,トリクン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
。	記号,句点,*,*,*,*,。,。,。
Students	名詞,一般,*,*,*,*,*
pursue	名詞,一般,*,*,*,*,*
independent	名詞,固有名詞,一般,*,*,*,INDEPENDENT,インディペンデント,インディペンデント
study	名詞,一般,*,*,*,*,*
projects	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
bring	名詞,固有名詞,人名,一般,*,*,BRING,ブリング,ブリング
their	名詞,固有名詞,組織,*,*,*,*
works	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
progress	名詞,固有名詞,人名,一般,*,*,PROGRESS,プログレス,プログレス
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
class	名詞,固有名詞,一般,*,*,*,class,クラス,クラス
for	名詞,固有名詞,一般,*,*,*,for,フォー,フォー
discussions	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
order	名詞,一般,*,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
help	名詞,一般,*,*,*,*,*
each	名詞,一般,*,*,*,*,*
other	名詞,固有名詞,一般,*,*,*,other,アザー,アザー
with	名詞,固有名詞,人名,一般,*,*,WITH,ウィズ,ウィズ
developing	名詞,固有名詞,組織,*,*,*,*
ideas	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Independent	名詞,固有名詞,一般,*,*,*,Independent,インディペンデント,インディペンデント
study	名詞,一般,*,*,*,*,*
topics	名詞,一般,*,*,*,*,*
can	名詞,一般,*,*,*,*,*
be	名詞,一般,*,*,*,*,*
chosen	名詞,一般,*,*,*,*,*
from	名詞,一般,*,*,*,*,*
students	名詞,一般,*,*,*,*,*
’	記号,括弧閉,*,*,*,*,’,’,’
own	名詞,固有名詞,組織,*,*,*,*
interests	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
including	名詞,固有名詞,組織,*,*,*,*
social	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
cultural	名詞,一般,*,*,*,*,*
issues	名詞,固有名詞,人名,一般,*,*,ISSUES,イシューズ,イシューズ
,	記号,一般,*,*,*,*,*
arts	名詞,固有名詞,人名,一般,*,*,ARTS,アーツ,アーツ
,	記号,一般,*,*,*,*,*
literature	名詞,固有名詞,人名,一般,*,*,LITERATURE,リテラチュア,リテラチュア
,	記号,一般,*,*,*,*,*
politics	名詞,固有名詞,一般,*,*,*,politics,ポリティクス,ポリティクス
,	記号,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
education	名詞,固有名詞,一般,*,*,*,education,エデュケーション,エデュケーション
.	記号,一般,*,*,*,*,*
Throughout	名詞,固有名詞,組織,*,*,*,*
the c	名詞,固有名詞,一般,*,*,*,THE C,ザシー,ザシー
ourse	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
students	名詞,固有名詞,組織,*,*,*,*
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
learn	名詞,固有名詞,組織,*,*,*,*
basic	名詞,固有名詞,一般,*,*,*,BASIC,ベーシック,ベーシック
knowledge	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
skills	名詞,固有名詞,組織,*,*,*,*
for	名詞,固有名詞,一般,*,*,*,for,フォー,フォー
conducting	名詞,一般,*,*,*,*,*
research	名詞,固有名詞,人名,一般,*,*,RESEARCH,リサーチ,リサーチ
,	記号,一般,*,*,*,*,*
including	名詞,固有名詞,組織,*,*,*,*
writing	名詞,一般,*,*,*,*,*
literature	名詞,固有名詞,人名,一般,*,*,LITERATURE,リテラチュア,リテラチュア
reviews	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
setting	名詞,固有名詞,組織,*,*,*,*
up	名詞,一般,*,*,*,*,*
methodologies	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
making	名詞,固有名詞,組織,*,*,*,*
analyses	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
and a	名詞,固有名詞,一般,*,*,*,And A,アンドエー,アンドエー
rguing	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
critical	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
logical	名詞,固有名詞,一般,*,*,*,Logical,ロジカル,ロジカル
ways	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Some	名詞,固有名詞,組織,*,*,*,*
workshops	名詞,一般,*,*,*,*,*
by	名詞,固有名詞,一般,*,*,*,BY,ビーワイ,ビーワイ
guest	名詞,一般,*,*,*,*,*
teachers	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
fieldwork	名詞,固有名詞,組織,*,*,*,*
trips	名詞,一般,*,*,*,*,*
around	名詞,一般,*,*,*,*,*
Tokyo	名詞,固有名詞,人名,一般,*,*,TOKYO,トウキョウ,トウキョー
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
also	名詞,固有名詞,組織,*,*,*,*
be	名詞,一般,*,*,*,*,*
held	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
order	名詞,一般,*,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
broaden	名詞,一般,*,*,*,*,*
students	名詞,一般,*,*,*,*,*
’	記号,括弧閉,*,*,*,*,’,’,’
perspectives	名詞,固有名詞,組織,*,*,*,*
on	名詞,固有名詞,一般,*,*,*,ON,オン,オン
Japanese	名詞,固有名詞,一般,*,*,*,Japanese,ジャパニーズ,ジャパニーズ
society	名詞,固有名詞,一般,*,*,*,society,ソサエティー,ソサエティー
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
culture	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
No	名詞,一般,*,*,*,*,*
specific	名詞,固有名詞,一般,*,*,*,SPECIFIC,スペシフィック,スペシフィック
textbook	名詞,一般,*,*,*,*,*
is	名詞,固有名詞,人名,一般,*,*,IS,イズ,イズ
required	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
Students	名詞,一般,*,*,*,*,*
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
find	名詞,固有名詞,組織,*,*,*,*
their	名詞,一般,*,*,*,*,*
own	名詞,一般,*,*,*,*,*
relevant	名詞,一般,*,*,*,*,*
reading	名詞,一般,*,*,*,*,*
materials	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
instructor	名詞,一般,*,*,*,*,*
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
also	名詞,固有名詞,組織,*,*,*,*
provide	名詞,一般,*,*,*,*,*
materia	名詞,固有名詞,一般,*,*,*,MATERIA,マテリア,マテリア
ls	名詞,固有名詞,一般,*,*,*,LS,エルエス,エルエス
if	名詞,固有名詞,人名,一般,*,*,if,イフ,イフ
necessary	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
Weekly	名詞,一般,*,*,*,*,*
assignments	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
including	名詞,固有名詞,組織,*,*,*,*
preparations	名詞,一般,*,*,*,*,*
for	名詞,固有名詞,一般,*,*,*,for,フォー,フォー
class	名詞,固有名詞,人名,一般,*,*,class,クラス,クラス
,	記号,一般,*,*,*,*,*
presentations	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
reports	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
100%	名詞,固有名詞,人名,一般,*,*,100%,ヒャクパーセント,ヒャクパーセント
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
Tentative	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
Apr	名詞,一般,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Introduction	名詞,固有名詞,組織,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
20	名詞,数,*,*,*,*,*
Apr	名詞,一般,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Individual	名詞,固有名詞,組織,*,*,*,*
Study	名詞,一般,*,*,*,*,*
–	記号,一般,*,*,*,*,*
methodology	名詞,固有名詞,組織,*,*,*,*
3	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
27	名詞,数,*,*,*,*,*
Apr	名詞,一般,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Individual	名詞,固有名詞,組織,*,*,*,*
Study	名詞,一般,*,*,*,*,*
–	記号,一般,*,*,*,*,*
methodology	名詞,固有名詞,組織,*,*,*,*
*	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
May	名詞,固有名詞,人名,一般,*,*,May,メイ,メイ
:	記号,一般,*,*,*,*,*
national	名詞,固有名詞,組織,*,*,*,*
holiday	名詞,固有名詞,一般,*,*,*,holiday,ホリデイ,ホリデイ
–	記号,一般,*,*,*,*,*
no	名詞,固有名詞,人名,一般,*,*,N・O,エヌオー,エヌオー
class	名詞,固有名詞,人名,一般,*,*,class,クラス,クラス
but	名詞,固有名詞,組織,*,*,*,*
we	名詞,一般,*,*,*,*,*
might	名詞,一般,*,*,*,*,*
visit	名詞,一般,*,*,*,*,*
Kurayami	名詞,一般,*,*,*,*,*
Matsuri	名詞,一般,*,*,*,*,*
festival	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
May	名詞,固有名詞,人名,一般,*,*,May,メイ,メイ
:	記号,一般,*,*,*,*,*
Individual	名詞,固有名詞,組織,*,*,*,*
Study	名詞,一般,*,*,*,*,*
–	記号,一般,*,*,*,*,*
survey	名詞,固有名詞,組織,*,*,*,*
5	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
18	名詞,数,*,*,*,*,*
May	名詞,固有名詞,人名,一般,*,*,May,メイ,メイ
:	記号,一般,*,*,*,*,*
Individual	名詞,固有名詞,組織,*,*,*,*
Study	名詞,一般,*,*,*,*,*
–	記号,一般,*,*,*,*,*
survey	名詞,固有名詞,組織,*,*,*,*
6	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
25	名詞,数,*,*,*,*,*
May	名詞,固有名詞,人名,一般,*,*,May,メイ,メイ
:	記号,一般,*,*,*,*,*
workshop	名詞,固有名詞,組織,*,*,*,*
or	名詞,一般,*,*,*,*,*
fieldwork	名詞,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
Jun	名詞,固有名詞,人名,一般,*,*,Jun,ジュン,ジュン
:	記号,一般,*,*,*,*,*
Individual	名詞,固有名詞,組織,*,*,*,*
Study	名詞,一般,*,*,*,*,*
–	記号,一般,*,*,*,*,*
survey	名詞,固有名詞,組織,*,*,*,*
result	名詞,一般,*,*,*,*,*
and a	名詞,固有名詞,一般,*,*,*,And A,アンドエー,アンドエー
nalyses	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
Jun	名詞,固有名詞,人名,一般,*,*,Jun,ジュン,ジュン
:	記号,一般,*,*,*,*,*
Individual	名詞,固有名詞,組織,*,*,*,*
Study	名詞,一般,*,*,*,*,*
–	記号,一般,*,*,*,*,*
survey	名詞,固有名詞,組織,*,*,*,*
result	名詞,一般,*,*,*,*,*
and a	名詞,固有名詞,一般,*,*,*,And A,アンドエー,アンドエー
nalyses	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
15	名詞,数,*,*,*,*,*
Jun	名詞,固有名詞,人名,一般,*,*,Jun,ジュン,ジュン
:	記号,一般,*,*,*,*,*
Individual	名詞,固有名詞,組織,*,*,*,*
Study	名詞,一般,*,*,*,*,*
–	記号,一般,*,*,*,*,*
survey	名詞,固有名詞,組織,*,*,*,*
result	名詞,一般,*,*,*,*,*
and a	名詞,固有名詞,一般,*,*,*,And A,アンドエー,アンドエー
nalyses	名詞,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
22	名詞,数,*,*,*,*,*
Jun	名詞,固有名詞,人名,一般,*,*,Jun,ジュン,ジュン
:	記号,一般,*,*,*,*,*
Individual	名詞,固有名詞,組織,*,*,*,*
Study	名詞,一般,*,*,*,*,*
–	記号,一般,*,*,*,*,*
writing	名詞,固有名詞,組織,*,*,*,*
up	名詞,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
29	名詞,数,*,*,*,*,*
Jun	名詞,固有名詞,人名,一般,*,*,Jun,ジュン,ジュン
:	記号,一般,*,*,*,*,*
workshop	名詞,固有名詞,組織,*,*,*,*
or	名詞,一般,*,*,*,*,*
fieldwork	名詞,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
Jul	名詞,一般,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Individual	名詞,固有名詞,組織,*,*,*,*
Study	名詞,一般,*,*,*,*,*
–	記号,一般,*,*,*,*,*
writing	名詞,固有名詞,組織,*,*,*,*
up	名詞,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
Jul	名詞,一般,*,*,*,*,*
:	記号,一般,*,*,*,*,*
workshop	名詞,固有名詞,組織,*,*,*,*
or	名詞,一般,*,*,*,*,*
fieldwork	名詞,一般,*,*,*,*,*
14	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
20	名詞,数,*,*,*,*,*
Jul	名詞,一般,*,*,*,*,*
:	記号,一般,*,*,*,*,*
workshop	名詞,固有名詞,組織,*,*,*,*
or	名詞,一般,*,*,*,*,*
fieldwork	名詞,一般,*,*,*,*,*
15	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
27	名詞,数,*,*,*,*,*
Jul	名詞,一般,*,*,*,*,*
