ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
aim	名詞,固有名詞,一般,*,*,*,aim,エイム,エイム
of	名詞,一般,*,*,*,*,*
this	名詞,一般,*,*,*,*,*
course	名詞,一般,*,*,*,*,*
is	名詞,固有名詞,一般,*,*,*,IS,アイエス,アイエス
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
experience	名詞,一般,*,*,*,*,*
a	名詞,接尾,助数詞,*,*,*,a,アール,アール
theatre	名詞,固有名詞,組織,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
class	名詞,固有名詞,人名,一般,*,*,class,クラス,クラス
is	名詞,固有名詞,人名,一般,*,*,IS,イズ,イズ
constructed	名詞,一般,*,*,*,*,*
with	名詞,固有名詞,人名,一般,*,*,WITH,ウィズ,ウィズ
games	名詞,固有名詞,人名,一般,*,*,GAMES,ゲームス,ゲームス
,	記号,一般,*,*,*,*,*
activities	名詞,固有名詞,組織,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
group	名詞,固有名詞,組織,*,*,*,*
works	名詞,一般,*,*,*,*,*
based	名詞,一般,*,*,*,*,*
on	名詞,固有名詞,一般,*,*,*,ON,オン,オン
a	名詞,接尾,助数詞,*,*,*,a,アール,アール
theatre	名詞,固有名詞,組織,*,*,*,*
theory	名詞,固有名詞,一般,*,*,*,theory,セオリー,セオリー
called	名詞,一般,*,*,*,*,*
"	記号,一般,*,*,*,*,*
impro	名詞,固有名詞,組織,*,*,*,*
"(	記号,一般,*,*,*,*,*
improvisational	名詞,固有名詞,組織,*,*,*,*
theatre	名詞,一般,*,*,*,*,*
).	記号,一般,*,*,*,*,*
International	名詞,固有名詞,組織,*,*,*,*
(	記号,一般,*,*,*,*,*
ISEP	名詞,固有名詞,組織,*,*,*,*
)	記号,一般,*,*,*,*,*
students	名詞,固有名詞,組織,*,*,*,*
and	名詞,固有名詞,一般,*,*,*,AND,アンド,アンド
Japanese	名詞,固有名詞,一般,*,*,*,Japanese,ジャパニーズ,ジャパニーズ
students	名詞,一般,*,*,*,*,*
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
be	名詞,一般,*,*,*,*,*
mixed	名詞,固有名詞,人名,一般,*,*,MiXED,ミクスト,ミクスト
at	名詞,固有名詞,人名,一般,*,*,at,アット,アット
the	名詞,一般,*,*,*,*,the,ザ,ザ
class	名詞,固有名詞,人名,一般,*,*,class,クラス,クラス
.	記号,一般,*,*,*,*,*
Students	名詞,固有名詞,組織,*,*,*,*
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
be	名詞,一般,*,*,*,*,*
able	名詞,固有名詞,組織,*,*,*,エイブル,エイブル,エイブル
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
experience	名詞,一般,*,*,*,*,*
cross	名詞,固有名詞,一般,*,*,*,CROSS,クロス,クロス
cultural	名詞,一般,*,*,*,*,*
communication	名詞,一般,*,*,*,*,*
including	名詞,一般,*,*,*,*,*
both	名詞,一般,*,*,*,*,*
verbal	名詞,固有名詞,人名,一般,*,*,VERBAL,バーバル,バーバル
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
non	名詞,固有名詞,人名,一般,*,*,NON,ノン,ノン
-	記号,一般,*,*,*,*,*
verbal	名詞,固有名詞,人名,一般,*,*,VERBAL,バーバル,バーバル
.	記号,一般,*,*,*,*,*
We	名詞,固有名詞,組織,*,*,*,*
might	名詞,一般,*,*,*,*,*
make	名詞,固有名詞,一般,*,*,*,make,メイク,メイク
a	名詞,接尾,助数詞,*,*,*,a,アール,アール
group	名詞,固有名詞,組織,*,*,*,*
theatre	名詞,一般,*,*,*,*,*
performance	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Theatrical	名詞,固有名詞,一般,*,*,*,Theatrical,シアトリカル,シアトリカル
experience	名詞,一般,*,*,*,*,*
is	名詞,固有名詞,人名,一般,*,*,IS,イズ,イズ
not	名詞,固有名詞,組織,*,*,*,*
needed	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Active	名詞,固有名詞,一般,*,*,*,Active,アクティブ,アクティブ
participation	名詞,一般,*,*,*,*,*
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
be	名詞,固有名詞,組織,*,*,*,*
welcomed	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
None	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
Johnstone	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
K.	名詞,固有名詞,人名,一般,*,*,K.,ケイ,ケイ
Impro	名詞,固有名詞,組織,*,*,*,*
:	記号,一般,*,*,*,*,*
Improvisation	名詞,固有名詞,組織,*,*,*,*
and	名詞,固有名詞,一般,*,*,*,AND,アンド,アンド
the	名詞,一般,*,*,*,*,the,ザ,ザ
Theatre	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Routledge	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
1979	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Johnstone	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
K.	名詞,固有名詞,人名,一般,*,*,K.,ケイ,ケイ
Impro	名詞,固有名詞,組織,*,*,*,*
for	名詞,固有名詞,一般,*,*,*,for,フォー,フォー
Storytellers	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Routledge	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
1999	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
Attendance	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
class	名詞,固有名詞,一般,*,*,*,class,クラス,クラス
participation	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
final	名詞,固有名詞,組織,*,*,*,*
repo	名詞,固有名詞,一般,*,*,*,Repo,レポ,レポ
rt	名詞,サ変接続,*,*,*,*,ReTweet,アールティー,アールティー
in	名詞,一般,*,*,*,*,in,イン,イン
English	名詞,固有名詞,一般,*,*,*,English,イングリッシュ,イングリッシュ
.	記号,一般,*,*,*,*,*
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1w	名詞,固有名詞,一般,*,*,*,1W,イチワット,イチワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
),	記号,一般,*,*,*,*,*
guidance	名詞,固有名詞,組織,*,*,*,*
2w	名詞,固有名詞,一般,*,*,*,2W,ニワット,ニワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
3w	名詞,固有名詞,一般,*,*,*,3W,サンワット,サンワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
4w	名詞,固有名詞,一般,*,*,*,4W,ヨンワット,ヨンワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
5w	名詞,固有名詞,一般,*,*,*,5W,ゴワット,ゴワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
6w	名詞,固有名詞,一般,*,*,*,6W,ロクワット,ロクワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
7w	名詞,固有名詞,一般,*,*,*,7W,ナナワット,ナナワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
8w	名詞,固有名詞,一般,*,*,*,8W,ハチワット,ハチワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
9w	名詞,固有名詞,一般,*,*,*,9W,キュウワット,キュウワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
10w	名詞,固有名詞,一般,*,*,*,10W,ジュウワット,ジュウワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
11w	名詞,固有名詞,一般,*,*,*,11W,ジュウイチワット,ジュウイチワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
12w	名詞,固有名詞,一般,*,*,*,12W,ジュウニワット,ジュウニワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
13w	名詞,固有名詞,一般,*,*,*,13W,ジュウサンワット,ジュウサンワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
14w	名詞,固有名詞,一般,*,*,*,14W,ジュウヨンワット,ジュウヨンワット
orkshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
14	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
15	名詞,数,*,*,*,*,*
reflection	名詞,固有名詞,一般,*,*,*,reflection,リフレクション,リフレクション
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
),	記号,一般,*,*,*,*,*
guidance	名詞,固有名詞,組織,*,*,*,*
2	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
14	名詞,数,*,*,*,*,*
workshop	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
14	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
15	名詞,数,*,*,*,*,*
reflection	名詞,固有名詞,一般,*,*,*,reflection,リフレクション,リフレクション
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
Reflection	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
reading	名詞,固有名詞,組織,*,*,*,*
relevant	名詞,一般,*,*,*,*,*
books	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
playfulness	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
spontaneity	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
imagination	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
creativity	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
storytelling	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
courage	名詞,固有名詞,一般,*,*,*,courage,カーレッジ,カーレッジ
,	記号,一般,*,*,*,*,*
facilitation	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
communication	名詞,固有名詞,組織,*,*,*,*
,	記号,一般,*,*,*,*,*
collaborative	名詞,固有名詞,組織,*,*,*,*
innovation	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
アクティブ・ラーニング	名詞,固有名詞,一般,*,*,*,アクティブ・ラーニング,アクティブラーニング,アクティブラーニング
，	記号,読点,*,*,*,*,，,，,，
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
アプローチ	名詞,サ変接続,*,*,*,*,アプローチ,アプローチ,アプローチ
，	記号,読点,*,*,*,*,，,，,，
グループ学習	名詞,固有名詞,一般,*,*,*,グループ学習,グループガクシュウ,グループガクシュー
，	記号,読点,*,*,*,*,，,，,，
発表会	名詞,固有名詞,一般,*,*,*,発表会,ハッピョウカイ,ハッピョーカイ
，	記号,読点,*,*,*,*,，,，,，
ディスカッション	名詞,サ変接続,*,*,*,*,ディスカッション,ディスカッション,ディスカッション
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
number	名詞,固有名詞,人名,一般,*,*,Number,ナンバー,ナンバー
of	名詞,固有名詞,組織,*,*,*,*
Japanese	名詞,固有名詞,一般,*,*,*,Japanese,ジャパニーズ,ジャパニーズ
students	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
this	名詞,一般,*,*,*,*,*
class	名詞,固有名詞,人名,一般,*,*,class,クラス,クラス
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
be	名詞,固有名詞,組織,*,*,*,*
restricted	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
There	名詞,固有名詞,組織,*,*,*,*
will	名詞,固有名詞,人名,一般,*,*,WILL,ウィル,ウィル
be	名詞,一般,*,*,*,*,*
a	名詞,接尾,助数詞,*,*,*,a,アール,アール
selection	名詞,固有名詞,組織,*,*,*,*
at	名詞,固有名詞,一般,*,*,*,AT,エーティー,エーティー
the	名詞,一般,*,*,*,*,the,ザ,ザ
first class	名詞,固有名詞,人名,一般,*,*,First Class,ファーストクラス,ファーストクラス
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
April	名詞,固有名詞,人名,一般,*,*,April,エイプリル,エイプリル
25	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メッセージ	名詞,一般,*,*,*,*,メッセージ,メッセージ,メッセージ
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
）	記号,括弧閉,*,*,*,*,）,）,）
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
EOS
