ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
情報セキュリティ	名詞,固有名詞,一般,*,*,*,情報セキュリティ,ジョウホウセキュリティ,ジョーホーセキュリティ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
さまざま	名詞,形容動詞語幹,*,*,*,*,さまざま,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
リスク	名詞,一般,*,*,*,*,リスク,リスク,リスク
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
発生	名詞,サ変接続,*,*,*,*,発生,ハッセイ,ハッセイ
メカニズム	名詞,一般,*,*,*,*,メカニズム,メカニズム,メカニズム
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学び	動詞,自立,*,*,五段・バ行,連用形,学ぶ,マナビ,マナビ
、	記号,読点,*,*,*,*,、,、,、
根本	名詞,一般,*,*,*,*,根本,コンポン,コンポン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
原因	名詞,一般,*,*,*,*,原因,ゲンイン,ゲンイン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
、	記号,読点,*,*,*,*,、,、,、
日常生活	名詞,固有名詞,一般,*,*,*,日常生活,ニチジョウセイカツ,ニチジョーセイカツ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
学校現場	名詞,固有名詞,一般,*,*,*,学校現場,ガッコウゲンバ,ガッコーゲンバ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
適切	名詞,形容動詞語幹,*,*,*,*,適切,テキセツ,テキセツ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考察	名詞,サ変接続,*,*,*,*,考察,コウサツ,コーサツ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
本科	名詞,一般,*,*,*,*,本科,ホンカ,ホンカ
目	名詞,接尾,一般,*,*,*,目,メ,メ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
情報セキュリティ	名詞,固有名詞,一般,*,*,*,情報セキュリティ,ジョウホウセキュリティ,ジョーホーセキュリティ
」	記号,括弧閉,*,*,*,*,」,」,」
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
日常生活	名詞,固有名詞,一般,*,*,*,日常生活,ニチジョウセイカツ,ニチジョーセイカツ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
学校現場	名詞,固有名詞,一般,*,*,*,学校現場,ガッコウゲンバ,ガッコーゲンバ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
で	助詞,格助詞,一般,*,*,*,で,デ,デ
適切	名詞,形容動詞語幹,*,*,*,*,適切,テキセツ,テキセツ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
情報セキュリティ	名詞,固有名詞,一般,*,*,*,情報セキュリティ,ジョウホウセキュリティ,ジョーホーセキュリティ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
リスク管理	名詞,固有名詞,一般,*,*,*,リスク管理,リスクカンリ,リスクカンリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行える	動詞,自立,*,*,一段,基本形,行える,オコナエル,オコナエル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目指し	動詞,自立,*,*,五段・サ行,連用形,目指す,メザシ,メザシ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
・	記号,一般,*,*,*,*,・,・,・
教育情報	名詞,固有名詞,一般,*,*,*,教育情報,キョウイクジョウホウ,キョーイクジョウホー
セキュリティポリシー	名詞,固有名詞,一般,*,*,*,セキュリティポリシー,セキュリティポリシー,セキュリティポリシー
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
ガイドライン	名詞,一般,*,*,*,*,ガイドライン,ガイドライン,ガイドライン
http://	名詞,固有名詞,一般,*,*,*,http://,エイチティーティーピー,エイチティーティーピー
www	名詞,固有名詞,地域,一般,*,*,WWW,ダブリュダブリュダブリュー,ダブリュダブリュダブリュー
.	記号,一般,*,*,*,*,*
mext	名詞,固有名詞,一般,*,*,*,MEXT,エムイーエックスティー,エムイーエックスティー
.	記号,一般,*,*,*,*,*
go	名詞,固有名詞,組織,*,*,*,*
.jp	名詞,固有名詞,一般,*,*,*,.jp,ドットジェイピー,ドットジェイピー
/	記号,一般,*,*,*,*,*
a	名詞,固有名詞,組織,*,*,*,*
_	記号,一般,*,*,*,*,*
menu	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
shotou	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
zyouhou	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
detail	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
1397369	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
htm	名詞,固有名詞,組織,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
情報セキュリティ	名詞,固有名詞,一般,*,*,*,情報セキュリティ,ジョウホウセキュリティ,ジョーホーセキュリティ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
マニュアル	名詞,一般,*,*,*,*,マニュアル,マニュアル,マニュアル
,	記号,一般,*,*,*,*,*
NTTラーニングシステムズ株式会社	名詞,固有名詞,人名,一般,*,*,NTTラーニングシステムズ,エヌティーティーラーニングシステムズカブシキガイシャ,エヌティーティーラーニングシステムズカブシキガイシャ
,	記号,一般,*,*,*,*,*
翔泳社	名詞,固有名詞,人名,一般,*,*,翔泳社,ショウエイシャ,ショーエイシャ
,	記号,一般,*,*,*,*,*
2019	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
https	名詞,固有名詞,一般,*,*,*,HTTPS,エイチティーティーピーエス,エイチティーティーピーエス
://	記号,一般,*,*,*,*,*
www	名詞,固有名詞,地域,一般,*,*,WWW,ダブリュダブリュダブリュー,ダブリュダブリュダブリュー
.s	名詞,固有名詞,一般,*,*,*,.S,ドッツ,ドッツ
hoeisha	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
co.jp	名詞,固有名詞,一般,*,*,*,co.jp,シーオージェイピー,シーオージェイピー
/	記号,一般,*,*,*,*,*
book	名詞,固有名詞,一般,*,*,*,book,ブック,ブック
/	記号,一般,*,*,*,*,*
detail	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
9784798156927	名詞,数,*,*,*,*,*
・	名詞,数,*,*,*,*,・,・,・
インターネット	名詞,一般,*,*,*,*,インターネット,インターネット,インターネット
の	助詞,連体化,*,*,*,*,の,ノ,ノ
安全	名詞,形容動詞語幹,*,*,*,*,安全,アンゼン,アンゼン
・	記号,一般,*,*,*,*,・,・,・
安心	名詞,サ変接続,*,*,*,*,安心,アンシン,アンシン
ハンドブック	名詞,一般,*,*,*,*,ハンドブック,ハンドブック,ハンドブック
(	記号,一般,*,*,*,*,*
内閣サイバーセキュリティセンター	名詞,固有名詞,組織,*,*,*,内閣サイバーセキュリティセンター,ナイカクサイバーセキュリティセンター,ナイカクサイバーセキュリティセンター
)	記号,一般,*,*,*,*,*
https	名詞,固有名詞,一般,*,*,*,HTTPS,エイチティーティーピーエス,エイチティーティーピーエス
://	記号,一般,*,*,*,*,*
www	名詞,固有名詞,地域,一般,*,*,WWW,ダブリュダブリュダブリュー,ダブリュダブリュダブリュー
.	記号,一般,*,*,*,*,*
nisc	名詞,固有名詞,一般,*,*,*,NISC,ニスク,ニスク
.	記号,一般,*,*,*,*,*
go	名詞,固有名詞,組織,*,*,*,*
.jp	名詞,固有名詞,一般,*,*,*,.jp,ドットジェイピー,ドットジェイピー
/	記号,一般,*,*,*,*,*
security	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
site	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
handbook	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
index	名詞,固有名詞,一般,*,*,*,INDEX,インデックス,インデックス
.	記号,一般,*,*,*,*,*
html	名詞,固有名詞,一般,*,*,*,HTML,エイチティーエムエル,エイチティーエムエル
・	記号,一般,*,*,*,*,・,・,・
情報セキュリティ	名詞,固有名詞,一般,*,*,*,情報セキュリティ,ジョウホウセキュリティ,ジョーホーセキュリティ
ハンドブック	名詞,一般,*,*,*,*,ハンドブック,ハンドブック,ハンドブック
(	記号,一般,*,*,*,*,*
内閣サイバーセキュリティセンター	名詞,固有名詞,組織,*,*,*,内閣サイバーセキュリティセンター,ナイカクサイバーセキュリティセンター,ナイカクサイバーセキュリティセンター
)	記号,一般,*,*,*,*,*
https	名詞,固有名詞,一般,*,*,*,HTTPS,エイチティーティーピーエス,エイチティーティーピーエス
://	記号,一般,*,*,*,*,*
www	名詞,固有名詞,地域,一般,*,*,WWW,ダブリュダブリュダブリュー,ダブリュダブリュダブリュー
.	記号,一般,*,*,*,*,*
nisc	名詞,固有名詞,一般,*,*,*,NISC,ニスク,ニスク
.	記号,一般,*,*,*,*,*
go	名詞,固有名詞,組織,*,*,*,*
.jp	名詞,固有名詞,一般,*,*,*,.jp,ドットジェイピー,ドットジェイピー
/	記号,一般,*,*,*,*,*
security	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
site	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
blue	名詞,固有名詞,人名,一般,*,*,BLUE,ブルー,ブルー
_	記号,一般,*,*,*,*,*
handbook	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
index	名詞,固有名詞,一般,*,*,*,INDEX,インデックス,インデックス
.	記号,一般,*,*,*,*,*
html	名詞,固有名詞,一般,*,*,*,HTML,エイチティーエムエル,エイチティーエムエル
・	記号,一般,*,*,*,*,・,・,・
"	記号,一般,*,*,*,*,*
情報リテラシー	名詞,固有名詞,一般,*,*,*,情報リテラシー,ジョウホウリテラシー,ジョーホーリテラシー
啓発	名詞,サ変接続,*,*,*,*,啓発,ケイハツ,ケイハツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
羅針盤	名詞,一般,*,*,*,*,羅針盤,ラシンバン,ラシンバン
(	記号,一般,*,*,*,*,*
コンパス	名詞,一般,*,*,*,*,コンパス,コンパス,コンパス
)",	記号,一般,*,*,*,*,*
株式会社ラック	名詞,固有名詞,組織,*,*,*,ラック,カブシキガイシャラック,カブシキガイシャラック
https	名詞,固有名詞,一般,*,*,*,HTTPS,エイチティーティーピーエス,エイチティーティーピーエス
://	記号,一般,*,*,*,*,*
www	名詞,固有名詞,地域,一般,*,*,WWW,ダブリュダブリュダブリュー,ダブリュダブリュダブリュー
.	記号,一般,*,*,*,*,*
lac	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
co.jp	名詞,固有名詞,一般,*,*,*,co.jp,シーオージェイピー,シーオージェイピー
/	記号,一般,*,*,*,*,*
corporate	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
pdf	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
compass	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
pdf	名詞,固有名詞,組織,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
"	記号,一般,*,*,*,*,*
情報リテラシー	名詞,固有名詞,一般,*,*,*,情報リテラシー,ジョウホウリテラシー,ジョーホーリテラシー
啓発	名詞,サ変接続,*,*,*,*,啓発,ケイハツ,ケイハツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
羅針盤	名詞,一般,*,*,*,*,羅針盤,ラシンバン,ラシンバン
(	記号,一般,*,*,*,*,*
コンパス	名詞,一般,*,*,*,*,コンパス,コンパス,コンパス
)	記号,一般,*,*,*,*,*
参考	名詞,サ変接続,*,*,*,*,参考,サンコウ,サンコー
スライド	名詞,サ変接続,*,*,*,*,スライド,スライド,スライド
集	名詞,接尾,一般,*,*,*,集,シュウ,シュー
",	記号,一般,*,*,*,*,*
株式会社ラック	名詞,固有名詞,組織,*,*,*,ラック,カブシキガイシャラック,カブシキガイシャラック
https	名詞,固有名詞,一般,*,*,*,HTTPS,エイチティーティーピーエス,エイチティーティーピーエス
://	記号,一般,*,*,*,*,*
www	名詞,固有名詞,地域,一般,*,*,WWW,ダブリュダブリュダブリュー,ダブリュダブリュダブリュー
.	記号,一般,*,*,*,*,*
lac	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
co.jp	名詞,固有名詞,一般,*,*,*,co.jp,シーオージェイピー,シーオージェイピー
/	記号,一般,*,*,*,*,*
corporate	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
pdf	名詞,固有名詞,組織,*,*,*,*
/	記号,一般,*,*,*,*,*
compass	名詞,固有名詞,組織,*,*,*,*
_	記号,一般,*,*,*,*,*
slide	名詞,固有名詞,一般,*,*,*,slide,スライド,スライド
.	記号,一般,*,*,*,*,*
pdf	名詞,固有名詞,組織,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
"	記号,一般,*,*,*,*,*
情報セキュリティ	名詞,固有名詞,一般,*,*,*,情報セキュリティ,ジョウホウセキュリティ,ジョーホーセキュリティ
読本	名詞,一般,*,*,*,*,読本,ドクホン,ドクホン
五	名詞,数,*,*,*,*,五,ゴ,ゴ
訂	名詞,サ変接続,*,*,*,*,訂,テイ,テイ
版	名詞,接尾,一般,*,*,*,版,バン,バン
-	記号,一般,*,*,*,*,*
IT	名詞,固有名詞,一般,*,*,*,IT,アイティー,アイティー
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
危機管理	名詞,固有名詞,一般,*,*,*,危機管理,キキカンリ,キキカンリ
入門	名詞,サ変接続,*,*,*,*,入門,ニュウモン,ニューモン
-",	記号,一般,*,*,*,*,*
情報処理推進機構	名詞,固有名詞,一般,*,*,*,情報処理推進機構,ジョウホウショリスイシンキコウ,ジョーホーショリスイシンキコー
,	記号,一般,*,*,*,*,*
実教出版株式会社	名詞,固有名詞,組織,*,*,*,実教出版,ジッキョウシュッパンカブシキガイシャ,ジッキョウシュッパンカブシキガイシャ
,	記号,一般,*,*,*,*,*
600円	名詞,固有名詞,一般,*,*,*,600円,ロッピャクエン,ロッピャクエン
+	記号,一般,*,*,*,*,*
消費税	名詞,固有名詞,一般,*,*,*,消費税,ショウヒゼイ,ショーヒゼイ
ISBN	名詞,固有名詞,一般,*,*,*,ISBN,アイエスビーエヌ,アイエスビーエヌ
：	記号,一般,*,*,*,*,：,：,：
978	名詞,数,*,*,*,*,*
-4	名詞,固有名詞,一般,*,*,*,−4,マイナスヨン,マイナスヨン
-4	名詞,固有名詞,一般,*,*,*,−4,マイナスヨン,マイナスヨン
07	名詞,数,*,*,*,*,*
-3	名詞,固有名詞,一般,*,*,*,−3,マイナスサン,マイナスサン
4775	名詞,数,*,*,*,*,*
-3	名詞,固有名詞,一般,*,*,*,−3,マイナスサン,マイナスサン
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
・	記号,一般,*,*,*,*,・,・,・
平常点	名詞,固有名詞,一般,*,*,*,平常点,ヘイジョウテン,ヘイジョーテン
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
(	記号,一般,*,*,*,*,*
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
振り返り	動詞,自立,*,*,五段・ラ行,連用形,振り返る,フリカエリ,フリカエリ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
)	記号,一般,*,*,*,*,*
30%	名詞,固有名詞,一般,*,*,*,30%,サンジュウパーセント,サンジュウパーセント
・	記号,一般,*,*,*,*,・,・,・
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
30%	名詞,固有名詞,一般,*,*,*,30%,サンジュウパーセント,サンジュウパーセント
・	記号,一般,*,*,*,*,・,・,・
最終	名詞,一般,*,*,*,*,最終,サイシュウ,サイシュー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
30%	名詞,固有名詞,一般,*,*,*,30%,サンジュウパーセント,サンジュウパーセント
・	記号,一般,*,*,*,*,・,・,・
全体	名詞,副詞可能,*,*,*,*,全体,ゼンタイ,ゼンタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
振り返り	動詞,自立,*,*,五段・ラ行,連用形,振り返る,フリカエリ,フリカエリ
10%	名詞,固有名詞,一般,*,*,*,10%,ジュウパーセント,ジュウパーセント
・	記号,一般,*,*,*,*,・,・,・
中間テスト	名詞,固有名詞,一般,*,*,*,中間テスト,チュウカンテスト,チューカンテスト
(+	記号,一般,*,*,*,*,*
10%	名詞,固有名詞,一般,*,*,*,10%,ジュウパーセント,ジュウパーセント
)	記号,一般,*,*,*,*,*
セキュリティ	名詞,一般,*,*,*,*,セキュリティ,セキュリティ,セキュリティ
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
案	名詞,接尾,一般,*,*,*,案,アン,アン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
教材	名詞,一般,*,*,*,*,教材,キョウザイ,キョーザイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
提案	名詞,サ変接続,*,*,*,*,提案,テイアン,テイアン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
、	記号,読点,*,*,*,*,、,、,、
学校現場	名詞,固有名詞,一般,*,*,*,学校現場,ガッコウゲンバ,ガッコーゲンバ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
想定	名詞,サ変接続,*,*,*,*,想定,ソウテイ,ソーテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
まとめる	動詞,自立,*,*,一段,基本形,まとめる,マトメル,マトメル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
1回	名詞,固有名詞,一般,*,*,*,1回,イッカイ,イッカイ
「	記号,括弧開,*,*,*,*,「,「,「
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
」	記号,括弧閉,*,*,*,*,」,」,」
2	名詞,数,*,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
2回	名詞,固有名詞,一般,*,*,*,2回,ニカイ,ニカイ
「	記号,括弧開,*,*,*,*,「,「,「
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
情報セキュリティ	名詞,固有名詞,一般,*,*,*,情報セキュリティ,ジョウホウセキュリティ,ジョーホーセキュリティ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
/	記号,一般,*,*,*,*,*
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)」	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
3回	名詞,固有名詞,一般,*,*,*,3回,サンカイ,サンカイ
「	記号,括弧開,*,*,*,*,「,「,「
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
情報セキュリティ	名詞,固有名詞,一般,*,*,*,情報セキュリティ,ジョウホウセキュリティ,ジョーホーセキュリティ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
/	記号,一般,*,*,*,*,*
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)」	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
4回	名詞,固有名詞,一般,*,*,*,4回,ヨンカイ,ヨンカイ
「	記号,括弧開,*,*,*,*,「,「,「
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
情報セキュリティ	名詞,固有名詞,一般,*,*,*,情報セキュリティ,ジョウホウセキュリティ,ジョーホーセキュリティ
