ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
アルペンスキー	名詞,一般,*,*,*,*,アルペンスキー,アルペンスキー,アルペンスキー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
スノーボード	名詞,一般,*,*,*,*,スノーボード,スノーボード,スノーボード
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
違っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,違う,チガッ,チガッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
雪上	名詞,一般,*,*,*,*,雪上,セツジョウ,セツジョー
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
様々	名詞,形容動詞語幹,*,*,*,*,様々,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
野外活動	名詞,固有名詞,一般,*,*,*,野外活動,ヤガイカツドウ,ヤガイカツドー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
"	記号,一般,*,*,*,*,*
スノーキャンプ	名詞,一般,*,*,*,*,*
"	記号,一般,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
体験	名詞,サ変接続,*,*,*,*,体験,タイケン,タイケン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
冬	名詞,一般,*,*,*,*,冬,フユ,フユ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自然	名詞,形容動詞語幹,*,*,*,*,自然,シゼン,シゼン
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
感性	名詞,一般,*,*,*,*,感性,カンセイ,カンセイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
、	記号,読点,*,*,*,*,、,、,、
雪上	名詞,一般,*,*,*,*,雪上,セツジョウ,セツジョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
安全	名詞,形容動詞語幹,*,*,*,*,安全,アンゼン,アンゼン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
楽しい	形容詞,自立,*,*,形容詞・イ段,基本形,楽しい,タノシイ,タノシイ
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
遊び	名詞,一般,*,*,*,*,遊び,アソビ,アソビ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
深める	動詞,自立,*,*,一段,基本形,深める,フカメル,フカメル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
スノーキャンプ	名詞,一般,*,*,*,*,*
！～	記号,一般,*,*,*,*,*
秋	名詞,固有名詞,人名,姓,*,*,秋,アキ,アキ
学期	名詞,一般,*,*,*,*,学期,ガッキ,ガッキ
（	記号,括弧開,*,*,*,*,（,（,（
後期	名詞,一般,*,*,*,*,後期,コウキ,コーキ
）	記号,括弧閉,*,*,*,*,）,）,）
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
終了	名詞,サ変接続,*,*,*,*,終了,シュウリョウ,シューリョー
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
３	名詞,数,*,*,*,*,３,サン,サン
泊	名詞,接尾,助数詞,*,*,*,泊,ハク,ハク
４	名詞,数,*,*,*,*,４,ヨン,ヨン
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
（	記号,括弧開,*,*,*,*,（,（,（
3月	名詞,固有名詞,一般,*,*,*,3月,サンガツ,サンガツ
初旬	名詞,副詞可能,*,*,*,*,初旬,ショジュン,ショジュン
）	記号,括弧閉,*,*,*,*,）,）,）
の	助詞,連体化,*,*,*,*,の,ノ,ノ
学外	名詞,一般,*,*,*,*,学外,ガクガイ,ガクガイ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
～	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*	記号,一般,*,*,*,*,*
*************************	記号,一般,*,*,*,*,*
雪	名詞,一般,*,*,*,*,雪,ユキ,ユキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
思いっきり	副詞,一般,*,*,*,*,思いっきり,オモイッキリ,オモイッキリ
遊び	動詞,自立,*,*,五段・バ行,連用形,遊ぶ,アソビ,アソビ
ませ	助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ
ん	助動詞,*,*,*,不変化型,基本形,ん,ン,ン
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
？	記号,一般,*,*,*,*,？,？,？
日常生活	名詞,固有名詞,一般,*,*,*,日常生活,ニチジョウセイカツ,ニチジョーセイカツ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
体験	名詞,サ変接続,*,*,*,*,体験,タイケン,タイケン
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
盛りだくさん	名詞,一般,*,*,*,*,盛りだくさん,モリダクサン,モリダクサン
！	記号,一般,*,*,*,*,！,！,！
目	名詞,一般,*,*,*,*,目,メ,メ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
広がる	動詞,自立,*,*,五段・ラ行,基本形,広がる,ヒロガル,ヒロガル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
一面	名詞,一般,*,*,*,*,一面,イチメン,イチメン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
銀世界	名詞,一般,*,*,*,*,銀世界,ギンセカイ,ギンセカイ
。	記号,句点,*,*,*,*,。,。,。
歩くスキー	名詞,固有名詞,一般,*,*,*,歩くスキー,アルクスキー,アルクスキー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
ハイキング	名詞,サ変接続,*,*,*,*,ハイキング,ハイキング,ハイキング
、	記号,読点,*,*,*,*,、,、,、
イグルー	名詞,固有名詞,一般,*,*,*,イグルー,イグルー,イグルー
作り	名詞,接尾,一般,*,*,*,作り,ヅクリ,ズクリ
、	記号,読点,*,*,*,*,、,、,、
仲間	名詞,一般,*,*,*,*,仲間,ナカマ,ナカマ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
語り合い	動詞,自立,*,*,五段・ワ行促音便,連用形,語り合う,カタリアイ,カタリアイ
…	記号,一般,*,*,*,*,…,…,…
泊まる	動詞,自立,*,*,五段・ラ行,基本形,泊まる,トマル,トマル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
宿舎	名詞,一般,*,*,*,*,宿舎,シュクシャ,シュクシャ
、	記号,読点,*,*,*,*,、,、,、
ご飯	名詞,一般,*,*,*,*,ご飯,ゴハン,ゴハン
も	助詞,係助詞,*,*,*,*,も,モ,モ
３	名詞,数,*,*,*,*,３,サン,サン
食	名詞,接尾,助数詞,*,*,*,食,ショク,ショク
付い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,付く,ツイ,ツイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
もちろん	副詞,一般,*,*,*,*,もちろん,モチロン,モチロン
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
風呂	名詞,一般,*,*,*,*,風呂,フロ,フロ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
毎日	名詞,副詞可能,*,*,*,*,毎日,マイニチ,マイニチ
入れ	動詞,自立,*,*,一段,連用形,入れる,イレ,イレ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
ご	接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ
安心	名詞,サ変接続,*,*,*,*,安心,アンシン,アンシン
下さい	動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,下さる,クダサイ,クダサイ
♪	記号,一般,*,*,*,*,*
少年	名詞,一般,*,*,*,*,少年,ショウネン,ショーネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
忘れかけ	動詞,自立,*,*,一段,連用形,忘れかける,ワスレカケ,ワスレカケ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
！"	記号,一般,*,*,*,*,*
SNOW	名詞,固有名詞,一般,*,*,*,SNOW,スノウ,スノー
CAMP	名詞,一般,*,*,*,*,*
2022	名詞,数,*,*,*,*,*
