ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
語彙力	名詞,固有名詞,一般,*,*,*,語彙力,ゴイリョク,ゴイリョク
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
聴解力	名詞,一般,*,*,*,*,聴解力,チョウカイリョク,チョーカイリョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
鍛える	動詞,自立,*,*,一段,基本形,鍛える,キタエル,キタエル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解力	名詞,固有名詞,一般,*,*,*,理解力,リカイリョク,リカイリョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
養う	動詞,自立,*,*,五段・ワ行促音便,基本形,養う,ヤシナウ,ヤシナウ
と共に	助詞,格助詞,連語,*,*,*,と共に,トトモニ,トトモニ
、	記号,読点,*,*,*,*,、,、,、
音読	名詞,サ変接続,*,*,*,*,音読,オンドク,オンドク
・	記号,一般,*,*,*,*,・,・,・
シャドーイング	名詞,固有名詞,一般,*,*,*,シャドーイング,シャドーイング,シャドーイング
等	名詞,接尾,一般,*,*,*,等,トウ,トー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
こなす	動詞,自立,*,*,五段・サ行,基本形,こなす,コナス,コナス
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
話す	動詞,自立,*,*,五段・サ行,基本形,話す,ハナス,ハナス
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
客観	名詞,サ変接続,*,*,*,*,客観,キャッカン,キャッカン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
モニター	名詞,一般,*,*,*,*,モニター,モニター,モニター
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
能力	名詞,一般,*,*,*,*,能力,ノウリョク,ノーリョク
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
正確	名詞,形容動詞語幹,*,*,*,*,正確,セイカク,セイカク
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
発音	名詞,サ変接続,*,*,*,*,発音,ハツオン,ハツオン
技能	名詞,一般,*,*,*,*,技能,ギノウ,ギノー
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
自己	名詞,一般,*,*,*,*,自己,ジコ,ジコ
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
向上	名詞,サ変接続,*,*,*,*,向上,コウジョウ,コージョー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せる	動詞,接尾,*,*,一段,基本形,せる,セル,セル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
やさしい	形容詞,自立,*,*,形容詞・イ段,基本形,やさしい,ヤサシイ,ヤサシイ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
書か	動詞,自立,*,*,五段・カ行イ音便,未然形,書く,カカ,カカ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
オンライン	名詞,一般,*,*,*,*,オンライン,オンライン,オンライン
記事	名詞,一般,*,*,*,*,記事,キジ,キジ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
読む	動詞,自立,*,*,五段・マ行,基本形,読む,ヨム,ヨム
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
、	記号,読点,*,*,*,*,、,、,、
ストレス	名詞,一般,*,*,*,*,ストレス,ストレス,ストレス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
感じる	動詞,自立,*,*,一段,基本形,感じる,カンジル,カンジル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
読み	動詞,自立,*,*,五段・マ行,連用形,読む,ヨミ,ヨミ
進める	動詞,自立,*,*,一段,基本形,進める,ススメル,ススメル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
も	助詞,係助詞,*,*,*,*,も,モ,モ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
原則	名詞,一般,*,*,*,*,原則,ゲンソク,ゲンソク
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
すべて	名詞,副詞可能,*,*,*,*,すべて,スベテ,スベテ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
オンライン	名詞,一般,*,*,*,*,オンライン,オンライン,オンライン
映像	名詞,一般,*,*,*,*,映像,エイゾウ,エイゾー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
聴	名詞,固有名詞,人名,名,*,*,聴,アキラ,アキラ
解	名詞,サ変接続,*,*,*,*,解,カイ,カイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
訓練	名詞,サ変接続,*,*,*,*,訓練,クンレン,クンレン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
音読	名詞,サ変接続,*,*,*,*,音読,オンドク,オンドク
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
シャドーイング	名詞,固有名詞,一般,*,*,*,シャドーイング,シャドーイング,シャドーイング
の	助詞,連体化,*,*,*,*,の,ノ,ノ
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
、	記号,読点,*,*,*,*,、,、,、
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
使っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,使う,ツカッ,ツカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
さまざま	名詞,形容動詞語幹,*,*,*,*,さまざま,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
取り組む	動詞,自立,*,*,五段・マ行,基本形,取り組む,トリクム,トリクム
。	記号,句点,*,*,*,*,。,。,。
定期的	名詞,固有名詞,一般,*,*,*,定期的,テイキテキ,テイキテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
語彙力	名詞,固有名詞,一般,*,*,*,語彙力,ゴイリョク,ゴイリョク
定着	名詞,サ変接続,*,*,*,*,定着,テイチャク,テイチャク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
も	助詞,係助詞,*,*,*,*,も,モ,モ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
比較的	副詞,一般,*,*,*,*,比較的,ヒカクテキ,ヒカクテキ
やさし	形容詞,自立,*,*,形容詞・イ段,ガル接続,やさしい,ヤサシ,ヤサシ
め	名詞,接尾,一般,*,*,*,め,メ,メ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文章	名詞,一般,*,*,*,*,文章,ブンショウ,ブンショー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
たくさん	名詞,副詞可能,*,*,*,*,たくさん,タクサン,タクサン
読む	動詞,自立,*,*,五段・マ行,基本形,読む,ヨム,ヨム
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
、	記号,読点,*,*,*,*,、,、,、
読み	名詞,一般,*,*,*,*,読み,ヨミ,ヨミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
スタミナ	名詞,一般,*,*,*,*,スタミナ,スタミナ,スタミナ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つける	動詞,自立,*,*,一段,基本形,つける,ツケル,ツケル
。	記号,句点,*,*,*,*,。,。,。
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
提示	名詞,サ変接続,*,*,*,*,提示,テイジ,テイジ
・	記号,一般,*,*,*,*,・,・,・
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
学芸	名詞,一般,*,*,*,*,学芸,ガクゲイ,ガクゲイ
ポータル	名詞,固有名詞,一般,*,*,*,PORTAL,ポータル,ポータル
上	名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
WebClass	名詞,一般,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
CBS	名詞,固有名詞,一般,*,*,*,CBS,シービーエス,シービーエス
NewsBreak	名詞,固有名詞,一般,*,*,*,NewsBreak,ニュースブレイク,ニュースブレイク
5	名詞,数,*,*,*,*,*
Nobuhiro	名詞,一般,*,*,*,*,*
Kumai	名詞,一般,*,*,*,*,*
&	記号,一般,*,*,*,*,*
Stephen	名詞,固有名詞,組織,*,*,*,*
Timson	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
成美	名詞,固有名詞,地域,一般,*,*,成美,セイビ,セイビ
堂	名詞,接尾,一般,*,*,*,堂,ドウ,ドー
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
『	記号,括弧開,*,*,*,*,『,『,『
最強	名詞,一般,*,*,*,*,最強,サイキョウ,サイキョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
発音	名詞,サ変接続,*,*,*,*,発音,ハツオン,ハツオン
ジム	名詞,一般,*,*,*,*,ジム,ジム,ジム
』	記号,括弧閉,*,*,*,*,』,』,』
高山芳樹	名詞,固有名詞,人名,一般,*,*,高山芳樹,タカヤマヨシキ,タカヤマヨシキ
、	記号,読点,*,*,*,*,、,、,、
アルク	名詞,固有名詞,組織,*,*,*,アルク,アルク,アルク
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
積極	名詞,形容動詞語幹,*,*,*,*,積極,セッキョク,セッキョク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
、	記号,読点,*,*,*,*,、,、,、
定期的	名詞,固有名詞,一般,*,*,*,定期的,テイキテキ,テイキテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
語彙	名詞,一般,*,*,*,*,語彙,ゴイ,ゴイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
成績	名詞,一般,*,*,*,*,成績,セイセキ,セイセキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
期末考査	名詞,固有名詞,一般,*,*,*,期末考査,キマツコウサ,キマツコーサ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
行わ	動詞,自立,*,*,五段・ワ行促音便,未然形,行う,オコナワ,オコナワ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
出欠	名詞,一般,*,*,*,*,出欠,シュッケツ,シュッケツ
・	記号,一般,*,*,*,*,・,・,・
遅刻	名詞,サ変接続,*,*,*,*,遅刻,チコク,チコク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
3分	名詞,固有名詞,一般,*,*,*,3分,サンプン,サンプン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
１	名詞,数,*,*,*,*,１,イチ,イチ
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
欠席	名詞,サ変接続,*,*,*,*,欠席,ケッセキ,ケッセキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
自動的	名詞,形容動詞語幹,*,*,*,*,自動的,ジドウテキ,ジドーテキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
失格	名詞,サ変接続,*,*,*,*,失格,シッカク,シッカク
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
Orient	名詞,固有名詞,一般,*,*,*,Orient,オリエント,オリエント
at	名詞,固有名詞,人名,一般,*,*,at,アット,アット
io	名詞,固有名詞,人名,一般,*,*,IO,イオ,イオ
n2	名詞,固有名詞,一般,*,*,*,N2,エヌツー,エヌツー
Unit	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Language	名詞,固有名詞,人名,一般,*,*,Language,ランゲージ,ランゲージ
Lessons	名詞,固有名詞,組織,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
Unit	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Language	名詞,固有名詞,人名,一般,*,*,Language,ランゲージ,ランゲージ
Lessons	名詞,固有名詞,組織,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
How	名詞,固有名詞,組織,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
Improver	名詞,一般,*,*,*,*,*
Your	名詞,一般,*,*,*,*,*
English	名詞,固有名詞,一般,*,*,*,English,イングリッシュ,イングリッシュ
Skills	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
Unit	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
U.	名詞,固有名詞,人名,一般,*,*,U.,ユー,ユー
S	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
Consumers	名詞,固有名詞,人名,一般,*,*,CONSUMERS,コンシューマーズ,コンシューマーズ
Waste	名詞,固有名詞,一般,*,*,*,Waste,ウェストトゥワイス,ウェストトゥワイス
Food	名詞,固有名詞,人名,一般,*,*,Food,フード,フード
6	名詞,数,*,*,*,*,*
Unit	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Keeping	名詞,固有名詞,組織,*,*,*,*
eSports	名詞,一般,*,*,*,*,*
Athletes	名詞,一般,*,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
the	名詞,一般,*,*,*,*,the,ザ,ザ
Game	名詞,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
How	名詞,固有名詞,組織,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
Improver	名詞,一般,*,*,*,*,*
Your	名詞,一般,*,*,*,*,*
English	名詞,固有名詞,一般,*,*,*,English,イングリッシュ,イングリッシュ
Skills	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
Unit	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Adulting	名詞,固有名詞,組織,*,*,*,*
Classes	名詞,一般,*,*,*,*,*
for	名詞,固有名詞,一般,*,*,*,for,フォー,フォー
Millennials	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
Unit	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Sleepless	名詞,固有名詞,組織,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
Japan	名詞,固有名詞,一般,*,*,*,Japan,ジャパン,ジャパン
10	名詞,数,*,*,*,*,*
How	名詞,固有名詞,組織,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
Improver	名詞,一般,*,*,*,*,*
Your	名詞,一般,*,*,*,*,*
English	名詞,固有名詞,一般,*,*,*,English,イングリッシュ,イングリッシュ
Skills	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
Unit	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Cracking	名詞,固有名詞,組織,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Dress Code	名詞,固有名詞,人名,一般,*,*,Dress Code,ドレスコード,ドレスコード
:	記号,一般,*,*,*,*,*
#KuToo	名詞,固有名詞,一般,*,*,*,#KuToo,ハッシュタグクトゥー,ハッシュタグクトゥー
Movement	名詞,固有名詞,人名,一般,*,*,MOVEMENT,ムーブメント,ムーブメント
12	名詞,数,*,*,*,*,*
Unit	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Grammar	名詞,固有名詞,組織,*,*,*,*
Table	名詞,一般,*,*,*,*,*
Lady	名詞,固有名詞,人名,一般,*,*,Lady,レディ,レディ
Offers	名詞,固有名詞,組織,*,*,*,*
Advice	名詞,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
How	名詞,固有名詞,組織,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
Improver	名詞,一般,*,*,*,*,*
Your	名詞,一般,*,*,*,*,*
English	名詞,固有名詞,一般,*,*,*,English,イングリッシュ,イングリッシュ
Skills	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
14	名詞,数,*,*,*,*,*
Unit	名詞,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Japan	名詞,固有名詞,一般,*,*,*,Japan,ジャパン,ジャパン
Really	名詞,一般,*,*,*,*,*
Loves	名詞,一般,*,*,*,*,*
Kit	名詞,一般,*,*,*,*,*
Kat	名詞,一般,*,*,*,*,*
Bar	名詞,固有名詞,一般,*,*,*,Bar,バリ,バリ
s15	名詞,固有名詞,一般,*,*,*,S15,エスイチゴ,エスイチゴ
Unit	名詞,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Mindfulness	名詞,固有名詞,組織,*,*,*,*
:	記号,一般,*,*,*,*,*
Schools	名詞,固有名詞,組織,*,*,*,*
in	名詞,一般,*,*,*,*,in,イン,イン
England	名詞,固有名詞,一般,*,*,*,England,イングランド,イングランド
Teach	名詞,一般,*,*,*,*,*
Students	名詞,一般,*,*,*,*,*
to	名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
Relax	名詞,一般,*,*,*,*,*
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
