ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
教育支援	名詞,固有名詞,一般,*,*,*,教育支援,キョウイクシエン,キョーイクシエン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
現場	名詞,一般,*,*,*,*,現場,ゲンバ,ゲンバ
にて	助詞,格助詞,一般,*,*,*,にて,ニテ,ニテ
検査	名詞,サ変接続,*,*,*,*,検査,ケンサ,ケンサ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
適切	名詞,形容動詞語幹,*,*,*,*,適切,テキセツ,テキセツ
かつ	接続詞,*,*,*,*,*,かつ,カツ,カツ
十分	名詞,形容動詞語幹,*,*,*,*,十分,ジュウブン,ジューブン
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
活用	名詞,サ変接続,*,*,*,*,活用,カツヨウ,カツヨー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
・	記号,一般,*,*,*,*,・,・,・
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
アセスメント	名詞,一般,*,*,*,*,アセスメント,アセスメント,アセスメント
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
多角	名詞,一般,*,*,*,*,多角,タカク,タカク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
視点	名詞,一般,*,*,*,*,視点,シテン,シテン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
アセスメント	名詞,一般,*,*,*,*,アセスメント,アセスメント,アセスメント
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
おこなう	動詞,自立,*,*,五段・ワ行促音便,基本形,おこなう,オコナウ,オコナウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
・	記号,一般,*,*,*,*,・,・,・
日本版	名詞,固有名詞,一般,*,*,*,日本版,ニホンバン,ニホンバン
WISC	名詞,一般,*,*,*,*,*
-	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
特徴	名詞,一般,*,*,*,*,特徴,トクチョウ,トクチョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
とおし	動詞,自立,*,*,五段・サ行,連用形,とおす,トオシ,トーシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
検査	名詞,サ変接続,*,*,*,*,検査,ケンサ,ケンサ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
身	名詞,一般,*,*,*,*,身,ミ,ミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
つける	動詞,自立,*,*,一段,基本形,つける,ツケル,ツケル
。	記号,句点,*,*,*,*,。,。,。
・	記号,一般,*,*,*,*,・,・,・
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
方針	名詞,一般,*,*,*,*,方針,ホウシン,ホーシン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
つなげる	動詞,自立,*,*,一段,基本形,つなげる,ツナゲル,ツナゲル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
検査結果	名詞,固有名詞,一般,*,*,*,検査結果,ケンサケッカ,ケンサケッカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解釈	名詞,サ変接続,*,*,*,*,解釈,カイシャク,カイシャク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
・	記号,一般,*,*,*,*,・,・,・
検査	名詞,サ変接続,*,*,*,*,検査,ケンサ,ケンサ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
扱う	動詞,自立,*,*,五段・ワ行促音便,基本形,扱う,アツカウ,アツカウ
際	名詞,非自立,副詞可能,*,*,*,際,サイ,サイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
留意	名詞,サ変接続,*,*,*,*,留意,リュウイ,リューイ
す	動詞,自立,*,*,サ変・スル,文語基本形,する,ス,ス
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
倫理	名詞,一般,*,*,*,*,倫理,リンリ,リンリ
上	名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
検査結果	名詞,固有名詞,一般,*,*,*,検査結果,ケンサケッカ,ケンサケッカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
フィードバック	名詞,サ変接続,*,*,*,*,フィードバック,フィードバック,フィードバック
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
特別支援教育	名詞,固有名詞,一般,*,*,*,特別支援教育,トクベツシエンキョウイク,トクベツシエンキョーイク
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
臨床	名詞,一般,*,*,*,*,臨床,リンショウ,リンショー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
現場	名詞,一般,*,*,*,*,現場,ゲンバ,ゲンバ
活用	名詞,サ変接続,*,*,*,*,活用,カツヨウ,カツヨー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ
日本版	名詞,固有名詞,一般,*,*,*,日本版,ニホンバン,ニホンバン
WISC	名詞,一般,*,*,*,*,*
–	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
、	記号,読点,*,*,*,*,、,、,、
検査結果	名詞,固有名詞,一般,*,*,*,検査結果,ケンサケッカ,ケンサケッカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解釈	名詞,サ変接続,*,*,*,*,解釈,カイシャク,カイシャク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
おこなう	動詞,自立,*,*,五段・ワ行促音便,基本形,おこなう,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
背景	名詞,一般,*,*,*,*,背景,ハイケイ,ハイケイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
検査	名詞,サ変接続,*,*,*,*,検査,ケンサ,ケンサ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
扱う	動詞,自立,*,*,五段・ワ行促音便,基本形,扱う,アツカウ,アツカウ
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
倫理	名詞,一般,*,*,*,*,倫理,リンリ,リンリ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
も	助詞,係助詞,*,*,*,*,も,モ,モ
言及	名詞,サ変接続,*,*,*,*,言及,ゲンキュウ,ゲンキュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
定め	動詞,自立,*,*,一段,未然形,定める,サダメ,サダメ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
「	記号,括弧開,*,*,*,*,「,「,「
WISC	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
発達障害	名詞,固有名詞,一般,*,*,*,発達障害,ハッタツショウガイ,ハッタツショーガイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アセスメント	名詞,一般,*,*,*,*,アセスメント,アセスメント,アセスメント
」	記号,括弧閉,*,*,*,*,」,」,」
上野一彦	名詞,固有名詞,人名,一般,*,*,上野一彦,ウエノカズヒコ,ウエノカズヒコ
・	記号,一般,*,*,*,*,・,・,・
松田	名詞,固有名詞,人名,姓,*,*,松田,マツダ,マツダ
修	名詞,固有名詞,人名,名,*,*,修,オサム,オサム
・	記号,一般,*,*,*,*,・,・,・
小林	名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ
玄	名詞,固有名詞,人名,名,*,*,玄,ゲン,ゲン
・	記号,一般,*,*,*,*,・,・,・
木下	名詞,固有名詞,人名,姓,*,*,木下,キノシタ,キノシタ
智子	名詞,固有名詞,人名,名,*,*,智子,サトコ,サトコ
（	記号,括弧開,*,*,*,*,（,（,（
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
）	記号,括弧閉,*,*,*,*,）,）,）
日本文化科学社	名詞,固有名詞,一般,*,*,*,日本文化科学社,ニホンブンカカガクシャ,ニホンブンカカガクシャ
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
平常点	名詞,固有名詞,一般,*,*,*,平常点,ヘイジョウテン,ヘイジョーテン
（	記号,括弧開,*,*,*,*,（,（,（
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
内	名詞,接尾,一般,*,*,*,内,ナイ,ナイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
）	記号,括弧閉,*,*,*,*,）,）,）
30	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
40	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ワーク	名詞,一般,*,*,*,*,ワーク,ワーク,ワーク
30%	名詞,固有名詞,一般,*,*,*,30%,サンジュウパーセント,サンジュウパーセント
詳細	名詞,形容動詞語幹,*,*,*,*,詳細,ショウサイ,ショーサイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
初回	名詞,一般,*,*,*,*,初回,ショカイ,ショカイ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
おこなう	動詞,自立,*,*,五段・ワ行促音便,基本形,おこなう,オコナウ,オコナウ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
：	記号,一般,*,*,*,*,：,：,：
心理検査	名詞,固有名詞,一般,*,*,*,心理検査,シンリケンサ,シンリケンサ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
アセスメント	名詞,一般,*,*,*,*,アセスメント,アセスメント,アセスメント
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
2	名詞,数,*,*,*,*,*
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
：	記号,一般,*,*,*,*,：,：,：
WISC	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
①	記号,一般,*,*,*,*,*
～	記号,一般,*,*,*,*,*
WISC	名詞,固有名詞,組織,*,*,*,*
–	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
～	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
：	記号,一般,*,*,*,*,：,：,：
WISC	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
②～	記号,一般,*,*,*,*,*
知能	名詞,一般,*,*,*,*,知能,チノウ,チノー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
～	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
：	記号,一般,*,*,*,*,：,：,：
WISC	名詞,固有名詞,組織,*,*,*,*
–	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
知能	名詞,一般,*,*,*,*,知能,チノウ,チノー
測定	名詞,サ変接続,*,*,*,*,測定,ソクテイ,ソクテイ
①	記号,一般,*,*,*,*,*
～	記号,一般,*,*,*,*,*
言語	名詞,一般,*,*,*,*,言語,ゲンゴ,ゲンゴ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
指標	名詞,一般,*,*,*,*,指標,シヒョウ,シヒョー
１	名詞,数,*,*,*,*,１,イチ,イチ
～	記号,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
：	記号,一般,*,*,*,*,：,：,：
WISC	名詞,固有名詞,組織,*,*,*,*
–	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
知能	名詞,一般,*,*,*,*,知能,チノウ,チノー
測定	名詞,サ変接続,*,*,*,*,測定,ソクテイ,ソクテイ
②～	記号,一般,*,*,*,*,*
言語	名詞,一般,*,*,*,*,言語,ゲンゴ,ゲンゴ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
指標	名詞,一般,*,*,*,*,指標,シヒョウ,シヒョー
２	名詞,数,*,*,*,*,２,ニ,ニ
～	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
：	記号,一般,*,*,*,*,：,：,：
WISC	名詞,固有名詞,組織,*,*,*,*
–	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
知能	名詞,一般,*,*,*,*,知能,チノウ,チノー
測定	名詞,サ変接続,*,*,*,*,測定,ソクテイ,ソクテイ
③～	記号,一般,*,*,*,*,*
知覚	名詞,サ変接続,*,*,*,*,知覚,チカク,チカク
推理	名詞,サ変接続,*,*,*,*,推理,スイリ,スイリ
指標	名詞,一般,*,*,*,*,指標,シヒョウ,シヒョー
１	名詞,数,*,*,*,*,１,イチ,イチ
～	記号,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
：	記号,一般,*,*,*,*,：,：,：
WISC	名詞,固有名詞,組織,*,*,*,*
–	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
知能	名詞,一般,*,*,*,*,知能,チノウ,チノー
測定	名詞,サ変接続,*,*,*,*,測定,ソクテイ,ソクテイ
④～	記号,一般,*,*,*,*,*
知覚	名詞,サ変接続,*,*,*,*,知覚,チカク,チカク
推理	名詞,サ変接続,*,*,*,*,推理,スイリ,スイリ
指標	名詞,一般,*,*,*,*,指標,シヒョウ,シヒョー
２	名詞,数,*,*,*,*,２,ニ,ニ
～	記号,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
：	記号,一般,*,*,*,*,：,：,：
WISC	名詞,固有名詞,組織,*,*,*,*
–	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
知能	名詞,一般,*,*,*,*,知能,チノウ,チノー
測定	名詞,サ変接続,*,*,*,*,測定,ソクテイ,ソクテイ
⑤～	記号,一般,*,*,*,*,*
ワーキング	名詞,一般,*,*,*,*,ワーキング,ワーキング,ワーキング
メモリー	名詞,一般,*,*,*,*,メモリー,メモリー,メモリー
指標	名詞,一般,*,*,*,*,指標,シヒョウ,シヒョー
～	記号,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
：	記号,一般,*,*,*,*,：,：,：
WISC	名詞,固有名詞,組織,*,*,*,*
–	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
知能	名詞,一般,*,*,*,*,知能,チノウ,チノー
測定	名詞,サ変接続,*,*,*,*,測定,ソクテイ,ソクテイ
⑥～	記号,一般,*,*,*,*,*
処理	名詞,サ変接続,*,*,*,*,処理,ショリ,ショリ
速度	名詞,一般,*,*,*,*,速度,ソクド,ソクド
指標	名詞,一般,*,*,*,*,指標,シヒョウ,シヒョー
～	記号,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
：	記号,一般,*,*,*,*,：,：,：
WISC	名詞,固有名詞,組織,*,*,*,*
–	記号,一般,*,*,*,*,*
Ⅳ	名詞,数,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
知能	名詞,一般,*,*,*,*,知能,チノウ,チノー
測定	名詞,サ変接続,*,*,*,*,測定,ソクテイ,ソクテイ
⑦～	記号,一般,*,*,*,*,*
結果	名詞,副詞可能,*,*,*,*,結果,ケッカ,ケッカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
整理	名詞,サ変接続,*,*,*,*,整理,セイリ,セイリ
～	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
：	記号,一般,*,*,*,*,：,：,：
検査結果	名詞,固有名詞,一般,*,*,*,検査結果,ケンサケッカ,ケンサケッカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解釈	名詞,サ変接続,*,*,*,*,解釈,カイシャク,カイシャク
①～	記号,一般,*,*,*,*,*
統計	名詞,サ変接続,*,*,*,*,統計,トウケイ,トーケイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
