ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
1	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
神経系	名詞,固有名詞,一般,*,*,*,神経系,シンケイケイ,シンケイケイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
働き	名詞,一般,*,*,*,*,働き,ハタラキ,ハタラキ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
2	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
，	記号,読点,*,*,*,*,，,，,，
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
3	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
読み	動詞,自立,*,*,五段・マ行,連用形,読む,ヨミ,ヨミ
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
ほぼ	副詞,一般,*,*,*,*,ほぼ,ホボ,ホボ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
心	名詞,接尾,一般,*,*,*,心,シン,シン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
人間	名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
にとって	助詞,格助詞,連語,*,*,*,にとって,ニトッテ,ニトッテ
未だに	副詞,一般,*,*,*,*,未だに,イマダニ,イマダニ
謎	名詞,一般,*,*,*,*,謎,ナゾ,ナゾ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
生理心理学	名詞,固有名詞,一般,*,*,*,生理心理学,セイリシンリガク,セイリシンリガク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
およぼす	動詞,自立,*,*,五段・サ行,基本形,およぼす,オヨボス,オヨボス
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
，	記号,読点,*,*,*,*,，,，,，
また	接続詞,*,*,*,*,*,また,マタ,マタ
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
もち	名詞,一般,*,*,*,*,もち,モチ,モチ
方	名詞,接尾,一般,*,*,*,方,カタ,カタ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
現れる	動詞,自立,*,*,一段,基本形,現れる,アラワレル,アラワレル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
，	記号,読点,*,*,*,*,，,，,，
調べる	動詞,自立,*,*,一段,基本形,調べる,シラベル,シラベル
学問	名詞,サ変接続,*,*,*,*,学問,ガクモン,ガクモン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
この	連体詞,*,*,*,*,*,この,コノ,コノ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本的	名詞,固有名詞,一般,*,*,*,基本的,キホンテキ,キホンテキ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
動作	名詞,サ変接続,*,*,*,*,動作,ドウサ,ドーサ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
しくみ	動詞,自立,*,*,五段・マ行,連用形,しくむ,シクミ,シクミ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
始め	名詞,副詞可能,*,*,*,*,始め,ハジメ,ハジメ
，	記号,読点,*,*,*,*,，,，,，
物	名詞,一般,*,*,*,*,物,モノ,モノ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
感じ	動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ
方	名詞,接尾,特殊,*,*,*,方,カタ,カタ
，	記号,読点,*,*,*,*,，,，,，
覚える	動詞,自立,*,*,一段,基本形,覚える,オボエル,オボエル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
，	記号,読点,*,*,*,*,，,，,，
喜び	名詞,一般,*,*,*,*,喜び,ヨロコビ,ヨロコビ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
怒り	名詞,一般,*,*,*,*,怒り,イカリ,イカリ
，	記号,読点,*,*,*,*,，,，,，
やる気	名詞,一般,*,*,*,*,やる気,ヤルキ,ヤルキ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
異常	名詞,形容動詞語幹,*,*,*,*,異常,イジョウ,イジョー
体験	名詞,サ変接続,*,*,*,*,体験,タイケン,タイケン
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
，	記号,読点,*,*,*,*,，,，,，
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
全般	名詞,一般,*,*,*,*,全般,ゼンパン,ゼンパン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
関わる	動詞,自立,*,*,五段・ラ行,基本形,関わる,カカワル,カカワル
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
脳科学	名詞,固有名詞,一般,*,*,*,脳科学,ノウカガク,ノーカガク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
読み解く	動詞,自立,*,*,五段・カ行イ音便,基本形,読み解く,ヨミトク,ヨミトク
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぼ	動詞,自立,*,*,五段・バ行,未然ウ接続,学ぶ,マナボ,マナボ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
次	名詞,接尾,一般,*,*,*,次,ジ,ジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
使用	名詞,サ変接続,*,*,*,*,使用,シヨウ,シヨー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
岡田隆	名詞,固有名詞,人名,一般,*,*,岡田隆,オカダタカシ,オカダタカシ
・	記号,一般,*,*,*,*,・,・,・
廣中	名詞,固有名詞,人名,姓,*,*,廣中,ヒロナカ,ヒロナカ
直行	名詞,固有名詞,人名,名,*,*,直行,ナオユキ,ナオユキ
・	記号,一般,*,*,*,*,・,・,・
宮森	名詞,固有名詞,人名,姓,*,*,宮森,ミヤモリ,ミヤモリ
孝史	名詞,固有名詞,人名,名,*,*,孝史,タカシ,タカシ
，	記号,読点,*,*,*,*,，,，,，
『	記号,括弧開,*,*,*,*,『,『,『
生理心理学	名詞,固有名詞,一般,*,*,*,生理心理学,セイリシンリガク,セイリシンリガク
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
2	名詞,数,*,*,*,*,*
版	名詞,接尾,助数詞,*,*,*,版,ハン,ハン
』	記号,括弧閉,*,*,*,*,』,』,』
，	記号,読点,*,*,*,*,，,，,，
サイエンス社	名詞,固有名詞,一般,*,*,*,サイエンス社,サイエンスシャ,サイエンスシャ
，	記号,読点,*,*,*,*,，,，,，
2015年	名詞,固有名詞,一般,*,*,*,2015年,ニセンジュウゴネン,ニセンジュウゴネン
，	記号,読点,*,*,*,*,，,，,，
ISBN:	名詞,固有名詞,一般,*,*,*,ISBN:,アイエスビーエヌ,アイエスビーエヌ
9784781913582	名詞,数,*,*,*,*,*
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時	名詞,接尾,副詞可能,*,*,*,時,ジ,ジ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
1	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
道又	名詞,固有名詞,人名,姓,*,*,道又,ミチマタ,ミチマタ
爾	名詞,一般,*,*,*,*,爾,ナンジ,ナンジ
・	記号,一般,*,*,*,*,・,・,・
岡田	名詞,固有名詞,人名,姓,*,*,岡田,オカダ,オカダ
隆	名詞,固有名詞,人名,名,*,*,隆,タカシ,タカシ
(	記号,一般,*,*,*,*,*
2012	名詞,数,*,*,*,*,*
)．	記号,一般,*,*,*,*,*
認知神経科学	名詞,固有名詞,一般,*,*,*,認知神経科学,ニンチシンケイカガク,ニンチシンケイカガク
放送大学	名詞,固有名詞,組織,*,*,*,放送大学,ホウソウダイガク,ホーソーダイガク
教材	名詞,一般,*,*,*,*,教材,キョウザイ,キョーザイ
：	記号,一般,*,*,*,*,：,：,：
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
簡明	名詞,形容動詞語幹,*,*,*,*,簡明,カンメイ,カンメイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
2	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
村上	名詞,固有名詞,人名,姓,*,*,村上,ムラカミ,ムラカミ
郁也	名詞,固有名詞,人名,名,*,*,郁也,イクヤ,イクヤ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
(	記号,一般,*,*,*,*,*
2010	名詞,数,*,*,*,*,*
)．	記号,一般,*,*,*,*,*
イラスト	名詞,一般,*,*,*,*,イラスト,イラスト,イラスト
レクチャー	名詞,サ変接続,*,*,*,*,レクチャー,レクチャー,レクチャー
認知神経科学	名詞,固有名詞,一般,*,*,*,認知神経科学,ニンチシンケイカガク,ニンチシンケイカガク
オーム社	名詞,固有名詞,組織,*,*,*,オーム社,オームシャ,オームシャ
：	記号,一般,*,*,*,*,：,：,：
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
詳しい	形容詞,自立,*,*,形容詞・イ段,基本形,詳しい,クワシイ,クワシイ
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
次	名詞,接尾,一般,*,*,*,次,ジ,ジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
配分	名詞,サ変接続,*,*,*,*,配分,ハイブン,ハイブン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
成績	名詞,一般,*,*,*,*,成績,セイセキ,セイセキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
（	記号,括弧開,*,*,*,*,（,（,（
3分の2	名詞,固有名詞,一般,*,*,*,3分の2,サンブンノニ,サンブンノニ
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
前提	名詞,一般,*,*,*,*,前提,ゼンテイ,ゼンテイ
）	記号,括弧閉,*,*,*,*,）,）,）
。	記号,句点,*,*,*,*,。,。,。
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
点	名詞,接尾,一般,*,*,*,点,テン,テン
（	記号,括弧開,*,*,*,*,（,（,（
100%	名詞,固有名詞,人名,一般,*,*,100%,ヒャクパーセント,ヒャクパーセント
）	記号,括弧閉,*,*,*,*,）,）,）
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
：	記号,一般,*,*,*,*,：,：,：
生理心理学	名詞,固有名詞,一般,*,*,*,生理心理学,セイリシンリガク,セイリシンリガク
・	記号,一般,*,*,*,*,・,・,・
神経心理学	名詞,固有名詞,一般,*,*,*,神経心理学,シンケイシンリガク,シンケイシンリガク
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
？[	記号,一般,*,*,*,*,*
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
章	名詞,接尾,助数詞,*,*,*,章,ショウ,ショー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
予習	名詞,サ変接続,*,*,*,*,予習,ヨシュウ,ヨシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
]	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
神経	名詞,一般,*,*,*,*,神経,シンケイ,シンケイ
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
相関	名詞,サ変接続,*,*,*,*,相関,ソウカン,ソーカン
[	記号,一般,*,*,*,*,*
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
１	名詞,数,*,*,*,*,１,イチ,イチ
章	名詞,接尾,助数詞,*,*,*,章,ショウ,ショー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
予習	名詞,サ変接続,*,*,*,*,予習,ヨシュウ,ヨシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
]	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
働き	名詞,一般,*,*,*,*,働き,ハタラキ,ハタラキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生理学	名詞,一般,*,*,*,*,生理学,セイリガク,セイリガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
基盤	名詞,一般,*,*,*,*,基盤,キバン,キバン
[	記号,一般,*,*,*,*,*
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
１	名詞,数,*,*,*,*,１,イチ,イチ
・	名詞,数,*,*,*,*,・,・,・
２	名詞,数,*,*,*,*,２,ニ,ニ
章	名詞,接尾,助数詞,*,*,*,章,ショウ,ショー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
予習	名詞,サ変接続,*,*,*,*,予習,ヨシュウ,ヨシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
]	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
視覚	名詞,一般,*,*,*,*,視覚,シカク,シカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー
機能	名詞,サ変接続,*,*,*,*,機能,キノウ,キノー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
[	記号,一般,*,*,*,*,*
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
３	名詞,数,*,*,*,*,３,サン,サン
章	名詞,接尾,助数詞,*,*,*,章,ショウ,ショー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
予習	名詞,サ変接続,*,*,*,*,予習,ヨシュウ,ヨシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
]	記号,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
聴覚	名詞,一般,*,*,*,*,聴覚,チョウカク,チョーカク
・	記号,一般,*,*,*,*,・,・,・
体性感覚	名詞,固有名詞,一般,*,*,*,体性感覚,タイセイカンカク,タイセイカンカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー
機能	名詞,サ変接続,*,*,*,*,機能,キノウ,キノー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
[	記号,一般,*,*,*,*,*
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
３	名詞,数,*,*,*,*,３,サン,サン
章	名詞,接尾,助数詞,*,*,*,章,ショウ,ショー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
予習	名詞,サ変接続,*,*,*,*,予習,ヨシュウ,ヨシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
]	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
