ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
情報科学	名詞,固有名詞,一般,*,*,*,情報科学,ジョウホウカガク,ジョーホーカガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
不定積分	名詞,固有名詞,一般,*,*,*,不定積分,フテイセキブン,フテイセキブン
、	記号,読点,*,*,*,*,、,、,、
定	接頭詞,名詞接続,*,*,*,*,定,テイ,テイ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
、	記号,読点,*,*,*,*,、,、,、
重	接頭詞,名詞接続,*,*,*,*,重,ジュウ,ジュー
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
、	記号,読点,*,*,*,*,、,、,、
微分方程式	名詞,固有名詞,一般,*,*,*,微分方程式,ビブンホウテイシキ,ビブンホーテイシキ
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
微分積分学	名詞,固有名詞,一般,*,*,*,微分積分学,ビブンセキブン,ビブンセキブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
改訂版	名詞,固有名詞,一般,*,*,*,改訂版,カイテイバン,カイテイバン
水本久夫	名詞,固有名詞,人名,一般,*,*,水本久夫,ミズモトヒサオ,ミズモトヒサオ
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
培風館	名詞,固有名詞,組織,*,*,*,培風館,バイフウカン,バイフーカン
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
期	名詞,接尾,一般,*,*,*,期,キ,キ
末	名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
成績	名詞,一般,*,*,*,*,成績,セイセキ,セイセキ
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
原始	名詞,一般,*,*,*,*,原始,ゲンシ,ゲンシ
関数	名詞,一般,*,*,*,*,関数,カンスウ,カンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
不定積分	名詞,固有名詞,一般,*,*,*,不定積分,フテイセキブン,フテイセキブン
、	記号,読点,*,*,*,*,、,、,、
初等関数	名詞,固有名詞,一般,*,*,*,初等関数,ショトウカンスウ,ショトーカンスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
不定積分	名詞,固有名詞,一般,*,*,*,不定積分,フテイセキブン,フテイセキブン
2	名詞,数,*,*,*,*,*
置換	名詞,サ変接続,*,*,*,*,置換,チカン,チカン
積分法	名詞,固有名詞,一般,*,*,*,積分法,セキブンホウ,セキブンホー
3部	名詞,固有名詞,一般,*,*,*,3部,サンブ,サンブ
分	名詞,接尾,一般,*,*,*,分,ブン,ブン
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
4	名詞,数,*,*,*,*,*
面積	名詞,一般,*,*,*,*,面積,メンセキ,メンセキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
定	接頭詞,名詞接続,*,*,*,*,定,テイ,テイ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
5定	名詞,固有名詞,一般,*,*,*,5定,ゴテイ,ゴテイ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
6	名詞,数,*,*,*,*,*
置換	名詞,サ変接続,*,*,*,*,置換,チカン,チカン
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
部分積分	名詞,固有名詞,一般,*,*,*,部分積分,ブブンセキブン,ブブンセキブン
7	名詞,数,*,*,*,*,*
平面	名詞,一般,*,*,*,*,平面,ヘイメン,ヘイメン
図形	名詞,一般,*,*,*,*,図形,ヅケイ,ズケイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
面積	名詞,一般,*,*,*,*,面積,メンセキ,メンセキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
立体	名詞,一般,*,*,*,*,立体,リッタイ,リッタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
体積	名詞,一般,*,*,*,*,体積,タイセキ,タイセキ
8曲	名詞,固有名詞,一般,*,*,*,8曲,ハチキョク,ハチキョク
線	名詞,接尾,一般,*,*,*,線,セン,セン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
長さと	名詞,固有名詞,一般,*,*,*,長里,ナガサト,ナガサト
回転	名詞,サ変接続,*,*,*,*,回転,カイテン,カイテン
面	名詞,接尾,一般,*,*,*,面,メン,メン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
面積	名詞,一般,*,*,*,*,面積,メンセキ,メンセキ
9	名詞,数,*,*,*,*,*
広義	名詞,一般,*,*,*,*,広義,コウギ,コーギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
10	名詞,数,*,*,*,*,*
重	名詞,接尾,助数詞,*,*,*,重,ジュウ,ジュー
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
１	名詞,数,*,*,*,*,１,イチ,イチ
11	名詞,数,*,*,*,*,*
重	名詞,接尾,助数詞,*,*,*,重,ジュウ,ジュー
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
２12	名詞,数,*,*,*,*,*
微分方程式	名詞,固有名詞,一般,*,*,*,微分方程式,ビブンホウテイシキ,ビブンホーテイシキ
１	名詞,数,*,*,*,*,１,イチ,イチ
13	名詞,数,*,*,*,*,*
微分方程式	名詞,固有名詞,一般,*,*,*,微分方程式,ビブンホウテイシキ,ビブンホーテイシキ
２14	名詞,数,*,*,*,*,*
数列	名詞,一般,*,*,*,*,数列,スウレツ,スーレツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
級数	名詞,一般,*,*,*,*,級数,キュウスウ,キュースー
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
原始	名詞,一般,*,*,*,*,原始,ゲンシ,ゲンシ
関数	名詞,一般,*,*,*,*,関数,カンスウ,カンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
不定積分	名詞,固有名詞,一般,*,*,*,不定積分,フテイセキブン,フテイセキブン
、	記号,読点,*,*,*,*,、,、,、
初等関数	名詞,固有名詞,一般,*,*,*,初等関数,ショトウカンスウ,ショトーカンスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
不定積分	名詞,固有名詞,一般,*,*,*,不定積分,フテイセキブン,フテイセキブン
2	名詞,数,*,*,*,*,*
置換	名詞,サ変接続,*,*,*,*,置換,チカン,チカン
積分法	名詞,固有名詞,一般,*,*,*,積分法,セキブンホウ,セキブンホー
3	名詞,数,*,*,*,*,*
部分積分	名詞,固有名詞,一般,*,*,*,部分積分,ブブンセキブン,ブブンセキブン
4	名詞,数,*,*,*,*,*
面積	名詞,一般,*,*,*,*,面積,メンセキ,メンセキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
定	接頭詞,名詞接続,*,*,*,*,定,テイ,テイ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
5	名詞,数,*,*,*,*,*
定	接頭詞,名詞接続,*,*,*,*,定,テイ,テイ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
性質	名詞,一般,*,*,*,*,性質,セイシツ,セイシツ
6	名詞,数,*,*,*,*,*
置換	名詞,サ変接続,*,*,*,*,置換,チカン,チカン
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
部分積分	名詞,固有名詞,一般,*,*,*,部分積分,ブブンセキブン,ブブンセキブン
7	名詞,数,*,*,*,*,*
平面	名詞,一般,*,*,*,*,平面,ヘイメン,ヘイメン
図形	名詞,一般,*,*,*,*,図形,ヅケイ,ズケイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
面積	名詞,一般,*,*,*,*,面積,メンセキ,メンセキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
立体	名詞,一般,*,*,*,*,立体,リッタイ,リッタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
体積	名詞,一般,*,*,*,*,体積,タイセキ,タイセキ
8	名詞,数,*,*,*,*,*
曲	名詞,接尾,助数詞,*,*,*,曲,キョク,キョク
線	名詞,接尾,一般,*,*,*,線,セン,セン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
長さと	名詞,固有名詞,一般,*,*,*,長里,ナガサト,ナガサト
回転	名詞,サ変接続,*,*,*,*,回転,カイテン,カイテン
面	名詞,接尾,一般,*,*,*,面,メン,メン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
面積	名詞,一般,*,*,*,*,面積,メンセキ,メンセキ
9	名詞,数,*,*,*,*,*
広義	名詞,一般,*,*,*,*,広義,コウギ,コーギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
10	名詞,数,*,*,*,*,*
重	名詞,接尾,助数詞,*,*,*,重,ジュウ,ジュー
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
１	名詞,数,*,*,*,*,１,イチ,イチ
11	名詞,数,*,*,*,*,*
重	名詞,接尾,助数詞,*,*,*,重,ジュウ,ジュー
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
２	名詞,数,*,*,*,*,２,ニ,ニ
12	名詞,数,*,*,*,*,*
微分方程式	名詞,固有名詞,一般,*,*,*,微分方程式,ビブンホウテイシキ,ビブンホーテイシキ
１	名詞,数,*,*,*,*,１,イチ,イチ
13	名詞,数,*,*,*,*,*
微分方程式	名詞,固有名詞,一般,*,*,*,微分方程式,ビブンホウテイシキ,ビブンホーテイシキ
２	名詞,数,*,*,*,*,２,ニ,ニ
14	名詞,数,*,*,*,*,*
数列	名詞,一般,*,*,*,*,数列,スウレツ,スーレツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
級数	名詞,一般,*,*,*,*,級数,キュウスウ,キュースー
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
不定積分	名詞,固有名詞,一般,*,*,*,不定積分,フテイセキブン,フテイセキブン
、	記号,読点,*,*,*,*,、,、,、
定	接頭詞,名詞接続,*,*,*,*,定,テイ,テイ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
、	記号,読点,*,*,*,*,、,、,、
広義	名詞,一般,*,*,*,*,広義,コウギ,コーギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
、	記号,読点,*,*,*,*,、,、,、
重	接頭詞,名詞接続,*,*,*,*,重,ジュウ,ジュー
積分	名詞,サ変接続,*,*,*,*,積分,セキブン,セキブン
、	記号,読点,*,*,*,*,、,、,、
微分方程式	名詞,固有名詞,一般,*,*,*,微分方程式,ビブンホウテイシキ,ビブンホーテイシキ
、	記号,読点,*,*,*,*,、,、,、
数列	名詞,一般,*,*,*,*,数列,スウレツ,スーレツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
級数	名詞,一般,*,*,*,*,級数,キュウスウ,キュースー
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
「	記号,括弧開,*,*,*,*,「,「,「
情報科学	名詞,固有名詞,一般,*,*,*,情報科学,ジョウホウカガク,ジョーホーカガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
微分積分	名詞,固有名詞,一般,*,*,*,微分・積分,ビブンセキブン,ビブンセキブン
Ⅰ	名詞,数,*,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
限る	動詞,自立,*,*,五段・ラ行,基本形,限る,カギル,カギル
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メッセージ	名詞,一般,*,*,*,*,メッセージ,メッセージ,メッセージ
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
）	記号,括弧閉,*,*,*,*,）,）,）
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
EOS
