ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
「	記号,括弧開,*,*,*,*,「,「,「
確率・統計	名詞,固有名詞,一般,*,*,*,確率・統計,カクリツトウケイ,カクリツトーケイ
I	名詞,一般,*,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
確率変数	名詞,固有名詞,一般,*,*,*,確率変数,カクリツヘンスウ,カクリツヘンスー
、	記号,読点,*,*,*,*,、,、,、
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ランダム	名詞,形容動詞語幹,*,*,*,*,ランダム,ランダム,ランダム
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
データ	名詞,一般,*,*,*,*,データ,データ,データ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り扱う	動詞,自立,*,*,五段・ワ行促音便,基本形,取り扱う,トリアツカウ,トリアツカウ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
ランダム	名詞,形容動詞語幹,*,*,*,*,ランダム,ランダム,ランダム
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
データ	名詞,一般,*,*,*,*,データ,データ,データ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り扱う	動詞,自立,*,*,五段・ワ行促音便,基本形,取り扱う,トリアツカウ,トリアツカウ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
数学	名詞,一般,*,*,*,*,数学,スウガク,スーガク
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
確率論	名詞,固有名詞,一般,*,*,*,確率論,カクリツロン,カクリツロン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
数理	名詞,一般,*,*,*,*,数理,スウリ,スーリ
統計	名詞,サ変接続,*,*,*,*,統計,トウケイ,トーケイ
学	名詞,接尾,一般,*,*,*,学,ガク,ガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
科目	名詞,一般,*,*,*,*,科目,カモク,カモク
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、	記号,読点,*,*,*,*,、,、,、
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
、	記号,読点,*,*,*,*,、,、,、
確率変数	名詞,固有名詞,一般,*,*,*,確率変数,カクリツヘンスウ,カクリツヘンスー
、	記号,読点,*,*,*,*,、,、,、
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
、	記号,読点,*,*,*,*,、,、,、
独立	名詞,サ変接続,*,*,*,*,独立,ドクリツ,ドクリツ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
、	記号,読点,*,*,*,*,、,、,、
条件付き確率	名詞,固有名詞,一般,*,*,*,条件付き確率,ジョウケンツキカクリツ,ジョーケンツキカクリツ
、	記号,読点,*,*,*,*,、,、,、
期待値	名詞,固有名詞,一般,*,*,*,期待値,キタイチ,キタイチ
、	記号,読点,*,*,*,*,、,、,、
分散	名詞,サ変接続,*,*,*,*,分散,ブンサン,ブンサン
、	記号,読点,*,*,*,*,、,、,、
大数の法則	名詞,固有名詞,一般,*,*,*,大数の法則,タイスウノホウソク,タイスーノホーソク
、	記号,読点,*,*,*,*,、,、,、
正規分布	名詞,固有名詞,一般,*,*,*,正規分布,セイキブンプ,セイキブンプ
、	記号,読点,*,*,*,*,、,、,、
中心極限定理	名詞,固有名詞,一般,*,*,*,中心極限定理,チュウシンキョクゲンテイリ,チューシンキョクゲンテイリ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
「	記号,括弧開,*,*,*,*,「,「,「
理工系	名詞,固有名詞,一般,*,*,*,理工系,リコウケイ,リコーケイ
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
確率・統計	名詞,固有名詞,一般,*,*,*,確率・統計,カクリツトウケイ,カクリツトーケイ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
」	記号,括弧閉,*,*,*,*,」,」,」
、	記号,読点,*,*,*,*,、,、,、
金川	名詞,固有名詞,人名,姓,*,*,金川,カナガワ,カナガワ
秀也	名詞,固有名詞,人名,名,*,*,秀也,ヒデヤ,ヒデヤ
・	記号,一般,*,*,*,*,・,・,・
吉田	名詞,固有名詞,人名,姓,*,*,吉田,ヨシダ,ヨシダ
稔	名詞,固有名詞,人名,名,*,*,稔,ミノル,ミノル
・	記号,一般,*,*,*,*,・,・,・
堀口	名詞,固有名詞,人名,姓,*,*,堀口,ホリグチ,ホリグチ
正之	名詞,固有名詞,人名,名,*,*,正之,マサユキ,マサユキ
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
、	記号,読点,*,*,*,*,、,、,、
培風館	名詞,固有名詞,組織,*,*,*,培風館,バイフウカン,バイフーカン
、	記号,読点,*,*,*,*,、,、,、
2	名詞,数,*,*,*,*,*
,	記号,一般,*,*,*,*,*
420円	名詞,固有名詞,一般,*,*,*,420円,ヨンヒャクニジュウエン,ヨンヒャクニジュウエン
（	記号,括弧開,*,*,*,*,（,（,（
税込み	名詞,一般,*,*,*,*,税込み,ゼイコミ,ゼイコミ
）	記号,括弧閉,*,*,*,*,）,）,）
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
中間試験	名詞,固有名詞,一般,*,*,*,中間試験,チュウカンシケン,チューカンシケン
（	記号,括弧開,*,*,*,*,（,（,（
100点	名詞,固有名詞,一般,*,*,*,100点,ヒャッテン,ヒャッテン
満点	名詞,一般,*,*,*,*,満点,マンテン,マンテン
）	記号,括弧閉,*,*,*,*,）,）,）
と	助詞,格助詞,引用,*,*,*,と,ト,ト
学期	名詞,一般,*,*,*,*,学期,ガッキ,ガッキ
末	名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
筆記試験	名詞,固有名詞,一般,*,*,*,筆記試験,ヒッキシケン,ヒッキシケン
（	記号,括弧開,*,*,*,*,（,（,（
100点	名詞,固有名詞,一般,*,*,*,100点,ヒャッテン,ヒャッテン
満点	名詞,一般,*,*,*,*,満点,マンテン,マンテン
）	記号,括弧閉,*,*,*,*,）,）,）
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
筆記試験	名詞,固有名詞,一般,*,*,*,筆記試験,ヒッキシケン,ヒッキシケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
受験	名詞,サ変接続,*,*,*,*,受験,ジュケン,ジュケン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
際	名詞,非自立,副詞可能,*,*,*,際,サイ,サイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
注意事項	名詞,固有名詞,一般,*,*,*,注意事項,チュウイジコウ,チューイジコー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
予め	副詞,一般,*,*,*,*,予め,アラカジメ,アラカジメ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
／	記号,一般,*,*,*,*,／,／,／
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
2	名詞,数,*,*,*,*,*
事象	名詞,一般,*,*,*,*,事象,ジショウ,ジショー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
3条	名詞,固有名詞,地域,一般,*,*,3条,サンジョウ,サンジョー
件	名詞,一般,*,*,*,*,件,ケン,ケン
付き	名詞,接尾,一般,*,*,*,付き,ツキ,ツキ
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
、	記号,読点,*,*,*,*,、,、,、
ベイズの定理	名詞,固有名詞,一般,*,*,*,ベイズの定理,ベイズノテイリ,ベイズノテイリ
4	名詞,数,*,*,*,*,*
確率変数	名詞,固有名詞,一般,*,*,*,確率変数,カクリツヘンスウ,カクリツヘンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
5	名詞,数,*,*,*,*,*
確率変数	名詞,固有名詞,一般,*,*,*,確率変数,カクリツヘンスウ,カクリツヘンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
6	名詞,数,*,*,*,*,*
確率変数	名詞,固有名詞,一般,*,*,*,確率変数,カクリツヘンスウ,カクリツヘンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
（	記号,括弧開,*,*,*,*,（,（,（
３	名詞,数,*,*,*,*,３,サン,サン
）	記号,括弧閉,*,*,*,*,）,）,）
7期	名詞,固有名詞,一般,*,*,*,7期,ナナキ,ナナキ
待	名詞,一般,*,*,*,*,待,マチ,マチ
値	名詞,接尾,一般,*,*,*,値,チ,チ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
分散	名詞,サ変接続,*,*,*,*,分散,ブンサン,ブンサン
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
8期	名詞,固有名詞,一般,*,*,*,8期,ハッキ,ハッキ
待	名詞,一般,*,*,*,*,待,マチ,マチ
値	名詞,接尾,一般,*,*,*,値,チ,チ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
分散	名詞,サ変接続,*,*,*,*,分散,ブンサン,ブンサン
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
9	名詞,数,*,*,*,*,*
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
中間試験	名詞,固有名詞,一般,*,*,*,中間試験,チュウカンシケン,チューカンシケン
10	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
弱	名詞,一般,*,*,*,*,弱,ジャク,ジャク
）	記号,括弧閉,*,*,*,*,）,）,）
大数の法則	名詞,固有名詞,一般,*,*,*,大数の法則,タイスウノホウソク,タイスーノホーソク
11	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
弱	名詞,一般,*,*,*,*,弱,ジャク,ジャク
）	記号,括弧閉,*,*,*,*,）,）,）
大数の法則	名詞,固有名詞,一般,*,*,*,大数の法則,タイスウノホウソク,タイスーノホーソク
12	名詞,数,*,*,*,*,*
積率母関数	名詞,固有名詞,一般,*,*,*,積率母関数,セキリツボカンスウ,セキリツボカンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
13	名詞,数,*,*,*,*,*
中心極限定理	名詞,固有名詞,一般,*,*,*,中心極限定理,チュウシンキョクゲンテイリ,チューシンキョクゲンテイリ
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
14	名詞,数,*,*,*,*,*
中心極限定理	名詞,固有名詞,一般,*,*,*,中心極限定理,チュウシンキョクゲンテイリ,チューシンキョクゲンテイリ
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
／	記号,一般,*,*,*,*,／,／,／
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
2	名詞,数,*,*,*,*,*
事象	名詞,一般,*,*,*,*,事象,ジショウ,ジショー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
3	名詞,数,*,*,*,*,*
条件付き確率	名詞,固有名詞,一般,*,*,*,条件付き確率,ジョウケンツキカクリツ,ジョーケンツキカクリツ
、	記号,読点,*,*,*,*,、,、,、
ベイズの定理	名詞,固有名詞,一般,*,*,*,ベイズの定理,ベイズノテイリ,ベイズノテイリ
4	名詞,数,*,*,*,*,*
確率変数	名詞,固有名詞,一般,*,*,*,確率変数,カクリツヘンスウ,カクリツヘンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
5	名詞,数,*,*,*,*,*
確率変数	名詞,固有名詞,一般,*,*,*,確率変数,カクリツヘンスウ,カクリツヘンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
6	名詞,数,*,*,*,*,*
確率変数	名詞,固有名詞,一般,*,*,*,確率変数,カクリツヘンスウ,カクリツヘンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
（	記号,括弧開,*,*,*,*,（,（,（
３	名詞,数,*,*,*,*,３,サン,サン
）	記号,括弧閉,*,*,*,*,）,）,）
7	名詞,数,*,*,*,*,*
期待	名詞,サ変接続,*,*,*,*,期待,キタイ,キタイ
値	名詞,接尾,一般,*,*,*,値,チ,チ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
分散	名詞,サ変接続,*,*,*,*,分散,ブンサン,ブンサン
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
8	名詞,数,*,*,*,*,*
期待	名詞,サ変接続,*,*,*,*,期待,キタイ,キタイ
値	名詞,接尾,一般,*,*,*,値,チ,チ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
分散	名詞,サ変接続,*,*,*,*,分散,ブンサン,ブンサン
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
9	名詞,数,*,*,*,*,*
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
中間試験	名詞,固有名詞,一般,*,*,*,中間試験,チュウカンシケン,チューカンシケン
10	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
弱	名詞,一般,*,*,*,*,弱,ジャク,ジャク
）	記号,括弧閉,*,*,*,*,）,）,）
大数の法則	名詞,固有名詞,一般,*,*,*,大数の法則,タイスウノホウソク,タイスーノホーソク
11	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
弱	名詞,一般,*,*,*,*,弱,ジャク,ジャク
）	記号,括弧閉,*,*,*,*,）,）,）
大数の法則	名詞,固有名詞,一般,*,*,*,大数の法則,タイスウノホウソク,タイスーノホーソク
12	名詞,数,*,*,*,*,*
積率母関数	名詞,固有名詞,一般,*,*,*,積率母関数,セキリツボカンスウ,セキリツボカンスー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
13	名詞,数,*,*,*,*,*
中心極限定理	名詞,固有名詞,一般,*,*,*,中心極限定理,チュウシンキョクゲンテイリ,チューシンキョクゲンテイリ
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
14	名詞,数,*,*,*,*,*
中心極限定理	名詞,固有名詞,一般,*,*,*,中心極限定理,チュウシンキョクゲンテイリ,チューシンキョクゲンテイリ
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
確率変数	名詞,固有名詞,一般,*,*,*,確率変数,カクリツヘンスウ,カクリツヘンスー
、	記号,読点,*,*,*,*,、,、,、
確率分布	名詞,固有名詞,一般,*,*,*,確率分布,カクリツブンプ,カクリツブンプ
、	記号,読点,*,*,*,*,、,、,、
期待値	名詞,固有名詞,一般,*,*,*,期待値,キタイチ,キタイチ
、	記号,読点,*,*,*,*,、,、,、
分散	名詞,サ変接続,*,*,*,*,分散,ブンサン,ブンサン
、	記号,読点,*,*,*,*,、,、,、
大数の法則	名詞,固有名詞,一般,*,*,*,大数の法則,タイスウノホウソク,タイスーノホーソク
、	記号,読点,*,*,*,*,、,、,、
中心極限定理	名詞,固有名詞,一般,*,*,*,中心極限定理,チュウシンキョクゲンテイリ,チューシンキョクゲンテイリ
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
