ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
養う	動詞,自立,*,*,五段・ワ行促音便,基本形,養う,ヤシナウ,ヤシナウ
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
関わる	動詞,自立,*,*,五段・ラ行,基本形,関わる,カカワル,カカワル
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
・	記号,一般,*,*,*,*,・,・,・
考察	名詞,サ変接続,*,*,*,*,考察,コウサツ,コーサツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
作品	名詞,一般,*,*,*,*,作品,サクヒン,サクヒン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
制作	名詞,サ変接続,*,*,*,*,制作,セイサク,セイサク
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
用い	動詞,自立,*,*,一段,未然形,用いる,モチイ,モチイ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
ごと	名詞,接尾,一般,*,*,*,ごと,ゴト,ゴト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
提示	名詞,サ変接続,*,*,*,*,提示,テイジ,テイジ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
・	記号,一般,*,*,*,*,・,・,・
岩野	名詞,固有名詞,人名,姓,*,*,岩野,イワノ,イワノ
勇三	名詞,固有名詞,人名,名,*,*,勇三,ユウゾウ,ユーゾー
「	記号,括弧開,*,*,*,*,「,「,「
彫塑	名詞,一般,*,*,*,*,彫塑,チョウソ,チョーソ
ー	名詞,一般,*,*,*,*,*
制作	名詞,サ変接続,*,*,*,*,制作,セイサク,セイサク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
技法	名詞,一般,*,*,*,*,技法,ギホウ,ギホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ
」	記号,括弧閉,*,*,*,*,」,」,」
日	名詞,固有名詞,地域,国,*,*,日,ニチ,ニチ
貿	名詞,一般,*,*,*,*,*
出版社	名詞,固有名詞,一般,*,*,*,出版社,シュッパンシャ,シュッパンシャ
・	記号,一般,*,*,*,*,・,・,・
建畠	名詞,固有名詞,人名,姓,*,*,建畠,タテハタ,タテハタ
覚造	名詞,固有名詞,人名,名,*,*,覚造,カクゾウ,カクゾー
・	記号,一般,*,*,*,*,・,・,・
佐藤忠良	名詞,固有名詞,人名,一般,*,*,佐藤忠良,サトウチュウリョウ,サトーチュウリョー
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
「	記号,括弧開,*,*,*,*,「,「,「
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
」	記号,括弧閉,*,*,*,*,」,」,」
美術出版社	名詞,固有名詞,一般,*,*,*,美術出版社,ビジュツシュッパンシャ,ビジュツシュッパンシャ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
取り組み	名詞,一般,*,*,*,*,取り組み,トリクミ,トリクミ
（	記号,括弧開,*,*,*,*,（,（,（
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
含む	動詞,自立,*,*,五段・マ行,基本形,含む,フクム,フクム
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
有無	名詞,一般,*,*,*,*,有無,ウム,ウム
と	助詞,並立助詞,*,*,*,*,と,ト,ト
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
、	記号,読点,*,*,*,*,、,、,、
作品	名詞,一般,*,*,*,*,作品,サクヒン,サクヒン
、	記号,読点,*,*,*,*,、,、,、
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
達成	名詞,サ変接続,*,*,*,*,達成,タッセイ,タッセイ
度	名詞,接尾,一般,*,*,*,度,ド,ド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
それぞれ	名詞,副詞可能,*,*,*,*,それぞれ,ソレゾレ,ソレゾレ
２	名詞,数,*,*,*,*,２,ニ,ニ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
程度	名詞,接尾,一般,*,*,*,程度,テイド,テイド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
数値	名詞,一般,*,*,*,*,数値,スウチ,スーチ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
判断	名詞,サ変接続,*,*,*,*,判断,ハンダン,ハンダン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
総合的	名詞,固有名詞,一般,*,*,*,総合的,ソウゴウテキ,ソーゴーテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
2	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
Ⅰ	名詞,数,*,*,*,*,*
デッサン	名詞,一般,*,*,*,*,デッサン,デッサン,デッサン
3	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
Ⅱ	名詞,数,*,*,*,*,*
デッサン	名詞,一般,*,*,*,*,デッサン,デッサン,デッサン
4	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
１	名詞,数,*,*,*,*,１,イチ,イチ
5	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
２	名詞,数,*,*,*,*,２,ニ,ニ
果物	名詞,一般,*,*,*,*,果物,クダモノ,クダモノ
6	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
２	名詞,数,*,*,*,*,２,ニ,ニ
果物	名詞,一般,*,*,*,*,果物,クダモノ,クダモノ
7	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
２	名詞,数,*,*,*,*,２,ニ,ニ
石膏	名詞,一般,*,*,*,*,石膏,セッコウ,セッコー
取り	名詞,接尾,一般,*,*,*,取り,トリ,トリ
8	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
２	名詞,数,*,*,*,*,２,ニ,ニ
石膏	名詞,一般,*,*,*,*,石膏,セッコウ,セッコー
取り	名詞,接尾,一般,*,*,*,取り,トリ,トリ
9	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
３	名詞,数,*,*,*,*,３,サン,サン
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
①	記号,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
３	名詞,数,*,*,*,*,３,サン,サン
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
②	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
３	名詞,数,*,*,*,*,３,サン,サン
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
③	記号,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
３	名詞,数,*,*,*,*,３,サン,サン
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
④	記号,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
３	名詞,数,*,*,*,*,３,サン,サン
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
⑤	記号,一般,*,*,*,*,*
14	名詞,数,*,*,*,*,*
相互	名詞,一般,*,*,*,*,相互,ソウゴ,ソーゴ
鑑賞	名詞,サ変接続,*,*,*,*,鑑賞,カンショウ,カンショー
、	記号,読点,*,*,*,*,、,、,、
講評	名詞,サ変接続,*,*,*,*,講評,コウヒョウ,コーヒョー
、	記号,読点,*,*,*,*,、,、,、
まとめ	動詞,自立,*,*,一段,連用形,まとめる,マトメ,マトメ
15	名詞,数,*,*,*,*,*
相互	名詞,一般,*,*,*,*,相互,ソウゴ,ソーゴ
鑑賞	名詞,サ変接続,*,*,*,*,鑑賞,カンショウ,カンショー
、	記号,読点,*,*,*,*,、,、,、
講評	名詞,サ変接続,*,*,*,*,講評,コウヒョウ,コーヒョー
、	記号,読点,*,*,*,*,、,、,、
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
2	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
Ⅰ	名詞,数,*,*,*,*,*
デッサン	名詞,一般,*,*,*,*,デッサン,デッサン,デッサン
3	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
Ⅱ	名詞,数,*,*,*,*,*
デッサン	名詞,一般,*,*,*,*,デッサン,デッサン,デッサン
4	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
１	名詞,数,*,*,*,*,１,イチ,イチ
5	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
２	名詞,数,*,*,*,*,２,ニ,ニ
果物	名詞,一般,*,*,*,*,果物,クダモノ,クダモノ
6	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
２	名詞,数,*,*,*,*,２,ニ,ニ
果物	名詞,一般,*,*,*,*,果物,クダモノ,クダモノ
7	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
２	名詞,数,*,*,*,*,２,ニ,ニ
石膏	名詞,一般,*,*,*,*,石膏,セッコウ,セッコー
取り	名詞,接尾,一般,*,*,*,取り,トリ,トリ
8	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
２	名詞,数,*,*,*,*,２,ニ,ニ
石膏	名詞,一般,*,*,*,*,石膏,セッコウ,セッコー
取り	名詞,接尾,一般,*,*,*,取り,トリ,トリ
9	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
３	名詞,数,*,*,*,*,３,サン,サン
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
①	記号,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
３	名詞,数,*,*,*,*,３,サン,サン
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
②	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
３	名詞,数,*,*,*,*,３,サン,サン
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
③	記号,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
３	名詞,数,*,*,*,*,３,サン,サン
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
④	記号,一般,*,*,*,*,*
13	名詞,数,*,*,*,*,*
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
３	名詞,数,*,*,*,*,３,サン,サン
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
⑤	記号,一般,*,*,*,*,*
14	名詞,数,*,*,*,*,*
相互	名詞,一般,*,*,*,*,相互,ソウゴ,ソーゴ
鑑賞	名詞,サ変接続,*,*,*,*,鑑賞,カンショウ,カンショー
、	記号,読点,*,*,*,*,、,、,、
講評	名詞,サ変接続,*,*,*,*,講評,コウヒョウ,コーヒョー
、	記号,読点,*,*,*,*,、,、,、
まとめ	動詞,自立,*,*,一段,連用形,まとめる,マトメ,マトメ
15	名詞,数,*,*,*,*,*
相互	名詞,一般,*,*,*,*,相互,ソウゴ,ソーゴ
鑑賞	名詞,サ変接続,*,*,*,*,鑑賞,カンショウ,カンショー
、	記号,読点,*,*,*,*,、,、,、
講評	名詞,サ変接続,*,*,*,*,講評,コウヒョウ,コーヒョー
、	記号,読点,*,*,*,*,、,、,、
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
書籍	名詞,一般,*,*,*,*,書籍,ショセキ,ショセキ
・	記号,一般,*,*,*,*,・,・,・
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
・	記号,一般,*,*,*,*,・,・,・
美術館	名詞,一般,*,*,*,*,美術館,ビジュツカン,ビジュツカン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作品	名詞,一般,*,*,*,*,作品,サクヒン,サクヒン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
観る	動詞,自立,*,*,一段,基本形,観る,ミル,ミル
、	記号,読点,*,*,*,*,、,、,、
作品	名詞,一般,*,*,*,*,作品,サクヒン,サクヒン
制作	名詞,サ変接続,*,*,*,*,制作,セイサク,セイサク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
彫刻	名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク
、	記号,読点,*,*,*,*,、,、,、
彫塑	名詞,一般,*,*,*,*,彫塑,チョウソ,チョーソ
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
他	接頭詞,名詞接続,*,*,*,*,他,タ,タ
学科	名詞,一般,*,*,*,*,学科,ガッカ,ガッカ
、	記号,読点,*,*,*,*,、,、,、
他	接頭詞,名詞接続,*,*,*,*,他,タ,タ
専攻	名詞,サ変接続,*,*,*,*,専攻,センコウ,センコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
に関して	助詞,格助詞,連語,*,*,*,に関して,ニカンシテ,ニカンシテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
担当者	名詞,固有名詞,一般,*,*,*,担当者,タントウシャ,タントーシャ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
運営	名詞,サ変接続,*,*,*,*,運営,ウンエイ,ウンエイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
支障	名詞,一般,*,*,*,*,支障,シショウ,シショー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
判断	名詞,サ変接続,*,*,*,*,判断,ハンダン,ハンダン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
のみ	助詞,副助詞,*,*,*,*,のみ,ノミ,ノミ
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
