ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
アジア	名詞,固有名詞,地域,一般,*,*,アジア,アジア,アジア
（	記号,括弧開,*,*,*,*,（,（,（
インドネシア	名詞,固有名詞,地域,国,*,*,インドネシア,インドネシア,インドネシア
他	名詞,一般,*,*,*,*,他,タ,タ
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
アフリカ	名詞,固有名詞,地域,一般,*,*,アフリカ,アフリカ,アフリカ
（	記号,括弧開,*,*,*,*,（,（,（
西アフリカ	名詞,固有名詞,地域,一般,*,*,西アフリカ,ニシアフリカ,ニシアフリカ
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
南米	名詞,固有名詞,地域,一般,*,*,南米,ナンベイ,ナンベイ
（	記号,括弧開,*,*,*,*,（,（,（
ブラジル	名詞,固有名詞,地域,国,*,*,ブラジル,ブラジル,ブラジル
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
民族音楽	名詞,固有名詞,一般,*,*,*,民族音楽,ミンゾクオンガク,ミンゾクオンガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
題材	名詞,一般,*,*,*,*,題材,ダイザイ,ダイザイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
多く	名詞,副詞可能,*,*,*,*,多く,オオク,オーク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
通し	動詞,自立,*,*,五段・サ行,連用形,通す,トオシ,トーシ
、	記号,読点,*,*,*,*,、,、,、
民族音楽	名詞,固有名詞,一般,*,*,*,民族音楽,ミンゾクオンガク,ミンゾクオンガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
演奏	名詞,サ変接続,*,*,*,*,演奏,エンソウ,エンソー
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
身	名詞,一般,*,*,*,*,身,ミ,ミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
つけ	動詞,自立,*,*,一段,連用形,つける,ツケ,ツケ
、	記号,読点,*,*,*,*,、,、,、
多様	名詞,形容動詞語幹,*,*,*,*,多様,タヨウ,タヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
音	名詞,一般,*,*,*,*,音,オト,オト
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
体験	名詞,サ変接続,*,*,*,*,体験,タイケン,タイケン
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
なるべく	副詞,助詞類接続,*,*,*,*,なるべく,ナルベク,ナルベク
多く	名詞,副詞可能,*,*,*,*,多く,オオク,オーク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
種類	名詞,一般,*,*,*,*,種類,シュルイ,シュルイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
民族音楽	名詞,固有名詞,一般,*,*,*,民族音楽,ミンゾクオンガク,ミンゾクオンガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
全員	名詞,一般,*,*,*,*,全員,ゼンイン,ゼンイン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
レベル	名詞,一般,*,*,*,*,レベル,レベル,レベル
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
演奏	名詞,サ変接続,*,*,*,*,演奏,エンソウ,エンソー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
出来る	動詞,自立,*,*,一段,基本形,出来る,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
合奏	名詞,サ変接続,*,*,*,*,合奏,ガッソウ,ガッソー
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行う,オコナッ,オコナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
。	記号,句点,*,*,*,*,。,。,。
西洋音楽	名詞,固有名詞,一般,*,*,*,西洋音楽,セイヨウオンガク,セイヨーオンガク
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
異なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,異なる,コトナッ,コトナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
音楽	名詞,一般,*,*,*,*,音楽,オンガク,オンガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
、	記号,読点,*,*,*,*,、,、,、
個性	名詞,一般,*,*,*,*,個性,コセイ,コセイ
豊か	名詞,形容動詞語幹,*,*,*,*,豊か,ユタカ,ユタカ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
音	名詞,一般,*,*,*,*,音,オト,オト
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
ユニーク	名詞,形容動詞語幹,*,*,*,*,ユニーク,ユニーク,ユニーク
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
発音	名詞,サ変接続,*,*,*,*,発音,ハツオン,ハツオン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
仕方	名詞,ナイ形容詞語幹,*,*,*,*,仕方,シカタ,シカタ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
多様	名詞,形容動詞語幹,*,*,*,*,多様,タヨウ,タヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
音	名詞,一般,*,*,*,*,音,オト,オト
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
体験	名詞,サ変接続,*,*,*,*,体験,タイケン,タイケン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
なし	形容詞,自立,*,*,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
指示	名詞,サ変接続,*,*,*,*,指示,シジ,シジ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
、	記号,読点,*,*,*,*,、,、,、
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
と	助詞,並立助詞,*,*,*,*,と,ト,ト
実技	名詞,一般,*,*,*,*,実技,ジツギ,ジツギ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
１	名詞,数,*,*,*,*,１,イチ,イチ
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
２	名詞,数,*,*,*,*,２,ニ,ニ
ガムラン	名詞,一般,*,*,*,*,ガムラン,ガムラン,ガムラン
（	記号,括弧開,*,*,*,*,（,（,（
インドネシア	名詞,固有名詞,地域,国,*,*,インドネシア,インドネシア,インドネシア
、	記号,読点,*,*,*,*,、,、,、
バリ島	名詞,固有名詞,一般,*,*,*,バリ島,バリトウ,バリトー
)（	記号,一般,*,*,*,*,*
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
３	名詞,数,*,*,*,*,３,サン,サン
ガムラン	名詞,一般,*,*,*,*,ガムラン,ガムラン,ガムラン
（	記号,括弧開,*,*,*,*,（,（,（
インドネシア	名詞,固有名詞,地域,国,*,*,インドネシア,インドネシア,インドネシア
、	記号,読点,*,*,*,*,、,、,、
バリ島	名詞,固有名詞,一般,*,*,*,バリ島,バリトウ,バリトー
)（	記号,一般,*,*,*,*,*
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
４	名詞,数,*,*,*,*,４,ヨン,ヨン
サバル	名詞,固有名詞,一般,*,*,*,サバル,サバル,サバル
（	記号,括弧開,*,*,*,*,（,（,（
西アフリカ	名詞,固有名詞,地域,一般,*,*,西アフリカ,ニシアフリカ,ニシアフリカ
、	記号,読点,*,*,*,*,、,、,、
セネガル	名詞,固有名詞,地域,国,*,*,セネガル,セネガル,セネガル
)	記号,一般,*,*,*,*,*
５	名詞,数,*,*,*,*,５,ゴ,ゴ
サンバ	名詞,一般,*,*,*,*,サンバ,サンバ,サンバ
(	記号,一般,*,*,*,*,*
ブラジル	名詞,固有名詞,地域,国,*,*,ブラジル,ブラジル,ブラジル
)（	記号,一般,*,*,*,*,*
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
６	名詞,数,*,*,*,*,６,ロク,ロク
サンバ	名詞,一般,*,*,*,*,サンバ,サンバ,サンバ
（	記号,括弧開,*,*,*,*,（,（,（
ブラジル	名詞,固有名詞,地域,国,*,*,ブラジル,ブラジル,ブラジル
)（	記号,一般,*,*,*,*,*
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
７	名詞,数,*,*,*,*,７,ナナ,ナナ
面白	名詞,一般,*,*,*,*,面白,オモシロ,オモシロ
民族楽器	名詞,固有名詞,一般,*,*,*,民族楽器,ミンゾクガッキ,ミンゾクガッキ
８	名詞,数,*,*,*,*,８,ハチ,ハチ
手作り	名詞,一般,*,*,*,*,手作り,テヅクリ,テズクリ
楽器	名詞,一般,*,*,*,*,楽器,ガッキ,ガッキ
（＃）	記号,一般,*,*,*,*,*
９	名詞,数,*,*,*,*,９,キュウ,キュー
鳥笛	名詞,固有名詞,一般,*,*,*,鳥笛,トリブエ,トリブエ
(	記号,一般,*,*,*,*,*
インドネシア	名詞,固有名詞,地域,国,*,*,インドネシア,インドネシア,インドネシア
、	記号,読点,*,*,*,*,、,、,、
ジャワ島	名詞,固有名詞,一般,*,*,*,ジャワ島,ジャワトウ,ジャワトー
)（##）	記号,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
口琴	名詞,一般,*,*,*,*,口琴,コウキン,コーキン
(	記号,一般,*,*,*,*,*
ベトナム	名詞,固有名詞,地域,国,*,*,ベトナム,ベトナム,ベトナム
)(##)	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
スプーン	名詞,一般,*,*,*,*,スプーン,スプーン,スプーン
楽器	名詞,一般,*,*,*,*,楽器,ガッキ,ガッキ
(	記号,一般,*,*,*,*,*
ヨーロッパ	名詞,固有名詞,地域,一般,*,*,ヨーロッパ,ヨーロッパ,ヨーロッパ
)(##)	記号,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
ガムラン	名詞,一般,*,*,*,*,ガムラン,ガムラン,ガムラン
まとめ	動詞,自立,*,*,一段,連用形,まとめる,マトメ,マトメ
13	名詞,数,*,*,*,*,*
サバル	名詞,固有名詞,一般,*,*,*,サバル,サバル,サバル
まとめ	動詞,自立,*,*,一段,連用形,まとめる,マトメ,マトメ
14	名詞,数,*,*,*,*,*
サンバ	名詞,一般,*,*,*,*,サンバ,サンバ,サンバ
まとめ	動詞,自立,*,*,一段,連用形,まとめる,マトメ,マトメ
15	名詞,数,*,*,*,*,*
総	接頭詞,名詞接続,*,*,*,*,総,ソウ,ソー
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
順不同	名詞,一般,*,*,*,*,順不同,ジュンフドウ,ジュンフドー
音楽	名詞,一般,*,*,*,*,音楽,オンガク,オンガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
・	記号,一般,*,*,*,*,・,・,・
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
回数	名詞,一般,*,*,*,*,回数,カイスウ,カイスー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
変更	名詞,サ変接続,*,*,*,*,変更,ヘンコウ,ヘンコー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
注意	名詞,サ変接続,*,*,*,*,注意,チュウイ,チューイ
:	記号,一般,*,*,*,*,*
今年度	名詞,副詞可能,*,*,*,*,今年度,コンネンド,コンネンド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
変則的	名詞,固有名詞,一般,*,*,*,変則的,ヘンソクテキ,ヘンソクテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
1回目	名詞,固有名詞,一般,*,*,*,1回目,イチカイメ,イチカイメ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
10回目	名詞,固有名詞,一般,*,*,*,10回目,ジュウカイメ,ジュウカイメ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
通常	名詞,一般,*,*,*,*,通常,ツウジョウ,ツージョー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
枠	名詞,接尾,一般,*,*,*,枠,ワク,ワク
（	記号,括弧開,*,*,*,*,（,（,（
木曜	名詞,副詞可能,*,*,*,*,木曜,モクヨウ,モクヨー
4限	名詞,固有名詞,一般,*,*,*,4限,ヨゲン,ヨゲン
、	記号,読点,*,*,*,*,、,、,、
音楽	名詞,一般,*,*,*,*,音楽,オンガク,オンガク
ホール	名詞,一般,*,*,*,*,ホール,ホール,ホール
)	記号,一般,*,*,*,*,*
で	助詞,格助詞,一般,*,*,*,で,デ,デ
行い	動詞,自立,*,*,五段・ワ行促音便,連用形,行う,オコナイ,オコナイ
、	記号,読点,*,*,*,*,、,、,、
残り	名詞,一般,*,*,*,*,残り,ノコリ,ノコリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
11回目	名詞,固有名詞,一般,*,*,*,11回目,ジュウイチカイメ,ジュウイチカイメ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
15回目	名詞,固有名詞,一般,*,*,*,15回目,ジュウゴカイメ,ジュウゴカイメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
5回	名詞,固有名詞,一般,*,*,*,5回,ゴカイ,ゴカイ
分	名詞,接尾,一般,*,*,*,分,ブン,ブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
８月	名詞,副詞可能,*,*,*,*,8月,ハチガツ,ハチガツ
４	名詞,数,*,*,*,*,４,ヨン,ヨン
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
㈭	記号,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
集中講義	名詞,固有名詞,一般,*,*,*,集中講義,シュウチュウコウギ,シューチューコーギ
(	記号,一般,*,*,*,*,*
1限	名詞,固有名詞,一般,*,*,*,1限,イチゲン,イチゲン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
5限	名詞,固有名詞,一般,*,*,*,5限,ゴゲン,ゴゲン
、	記号,読点,*,*,*,*,、,、,、
音楽	名詞,一般,*,*,*,*,音楽,オンガク,オンガク
ホール	名詞,一般,*,*,*,*,ホール,ホール,ホール
)	記号,一般,*,*,*,*,*
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
(#)	記号,一般,*,*,*,*,*
手作り	名詞,一般,*,*,*,*,手作り,テヅクリ,テズクリ
楽器	名詞,一般,*,*,*,*,楽器,ガッキ,ガッキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
材料費	名詞,固有名詞,一般,*,*,*,材料費,ザイリョウヒ,ザイリョーヒ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実費	名詞,一般,*,*,*,*,実費,ジッピ,ジッピ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
2250円	名詞,固有名詞,一般,*,*,*,2250円,ニセンニヒャクゴジュウエン,ニセンニヒャクゴジュウエン
程度	名詞,接尾,一般,*,*,*,程度,テイド,テイド
かかる	動詞,自立,*,*,五段・ラ行,基本形,かかる,カカル,カカル
(##)	記号,一般,*,*,*,*,*
口琴	名詞,一般,*,*,*,*,口琴,コウキン,コーキン
、	記号,読点,*,*,*,*,、,、,、
スプーン	名詞,一般,*,*,*,*,スプーン,スプーン,スプーン
楽器	名詞,一般,*,*,*,*,楽器,ガッキ,ガッキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実費	名詞,一般,*,*,*,*,実費,ジッピ,ジッピ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
1150円	名詞,固有名詞,一般,*,*,*,1150円,センヒャクゴジュウエン,センヒャクゴジュウエン
程度	名詞,接尾,一般,*,*,*,程度,テイド,テイド
かかる	動詞,自立,*,*,五段・ラ行,基本形,かかる,カカル,カカル
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
ごと	名詞,接尾,一般,*,*,*,ごと,ゴト,ゴト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
事前	名詞,一般,*,*,*,*,事前,ジゼン,ジゼン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
指示	名詞,サ変接続,*,*,*,*,指示,シジ,シジ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
民族音楽	名詞,固有名詞,一般,*,*,*,民族音楽,ミンゾクオンガク,ミンゾクオンガク
民族楽器	名詞,固有名詞,一般,*,*,*,民族楽器,ミンゾクガッキ,ミンゾクガッキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
演奏	名詞,サ変接続,*,*,*,*,演奏,エンソウ,エンソー
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
この	連体詞,*,*,*,*,*,この,コノ,コノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
民族楽器	名詞,固有名詞,一般,*,*,*,民族楽器,ミンゾクガッキ,ミンゾクガッキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
楽器	名詞,一般,*,*,*,*,楽器,ガッキ,ガッキ
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
楽器	名詞,一般,*,*,*,*,楽器,ガッキ,ガッキ
数	名詞,接尾,一般,*,*,*,数,スウ,スー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
