ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
機械学習	名詞,固有名詞,一般,*,*,*,機械学習,キカイガクシュウ,キカイガクシュー
，	記号,読点,*,*,*,*,，,，,，
深層学習	名詞,固有名詞,一般,*,*,*,深層学習,シンソウガクシュウ,シンソーガクシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
実現	名詞,サ変接続,*,*,*,*,実現,ジツゲン,ジツゲン
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
主	名詞,形容動詞語幹,*,*,*,*,主,オモ,オモ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
簡単	名詞,形容動詞語幹,*,*,*,*,簡単,カンタン,カンタン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
機械学習	名詞,固有名詞,一般,*,*,*,機械学習,キカイガクシュウ,キカイガクシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原理	名詞,一般,*,*,*,*,原理,ゲンリ,ゲンリ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
実現	名詞,サ変接続,*,*,*,*,実現,ジツゲン,ジツゲン
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
データ処理	名詞,固有名詞,一般,*,*,*,データ処理,データショリ,データショリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
介し	動詞,自立,*,*,五段・サ行,連用形,介す,カイシ,カイシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
学び	動詞,自立,*,*,五段・バ行,連用形,学ぶ,マナビ,マナビ
，	記号,読点,*,*,*,*,，,，,，
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
，	記号,読点,*,*,*,*,，,，,，
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
AI	名詞,固有名詞,人名,一般,*,*,AI,アイ,アイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基盤	名詞,一般,*,*,*,*,基盤,キバン,キバン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
なす	動詞,自立,*,*,五段・サ行,基本形,なす,ナス,ナス
深層学習	名詞,固有名詞,一般,*,*,*,深層学習,シンソウガクシュウ,シンソーガクシュー
モデル	名詞,一般,*,*,*,*,モデル,モデル,モデル
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原理	名詞,一般,*,*,*,*,原理,ゲンリ,ゲンリ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
に関して	助詞,格助詞,連語,*,*,*,に関して,ニカンシテ,ニカンシテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
機械学習	名詞,固有名詞,一般,*,*,*,機械学習,キカイガクシュウ,キカイガクシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
概要	名詞,一般,*,*,*,*,概要,ガイヨウ,ガイヨー
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
計算機	名詞,固有名詞,一般,*,*,*,計算機,ケイサンキ,ケイサンキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
機械学習	名詞,固有名詞,一般,*,*,*,機械学習,キカイガクシュウ,キカイガクシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実現	名詞,サ変接続,*,*,*,*,実現,ジツゲン,ジツゲン
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
3	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
回帰	名詞,サ変接続,*,*,*,*,回帰,カイキ,カイキ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原理	名詞,一般,*,*,*,*,原理,ゲンリ,ゲンリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
解法	名詞,一般,*,*,*,*,解法,カイホウ,カイホー
4	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
パターン	名詞,一般,*,*,*,*,パターン,パターン,パターン
判別	名詞,サ変接続,*,*,*,*,判別,ハンベツ,ハンベツ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原理	名詞,一般,*,*,*,*,原理,ゲンリ,ゲンリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
解法	名詞,一般,*,*,*,*,解法,カイホウ,カイホー
5	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
深層学習	名詞,固有名詞,一般,*,*,*,深層学習,シンソウガクシュウ,シンソーガクシュー
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
順番	名詞,一般,*,*,*,*,順番,ジュンバン,ジュンバン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
徐々	名詞,一般,*,*,*,*,徐々,ジョジョ,ジョジョ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
掘り	動詞,自立,*,*,五段・ラ行,連用形,掘る,ホリ,ホリ
下げ	名詞,一般,*,*,*,*,下げ,サゲ,サゲ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
使用	名詞,サ変接続,*,*,*,*,使用,シヨウ,シヨー
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
機械学習	名詞,固有名詞,一般,*,*,*,機械学習,キカイガクシュウ,キカイガクシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参考書	名詞,固有名詞,一般,*,*,*,参考書,サンコウショ,サンコーショ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
C	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
M	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
Bishop	名詞,固有名詞,組織,*,*,*,*
"	記号,一般,*,*,*,*,*
Pattern	名詞,固有名詞,組織,*,*,*,*
Recognition	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
Machine	名詞,固有名詞,組織,*,*,*,*
Learning	名詞,一般,*,*,*,*,*
"	記号,一般,*,*,*,*,*
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
上げ	動詞,自立,*,*,一段,未然形,上げる,アゲ,アゲ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
．	記号,句点,*,*,*,*,．,．,．
もう少し	副詞,助詞類接続,*,*,*,*,もう少し,モウスコシ,モースコシ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
プログラム	名詞,サ変接続,*,*,*,*,プログラム,プログラム,プログラム
コード	名詞,一般,*,*,*,*,コード,コード,コード
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
動かし	動詞,自立,*,*,五段・サ行,連用形,動かす,ウゴカシ,ウゴカシ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
試し	動詞,自立,*,*,五段・サ行,連用形,試す,タメシ,タメシ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
ひとは	名詞,固有名詞,人名,一般,*,*,ひとは,ヒトハ,ヒトハ
sebastian	名詞,固有名詞,組織,*,*,*,*
Raschka	名詞,一般,*,*,*,*,*
"[	記号,一般,*,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
3	名詞,数,*,*,*,*,*
版	名詞,接尾,助数詞,*,*,*,版,ハン,ハン
]	記号,一般,*,*,*,*,*
Python	名詞,固有名詞,一般,*,*,*,Python,パイソン,パイソン
機械学習	名詞,固有名詞,一般,*,*,*,機械学習,キカイガクシュウ,キカイガクシュー
プログラミング	名詞,サ変接続,*,*,*,*,プログラミング,プログラミング,プログラミング
達人	名詞,一般,*,*,*,*,達人,タツジン,タツジン
データサイエンティスト	名詞,固有名詞,一般,*,*,*,データサイエンティスト,データサイエンティスト,データサイエンティスト
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
(	記号,一般,*,*,*,*,*
impress	名詞,固有名詞,一般,*,*,*,Impress,インプレス,インプレス
top	名詞,一般,*,*,*,*,*
gear	名詞,固有名詞,人名,一般,*,*,GEAR,ギア,ギア
)	記号,一般,*,*,*,*,*
"	記号,一般,*,*,*,*,*
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
取り付き	動詞,自立,*,*,五段・カ行イ音便,連用形,取り付く,トリツキ,トリツキ
やすい	形容詞,非自立,*,*,形容詞・アウオ段,基本形,やすい,ヤスイ,ヤスイ
．	記号,句点,*,*,*,*,．,．,．
深層学習	名詞,固有名詞,一般,*,*,*,深層学習,シンソウガクシュウ,シンソーガクシュー
に関して	助詞,格助詞,連語,*,*,*,に関して,ニカンシテ,ニカンシテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
岡谷貴之	名詞,固有名詞,人名,一般,*,*,岡谷貴之,オカタニタカユキ,オカタニタカユキ
"	記号,一般,*,*,*,*,*
深層学習	名詞,固有名詞,一般,*,*,*,深層学習,シンソウガクシュウ,シンソーガクシュー
改訂	名詞,サ変接続,*,*,*,*,改訂,カイテイ,カイテイ
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
２	名詞,数,*,*,*,*,２,ニ,ニ
版	名詞,接尾,助数詞,*,*,*,版,ハン,ハン
"	記号,一般,*,*,*,*,*
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
モダン	名詞,形容動詞語幹,*,*,*,*,モダン,モダン,モダン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
成果	名詞,一般,*,*,*,*,成果,セイカ,セイカ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
よく	副詞,一般,*,*,*,*,よく,ヨク,ヨク
まとまっ	動詞,自立,*,*,五段・ラ行,連用タ接続,まとまる,マトマッ,マトマッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
．	記号,句点,*,*,*,*,．,．,．
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
作り	名詞,一般,*,*,*,*,作り,ツクリ,ツクリ
たい人	名詞,一般,*,*,*,*,対人,タイジン,タイジン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
斎藤	名詞,固有名詞,人名,姓,*,*,斎藤,サイトウ,サイトー
康毅	名詞,固有名詞,人名,名,*,*,康毅,コウキ,コウキ
"	記号,一般,*,*,*,*,*
ゼロ	名詞,数,*,*,*,*,ゼロ,ゼロ,ゼロ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
Deep Learning	名詞,固有名詞,一般,*,*,*,深層学習,ディープラーニング,ディープラーニング
-	記号,一般,*,*,*,*,*
Python	名詞,固有名詞,一般,*,*,*,Python,パイソン,パイソン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
ディープラーニング	名詞,固有名詞,一般,*,*,*,Deep learning,ディープラーニング,ディープラーニング
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
実装	名詞,サ変接続,*,*,*,*,実装,ジッソウ,ジッソー
"	記号,一般,*,*,*,*,*
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
詳しい	形容詞,自立,*,*,形容詞・イ段,基本形,詳しい,クワシイ,クワシイ
．	記号,句点,*,*,*,*,．,．,．
なお	接続詞,*,*,*,*,*,なお,ナオ,ナオ
，	記号,読点,*,*,*,*,，,，,，
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
用いる	動詞,自立,*,*,一段,基本形,用いる,モチイル,モチイル
スライド	名詞,一般,*,*,*,*,スライド,スライド,スライド
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
プリント	名詞,サ変接続,*,*,*,*,プリント,プリント,プリント
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
.	記号,一般,*,*,*,*,*
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
1	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
毎週	名詞,副詞可能,*,*,*,*,毎週,マイシュウ,マイシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
スコア	名詞,一般,*,*,*,*,スコア,スコア,スコア
40%	名詞,固有名詞,一般,*,*,*,40%,ヨンジュウパーセント,ヨンジュウパーセント
2	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
内	名詞,接尾,一般,*,*,*,内,ナイ,ナイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
提示	名詞,サ変接続,*,*,*,*,提示,テイジ,テイジ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
(	記号,一般,*,*,*,*,*
4回	名詞,固有名詞,一般,*,*,*,4回,ヨンカイ,ヨンカイ
程度	名詞,接尾,一般,*,*,*,程度,テイド,テイド
)	記号,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
スコア	名詞,一般,*,*,*,*,スコア,スコア,スコア
60%	名詞,固有名詞,一般,*,*,*,60%,ロクジュウパーセント,ロクジュウパーセント
で	助詞,格助詞,一般,*,*,*,で,デ,デ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
．	記号,句点,*,*,*,*,．,．,．
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
Web	名詞,固有名詞,一般,*,*,*,Web,ウェブ,ウェブ
Class	名詞,固有名詞,一般,*,*,*,Class,クラス,クラス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用いる	動詞,自立,*,*,一段,基本形,用いる,モチイル,モチイル
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
，	記号,読点,*,*,*,*,，,，,，
毎週	名詞,副詞可能,*,*,*,*,毎週,マイシュウ,マイシュー
かならず	副詞,一般,*,*,*,*,かならず,カナラズ,カナラズ
Web	名詞,固有名詞,一般,*,*,*,Web,ウェブ,ウェブ
Class	名詞,固有名詞,一般,*,*,*,Class,クラス,クラス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見る	動詞,自立,*,*,一段,基本形,見る,ミル,ミル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ください	動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,くださる,クダサイ,クダサイ
．	記号,句点,*,*,*,*,．,．,．
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1基	名詞,固有名詞,一般,*,*,*,1基,イチキ,イチキ
本	名詞,一般,*,*,*,*,本,ホン,ホン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
2	名詞,数,*,*,*,*,*
数学	名詞,一般,*,*,*,*,数学,スウガク,スーガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
準備	名詞,サ変接続,*,*,*,*,準備,ジュンビ,ジュンビ
,	記号,一般,*,*,*,*,*
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
統計	名詞,サ変接続,*,*,*,*,統計,トウケイ,トーケイ
3	名詞,数,*,*,*,*,*
計算	名詞,サ変接続,*,*,*,*,計算,ケイサン,ケイサン
機	名詞,接尾,一般,*,*,*,機,キ,キ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用いる	動詞,自立,*,*,一段,基本形,用いる,モチイル,モチイル
準備	名詞,サ変接続,*,*,*,*,準備,ジュンビ,ジュンビ
，	記号,読点,*,*,*,*,，,，,，
Google	名詞,固有名詞,一般,*,*,*,Google,グーグル,グーグル
Colaboratory	名詞,一般,*,*,*,*,*
4回	名詞,固有名詞,一般,*,*,*,4回,ヨンカイ,ヨンカイ
帰	名詞,サ変接続,*,*,*,*,帰,キ,キ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
，	記号,読点,*,*,*,*,，,，,，
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
．	記号,句点,*,*,*,*,．,．,．
最小二乗法	名詞,固有名詞,一般,*,*,*,最小二乗法,サイショウニジョウホウ,サイショーニジョウホー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
最尤法	名詞,一般,*,*,*,*,最尤法,サイユウホウ,サイユーホー
5回	名詞,固有名詞,一般,*,*,*,5回,ゴカイ,ゴカイ
帰	名詞,サ変接続,*,*,*,*,帰,キ,キ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
，	記号,読点,*,*,*,*,，,，,，
Ridge	名詞,固有名詞,組織,*,*,*,*
回帰	名詞,サ変接続,*,*,*,*,回帰,カイキ,カイキ
6回	名詞,固有名詞,一般,*,*,*,6回,ロッカイ,ロッカイ
帰	名詞,サ変接続,*,*,*,*,帰,キ,キ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
（	記号,括弧開,*,*,*,*,（,（,（
３	名詞,数,*,*,*,*,３,サン,サン
）	記号,括弧閉,*,*,*,*,）,）,）
，	記号,読点,*,*,*,*,，,，,，
最尤法	名詞,一般,*,*,*,*,最尤法,サイユウホウ,サイユーホー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ベイズ	名詞,一般,*,*,*,*,ベイズ,ベイズ,ベイズ
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
7回	名詞,固有名詞,一般,*,*,*,7回,ナナカイ,ナナカイ
帰	名詞,サ変接続,*,*,*,*,帰,キ,キ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
（	記号,括弧開,*,*,*,*,（,（,（
４	名詞,数,*,*,*,*,４,ヨン,ヨン
）	記号,括弧閉,*,*,*,*,）,）,）
，	記号,読点,*,*,*,*,，,，,，
計算機	名詞,固有名詞,一般,*,*,*,計算機,ケイサンキ,ケイサンキ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
回帰	名詞,サ変接続,*,*,*,*,回帰,カイキ,カイキ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解決	名詞,サ変接続,*,*,*,*,解決,カイケツ,カイケツ
8	名詞,数,*,*,*,*,*
判別	名詞,サ変接続,*,*,*,*,判別,ハンベツ,ハンベツ
