ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
福祉	名詞,一般,*,*,*,*,福祉,フクシ,フクシ
分野	名詞,一般,*,*,*,*,分野,ブンヤ,ブンヤ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
関わる	動詞,自立,*,*,五段・ラ行,基本形,関わる,カカワル,カカワル
公認心理師	名詞,固有名詞,一般,*,*,*,公認心理師,コウニンシンリシ,コーニンシンリシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
，	記号,読点,*,*,*,*,，,，,，
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
両面	名詞,一般,*,*,*,*,両面,リョウメン,リョーメン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
．	記号,句点,*,*,*,*,．,．,．
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
児童福祉	名詞,固有名詞,一般,*,*,*,児童福祉,ジドウフクシ,ジドーフクシ
・	記号,一般,*,*,*,*,・,・,・
障害者	名詞,固有名詞,一般,*,*,*,障害者,ショウガイシャ,ショーガイシャ
福祉	名詞,一般,*,*,*,*,福祉,フクシ,フクシ
・	記号,一般,*,*,*,*,・,・,・
高齢者福祉	名詞,固有名詞,一般,*,*,*,高齢者福祉,コウレイシャフクシ,コーレイシャフクシ
フィールド	名詞,一般,*,*,*,*,フィールド,フィールド,フィールド
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
背景	名詞,一般,*,*,*,*,背景,ハイケイ,ハイケイ
，	記号,読点,*,*,*,*,，,，,，
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
システム	名詞,一般,*,*,*,*,システム,システム,システム
，	記号,読点,*,*,*,*,，,，,，
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
，	記号,読点,*,*,*,*,，,，,，
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
様々	名詞,形容動詞語幹,*,*,*,*,様々,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
知見	名詞,一般,*,*,*,*,知見,チケン,チケン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
知り	動詞,自立,*,*,五段・ラ行,連用形,知る,シリ,シリ
，	記号,読点,*,*,*,*,，,，,，
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
．	記号,句点,*,*,*,*,．,．,．
具体的	名詞,固有名詞,一般,*,*,*,具体的,グタイテキ,グタイテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
要保護児童	名詞,固有名詞,一般,*,*,*,要保護児童,ヨウホゴジドウ,ヨーホゴジドー
・	記号,一般,*,*,*,*,・,・,・
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
児	名詞,接尾,一般,*,*,*,児,ジ,ジ
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
・	記号,一般,*,*,*,*,・,・,・
高齢者	名詞,固有名詞,一般,*,*,*,高齢者,コウレイシャ,コーレイシャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
環境	名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー
，	記号,読点,*,*,*,*,，,，,，
発達	名詞,サ変接続,*,*,*,*,発達,ハッタツ,ハッタツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
行動特性	名詞,固有名詞,一般,*,*,*,行動特性,コウドウトクセイ,コードートクセイ
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
（	記号,括弧開,*,*,*,*,（,（,（
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ
，	記号,読点,*,*,*,*,，,，,，
認知機能	名詞,固有名詞,一般,*,*,*,認知機能,ニンチキノウ,ニンチキノー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アセスメント	名詞,一般,*,*,*,*,アセスメント,アセスメント,アセスメント
：	記号,一般,*,*,*,*,：,：,：
発達検査	名詞,固有名詞,一般,*,*,*,発達検査,ハッタツケンサ,ハッタツケンサ
・	記号,一般,*,*,*,*,・,・,・
知能検査	名詞,固有名詞,一般,*,*,*,知能検査,チノウケンサ,チノーケンサ
・	記号,一般,*,*,*,*,・,・,・
学力	名詞,一般,*,*,*,*,学力,ガクリョク,ガクリョク
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
・	記号,一般,*,*,*,*,・,・,・
行動	名詞,サ変接続,*,*,*,*,行動,コウドウ,コードー
観察	名詞,サ変接続,*,*,*,*,観察,カンサツ,カンサツ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
活用	名詞,サ変接続,*,*,*,*,活用,カツヨウ,カツヨー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
）	記号,括弧閉,*,*,*,*,）,）,）
，	記号,読点,*,*,*,*,，,，,，
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
（	記号,括弧開,*,*,*,*,（,（,（
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ
，	記号,読点,*,*,*,*,，,，,，
アセスメント	名詞,一般,*,*,*,*,アセスメント,アセスメント,アセスメント
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
基づく	動詞,自立,*,*,五段・カ行イ音便,基本形,基づく,モトヅク,モトズク
個別	名詞,形容動詞語幹,*,*,*,*,個別,コベツ,コベツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
プログラム	名詞,サ変接続,*,*,*,*,プログラム,プログラム,プログラム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
立案	名詞,サ変接続,*,*,*,*,立案,リツアン,リツアン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
，	名詞,数,*,*,*,*,，,，,，
個	名詞,接尾,助数詞,*,*,*,個,コ,コ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
プログラム	名詞,サ変接続,*,*,*,*,プログラム,プログラム,プログラム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
，	記号,読点,*,*,*,*,，,，,，
教材	名詞,一般,*,*,*,*,教材,キョウザイ,キョーザイ
・	記号,一般,*,*,*,*,・,・,・
教具	名詞,一般,*,*,*,*,教具,キョウグ,キョーグ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
活用	名詞,サ変接続,*,*,*,*,活用,カツヨウ,カツヨー
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
，	記号,読点,*,*,*,*,，,，,，
カウンセリング	名詞,一般,*,*,*,*,カウンセリング,カウンセリング,カウンセリング
，	記号,読点,*,*,*,*,，,，,，
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
，	記号,読点,*,*,*,*,，,，,，
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
手続き	名詞,サ変接続,*,*,*,*,手続き,テツヅキ,テツズキ
，	記号,読点,*,*,*,*,，,，,，
環境	名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー
調整	名詞,サ変接続,*,*,*,*,調整,チョウセイ,チョーセイ
，	記号,読点,*,*,*,*,，,，,，
ケースワーク	名詞,固有名詞,一般,*,*,*,ケースワーク,ケースワーク,ケースワーク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
）	記号,括弧閉,*,*,*,*,）,）,）
，	記号,読点,*,*,*,*,，,，,，
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
，	記号,読点,*,*,*,*,，,，,，
事例	名詞,一般,*,*,*,*,事例,ジレイ,ジレイ
研究	名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
（	記号,括弧開,*,*,*,*,（,（,（
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含む	動詞,自立,*,*,五段・マ行,基本形,含む,フクム,フクム
）	記号,括弧閉,*,*,*,*,）,）,）
．	記号,句点,*,*,*,*,．,．,．
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
使用	名詞,サ変接続,*,*,*,*,使用,シヨウ,シヨー
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
．	記号,句点,*,*,*,*,．,．,．
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
プリント	名詞,サ変接続,*,*,*,*,プリント,プリント,プリント
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
公認心理師	名詞,固有名詞,一般,*,*,*,公認心理師,コウニンシンリシ,コーニンシンリシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
（	記号,括弧開,*,*,*,*,（,（,（
遠見書房	名詞,固有名詞,一般,*,*,*,遠見書房,トオミショボウ,トーミショボー
）	記号,括弧閉,*,*,*,*,）,）,）
全	接頭詞,名詞接続,*,*,*,*,全,ゼン,ゼン
23巻	名詞,固有名詞,一般,*,*,*,23巻,ニジュウサンカン,ニジュウサンカン
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
16巻	名詞,固有名詞,一般,*,*,*,16巻,ジュウロッカン,ジュウロッカン
健康	名詞,形容動詞語幹,*,*,*,*,健康,ケンコウ,ケンコー
・	記号,一般,*,*,*,*,・,・,・
医療	名詞,一般,*,*,*,*,医療,イリョウ,イリョー
心理学	名詞,固有名詞,一般,*,*,*,心理学,シンリガク,シンリガク
，	記号,読点,*,*,*,*,，,，,，
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
17巻	名詞,固有名詞,一般,*,*,*,17巻,ジュウナナカン,ジュウナナカン
福祉	名詞,一般,*,*,*,*,福祉,フクシ,フクシ
心理学	名詞,固有名詞,一般,*,*,*,心理学,シンリガク,シンリガク
，	記号,読点,*,*,*,*,，,，,，
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
18巻	名詞,固有名詞,一般,*,*,*,18巻,ジュウハッカン,ジュウハッカン
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
・	記号,一般,*,*,*,*,・,・,・
教育心理学	名詞,固有名詞,一般,*,*,*,教育心理学,キョウイクシンリガク,キョーイクシンリガク
，	記号,読点,*,*,*,*,，,，,，
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
19巻	名詞,固有名詞,一般,*,*,*,19巻,ジュウキュウカン,ジュウキュウカン
司法	名詞,一般,*,*,*,*,司法,シホウ,シホー
・	記号,一般,*,*,*,*,・,・,・
犯罪心理学	名詞,固有名詞,一般,*,*,*,犯罪心理学,ハンザイシンリガク,ハンザイシンリガク
，	記号,読点,*,*,*,*,，,，,，
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
20巻	名詞,固有名詞,一般,*,*,*,20巻,ニジュッカン,ニジュッカン
産業・組織心理学	名詞,固有名詞,一般,*,*,*,産業・組織心理学,サンギョウソシキシンリガク,サンギョーソシキシンリガク
．	記号,句点,*,*,*,*,．,．,．
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー
[	記号,一般,*,*,*,*,*
20	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
]，	記号,一般,*,*,*,*,*
討議	名詞,サ変接続,*,*,*,*,討議,トウギ,トーギ
[	記号,一般,*,*,*,*,*
20	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
]，	記号,一般,*,*,*,*,*
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
（	記号,括弧開,*,*,*,*,（,（,（
学期	名詞,一般,*,*,*,*,学期,ガッキ,ガッキ
末	名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
）[	記号,一般,*,*,*,*,*
60	名詞,数,*,*,*,*,*
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
]	記号,一般,*,*,*,*,*
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
総合的	名詞,固有名詞,一般,*,*,*,総合的,ソウゴウテキ,ソーゴーテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
．	記号,句点,*,*,*,*,．,．,．
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
・	記号,一般,*,*,*,*,・,・,・
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
，	記号,読点,*,*,*,*,，,，,，
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
大まか	名詞,形容動詞語幹,*,*,*,*,大まか,オオマカ,オーマカ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
以下	名詞,非自立,副詞可能,*,*,*,以下,イカ,イカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
通り	名詞,一般,*,*,*,*,通り,トオリ,トーリ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
．	記号,句点,*,*,*,*,．,．,．
回	名詞,一般,*,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
児童福祉	名詞,固有名詞,一般,*,*,*,児童福祉,ジドウフクシ,ジドーフクシ
，	記号,読点,*,*,*,*,，,，,，
障害者	名詞,固有名詞,一般,*,*,*,障害者,ショウガイシャ,ショーガイシャ
福祉	名詞,一般,*,*,*,*,福祉,フクシ,フクシ
，	記号,読点,*,*,*,*,，,，,，
高齢者	名詞,固有名詞,一般,*,*,*,高齢者,コウレイシャ,コーレイシャ
福祉	名詞,一般,*,*,*,*,福祉,フクシ,フクシ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
臨床心理学	名詞,固有名詞,一般,*,*,*,臨床心理学,リンショウシンリガク,リンショーシンリガク
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
．	記号,句点,*,*,*,*,．,．,．
2	名詞,数,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
福祉	名詞,一般,*,*,*,*,福祉,フクシ,フクシ
現場	名詞,一般,*,*,*,*,現場,ゲンバ,ゲンバ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
背景	名詞,一般,*,*,*,*,背景,ハイケイ,ハイケイ
少子	名詞,一般,*,*,*,*,少子,ショウシ,ショーシ
・	記号,一般,*,*,*,*,・,・,・
高齢化	名詞,固有名詞,一般,*,*,*,高齢化,コウレイカ,コーレイカ
，	記号,読点,*,*,*,*,，,，,，
知的障害	名詞,固有名詞,一般,*,*,*,知的障害,チテキショウガイ,チテキショーガイ
・	記号,一般,*,*,*,*,・,・,・
発達障害	名詞,固有名詞,一般,*,*,*,発達障害,ハッタツショウガイ,ハッタツショーガイ
・	記号,一般,*,*,*,*,・,・,・
精神障害	名詞,固有名詞,一般,*,*,*,精神障害,セイシンショウガイ,セイシンショーガイ
・	記号,一般,*,*,*,*,・,・,・
身体障害	名詞,固有名詞,一般,*,*,*,身体障害,シンタイショウガイ,シンタイショーガイ
，	記号,読点,*,*,*,*,，,，,，
貧困	名詞,一般,*,*,*,*,貧困,ヒンコン,ヒンコン
・	記号,一般,*,*,*,*,・,・,・
要保護児童	名詞,固有名詞,一般,*,*,*,要保護児童,ヨウホゴジドウ,ヨーホゴジドー
・	記号,一般,*,*,*,*,・,・,・
養育	名詞,サ変接続,*,*,*,*,養育,ヨウイク,ヨーイク
困難	名詞,形容動詞語幹,*,*,*,*,困難,コンナン,コンナン
，	記号,読点,*,*,*,*,，,，,，
虐待	名詞,サ変接続,*,*,*,*,虐待,ギャクタイ,ギャクタイ
・	記号,一般,*,*,*,*,・,・,・
ネグレクト	名詞,サ変接続,*,*,*,*,ネグレクト,ネグレクト,ネグレクト
，	記号,読点,*,*,*,*,，,，,，
認知症	名詞,固有名詞,一般,*,*,*,認知症,ニンチショウ,ニンチショー
．	記号,句点,*,*,*,*,．,．,．
3	名詞,数,*,*,*,*,*
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
福祉	名詞,一般,*,*,*,*,福祉,フクシ,フクシ
現場	名詞,一般,*,*,*,*,現場,ゲンバ,ゲンバ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
社会的	名詞,固有名詞,一般,*,*,*,社会的,シャカイテキ,シャカイテキ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
愛着	名詞,サ変接続,*,*,*,*,愛着,アイチャク,アイチャク
形成	名詞,サ変接続,*,*,*,*,形成,ケイセイ,ケイセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
阻害	名詞,サ変接続,*,*,*,*,阻害,ソガイ,ソガイ
，	記号,読点,*,*,*,*,，,，,，
心的外傷後ストレス障害	名詞,固有名詞,一般,*,*,*,心的外傷後ストレス障害,シンテキガイショウゴストレスショウガイ,シンテキガイショーゴストレスショーガイ
<	記号,一般,*,*,*,*,*
PTSD	名詞,固有名詞,一般,*,*,*,PTSD,ピーティーエスディー,ピーティーエスディー
>，	記号,一般,*,*,*,*,*
解離	名詞,サ変接続,*,*,*,*,解離,カイリ,カイリ
，	記号,読点,*,*,*,*,，,，,，
二次	名詞,一般,*,*,*,*,二次,ニジ,ニジ
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
／	記号,一般,*,*,*,*,／,／,／
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
受容	名詞,サ変接続,*,*,*,*,受容,ジュヨウ,ジュヨー
，	記号,読点,*,*,*,*,，,，,，
障害者	名詞,固有名詞,一般,*,*,*,障害者,ショウガイシャ,ショーガイシャ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
，	記号,読点,*,*,*,*,，,，,，
合理的配慮	名詞,固有名詞,一般,*,*,*,合理的配慮,ゴウリテキハイリョ,ゴーリテキハイリョ
，	記号,読点,*,*,*,*,，,，,，
ノーマライゼーション	名詞,固有名詞,一般,*,*,*,ノーマライゼーション,ノーマライゼーション,ノーマライゼーション
／	記号,一般,*,*,*,*,／,／,／
