ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
もと	名詞,一般,*,*,*,*,もと,モト,モト
、	記号,読点,*,*,*,*,、,、,、
臨床心理	名詞,固有名詞,一般,*,*,*,臨床心理,リンショウシンリ,リンショーシンリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
現場	名詞,一般,*,*,*,*,現場,ゲンバ,ゲンバ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
積み	動詞,自立,*,*,五段・マ行,連用形,積む,ツミ,ツミ
、	記号,読点,*,*,*,*,、,、,、
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
専門家	名詞,固有名詞,一般,*,*,*,専門家,センモンカ,センモンカ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
専門的	名詞,固有名詞,一般,*,*,*,専門的,センモンテキ,センモンテキ
技能	名詞,一般,*,*,*,*,技能,ギノウ,ギノー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
身	名詞,一般,*,*,*,*,身,ミ,ミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
つける	動詞,自立,*,*,一段,基本形,つける,ツケル,ツケル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
臨床	名詞,一般,*,*,*,*,臨床,リンショウ,リンショー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
現場	名詞,一般,*,*,*,*,現場,ゲンバ,ゲンバ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
ケース	名詞,一般,*,*,*,*,ケース,ケース,ケース
の	助詞,連体化,*,*,*,*,の,ノ,ノ
担当	名詞,サ変接続,*,*,*,*,担当,タントウ,タントー
、	記号,読点,*,*,*,*,、,、,、
臨床心理学	名詞,固有名詞,一般,*,*,*,臨床心理学,リンショウシンリガク,リンショーシンリガク
アセスメント	名詞,一般,*,*,*,*,アセスメント,アセスメント,アセスメント
、	記号,読点,*,*,*,*,、,、,、
スクール	名詞,一般,*,*,*,*,スクール,スクール,スクール
カウンセリング	名詞,一般,*,*,*,*,カウンセリング,カウンセリング,カウンセリング
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
臨床心理	名詞,固有名詞,一般,*,*,*,臨床心理,リンショウシンリ,リンショーシンリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
専門家	名詞,固有名詞,一般,*,*,*,専門家,センモンカ,センモンカ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
指定	名詞,サ変接続,*,*,*,*,指定,シテイ,シテイ
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
現場	名詞,一般,*,*,*,*,現場,ゲンバ,ゲンバ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
結果	名詞,副詞可能,*,*,*,*,結果,ケッカ,ケッカ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
、	記号,読点,*,*,*,*,、,、,、
総合的	名詞,固有名詞,一般,*,*,*,総合的,ソウゴウテキ,ソーゴーテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
現場	名詞,一般,*,*,*,*,現場,ゲンバ,ゲンバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー
、	記号,読点,*,*,*,*,、,、,、
受け入れ	名詞,一般,*,*,*,*,受け入れ,ウケイレ,ウケイレ
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
異なる	動詞,自立,*,*,五段・ラ行,基本形,異なる,コトナル,コトナル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
、	記号,読点,*,*,*,*,、,、,、
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
、	記号,読点,*,*,*,*,、,、,、
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
報告	名詞,サ変接続,*,*,*,*,報告,ホウコク,ホーコク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
開始	名詞,サ変接続,*,*,*,*,開始,カイシ,カイシ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
相談	名詞,サ変接続,*,*,*,*,相談,ソウダン,ソーダン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
1年	名詞,固有名詞,一般,*,*,*,1年,イチネン,イチネン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
2年	名詞,固有名詞,一般,*,*,*,2年,ニネン,ニネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
2年間	名詞,固有名詞,一般,*,*,*,2年間,ニネンカン,ニネンカン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
及ぶ	動詞,自立,*,*,五段・バ行,基本形,及ぶ,オヨブ,オヨブ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
回	名詞,一般,*,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
2	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
１	名詞,数,*,*,*,*,１,イチ,イチ
3	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
２4	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
３5	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
４6	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
５7	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
６8	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
７9	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
８10	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
９11	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
１	名詞,数,*,*,*,*,１,イチ,イチ
０12	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
１	名詞,数,*,*,*,*,１,イチ,イチ
１	名詞,数,*,*,*,*,１,イチ,イチ
13	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
１	名詞,数,*,*,*,*,１,イチ,イチ
２14	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
１	名詞,数,*,*,*,*,１,イチ,イチ
３15	名詞,数,*,*,*,*,*
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
振り返り	動詞,自立,*,*,五段・ラ行,連用形,振り返る,フリカエリ,フリカエリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ディスカッション	名詞,サ変接続,*,*,*,*,ディスカッション,ディスカッション,ディスカッション
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
2	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
１	名詞,数,*,*,*,*,１,イチ,イチ
3	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
２	名詞,数,*,*,*,*,２,ニ,ニ
4	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
３	名詞,数,*,*,*,*,３,サン,サン
5	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
４	名詞,数,*,*,*,*,４,ヨン,ヨン
6	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
５	名詞,数,*,*,*,*,５,ゴ,ゴ
7	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
６	名詞,数,*,*,*,*,６,ロク,ロク
8	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
７	名詞,数,*,*,*,*,７,ナナ,ナナ
9	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
８	名詞,数,*,*,*,*,８,ハチ,ハチ
10	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
９	名詞,数,*,*,*,*,９,キュウ,キュー
11	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
12	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
１	名詞,数,*,*,*,*,１,イチ,イチ
１	名詞,数,*,*,*,*,１,イチ,イチ
13	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
１	名詞,数,*,*,*,*,１,イチ,イチ
２	名詞,数,*,*,*,*,２,ニ,ニ
14	名詞,数,*,*,*,*,*
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
１	名詞,数,*,*,*,*,１,イチ,イチ
３	名詞,数,*,*,*,*,３,サン,サン
15	名詞,数,*,*,*,*,*
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
振り返り	動詞,自立,*,*,五段・ラ行,連用形,振り返る,フリカエリ,フリカエリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ディスカッション	名詞,サ変接続,*,*,*,*,ディスカッション,ディスカッション,ディスカッション
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キーワード	名詞,一般,*,*,*,*,キーワード,キーワード,キーワード
実務	名詞,一般,*,*,*,*,実務,ジツム,ジツム
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
。	記号,句点,*,*,*,*,。,。,。
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
補足	名詞,サ変接続,*,*,*,*,補足,ホソク,ホソク
（	記号,括弧開,*,*,*,*,（,（,（
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
制限	名詞,サ変接続,*,*,*,*,制限,セイゲン,セイゲン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
臨床心理学	名詞,固有名詞,一般,*,*,*,臨床心理学,リンショウシンリガク,リンショーシンリガク
プログラム	名詞,サ変接続,*,*,*,*,プログラム,プログラム,プログラム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
うち	名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ
、	記号,読点,*,*,*,*,、,、,、
臨床心理士	名詞,固有名詞,一般,*,*,*,臨床心理士,リンショウシンリシ,リンショーシンリシ
資格	名詞,一般,*,*,*,*,資格,シカク,シカク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取得	名詞,サ変接続,*,*,*,*,取得,シュトク,シュトク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
限る	動詞,自立,*,*,五段・ラ行,基本形,限る,カギル,カギル
。	記号,句点,*,*,*,*,。,。,。
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
1年	名詞,固有名詞,一般,*,*,*,1年,イチネン,イチネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
始まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,始まる,ハジマッ,ハジマッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
履修登録	名詞,固有名詞,一般,*,*,*,履修登録,リシュウトウロク,リシュートーロク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
臨床心理学	名詞,固有名詞,一般,*,*,*,臨床心理学,リンショウシンリガク,リンショーシンリガク
コース	名詞,一般,*,*,*,*,コース,コース,コース
の	助詞,連体化,*,*,*,*,の,ノ,ノ
修士2年	名詞,固有名詞,一般,*,*,*,修士2年,シュウシニネン,シューシニネン
生	名詞,接尾,一般,*,*,*,生,セイ,セイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
。	記号,句点,*,*,*,*,。,。,。
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
担当	名詞,サ変接続,*,*,*,*,担当,タントウ,タントー
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
許可	名詞,サ変接続,*,*,*,*,許可,キョカ,キョカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
（	記号,括弧開,*,*,*,*,（,（,（
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
/	記号,一般,*,*,*,*,*
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
）	記号,括弧閉,*,*,*,*,）,）,）
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
必ず	副詞,助詞類接続,*,*,*,*,必ず,カナラズ,カナラズ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
（	記号,括弧開,*,*,*,*,（,（,（
日程	名詞,一般,*,*,*,*,日程,ニッテイ,ニッテイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
入学	名詞,サ変接続,*,*,*,*,入学,ニュウガク,ニューガク
時	名詞,接尾,副詞可能,*,*,*,時,ジ,ジ
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
で	助詞,格助詞,一般,*,*,*,で,デ,デ
提示	名詞,サ変接続,*,*,*,*,提示,テイジ,テイジ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
）	記号,括弧閉,*,*,*,*,）,）,）
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
変更	名詞,サ変接続,*,*,*,*,変更,ヘンコウ,ヘンコー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
EOS
