ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
「	記号,括弧開,*,*,*,*,「,「,「
ドイツ語	名詞,一般,*,*,*,*,ドイツ語,ドイツゴ,ドイツゴ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
Ⅱ	名詞,数,*,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
平行	名詞,サ変接続,*,*,*,*,平行,ヘイコウ,ヘイコー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
履修	名詞,サ変接続,*,*,*,*,履修,リシュウ,リシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
クラス	名詞,一般,*,*,*,*,クラス,クラス,クラス
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ドイツ語	名詞,一般,*,*,*,*,ドイツ語,ドイツゴ,ドイツゴ
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
（	記号,括弧開,*,*,*,*,（,（,（
聞く	動詞,自立,*,*,五段・カ行イ音便,基本形,聞く,キク,キク
・	記号,一般,*,*,*,*,・,・,・
話す	動詞,自立,*,*,五段・サ行,基本形,話す,ハナス,ハナス
・	記号,一般,*,*,*,*,・,・,・
読む	動詞,自立,*,*,五段・マ行,基本形,読む,ヨム,ヨム
・	記号,一般,*,*,*,*,・,・,・
書く	動詞,自立,*,*,五段・カ行イ音便,基本形,書く,カク,カク
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
修得	名詞,サ変接続,*,*,*,*,修得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
、	記号,読点,*,*,*,*,、,、,、
ドイツ語	名詞,一般,*,*,*,*,ドイツ語,ドイツゴ,ドイツゴ
を通じて	助詞,格助詞,連語,*,*,*,を通じて,ヲツウジテ,ヲツージテ
、	記号,読点,*,*,*,*,、,、,、
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
未知	名詞,一般,*,*,*,*,未知,ミチ,ミチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
触れ	動詞,自立,*,*,一段,連用形,触れる,フレ,フレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ
ましょ	助動詞,*,*,*,特殊・マス,未然ウ接続,ます,マショ,マショ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
初級	名詞,一般,*,*,*,*,初級,ショキュウ,ショキュー
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
初歩	名詞,一般,*,*,*,*,初歩,ショホ,ショホ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
会話	名詞,サ変接続,*,*,*,*,会話,カイワ,カイワ
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー
３	名詞,数,*,*,*,*,３,サン,サン
）	記号,括弧閉,*,*,*,*,）,）,）
読解	名詞,サ変接続,*,*,*,*,読解,ドッカイ,ドッカイ
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー
４	名詞,数,*,*,*,*,４,ヨン,ヨン
）	記号,括弧閉,*,*,*,*,）,）,）
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
語彙	名詞,一般,*,*,*,*,語彙,ゴイ,ゴイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
５	名詞,数,*,*,*,*,５,ゴ,ゴ
）	記号,括弧閉,*,*,*,*,）,）,）
ドイツ語	名詞,一般,*,*,*,*,ドイツ語,ドイツゴ,ドイツゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
発音	名詞,サ変接続,*,*,*,*,発音,ハツオン,ハツオン
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー
６	名詞,数,*,*,*,*,６,ロク,ロク
）	記号,括弧閉,*,*,*,*,）,）,）
ドイツ語圏	名詞,固有名詞,一般,*,*,*,ドイツ語圏,ドイツゴケン,ドイツゴケン
文化	名詞,一般,*,*,*,*,文化,ブンカ,ブンカ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
佐藤和弘	名詞,固有名詞,人名,一般,*,*,佐藤和弘,サトウカズヒロ,サトーカズヒロ
・	記号,一般,*,*,*,*,・,・,・
Heike	名詞,固有名詞,組織,*,*,*,*
Pinnau	名詞,一般,*,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
中村俊子	名詞,固有名詞,人名,一般,*,*,中村俊子,ナカムラトシコ,ナカムラトシコ
：	記号,一般,*,*,*,*,：,：,：
ドイツ	名詞,固有名詞,地域,国,*,*,ドイツ,ドイツ,ドイツ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ
ませ	助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ
ん	助動詞,*,*,*,不変化型,基本形,ん,ン,ン
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
<	記号,一般,*,*,*,*,*
Ver	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
>	記号,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
郁文	名詞,固有名詞,人名,名,*,*,郁文,イクフミ,イクフミ
堂	名詞,接尾,一般,*,*,*,堂,ドウ,ドー
2017	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
独	名詞,固有名詞,地域,国,*,*,独,ドク,ドク
和	名詞,一般,*,*,*,*,和,ワ,ワ
辞典	名詞,一般,*,*,*,*,辞典,ジテン,ジテン
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
Lektion	名詞,一般,*,*,*,*,*
ごと	名詞,接尾,一般,*,*,*,ごと,ゴト,ゴト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
学期	名詞,一般,*,*,*,*,学期,ガッキ,ガッキ
末	名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Genießen	名詞,固有名詞,組織,*,*,*,*
wir	名詞,一般,*,*,*,*,*
jeden	名詞,一般,*,*,*,*,*
Sommertag	名詞,一般,*,*,*,*,*
!	記号,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
分離動詞	名詞,固有名詞,一般,*,*,*,分離動詞,ブンリドウシ,ブンリドーシ
・	記号,一般,*,*,*,*,・,・,・
非	接頭詞,名詞接続,*,*,*,*,非,ヒ,ヒ
分離動詞	名詞,固有名詞,一般,*,*,*,分離動詞,ブンリドウシ,ブンリドーシ
／	記号,一般,*,*,*,*,／,／,／
接続詞	名詞,一般,*,*,*,*,接続詞,セツゾクシ,セツゾクシ
＊	記号,一般,*,*,*,*,＊,＊,＊
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
＊	記号,一般,*,*,*,*,＊,＊,＊
練習問題	名詞,固有名詞,一般,*,*,*,練習問題,レンシュウモンダイ,レンシューモンダイ
2	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Genießen	名詞,固有名詞,組織,*,*,*,*
wir	名詞,一般,*,*,*,*,*
jeden	名詞,一般,*,*,*,*,*
Sommertag	名詞,一般,*,*,*,*,*
!	記号,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
形容詞	名詞,一般,*,*,*,*,形容詞,ケイヨウシ,ケイヨーシ
＊	記号,一般,*,*,*,*,＊,＊,＊
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
＊	記号,一般,*,*,*,*,＊,＊,＊
練習問題	名詞,固有名詞,一般,*,*,*,練習問題,レンシュウモンダイ,レンシューモンダイ
＊	記号,一般,*,*,*,*,＊,＊,＊
ペア	名詞,一般,*,*,*,*,ペア,ペア,ペア
・	記号,一般,*,*,*,*,・,・,・
ワーク	名詞,一般,*,*,*,*,ワーク,ワーク,ワーク
3	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Genießen	名詞,固有名詞,組織,*,*,*,*
wir	名詞,一般,*,*,*,*,*
jeden	名詞,一般,*,*,*,*,*
Sommertag	名詞,一般,*,*,*,*,*
!	記号,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
Text	名詞,固有名詞,組織,*,*,*,*
+	記号,一般,*,*,*,*,*
Für	名詞,固有名詞,組織,*,*,*,*
Leseratten	名詞,一般,*,*,*,*,*
54	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Der	名詞,固有名詞,組織,*,*,*,*
Beginn	名詞,一般,*,*,*,*,*
des	名詞,固有名詞,一般,*,*,*,DES,デス,デス
Wintersemesters	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
動詞	名詞,一般,*,*,*,*,動詞,ドウシ,ドーシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
3基	名詞,固有名詞,一般,*,*,*,3基,サンキ,サンキ
本	名詞,一般,*,*,*,*,本,ホン,ホン
形	名詞,接尾,一般,*,*,*,形,ガタ,ガタ
／	記号,一般,*,*,*,*,／,／,／
過去	名詞,副詞可能,*,*,*,*,過去,カコ,カコ
人称変化	名詞,固有名詞,一般,*,*,*,人称変化,ニンショウヘンカ,ニンショーヘンカ
＊	記号,一般,*,*,*,*,＊,＊,＊
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
＊	記号,一般,*,*,*,*,＊,＊,＊
練習問題	名詞,固有名詞,一般,*,*,*,練習問題,レンシュウモンダイ,レンシューモンダイ
5	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Der	名詞,固有名詞,組織,*,*,*,*
Beginn	名詞,一般,*,*,*,*,*
des	名詞,固有名詞,一般,*,*,*,DES,デス,デス
Wintersemesters	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
現在完了形	名詞,固有名詞,一般,*,*,*,現在完了形,ゲンザイカンリョウケイ,ゲンザイカンリョーケイ
／	記号,一般,*,*,*,*,／,／,／
数詞	名詞,一般,*,*,*,*,数詞,スウシ,スーシ
＊	記号,一般,*,*,*,*,＊,＊,＊
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
＊	記号,一般,*,*,*,*,＊,＊,＊
練習問題	名詞,固有名詞,一般,*,*,*,練習問題,レンシュウモンダイ,レンシューモンダイ
＊	記号,一般,*,*,*,*,＊,＊,＊
ペア	名詞,一般,*,*,*,*,ペア,ペア,ペア
・	記号,一般,*,*,*,*,・,・,・
ワーク	名詞,一般,*,*,*,*,ワーク,ワーク,ワーク
6	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Der	名詞,固有名詞,組織,*,*,*,*
Beginn	名詞,一般,*,*,*,*,*
des	名詞,固有名詞,一般,*,*,*,DES,デス,デス
Wintersemesters	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
Text	名詞,固有名詞,組織,*,*,*,*
+	記号,一般,*,*,*,*,*
Für	名詞,固有名詞,組織,*,*,*,*
Leseratten	名詞,一般,*,*,*,*,*
67	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Ein	名詞,固有名詞,人名,一般,*,*,Ein,アイン,アイン
Waldspaziergang	名詞,固有名詞,組織,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
受動態	名詞,一般,*,*,*,*,受動態,ジュドウタイ,ジュドータイ
＊	記号,一般,*,*,*,*,＊,＊,＊
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
＊	記号,一般,*,*,*,*,＊,＊,＊
練習問題	名詞,固有名詞,一般,*,*,*,練習問題,レンシュウモンダイ,レンシューモンダイ
8	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Ein	名詞,固有名詞,人名,一般,*,*,Ein,アイン,アイン
Waldspaziergang	名詞,固有名詞,組織,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
比較	名詞,サ変接続,*,*,*,*,比較,ヒカク,ヒカク
級	名詞,接尾,一般,*,*,*,級,キュウ,キュー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
最上級	名詞,一般,*,*,*,*,最上級,サイジョウキュウ,サイジョーキュー
＊	記号,一般,*,*,*,*,＊,＊,＊
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
＊	記号,一般,*,*,*,*,＊,＊,＊
練習問題	名詞,固有名詞,一般,*,*,*,練習問題,レンシュウモンダイ,レンシューモンダイ
＊	記号,一般,*,*,*,*,＊,＊,＊
ペア	名詞,一般,*,*,*,*,ペア,ペア,ペア
・	記号,一般,*,*,*,*,・,・,・
ワーク	名詞,一般,*,*,*,*,ワーク,ワーク,ワーク
9	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Ein	名詞,固有名詞,人名,一般,*,*,Ein,アイン,アイン
Waldspaziergang	名詞,固有名詞,組織,*,*,*,*
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
Text	名詞,固有名詞,組織,*,*,*,*
+	記号,一般,*,*,*,*,*
Für	名詞,固有名詞,組織,*,*,*,*
Leseratten	名詞,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
10	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Berlin	名詞,固有名詞,組織,*,*,*,*
hat	名詞,一般,*,*,*,*,*
viele	名詞,一般,*,*,*,*,*
Gesichter	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
関係代名詞	名詞,固有名詞,一般,*,*,*,関係代名詞,カンケイダイメイシ,カンケイダイメイシ
／	記号,一般,*,*,*,*,／,／,／
不定	名詞,一般,*,*,*,*,不定,フテイ,フテイ
関係代名詞	名詞,固有名詞,一般,*,*,*,関係代名詞,カンケイダイメイシ,カンケイダイメイシ
／	記号,一般,*,*,*,*,／,／,／
指示	名詞,サ変接続,*,*,*,*,指示,シジ,シジ
代名詞	名詞,一般,*,*,*,*,代名詞,ダイメイシ,ダイメイシ
／	記号,一般,*,*,*,*,／,／,／
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
副詞	名詞,一般,*,*,*,*,副詞,フクシ,フクシ
＊	記号,一般,*,*,*,*,＊,＊,＊
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
＊	記号,一般,*,*,*,*,＊,＊,＊
練習問題	名詞,固有名詞,一般,*,*,*,練習問題,レンシュウモンダイ,レンシューモンダイ
11	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Berlin	名詞,固有名詞,組織,*,*,*,*
hat	名詞,一般,*,*,*,*,*
viele	名詞,一般,*,*,*,*,*
Gesichter	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
再帰	名詞,サ変接続,*,*,*,*,再帰,サイキ,サイキ
代名詞	名詞,一般,*,*,*,*,代名詞,ダイメイシ,ダイメイシ
／	記号,一般,*,*,*,*,／,／,／
再帰動詞	名詞,固有名詞,一般,*,*,*,再帰動詞,サイキドウシ,サイキドーシ
＊	記号,一般,*,*,*,*,＊,＊,＊
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
＊	記号,一般,*,*,*,*,＊,＊,＊
練習問題	名詞,固有名詞,一般,*,*,*,練習問題,レンシュウモンダイ,レンシューモンダイ
＊	記号,一般,*,*,*,*,＊,＊,＊
ペア	名詞,一般,*,*,*,*,ペア,ペア,ペア
・	記号,一般,*,*,*,*,・,・,・
ワーク	名詞,一般,*,*,*,*,ワーク,ワーク,ワーク
12	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Berlin	名詞,固有名詞,組織,*,*,*,*
hat	名詞,一般,*,*,*,*,*
viele	名詞,一般,*,*,*,*,*
Gesichter	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
Text	名詞,固有名詞,組織,*,*,*,*
+	記号,一般,*,*,*,*,*
Für	名詞,固有名詞,組織,*,*,*,*
Leseratten	名詞,一般,*,*,*,*,*
813	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Auf	名詞,固有名詞,組織,*,*,*,*
dem	名詞,固有名詞,一般,*,*,*,DEM,デム,デム
Weihnachtsmarkt	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
zu	名詞,固有名詞,組織,*,*,*,*
不定詞	名詞,固有名詞,一般,*,*,*,不定詞,フテイシ,フテイシ
／	記号,一般,*,*,*,*,／,／,／
非	接頭詞,名詞接続,*,*,*,*,非,ヒ,ヒ
人称	名詞,一般,*,*,*,*,人称,ニンショウ,ニンショー
動詞	名詞,一般,*,*,*,*,動詞,ドウシ,ドーシ
＊	記号,一般,*,*,*,*,＊,＊,＊
文法	名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
＊	記号,一般,*,*,*,*,＊,＊,＊
練習問題	名詞,固有名詞,一般,*,*,*,練習問題,レンシュウモンダイ,レンシューモンダイ
14	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Auf	名詞,固有名詞,組織,*,*,*,*
dem	名詞,固有名詞,一般,*,*,*,DEM,デム,デム
Weihnachtsmarkt	名詞,一般,*,*,*,*,*
(	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
Text	名詞,固有名詞,組織,*,*,*,*
+	記号,一般,*,*,*,*,*
Für	名詞,固有名詞,組織,*,*,*,*
Leseratten	名詞,一般,*,*,*,*,*
915	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
Lektion	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
Genießen	名詞,固有名詞,組織,*,*,*,*
wir	名詞,一般,*,*,*,*,*
jeden	名詞,一般,*,*,*,*,*
Sommertag	名詞,一般,*,*,*,*,*
