ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
国内外	名詞,一般,*,*,*,*,国内外,コクナイガイ,コクナイガイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
多文化社会	名詞,固有名詞,一般,*,*,*,多文化社会,タブンカシャカイ,タブンカシャカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基盤	名詞,一般,*,*,*,*,基盤,キバン,キバン
たる	助動詞,*,*,*,文語・ナリ,体言接続,たり,タル,タル
自然	名詞,形容動詞語幹,*,*,*,*,自然,シゼン,シゼン
生態	名詞,一般,*,*,*,*,生態,セイタイ,セイタイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
人々	名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
とらえ	動詞,自立,*,*,一段,連用形,とらえる,トラエ,トラエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
、	記号,読点,*,*,*,*,、,、,、
民俗学	名詞,固有名詞,一般,*,*,*,民俗学,ミンゾクガク,ミンゾクガク
、	記号,読点,*,*,*,*,、,、,、
人類学	名詞,固有名詞,一般,*,*,*,人類学,ジンルイガク,ジンルイガク
、	記号,読点,*,*,*,*,、,、,、
歴史地理学	名詞,固有名詞,一般,*,*,*,歴史地理学,レキシチリガク,レキシチリガク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
手法	名詞,一般,*,*,*,*,手法,シュホウ,シュホー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
踏まえ	動詞,自立,*,*,一段,連用形,踏まえる,フマエ,フマエ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
深め	動詞,自立,*,*,一段,連用形,深める,フカメ,フカメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いただく	動詞,自立,*,*,五段・カ行イ音便,基本形,いただく,イタダク,イタダク
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
本	接頭詞,名詞接続,*,*,*,*,本,ホン,ホン
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
自然	名詞,形容動詞語幹,*,*,*,*,自然,シゼン,シゼン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
関わり	名詞,一般,*,*,*,*,関わり,カカワリ,カカワリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
めぐる	動詞,自立,*,*,五段・ラ行,基本形,めぐる,メグル,メグル
民俗	名詞,一般,*,*,*,*,民俗,ミンゾク,ミンゾク
、	記号,読点,*,*,*,*,、,、,、
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
研究	名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
視点	名詞,一般,*,*,*,*,視点,シテン,シテン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
諸	接頭詞,名詞接続,*,*,*,*,諸,ショ,ショ
事例	名詞,一般,*,*,*,*,事例,ジレイ,ジレイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
民俗学	名詞,固有名詞,一般,*,*,*,民俗学,ミンゾクガク,ミンゾクガク
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
生態	名詞,一般,*,*,*,*,生態,セイタイ,セイタイ
民俗学	名詞,固有名詞,一般,*,*,*,民俗学,ミンゾクガク,ミンゾクガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文献	名詞,一般,*,*,*,*,文献,ブンケン,ブンケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
輪読	名詞,サ変接続,*,*,*,*,輪読,リンドク,リンドク
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
学ん	動詞,自立,*,*,五段・バ行,連用タ接続,学ぶ,マナン,マナン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
。	記号,句点,*,*,*,*,。,。,。
現場	名詞,一般,*,*,*,*,現場,ゲンバ,ゲンバ
見学	名詞,サ変接続,*,*,*,*,見学,ケンガク,ケンガク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
重要	名詞,形容動詞語幹,*,*,*,*,重要,ジュウヨウ,ジューヨー
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
可能	名詞,形容動詞語幹,*,*,*,*,可能,カノウ,カノー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
範囲	名詞,一般,*,*,*,*,範囲,ハンイ,ハンイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
見学	名詞,サ変接続,*,*,*,*,見学,ケンガク,ケンガク
会	名詞,接尾,一般,*,*,*,会,カイ,カイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
合宿	名詞,サ変接続,*,*,*,*,合宿,ガッシュク,ガッシュク
（	記号,括弧開,*,*,*,*,（,（,（
希望者	名詞,固有名詞,一般,*,*,*,希望者,キボウシャ,キボーシャ
のみ	助詞,副助詞,*,*,*,*,のみ,ノミ,ノミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
。	記号,句点,*,*,*,*,。,。,。
必修	名詞,一般,*,*,*,*,必修,ヒッシュウ,ヒッシュー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
映像	名詞,一般,*,*,*,*,映像,エイゾウ,エイゾー
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
視聴	名詞,サ変接続,*,*,*,*,視聴,シチョウ,シチョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
機会	名詞,一般,*,*,*,*,機会,キカイ,キカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
多く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,多い,オオク,オーク
つくる	動詞,自立,*,*,五段・ラ行,基本形,つくる,ツクル,ツクル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
プリント	名詞,サ変接続,*,*,*,*,プリント,プリント,プリント
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
輪読	名詞,サ変接続,*,*,*,*,輪読,リンドク,リンドク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
文献	名詞,一般,*,*,*,*,文献,ブンケン,ブンケン
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、	記号,読点,*,*,*,*,、,、,、
『	記号,括弧開,*,*,*,*,『,『,『
はじめて	副詞,一般,*,*,*,*,はじめて,ハジメテ,ハジメテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
民俗学	名詞,固有名詞,一般,*,*,*,民俗学,ミンゾクガク,ミンゾクガク
』	記号,括弧閉,*,*,*,*,』,』,』
ミネルバ	名詞,固有名詞,人名,一般,*,*,ミネルバ,ミネルバ,ミネルバ
書房	名詞,一般,*,*,*,*,書房,ショボウ,ショボー
。	記号,句点,*,*,*,*,。,。,。
秋道智彌	名詞,固有名詞,人名,一般,*,*,秋道智彌,アキミチトモヤ,アキミチトモヤ
,	記号,一般,*,*,*,*,*
市川	名詞,固有名詞,人名,姓,*,*,市川,イチカワ,イチカワ
光雄	名詞,固有名詞,人名,名,*,*,光雄,ミツオ,ミツオ
,	記号,一般,*,*,*,*,*
大塚柳太郎	名詞,固有名詞,人名,一般,*,*,大塚柳太郎,オオツカリュウタロウ,オーツカリュウタロー
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
『	記号,括弧開,*,*,*,*,『,『,『
生態人類学	名詞,固有名詞,一般,*,*,*,生態人類学,セイタイジンルイガク,セイタイジンルイガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
』	記号,括弧閉,*,*,*,*,』,』,』
世界思想社	名詞,固有名詞,一般,*,*,*,世界思想社,セカイシソウシャ,セカイシソーシャ
1995年	名詞,固有名詞,一般,*,*,*,1995年,センキュウヒャクキュウジュウゴネン,センキュウヒャクキュウジュウゴネン
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
時	名詞,接尾,副詞可能,*,*,*,時,ジ,ジ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
関連	名詞,サ変接続,*,*,*,*,関連,カンレン,カンレン
文献	名詞,一般,*,*,*,*,文献,ブンケン,ブンケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
挙げ	動詞,自立,*,*,一段,連用形,挙げる,アゲ,アゲ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おき	動詞,非自立,*,*,五段・カ行イ音便,連用形,おく,オキ,オキ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
『	記号,括弧開,*,*,*,*,『,『,『
図説	名詞,サ変接続,*,*,*,*,図説,ズセツ,ズセツ
民俗	名詞,一般,*,*,*,*,民俗,ミンゾク,ミンゾク
探訪	名詞,サ変接続,*,*,*,*,探訪,タンボウ,タンボー
事典	名詞,一般,*,*,*,*,事典,ジテン,ジテン
』	記号,括弧閉,*,*,*,*,』,』,』
山川出版社	名詞,固有名詞,一般,*,*,*,山川出版社,ヤマカワシュッパンシャ,ヤマカワシュッパンシャ
。	記号,句点,*,*,*,*,。,。,。
『	記号,括弧開,*,*,*,*,『,『,『
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
民俗学	名詞,固有名詞,一般,*,*,*,民俗学,ミンゾクガク,ミンゾクガク
』	記号,括弧閉,*,*,*,*,』,』,』
弘文堂	名詞,固有名詞,人名,一般,*,*,弘文堂,コウブンドウ,コーブンドー
。	記号,句点,*,*,*,*,。,。,。
野本寛一	名詞,固有名詞,人名,一般,*,*,野本寛一,ノモトカンイチ,ノモトカンイチ
『	記号,括弧開,*,*,*,*,『,『,『
生態	名詞,一般,*,*,*,*,生態,セイタイ,セイタイ
民俗学	名詞,固有名詞,一般,*,*,*,民俗学,ミンゾクガク,ミンゾクガク
序説	名詞,一般,*,*,*,*,序説,ジョセツ,ジョセツ
』	記号,括弧閉,*,*,*,*,』,』,』
白水社	名詞,固有名詞,組織,*,*,*,白水社,ハクスイシャ,ハクスイシャ
。	記号,句点,*,*,*,*,。,。,。
『	記号,括弧開,*,*,*,*,『,『,『
桜田勝徳	名詞,固有名詞,人名,一般,*,*,桜田勝徳,サクラダカツノリ,サクラダカツノリ
著作	名詞,サ変接続,*,*,*,*,著作,チョサク,チョサク
集	名詞,接尾,一般,*,*,*,集,シュウ,シュー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
漁村	名詞,一般,*,*,*,*,漁村,ギョソン,ギョソン
民俗誌	名詞,固有名詞,一般,*,*,*,民俗誌,ミンゾクシ,ミンゾクシ
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
）	記号,括弧閉,*,*,*,*,）,）,）
岸上伸啓	名詞,固有名詞,人名,一般,*,*,岸上伸啓,キシガミノブヒロ,キシガミノブヒロ
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
『	記号,括弧開,*,*,*,*,『,『,『
捕鯨	名詞,一般,*,*,*,*,捕鯨,ホゲイ,ホゲイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
文化人類学	名詞,固有名詞,一般,*,*,*,文化人類学,ブンカジンルイガク,ブンカジンルイガク
』	記号,括弧閉,*,*,*,*,』,』,』
成山	名詞,固有名詞,地域,一般,*,*,成山,ナルヤマ,ナルヤマ
堂	名詞,接尾,一般,*,*,*,堂,ドウ,ドー
。	記号,句点,*,*,*,*,。,。,。
『	記号,括弧開,*,*,*,*,『,『,『
生態	名詞,一般,*,*,*,*,生態,セイタイ,セイタイ
(	記号,一般,*,*,*,*,*
人類学	名詞,固有名詞,一般,*,*,*,人類学,ジンルイガク,ジンルイガク
講座	名詞,一般,*,*,*,*,講座,コウザ,コーザ
）	記号,括弧閉,*,*,*,*,）,）,）
』	記号,括弧閉,*,*,*,*,』,』,』
雄山閣	名詞,固有名詞,組織,*,*,*,雄山閣,ユウザンカク,ユーザンカク
。	記号,句点,*,*,*,*,。,。,。
『	記号,括弧開,*,*,*,*,『,『,『
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
庶民	名詞,一般,*,*,*,*,庶民,ショミン,ショミン
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
集成	名詞,サ変接続,*,*,*,*,集成,シュウセイ,シューセイ
』	記号,括弧閉,*,*,*,*,』,』,』
三一書房	名詞,固有名詞,一般,*,*,*,三一書房,サンイチショボウ,サンイチショボー
。	記号,句点,*,*,*,*,。,。,。
『	記号,括弧開,*,*,*,*,『,『,『
モンスーン	名詞,一般,*,*,*,*,モンスーン,モンスーン,モンスーン
アジア	名詞,固有名詞,地域,一般,*,*,アジア,アジア,アジア
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生態	名詞,一般,*,*,*,*,生態,セイタイ,セイタイ
史	名詞,接尾,一般,*,*,*,史,シ,シ
１	名詞,数,*,*,*,*,１,イチ,イチ
～	記号,一般,*,*,*,*,*
３	名詞,数,*,*,*,*,３,サン,サン
』	記号,括弧閉,*,*,*,*,』,』,』
弘文堂	名詞,固有名詞,人名,一般,*,*,弘文堂,コウブンドウ,コーブンドー
。	記号,句点,*,*,*,*,。,。,。
『	記号,括弧開,*,*,*,*,『,『,『
漁	名詞,一般,*,*,*,*,漁,リョウ,リョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
図鑑	名詞,一般,*,*,*,*,図鑑,ズカン,ズカン
』	記号,括弧閉,*,*,*,*,』,』,』
海	名詞,一般,*,*,*,*,海,ウミ,ウミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
博物館	名詞,一般,*,*,*,*,博物館,ハクブツカン,ハクブツカン
。	記号,句点,*,*,*,*,。,。,。
澁澤敬三	名詞,固有名詞,一般,*,*,*,澁澤敬三,シブサワケイゾウ,シブサワケイゾー
『	記号,括弧開,*,*,*,*,『,『,『
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
魚	名詞,接尾,一般,*,*,*,魚,ギョ,ギョ
名	名詞,接尾,一般,*,*,*,名,メイ,メイ
集	名詞,接尾,一般,*,*,*,集,シュウ,シュー
覧	名詞,一般,*,*,*,*,覧,ラン,ラン
１	名詞,数,*,*,*,*,１,イチ,イチ
～	記号,一般,*,*,*,*,*
３	名詞,数,*,*,*,*,３,サン,サン
』	記号,括弧閉,*,*,*,*,』,』,』
角川書店	名詞,固有名詞,組織,*,*,*,角川書店,カドカワショテン,カドカワショテン
。	記号,句点,*,*,*,*,。,。,。
McCay	名詞,一般,*,*,*,*,*
,	記号,一般,*,*,*,*,*
B	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
J	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
J	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
M	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
Acheson	名詞,固有名詞,組織,*,*,*,*
eds	名詞,固有名詞,一般,*,*,*,EDS,イーディーエス,イーディーエス
(	記号,一般,*,*,*,*,*
1987	名詞,数,*,*,*,*,*
).	記号,一般,*,*,*,*,*
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
Question	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
the	名詞,一般,*,*,*,*,the,ザ,ザ
Commons	名詞,固有名詞,人名,一般,*,*,COMMONS,コモンズ,コモンズ
:	記号,一般,*,*,*,*,*
The	名詞,固有名詞,人名,一般,*,*,The The,ザ,ザ
culture	名詞,一般,*,*,*,*,*
and	名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
Ecology	名詞,固有名詞,組織,*,*,*,*
of	名詞,一般,*,*,*,*,*
Communal	名詞,一般,*,*,*,*,*
Resources	名詞,一般,*,*,*,*,*
.	記号,一般,*,*,*,*,*
Tuscon	名詞,固有名詞,組織,*,*,*,*
University	名詞,一般,*,*,*,*,*
of	名詞,一般,*,*,*,*,*
Arizona	名詞,固有名詞,人名,一般,*,*,ARIZONA,アリゾナ,アリゾナ
Press	名詞,一般,*,*,*,*,*
。	記号,句点,*,*,*,*,。,。,。
河野通博	名詞,固有名詞,一般,*,*,*,河野通博,コウノミチヒロ,コーノミチヒロ
『	記号,括弧開,*,*,*,*,『,『,『
漁場	名詞,一般,*,*,*,*,漁場,ギョジョウ,ギョジョー
用益	名詞,一般,*,*,*,*,用益,ヨウエキ,ヨーエキ
形態	名詞,一般,*,*,*,*,形態,ケイタイ,ケイタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
研究	名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
』	記号,括弧閉,*,*,*,*,』,』,』
。	記号,句点,*,*,*,*,。,。,。
『	記号,括弧開,*,*,*,*,『,『,『
旧藩	名詞,一般,*,*,*,*,旧藩,キュウハン,キューハン
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
漁業	名詞,一般,*,*,*,*,漁業,ギョギョウ,ギョギョー
制度	名詞,一般,*,*,*,*,制度,セイド,セイド
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
』	記号,括弧閉,*,*,*,*,』,』,』
橋村修	名詞,固有名詞,人名,一般,*,*,橋村修,ハシムラオサム,ハシムラオサム
『	記号,括弧開,*,*,*,*,『,『,『
漁場	名詞,一般,*,*,*,*,漁場,ギョジョウ,ギョジョー
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
社会史	名詞,固有名詞,一般,*,*,*,社会史,シャカイシ,シャカイシ
』	記号,括弧閉,*,*,*,*,』,』,』
人文書院	名詞,固有名詞,組織,*,*,*,人文書院,ジンブンショイン,ジンブンショイン
、	記号,読点,*,*,*,*,、,、,、
2009年	名詞,固有名詞,一般,*,*,*,2009年,ニセンキュウネン,ニセンキュウネン
．	記号,句点,*,*,*,*,．,．,．
『	記号,括弧開,*,*,*,*,『,『,『
海	名詞,一般,*,*,*,*,海,ウミ,ウミ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
疾病	名詞,一般,*,*,*,*,疾病,シッペイ,シッペイ
』	記号,括弧閉,*,*,*,*,』,』,』
西日本出版社	名詞,固有名詞,一般,*,*,*,西日本出版社,ニシニホンシュッパンシャ,ニシニホンシュッパンシャ
2021年	名詞,固有名詞,一般,*,*,*,2021年,ニセンニジュウイチネン,ニセンニジュウイチネン
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
姿勢	名詞,一般,*,*,*,*,姿勢,シセイ,シセイ
＋	記号,一般,*,*,*,*,＋,タス,タス
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
。	記号,句点,*,*,*,*,。,。,。
受講	名詞,サ変接続,*,*,*,*,受講,ジュコウ,ジュコー
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
