ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
マルチメディア	名詞,一般,*,*,*,*,マルチメディア,マルチメディア,マルチメディア
システム	名詞,一般,*,*,*,*,システム,システム,システム
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
支える	動詞,自立,*,*,一段,基本形,支える,ササエル,ササエル
ディジタル信号	名詞,固有名詞,一般,*,*,*,ディジタル信号,ディジタルシンゴウ,ディジタルシンゴー
処理	名詞,サ変接続,*,*,*,*,処理,ショリ,ショリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
画像処理	名詞,固有名詞,一般,*,*,*,画像処理,ガゾウショリ,ガゾーショリ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学び	動詞,自立,*,*,五段・バ行,連用形,学ぶ,マナビ,マナビ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
，	記号,読点,*,*,*,*,，,，,，
データ処理	名詞,固有名詞,一般,*,*,*,データ処理,データショリ,データショリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
システム	名詞,一般,*,*,*,*,システム,システム,システム
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
入出力	名詞,サ変接続,*,*,*,*,入出力,ニュウシュツリョク,ニューシュツリョク
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
捉え	動詞,自立,*,*,一段,連用形,捉える,トラエ,トラエ
，	記号,読点,*,*,*,*,，,，,，
知的	名詞,一般,*,*,*,*,知的,チテキ,チテキ
処理	名詞,サ変接続,*,*,*,*,処理,ショリ,ショリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
科学	名詞,一般,*,*,*,*,科学,カガク,カガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
観点	名詞,一般,*,*,*,*,観点,カンテン,カンテン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
姿勢	名詞,一般,*,*,*,*,姿勢,シセイ,シセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
身	名詞,一般,*,*,*,*,身,ミ,ミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
付ける	動詞,自立,*,*,一段,基本形,付ける,ツケル,ツケル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目指す	動詞,自立,*,*,五段・サ行,基本形,目指す,メザス,メザス
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
情報	名詞,一般,*,*,*,*,情報,ジョウホウ,ジョーホー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
データ	名詞,一般,*,*,*,*,データ,データ,データ
，	記号,読点,*,*,*,*,，,，,，
信号	名詞,一般,*,*,*,*,信号,シンゴウ,シンゴー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
，	記号,読点,*,*,*,*,，,，,，
アナログ	名詞,一般,*,*,*,*,アナログ,アナログ,アナログ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ディジタル	名詞,一般,*,*,*,*,ディジタル,ディジタル,ディジタル
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
考察	名詞,サ変接続,*,*,*,*,考察,コウサツ,コーサツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行い	動詞,自立,*,*,五段・ワ行促音便,連用形,行う,オコナイ,オコナイ
，	記号,読点,*,*,*,*,，,，,，
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
，	記号,読点,*,*,*,*,，,，,，
線形	名詞,一般,*,*,*,*,線形,センケイ,センケイ
システム	名詞,一般,*,*,*,*,システム,システム,システム
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
中心	名詞,一般,*,*,*,*,中心,チュウシン,チューシン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ディジタル	名詞,一般,*,*,*,*,ディジタル,ディジタル,ディジタル
ディジタル信号	名詞,固有名詞,一般,*,*,*,ディジタル信号,ディジタルシンゴウ,ディジタルシンゴー
処理	名詞,サ変接続,*,*,*,*,処理,ショリ,ショリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
これら	名詞,代名詞,一般,*,*,*,これら,コレラ,コレラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
十分	名詞,形容動詞語幹,*,*,*,*,十分,ジュウブン,ジューブン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
，	記号,読点,*,*,*,*,，,，,，
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
画像処理	名詞,固有名詞,一般,*,*,*,画像処理,ガゾウショリ,ガゾーショリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
題材	名詞,一般,*,*,*,*,題材,ダイザイ,ダイザイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
プログラミング	名詞,サ変接続,*,*,*,*,プログラミング,プログラミング,プログラミング
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
この	連体詞,*,*,*,*,*,この,コノ,コノ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
：	記号,一般,*,*,*,*,：,：,：
・	記号,一般,*,*,*,*,・,・,・
ディジタル	名詞,一般,*,*,*,*,ディジタル,ディジタル,ディジタル
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
・	記号,一般,*,*,*,*,・,・,・
周波数領域	名詞,固有名詞,一般,*,*,*,周波数領域,シュウハスウリョウイキ,シューハスーリョーイキ
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
信号	名詞,一般,*,*,*,*,信号,シンゴウ,シンゴー
解析	名詞,サ変接続,*,*,*,*,解析,カイセキ,カイセキ
・	記号,一般,*,*,*,*,・,・,・
音	名詞,一般,*,*,*,*,音,オト,オト
と	助詞,並立助詞,*,*,*,*,と,ト,ト
画像	名詞,一般,*,*,*,*,画像,ガゾウ,ガゾー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ディジタル	名詞,一般,*,*,*,*,ディジタル,ディジタル,ディジタル
処理	名詞,サ変接続,*,*,*,*,処理,ショリ,ショリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
・	記号,一般,*,*,*,*,・,・,・
線形	名詞,一般,*,*,*,*,線形,センケイ,センケイ
フィルタリング	名詞,固有名詞,一般,*,*,*,フィルタリング,フィルタリング,フィルタリング
と	助詞,並立助詞,*,*,*,*,と,ト,ト
最適化問題	名詞,固有名詞,一般,*,*,*,最適化問題,サイテキカモンダイ,サイテキカモンダイ
，	記号,読点,*,*,*,*,，,，,，
最小二乗法	名詞,固有名詞,一般,*,*,*,最小二乗法,サイショウニジョウホウ,サイショーニジョウホー
・	記号,一般,*,*,*,*,・,・,・
線形	名詞,一般,*,*,*,*,線形,センケイ,センケイ
識別	名詞,サ変接続,*,*,*,*,識別,シキベツ,シキベツ
器	名詞,接尾,一般,*,*,*,器,キ,キ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
パターン認識	名詞,固有名詞,一般,*,*,*,パターン認識,パターンニンシキ,パターンニンシキ
・	記号,一般,*,*,*,*,・,・,・
Octave	名詞,固有名詞,一般,*,*,*,Octave,オクターブ,オクターブ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
数理	名詞,一般,*,*,*,*,数理,スウリ,スーリ
プログラミング	名詞,サ変接続,*,*,*,*,プログラミング,プログラミング,プログラミング
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
指定	名詞,サ変接続,*,*,*,*,指定,シテイ,シテイ
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
伊藤	名詞,固有名詞,人名,姓,*,*,伊藤,イトウ,イトー
，	記号,読点,*,*,*,*,，,，,，
花泉	名詞,固有名詞,人名,姓,*,*,花泉,ハナイズミ,ハナイズミ
，	記号,読点,*,*,*,*,，,，,，
小泉	名詞,固有名詞,人名,姓,*,*,小泉,コイズミ,コイズミ
，	記号,読点,*,*,*,*,，,，,，
「	記号,括弧開,*,*,*,*,「,「,「
MATLAB	名詞,固有名詞,一般,*,*,*,MATLAB,マットラブ,マットラブ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
画像	名詞,一般,*,*,*,*,画像,ガゾウ,ガゾー
・	記号,一般,*,*,*,*,・,・,・
音声処理	名詞,固有名詞,一般,*,*,*,音声処理,オンセイショリ,オンセイショリ
入門	名詞,サ変接続,*,*,*,*,入門,ニュウモン,ニューモン
」	記号,括弧閉,*,*,*,*,」,」,」
，	記号,読点,*,*,*,*,，,，,，
コロナ社	名詞,固有名詞,一般,*,*,*,コロナ社,コロナシャ,コロナシャ
（	記号,括弧開,*,*,*,*,（,（,（
2019	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
金谷	名詞,固有名詞,人名,姓,*,*,金谷,カナヤ,カナヤ
健一	名詞,固有名詞,人名,名,*,*,健一,ケンイチ,ケンイチ
，	記号,読点,*,*,*,*,，,，,，
「	記号,括弧開,*,*,*,*,「,「,「
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
なら	助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
分かる	動詞,自立,*,*,五段・ラ行,基本形,分かる,ワカル,ワカル
応用数学	名詞,固有名詞,一般,*,*,*,応用数学,オウヨウスウガク,オーヨースーガク
教室	名詞,一般,*,*,*,*,教室,キョウシツ,キョーシツ
」	記号,括弧閉,*,*,*,*,」,」,」
，	記号,読点,*,*,*,*,，,，,，
共立出版	名詞,固有名詞,一般,*,*,*,共立出版,キョウリツシュッパン,キョーリツシュッパン
(	記号,一般,*,*,*,*,*
2003	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
石井	名詞,固有名詞,人名,姓,*,*,石井,イシイ,イシイ
，	記号,読点,*,*,*,*,，,，,，
上田	名詞,固有名詞,人名,姓,*,*,上田,ウエダ,ウエダ
，	記号,読点,*,*,*,*,，,，,，
前田	名詞,固有名詞,人名,姓,*,*,前田,マエダ,マエダ
，	記号,読点,*,*,*,*,，,，,，
村瀬	名詞,固有名詞,人名,姓,*,*,村瀬,ムラセ,ムラセ
，	記号,読点,*,*,*,*,，,，,，
「	記号,括弧開,*,*,*,*,「,「,「
わかり	動詞,自立,*,*,五段・ラ行,連用形,わかる,ワカリ,ワカリ
やすい	形容詞,非自立,*,*,形容詞・アウオ段,基本形,やすい,ヤスイ,ヤスイ
パターン認識	名詞,固有名詞,一般,*,*,*,パターン認識,パターンニンシキ,パターンニンシキ
（	記号,括弧開,*,*,*,*,（,（,（
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
2	名詞,数,*,*,*,*,*
版	名詞,接尾,助数詞,*,*,*,版,ハン,ハン
）	記号,括弧閉,*,*,*,*,）,）,）
」	記号,括弧閉,*,*,*,*,」,」,」
，	記号,読点,*,*,*,*,，,，,，
オーム社	名詞,固有名詞,組織,*,*,*,オーム社,オームシャ,オームシャ
（	記号,括弧開,*,*,*,*,（,（,（
2019	名詞,数,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
毎	名詞,接尾,一般,*,*,*,毎,ゴト,ゴト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
課す	動詞,自立,*,*,五段・サ行,基本形,課す,カス,カス
ミニ	名詞,一般,*,*,*,*,ミニ,ミニ,ミニ
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
(	記号,一般,*,*,*,*,*
70%	名詞,固有名詞,一般,*,*,*,70%,ナナジュウパーセント,ナナジュウパーセント
)，	記号,一般,*,*,*,*,*
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
期末	名詞,一般,*,*,*,*,期末,キマツ,キマツ
時	名詞,接尾,副詞可能,*,*,*,時,ジ,ジ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
課す	動詞,自立,*,*,五段・サ行,基本形,課す,カス,カス
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
(	記号,一般,*,*,*,*,*
30%	名詞,固有名詞,一般,*,*,*,30%,サンジュウパーセント,サンジュウパーセント
)	記号,一般,*,*,*,*,*
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
総合的	名詞,固有名詞,一般,*,*,*,総合的,ソウゴウテキ,ソーゴーテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
：	記号,一般,*,*,*,*,：,：,：
アナログ	名詞,一般,*,*,*,*,アナログ,アナログ,アナログ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ディジタル	名詞,一般,*,*,*,*,ディジタル,ディジタル,ディジタル
2	名詞,数,*,*,*,*,*
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
準備	名詞,サ変接続,*,*,*,*,準備,ジュンビ,ジュンビ
：	記号,一般,*,*,*,*,：,：,：
Octave	名詞,固有名詞,一般,*,*,*,Octave,オクターブ,オクターブ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
3	名詞,数,*,*,*,*,*
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
：	記号,一般,*,*,*,*,：,：,：
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
4	名詞,数,*,*,*,*,*
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
：	記号,一般,*,*,*,*,：,：,：
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
エンベロープ	名詞,一般,*,*,*,*,エンベロープ,エンベロープ,エンベロープ
5	名詞,数,*,*,*,*,*
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
：	記号,一般,*,*,*,*,：,：,：
ハーモニクス	名詞,固有名詞,一般,*,*,*,ハーモニクス,ハーモニクス,ハーモニクス
6	名詞,数,*,*,*,*,*
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
：	記号,一般,*,*,*,*,：,：,：
調和解析	名詞,固有名詞,一般,*,*,*,調和解析,チョウワカイセキ,チョーワカイセキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
離散フーリエ変換	名詞,固有名詞,一般,*,*,*,離散フーリエ変換,リサンフーリエヘンカン,リサンフーリエヘンカン
7	名詞,数,*,*,*,*,*
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
：	記号,一般,*,*,*,*,：,：,：
（	記号,括弧開,*,*,*,*,（,（,（
1次元	名詞,固有名詞,一般,*,*,*,1次元,イチジゲン,イチジゲン
）	記号,括弧閉,*,*,*,*,）,）,）
フィルタリング	名詞,固有名詞,一般,*,*,*,フィルタリング,フィルタリング,フィルタリング
8	名詞,数,*,*,*,*,*
画像	名詞,一般,*,*,*,*,画像,ガゾウ,ガゾー
：	記号,一般,*,*,*,*,：,：,：
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
9	名詞,数,*,*,*,*,*
画像	名詞,一般,*,*,*,*,画像,ガゾウ,ガゾー
：	記号,一般,*,*,*,*,：,：,：
色空間	名詞,固有名詞,一般,*,*,*,色空間,イロクウカン,イロクーカン
10	名詞,数,*,*,*,*,*
画像	名詞,一般,*,*,*,*,画像,ガゾウ,ガゾー
：	記号,一般,*,*,*,*,：,：,：
2次元	名詞,固有名詞,一般,*,*,*,2次元,ニジゲン,ニジゲン
フィルタリング	名詞,固有名詞,一般,*,*,*,フィルタリング,フィルタリング,フィルタリング
11	名詞,数,*,*,*,*,*
最小二乗法	名詞,固有名詞,一般,*,*,*,最小二乗法,サイショウニジョウホウ,サイショーニジョウホー
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
フィルター	名詞,一般,*,*,*,*,フィルター,フィルター,フィルター
の	助詞,連体化,*,*,*,*,の,ノ,ノ
最適化	名詞,固有名詞,一般,*,*,*,最適化,サイテキカ,サイテキカ
12	名詞,数,*,*,*,*,*
パターン認識	名詞,固有名詞,一般,*,*,*,パターン認識,パターンニンシキ,パターンニンシキ
：	記号,一般,*,*,*,*,：,：,：
線形	名詞,一般,*,*,*,*,線形,センケイ,センケイ
識別	名詞,サ変接続,*,*,*,*,識別,シキベツ,シキベツ
器	名詞,接尾,一般,*,*,*,器,キ,キ
13	名詞,数,*,*,*,*,*
パターン認識	名詞,固有名詞,一般,*,*,*,パターン認識,パターンニンシキ,パターンニンシキ
：	記号,一般,*,*,*,*,：,：,：
勾配	名詞,一般,*,*,*,*,勾配,コウバイ,コーバイ
降下	名詞,サ変接続,*,*,*,*,降下,コウカ,コーカ
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
（	記号,括弧開,*,*,*,*,（,（,（
最急降下法	名詞,固有名詞,一般,*,*,*,最急降下法,サイキュウコウカホウ,サイキューコーカホー
，	記号,読点,*,*,*,*,，,，,，
確率的勾配降下法	名詞,固有名詞,一般,*,*,*,確率的勾配降下法,カクリツテキコウバイコウカホウ,カクリツテキコーバイコーカホー
）	記号,括弧閉,*,*,*,*,）,）,）
14	名詞,数,*,*,*,*,*
応用	名詞,サ変接続,*,*,*,*,応用,オウヨウ,オーヨー
トピックス	名詞,一般,*,*,*,*,トピックス,トピックス,トピックス
15	名詞,数,*,*,*,*,*
まとめ	名詞,一般,*,*,*,*,まとめ,マトメ,マトメ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
：	記号,一般,*,*,*,*,：,：,：
アナログ	名詞,一般,*,*,*,*,アナログ,アナログ,アナログ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ディジタル	名詞,一般,*,*,*,*,ディジタル,ディジタル,ディジタル
2	名詞,数,*,*,*,*,*
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
準備	名詞,サ変接続,*,*,*,*,準備,ジュンビ,ジュンビ
：	記号,一般,*,*,*,*,：,：,：
Octave	名詞,固有名詞,一般,*,*,*,Octave,オクターブ,オクターブ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
3	名詞,数,*,*,*,*,*
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
：	記号,一般,*,*,*,*,：,：,：
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
4	名詞,数,*,*,*,*,*
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
：	記号,一般,*,*,*,*,：,：,：
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
エンベロープ	名詞,一般,*,*,*,*,エンベロープ,エンベロープ,エンベロープ
5	名詞,数,*,*,*,*,*
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
：	記号,一般,*,*,*,*,：,：,：
ハーモニクス	名詞,固有名詞,一般,*,*,*,ハーモニクス,ハーモニクス,ハーモニクス
6	名詞,数,*,*,*,*,*
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
