ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
身の回り	名詞,一般,*,*,*,*,身の回り,ミノマワリ,ミノマワリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
コンピュータ	名詞,一般,*,*,*,*,コンピュータ,コンピュータ,コンピュータ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
内蔵	名詞,サ変接続,*,*,*,*,内蔵,ナイゾウ,ナイゾー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
機器	名詞,一般,*,*,*,*,機器,キキ,キキ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
多く	名詞,副詞可能,*,*,*,*,多く,オオク,オーク
使わ	動詞,自立,*,*,五段・ワ行促音便,未然形,使う,ツカワ,ツカワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
使わ	動詞,自立,*,*,五段・ワ行促音便,未然形,使う,ツカワ,ツカワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
コンピュータ	名詞,一般,*,*,*,*,コンピュータ,コンピュータ,コンピュータ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
機器	名詞,一般,*,*,*,*,機器,キキ,キキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
制御	名詞,サ変接続,*,*,*,*,制御,セイギョ,セイギョ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
情報	名詞,一般,*,*,*,*,情報,ジョウホウ,ジョーホー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
センサ	名詞,一般,*,*,*,*,川砂,センサ,センサ
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
計測	名詞,サ変接続,*,*,*,*,計測,ケイソク,ケイソク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
情報	名詞,一般,*,*,*,*,情報,ジョウホウ,ジョーホー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
プログラム	名詞,サ変接続,*,*,*,*,プログラム,プログラム,プログラム
に従って	助詞,格助詞,連語,*,*,*,に従って,ニシタガッテ,ニシタガッテ
処理	名詞,サ変接続,*,*,*,*,処理,ショリ,ショリ
・	記号,一般,*,*,*,*,・,・,・
判断	名詞,サ変接続,*,*,*,*,判断,ハンダン,ハンダン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、	記号,読点,*,*,*,*,、,、,、
機器	名詞,一般,*,*,*,*,機器,キキ,キキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
どおり	名詞,接尾,一般,*,*,*,どおり,ドオリ,ドーリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
制御	名詞,サ変接続,*,*,*,*,制御,セイギョ,セイギョ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
はたらき	名詞,一般,*,*,*,*,はたらき,ハタラキ,ハタラキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
計測	名詞,サ変接続,*,*,*,*,計測,ケイソク,ケイソク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
制御	名詞,サ変接続,*,*,*,*,制御,セイギョ,セイギョ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
座	名詞,一般,*,*,*,*,座,ザ,ザ
学	名詞,接尾,一般,*,*,*,学,ガク,ガク
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
を通じて	助詞,格助詞,連語,*,*,*,を通じて,ヲツウジテ,ヲツージテ
修得	名詞,サ変接続,*,*,*,*,修得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
望ましい	形容詞,自立,*,*,形容詞・イ段,基本形,望ましい,ノゾマシイ,ノゾマシイ
。	記号,句点,*,*,*,*,。,。,。
本	接頭詞,名詞接続,*,*,*,*,本,ホン,ホン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
シミュレーション	名詞,サ変接続,*,*,*,*,シミュレーション,シミュレーション,シミュレーション
を通して	助詞,格助詞,連語,*,*,*,を通して,ヲトオシテ,ヲトーシテ
簡単	名詞,形容動詞語幹,*,*,*,*,簡単,カンタン,カンタン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
制御	名詞,サ変接続,*,*,*,*,制御,セイギョ,セイギョ
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行い	動詞,自立,*,*,五段・ワ行促音便,連用形,行う,オコナイ,オコナイ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
働き	名詞,一般,*,*,*,*,働き,ハタラキ,ハタラキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
で	助詞,格助詞,一般,*,*,*,で,デ,デ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
事項	名詞,一般,*,*,*,*,事項,ジコウ,ジコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
計測	名詞,サ変接続,*,*,*,*,計測,ケイソク,ケイソク
・	記号,一般,*,*,*,*,・,・,・
制御	名詞,サ変接続,*,*,*,*,制御,セイギョ,セイギョ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
、	記号,読点,*,*,*,*,、,、,、
コンピュータ	名詞,一般,*,*,*,*,コンピュータ,コンピュータ,コンピュータ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
役割	名詞,一般,*,*,*,*,役割,ヤクワリ,ヤクワリ
、	記号,読点,*,*,*,*,、,、,、
センサ	名詞,一般,*,*,*,*,川砂,センサ,センサ
・	記号,一般,*,*,*,*,・,・,・
アクチュエータ	名詞,一般,*,*,*,*,アクチュエータ,アクチュエータ,アクチュエータ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原理	名詞,一般,*,*,*,*,原理,ゲンリ,ゲンリ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
仕組み	動詞,自立,*,*,五段・マ行,連用形,仕組む,シクミ,シクミ
、	記号,読点,*,*,*,*,、,、,、
シーケンス制御	名詞,固有名詞,一般,*,*,*,シーケンス制御,シーケンスセイギョ,シーケンスセイギョ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
フィードバック制御	名詞,固有名詞,一般,*,*,*,フィードバック制御,フィードバックセイギョ,フィードバックセイギョ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
違い	名詞,ナイ形容詞語幹,*,*,*,*,違い,チガイ,チガイ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
・	記号,一般,*,*,*,*,・,・,・
演習	名詞,サ変接続,*,*,*,*,演習,エンシュウ,エンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
・	記号,一般,*,*,*,*,・,・,・
はじめて	副詞,一般,*,*,*,*,はじめて,ハジメテ,ハジメテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
計測	名詞,サ変接続,*,*,*,*,計測,ケイソク,ケイソク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
制御	名詞,サ変接続,*,*,*,*,制御,セイギョ,セイギョ
、	記号,読点,*,*,*,*,、,、,、
間田	名詞,固有名詞,人名,姓,*,*,間田,マダ,マダ
泰弘	名詞,固有名詞,人名,名,*,*,泰弘,ヤスヒロ,ヤスヒロ
・	記号,一般,*,*,*,*,・,・,・
山本透	名詞,固有名詞,人名,一般,*,*,山本透,ヤマモトトオル,ヤマモトトール
、	記号,読点,*,*,*,*,、,、,、
トップマン	名詞,固有名詞,一般,*,*,*,TOPMAN,トップマン,トップマン
・	記号,一般,*,*,*,*,・,・,・
制御工学	名詞,固有名詞,一般,*,*,*,制御工学,セイギョコウガク,セイギョコーガク
～	記号,一般,*,*,*,*,*
技術者	名詞,固有名詞,一般,*,*,*,技術者,ギジュツシャ,ギジュツシャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
，	記号,読点,*,*,*,*,，,，,，
理論	名詞,一般,*,*,*,*,理論,リロン,リロン
・	記号,一般,*,*,*,*,・,・,・
設計	名詞,サ変接続,*,*,*,*,設計,セッケイ,セッケイ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
実装	名詞,サ変接続,*,*,*,*,実装,ジッソウ,ジッソー
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
～、	記号,一般,*,*,*,*,*
高等専門学校	名詞,固有名詞,一般,*,*,*,高等専門学校,コウトウセンモンガッコウ,コートーセンモンガッコー
制御工学	名詞,固有名詞,一般,*,*,*,制御工学,セイギョコウガク,セイギョコーガク
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
連携	名詞,サ変接続,*,*,*,*,連携,レンケイ,レンケイ
プロジェクト	名詞,一般,*,*,*,*,プロジェクト,プロジェクト,プロジェクト
、	記号,読点,*,*,*,*,、,、,、
実教出版	名詞,固有名詞,組織,*,*,*,実教出版,ジツキョウシュッパン,ジツキョーシュッパン
・	記号,一般,*,*,*,*,・,・,・
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
制御工学	名詞,固有名詞,一般,*,*,*,制御工学,セイギョコウガク,セイギョコーガク
，	記号,読点,*,*,*,*,，,，,，
森政弘	名詞,固有名詞,人名,一般,*,*,森政弘,モリマサヒロ,モリマサヒロ
，	記号,読点,*,*,*,*,，,，,，
小川	名詞,固有名詞,人名,姓,*,*,小川,オガワ,オガワ
鉱一	名詞,固有名詞,人名,名,*,*,鉱一,コウイチ,コーイチ
，	記号,読点,*,*,*,*,，,，,，
東京電機大学出版局	名詞,固有名詞,組織,*,*,*,東京電機大学出版局,トウキョウデンキダイガクシュッパンキョク,トーキョーデンキダイガクシュッパンキョク
・	記号,一般,*,*,*,*,・,・,・
制御工学	名詞,固有名詞,一般,*,*,*,制御工学,セイギョコウガク,セイギョコーガク
フィードバック制御	名詞,固有名詞,一般,*,*,*,フィードバック制御,フィードバックセイギョ,フィードバックセイギョ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
考え方	名詞,一般,*,*,*,*,考え方,カンガエカタ,カンガエカタ
，	記号,読点,*,*,*,*,，,，,，
斉藤	名詞,固有名詞,人名,姓,*,*,斉藤,サイトウ,サイトー
制	名詞,接尾,一般,*,*,*,制,セイ,セイ
海	名詞,一般,*,*,*,*,海,ウミ,ウミ
，	記号,読点,*,*,*,*,，,，,，
徐	名詞,固有名詞,人名,姓,*,*,徐,ジョ,ジョ
粒	名詞,接尾,一般,*,*,*,粒,ツブ,ツブ
，	記号,読点,*,*,*,*,，,，,，
森北出版	名詞,固有名詞,組織,*,*,*,森北出版,モリキタシュッパン,モリキタシュッパン
・	記号,一般,*,*,*,*,・,・,・
シーケンス制御	名詞,固有名詞,一般,*,*,*,シーケンス制御,シーケンスセイギョ,シーケンスセイギョ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
活用	名詞,サ変接続,*,*,*,*,活用,カツヨウ,カツヨー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
システム	名詞,一般,*,*,*,*,システム,システム,システム
づくり	名詞,接尾,一般,*,*,*,づくり,ヅクリ,ズクリ
入門	名詞,サ変接続,*,*,*,*,入門,ニュウモン,ニューモン
，	記号,読点,*,*,*,*,，,，,，
日野	名詞,固有名詞,人名,姓,*,*,日野,ヒノ,ヒノ
満司	名詞,固有名詞,人名,名,*,*,満司,マンジ,マンジ
・	記号,一般,*,*,*,*,・,・,・
熊谷	名詞,固有名詞,人名,姓,*,*,熊谷,クマガイ,クマガイ
英樹	名詞,固有名詞,人名,名,*,*,英樹,ヒデキ,ヒデキ
，	記号,読点,*,*,*,*,，,，,，
森北出版	名詞,固有名詞,組織,*,*,*,森北出版,モリキタシュッパン,モリキタシュッパン
・	記号,一般,*,*,*,*,・,・,・
絵解き	名詞,一般,*,*,*,*,絵解き,エトキ,エトキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル
機械	名詞,一般,*,*,*,*,機械,キカイ,キカイ
制御	名詞,サ変接続,*,*,*,*,制御,セイギョ,セイギョ
，	記号,読点,*,*,*,*,，,，,，
宇津木	名詞,固有名詞,人名,姓,*,*,宇津木,ウツキ,ウツキ
論	名詞,接尾,一般,*,*,*,論,ロン,ロン
，	記号,読点,*,*,*,*,，,，,，
オーム社	名詞,固有名詞,組織,*,*,*,オーム社,オームシャ,オームシャ
・	記号,一般,*,*,*,*,・,・,・
はじめて	副詞,一般,*,*,*,*,はじめて,ハジメテ,ハジメテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
制御工学	名詞,固有名詞,一般,*,*,*,制御工学,セイギョコウガク,セイギョコーガク
改訂	名詞,サ変接続,*,*,*,*,改訂,カイテイ,カイテイ
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
2	名詞,数,*,*,*,*,*
版	名詞,接尾,助数詞,*,*,*,版,ハン,ハン
，	記号,読点,*,*,*,*,，,，,，
佐藤和也	名詞,固有名詞,人名,一般,*,*,佐藤和也,サトウカズヤ,サトーカズヤ
，	記号,読点,*,*,*,*,，,，,，
平元和彦	名詞,固有名詞,人名,一般,*,*,平元和彦,ヒラモトカズヒコ,ヒラモトカズヒコ
，	記号,読点,*,*,*,*,，,，,，
平田研二	名詞,固有名詞,人名,一般,*,*,平田研二,ヒラタケンジ,ヒラタケンジ
，	記号,読点,*,*,*,*,，,，,，
講談社	名詞,固有名詞,組織,*,*,*,講談社,コウダンシャ,コーダンシャ
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
各回	名詞,一般,*,*,*,*,各回,カクカイ,カクカイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
演習問題	名詞,固有名詞,一般,*,*,*,演習問題,エンシュウモンダイ,エンシューモンダイ
（	記号,括弧開,*,*,*,*,（,（,（
50%	名詞,固有名詞,一般,*,*,*,50%,ゴジュウパーセント,ゴジュウパーセント
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
の	助詞,連体化,*,*,*,*,の,ノ,ノ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー
・	記号,一般,*,*,*,*,・,・,・
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
（	記号,括弧開,*,*,*,*,（,（,（
50%	名詞,固有名詞,一般,*,*,*,50%,ゴジュウパーセント,ゴジュウパーセント
）	記号,括弧閉,*,*,*,*,）,）,）
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
もと	名詞,一般,*,*,*,*,もと,モト,モト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
時数	名詞,一般,*,*,*,*,時数,ジスウ,ジスー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
3分の2	名詞,固有名詞,一般,*,*,*,3分の2,サンブンノニ,サンブンノニ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
満た	動詞,自立,*,*,五段・タ行,未然形,満つ,ミタ,ミタ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
、	記号,読点,*,*,*,*,、,、,、
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
の	助詞,連体化,*,*,*,*,の,ノ,ノ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
3分の2	名詞,固有名詞,一般,*,*,*,3分の2,サンブンノニ,サンブンノニ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
満た	動詞,自立,*,*,五段・タ行,未然形,満つ,ミタ,ミタ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
失格	名詞,サ変接続,*,*,*,*,失格,シッカク,シッカク
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
、	記号,読点,*,*,*,*,、,、,、
計測	名詞,サ変接続,*,*,*,*,計測,ケイソク,ケイソク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
制御	名詞,サ変接続,*,*,*,*,制御,セイギョ,セイギョ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
2	名詞,数,*,*,*,*,*
計測	名詞,サ変接続,*,*,*,*,計測,ケイソク,ケイソク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
制御	名詞,サ変接続,*,*,*,*,制御,セイギョ,セイギョ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
、	記号,読点,*,*,*,*,、,、,、
アクチュエータ	名詞,一般,*,*,*,*,アクチュエータ,アクチュエータ,アクチュエータ
、	記号,読点,*,*,*,*,、,、,、
センサ	名詞,一般,*,*,*,*,川砂,センサ,センサ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
種類	名詞,一般,*,*,*,*,種類,シュルイ,シュルイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
特性	名詞,一般,*,*,*,*,特性,トクセイ,トクセイ
3	名詞,数,*,*,*,*,*
シーケンス制御	名詞,固有名詞,一般,*,*,*,シーケンス制御,シーケンスセイギョ,シーケンスセイギョ
１	名詞,数,*,*,*,*,１,イチ,イチ
（	記号,括弧開,*,*,*,*,（,（,（
スイッチ	名詞,一般,*,*,*,*,スイッチ,スイッチ,スイッチ
、	記号,読点,*,*,*,*,、,、,、
実体	名詞,一般,*,*,*,*,実体,ジッタイ,ジッタイ
配線	名詞,サ変接続,*,*,*,*,配線,ハイセン,ハイセン
