ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
考え方	名詞,一般,*,*,*,*,考え方,カンガエカタ,カンガエカタ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
，	記号,読点,*,*,*,*,，,，,，
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
概要	名詞,一般,*,*,*,*,概要,ガイヨウ,ガイヨー
，	記号,読点,*,*,*,*,，,，,，
著作権	名詞,固有名詞,一般,*,*,*,著作権,チョサクケン,チョサクケン
等	名詞,接尾,一般,*,*,*,等,トウ,トー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せる	動詞,接尾,*,*,一段,基本形,せる,セル,セル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基本的	名詞,固有名詞,一般,*,*,*,基本的,キホンテキ,キホンテキ
理念	名詞,一般,*,*,*,*,理念,リネン,リネン
，	記号,読点,*,*,*,*,，,，,，
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
，	記号,読点,*,*,*,*,，,，,，
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
諸	接頭詞,名詞接続,*,*,*,*,諸,ショ,ショ
領域	名詞,一般,*,*,*,*,領域,リョウイキ,リョーイキ
(	記号,一般,*,*,*,*,*
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
、	記号,読点,*,*,*,*,、,、,、
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
対象	名詞,一般,*,*,*,*,対象,タイショウ,タイショー
，	記号,読点,*,*,*,*,，,，,，
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
類型	名詞,一般,*,*,*,*,類型,ルイケイ,ルイケイ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
)，	記号,一般,*,*,*,*,*
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
協力	名詞,サ変接続,*,*,*,*,協力,キョウリョク,キョーリョク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
概説	名詞,サ変接続,*,*,*,*,概説,ガイセツ,ガイセツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
配付	名詞,サ変接続,*,*,*,*,配付,ハイフ,ハイフ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
適宜	名詞,副詞可能,*,*,*,*,適宜,テキギ,テキギ
指示	名詞,サ変接続,*,*,*,*,指示,シジ,シジ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
筆記試験	名詞,固有名詞,一般,*,*,*,筆記試験,ヒッキシケン,ヒッキシケン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
公立図書館	名詞,固有名詞,一般,*,*,*,公立図書館,コウリツトショカン,コーリツトショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理念	名詞,一般,*,*,*,*,理念,リネン,リネン
知る権利	名詞,固有名詞,人名,一般,*,*,知る権利,シルケンリ,シルケンリ
、	記号,読点,*,*,*,*,、,、,、
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
権	名詞,接尾,一般,*,*,*,権,ケン,ケン
、	記号,読点,*,*,*,*,、,、,、
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
2	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
あゆみ	名詞,固有名詞,人名,名,*,*,あゆみ,アユミ,アユミ
①	記号,一般,*,*,*,*,*
戦後	名詞,副詞可能,*,*,*,*,戦後,センゴ,センゴ
初期	名詞,一般,*,*,*,*,初期,ショキ,ショキ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
、	記号,読点,*,*,*,*,、,、,、
中小	名詞,一般,*,*,*,*,中小,チュウショウ,チューショー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
3	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
あゆみ	名詞,固有名詞,人名,名,*,*,あゆみ,アユミ,アユミ
②	記号,一般,*,*,*,*,*
日野市立図書館	名詞,固有名詞,一般,*,*,*,日野市立図書館,ヒノシリツトショカン,ヒノシリツトショカン
、	記号,読点,*,*,*,*,、,、,、
市民の図書館	名詞,固有名詞,一般,*,*,*,市民の図書館,シミンノトショカン,シミンノトショカン
4	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
①	記号,一般,*,*,*,*,*
概説	名詞,サ変接続,*,*,*,*,概説,ガイセツ,ガイセツ
、	記号,読点,*,*,*,*,、,、,、
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
領域	名詞,一般,*,*,*,*,領域,リョウイキ,リョーイキ
5	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
②	記号,一般,*,*,*,*,*
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
人々	名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
①	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
③	記号,一般,*,*,*,*,*
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
人々	名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
②	記号,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
④	記号,一般,*,*,*,*,*
集会	名詞,サ変接続,*,*,*,*,集会,シュウカイ,シューカイ
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
、	記号,読点,*,*,*,*,、,、,、
展示	名詞,サ変接続,*,*,*,*,展示,テンジ,テンジ
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
、	記号,読点,*,*,*,*,、,、,、
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
8	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
⑤	記号,一般,*,*,*,*,*
地域づくり	名詞,固有名詞,一般,*,*,*,地域づくり,チイキヅクリ,チーキズクリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
9	名詞,数,*,*,*,*,*
都道府県立図書館	名詞,固有名詞,一般,*,*,*,都道府県立図書館,トドウフケンリツトショカン,トドーフケンリツトショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
役割	名詞,一般,*,*,*,*,役割,ヤクワリ,ヤクワリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
①	記号,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
都道府県立図書館	名詞,固有名詞,一般,*,*,*,都道府県立図書館,トドウフケンリツトショカン,トドーフケンリツトショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
役割	名詞,一般,*,*,*,*,役割,ヤクワリ,ヤクワリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
②	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
支える	動詞,自立,*,*,一段,基本形,支える,ササエル,ササエル
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
職員	名詞,一般,*,*,*,*,職員,ショクイン,ショクイン
①	記号,一般,*,*,*,*,*
司書	名詞,一般,*,*,*,*,司書,シショ,シショ
職	名詞,接尾,一般,*,*,*,職,ショク,ショク
制度	名詞,一般,*,*,*,*,制度,セイド,セイド
論	名詞,接尾,一般,*,*,*,論,ロン,ロン
12	名詞,数,*,*,*,*,*
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
支える	動詞,自立,*,*,一段,基本形,支える,ササエル,ササエル
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
職員	名詞,一般,*,*,*,*,職員,ショクイン,ショクイン
②	記号,一般,*,*,*,*,*
職員	名詞,一般,*,*,*,*,職員,ショクイン,ショクイン
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
今日	名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
13	名詞,数,*,*,*,*,*
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
現代的	名詞,固有名詞,一般,*,*,*,現代的,ゲンダイテキ,ゲンダイテキ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
①	記号,一般,*,*,*,*,*
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
14	名詞,数,*,*,*,*,*
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
現代的	名詞,固有名詞,一般,*,*,*,現代的,ゲンダイテキ,ゲンダイテキ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
②	記号,一般,*,*,*,*,*
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
公共性	名詞,固有名詞,一般,*,*,*,公共性,コウキョウセイ,コーキョーセイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
共同	名詞,サ変接続,*,*,*,*,共同,キョウドウ,キョードー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
15	名詞,数,*,*,*,*,*
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
公立図書館	名詞,固有名詞,一般,*,*,*,公立図書館,コウリツトショカン,コーリツトショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理念	名詞,一般,*,*,*,*,理念,リネン,リネン
知る権利	名詞,固有名詞,人名,一般,*,*,知る権利,シルケンリ,シルケンリ
、	記号,読点,*,*,*,*,、,、,、
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
権	名詞,接尾,一般,*,*,*,権,ケン,ケン
、	記号,読点,*,*,*,*,、,、,、
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
2	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
あゆみ	名詞,固有名詞,人名,名,*,*,あゆみ,アユミ,アユミ
①	記号,一般,*,*,*,*,*
戦後	名詞,副詞可能,*,*,*,*,戦後,センゴ,センゴ
初期	名詞,一般,*,*,*,*,初期,ショキ,ショキ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
、	記号,読点,*,*,*,*,、,、,、
中小	名詞,一般,*,*,*,*,中小,チュウショウ,チューショー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
3	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
あゆみ	名詞,固有名詞,人名,名,*,*,あゆみ,アユミ,アユミ
②	記号,一般,*,*,*,*,*
日野市立図書館	名詞,固有名詞,一般,*,*,*,日野市立図書館,ヒノシリツトショカン,ヒノシリツトショカン
、	記号,読点,*,*,*,*,、,、,、
市民の図書館	名詞,固有名詞,一般,*,*,*,市民の図書館,シミンノトショカン,シミンノトショカン
4	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
①	記号,一般,*,*,*,*,*
概説	名詞,サ変接続,*,*,*,*,概説,ガイセツ,ガイセツ
、	記号,読点,*,*,*,*,、,、,、
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
領域	名詞,一般,*,*,*,*,領域,リョウイキ,リョーイキ
5	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
②	記号,一般,*,*,*,*,*
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
人々	名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
①	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
③	記号,一般,*,*,*,*,*
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
人々	名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
②	記号,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
④	記号,一般,*,*,*,*,*
集会	名詞,サ変接続,*,*,*,*,集会,シュウカイ,シューカイ
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
、	記号,読点,*,*,*,*,、,、,、
展示	名詞,サ変接続,*,*,*,*,展示,テンジ,テンジ
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
、	記号,読点,*,*,*,*,、,、,、
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
8	名詞,数,*,*,*,*,*
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
⑤	記号,一般,*,*,*,*,*
地域づくり	名詞,固有名詞,一般,*,*,*,地域づくり,チイキヅクリ,チーキズクリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
図書館	名詞,一般,*,*,*,*,図書館,トショカン,トショカン
9	名詞,数,*,*,*,*,*
都道府県立図書館	名詞,固有名詞,一般,*,*,*,都道府県立図書館,トドウフケンリツトショカン,トドーフケンリツトショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
役割	名詞,一般,*,*,*,*,役割,ヤクワリ,ヤクワリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
①	記号,一般,*,*,*,*,*
10	名詞,数,*,*,*,*,*
都道府県立図書館	名詞,固有名詞,一般,*,*,*,都道府県立図書館,トドウフケンリツトショカン,トドーフケンリツトショカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
役割	名詞,一般,*,*,*,*,役割,ヤクワリ,ヤクワリ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
②	記号,一般,*,*,*,*,*
11	名詞,数,*,*,*,*,*
サービス	名詞,サ変接続,*,*,*,*,サービス,サービス,サービス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
