ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
国内外	名詞,一般,*,*,*,*,国内外,コクナイガイ,コクナイガイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
博物館	名詞,一般,*,*,*,*,博物館,ハクブツカン,ハクブツカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
、	記号,読点,*,*,*,*,、,、,、
展示	名詞,サ変接続,*,*,*,*,展示,テンジ,テンジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
事例	名詞,一般,*,*,*,*,事例,ジレイ,ジレイ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
画像	名詞,一般,*,*,*,*,画像,ガゾウ,ガゾー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
メディア	名詞,一般,*,*,*,*,メディア,メディア,メディア
の	助詞,連体化,*,*,*,*,の,ノ,ノ
種別	名詞,サ変接続,*,*,*,*,種別,シュベツ,シュベツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
・	記号,一般,*,*,*,*,・,・,・
広報	名詞,サ変接続,*,*,*,*,広報,コウホウ,コーホー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
伝わる	動詞,自立,*,*,五段・ラ行,基本形,伝わる,ツタワル,ツタワル
スキル	名詞,一般,*,*,*,*,スキル,スキル,スキル
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
２	名詞,数,*,*,*,*,２,ニ,ニ
）	記号,括弧閉,*,*,*,*,）,）,）
複製	名詞,サ変接続,*,*,*,*,複製,フクセイ,フクセイ
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
・	記号,一般,*,*,*,*,・,・,・
デジタル技術	名詞,一般,*,*,*,*,デジタル技術,デジタルギジュツ,デジタルギジュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
使っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,使う,ツカッ,ツカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
博物館	名詞,一般,*,*,*,*,博物館,ハクブツカン,ハクブツカン
・	記号,一般,*,*,*,*,・,・,・
美術館	名詞,一般,*,*,*,*,美術館,ビジュツカン,ビジュツカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
新た	名詞,形容動詞語幹,*,*,*,*,新た,アラタ,アラタ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
３	名詞,数,*,*,*,*,３,サン,サン
）	記号,括弧閉,*,*,*,*,）,）,）
デジタルアーカイブ	名詞,固有名詞,一般,*,*,*,デジタルアーカイブ,デジタルアーカイブ,デジタルアーカイブ
・	記号,一般,*,*,*,*,・,・,・
収蔵品	名詞,固有名詞,一般,*,*,*,収蔵品,シュウゾウヒン,シューゾーヒン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
デジタル化	名詞,固有名詞,一般,*,*,*,デジタル化,デジタルカ,デジタルカ
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
博物館	名詞,一般,*,*,*,*,博物館,ハクブツカン,ハクブツカン
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
美術館	名詞,一般,*,*,*,*,美術館,ビジュツカン,ビジュツカン
，	記号,読点,*,*,*,*,，,，,，
科学館	名詞,固有名詞,一般,*,*,*,科学館,カガクカン,カガクカン
、	記号,読点,*,*,*,*,、,、,、
動物園	名詞,固有名詞,地域,一般,*,*,動物園,ドウブツエン,ドーブツエン
、	記号,読点,*,*,*,*,、,、,、
水族館	名詞,一般,*,*,*,*,水族館,スイゾクカン,スイゾクカン
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
作品	名詞,一般,*,*,*,*,作品,サクヒン,サクヒン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
収集	名詞,サ変接続,*,*,*,*,収集,シュウシュウ,シューシュー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
保存	名詞,サ変接続,*,*,*,*,保存,ホゾン,ホゾン
、	記号,読点,*,*,*,*,、,、,、
活用	名詞,サ変接続,*,*,*,*,活用,カツヨウ,カツヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
事例	名詞,一般,*,*,*,*,事例,ジレイ,ジレイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
数多く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,数多い,カズオオク,カズオーク
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
デジタルアーカイブ	名詞,固有名詞,一般,*,*,*,デジタルアーカイブ,デジタルアーカイブ,デジタルアーカイブ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
データベース	名詞,一般,*,*,*,*,データベース,データベース,データベース
、	記号,読点,*,*,*,*,、,、,、
メディア	名詞,一般,*,*,*,*,メディア,メディア,メディア
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
使っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,使う,ツカッ,ツカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
展示	名詞,サ変接続,*,*,*,*,展示,テンジ,テンジ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
国内外	名詞,一般,*,*,*,*,国内外,コクナイガイ,コクナイガイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
具体	名詞,一般,*,*,*,*,具体,グタイ,グタイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
事例	名詞,一般,*,*,*,*,事例,ジレイ,ジレイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
画像	名詞,一般,*,*,*,*,画像,ガゾウ,ガゾー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
メディア	名詞,一般,*,*,*,*,メディア,メディア,メディア
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
、	記号,読点,*,*,*,*,、,、,、
実例	名詞,一般,*,*,*,*,実例,ジツレイ,ジツレイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
示し	動詞,自立,*,*,五段・サ行,連用形,示す,シメシ,シメシ
、	記号,読点,*,*,*,*,、,、,、
記録	名詞,サ変接続,*,*,*,*,記録,キロク,キロク
表現メディア	名詞,固有名詞,一般,*,*,*,表現メディア,ヒョウゲンメディア,ヒョーゲンメディア
の	助詞,連体化,*,*,*,*,の,ノ,ノ
種別	名詞,サ変接続,*,*,*,*,種別,シュベツ,シュベツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
（	記号,括弧開,*,*,*,*,（,（,（
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
電子メディア	名詞,固有名詞,一般,*,*,*,電子メディア,デンシメディア,デンシメディア
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
概観	名詞,サ変接続,*,*,*,*,概観,ガイカン,ガイカン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
学芸員	名詞,固有名詞,一般,*,*,*,学芸員,ガクゲイイン,ガクゲイイン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト
、	記号,読点,*,*,*,*,、,、,、
デジタル技術	名詞,一般,*,*,*,*,デジタル技術,デジタルギジュツ,デジタルギジュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
使っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,使う,ツカッ,ツカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
事例	名詞,一般,*,*,*,*,事例,ジレイ,ジレイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
パワーポイント	名詞,固有名詞,一般,*,*,*,PowerPoint,パワーポイント,パワーポイント
で	助詞,格助詞,一般,*,*,*,で,デ,デ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
教材	名詞,一般,*,*,*,*,教材,キョウザイ,キョーザイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
配信	名詞,サ変接続,*,*,*,*,配信,ハイシン,ハイシン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
プロジェクター	名詞,一般,*,*,*,*,プロジェクター,プロジェクター,プロジェクター
で	助詞,格助詞,一般,*,*,*,で,デ,デ
投影	名詞,サ変接続,*,*,*,*,投影,トウエイ,トーエイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
URL	名詞,固有名詞,一般,*,*,*,URL,ユーアールエル,ユーアールエル
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
数	名詞,接尾,一般,*,*,*,数,スウ,スー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
の	助詞,連体化,*,*,*,*,の,ノ,ノ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
博物館	名詞,一般,*,*,*,*,博物館,ハクブツカン,ハクブツカン
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
デジタル技術	名詞,一般,*,*,*,*,デジタル技術,デジタルギジュツ,デジタルギジュツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
活用	名詞,サ変接続,*,*,*,*,活用,カツヨウ,カツヨー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
」	記号,括弧閉,*,*,*,*,」,」,」
、	記号,読点,*,*,*,*,、,、,、
遠隔	名詞,一般,*,*,*,*,遠隔,エンカク,エンカク
式	名詞,接尾,一般,*,*,*,式,シキ,シキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
配信	名詞,サ変接続,*,*,*,*,配信,ハイシン,ハイシン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
教材	名詞,一般,*,*,*,*,教材,キョウザイ,キョーザイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
事例	名詞,一般,*,*,*,*,事例,ジレイ,ジレイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
いくつか	名詞,一般,*,*,*,*,いくつか,イクツカ,イクツカ
参照	名詞,サ変接続,*,*,*,*,参照,サンショウ,サンショー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
意見	名詞,サ変接続,*,*,*,*,意見,イケン,イケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
記述	名詞,サ変接続,*,*,*,*,記述,キジュツ,キジュツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
下さい	動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,下さる,クダサイ,クダサイ
。	記号,句点,*,*,*,*,。,。,。
対面	名詞,サ変接続,*,*,*,*,対面,タイメン,タイメン
式	名詞,接尾,一般,*,*,*,式,シキ,シキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
教室	名詞,一般,*,*,*,*,教室,キョウシツ,キョーシツ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
プロジェクター	名詞,一般,*,*,*,*,プロジェクター,プロジェクター,プロジェクター
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
投影	名詞,サ変接続,*,*,*,*,投影,トウエイ,トーエイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
A	名詞,一般,*,*,*,*,*
４	名詞,数,*,*,*,*,４,ヨン,ヨン
横書き	名詞,一般,*,*,*,*,横書き,ヨコガキ,ヨコガキ
１	名詞,数,*,*,*,*,１,イチ,イチ
枚	名詞,接尾,助数詞,*,*,*,枚,マイ,マイ
～	記号,一般,*,*,*,*,*
３枚	名詞,固有名詞,一般,*,*,*,3枚,サンマイ,サンマイ
程度	名詞,接尾,一般,*,*,*,程度,テイド,テイド
字数制限	名詞,固有名詞,一般,*,*,*,字数制限,ジスウセイゲン,ジスーセイゲン
なし	形容詞,自立,*,*,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ
、	記号,読点,*,*,*,*,、,、,、
最終	名詞,一般,*,*,*,*,最終,サイシュウ,サイシュー
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
終了	名詞,サ変接続,*,*,*,*,終了,シュウリョウ,シューリョー
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
１週間	名詞,固有名詞,一般,*,*,*,1週間,イッシュウカン,イッシューカン
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
送信	名詞,サ変接続,*,*,*,*,送信,ソウシン,ソーシン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
下さい	動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,下さる,クダサイ,クダサイ
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
博物館	名詞,一般,*,*,*,*,博物館,ハクブツカン,ハクブツカン
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
美術館	名詞,一般,*,*,*,*,美術館,ビジュツカン,ビジュツカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
設備	名詞,サ変接続,*,*,*,*,設備,セツビ,セツビ
・	記号,一般,*,*,*,*,・,・,・
バックヤード	名詞,固有名詞,地域,一般,*,*,バックヤード,バックヤード,バックヤード
・	記号,一般,*,*,*,*,・,・,・
災害	名詞,一般,*,*,*,*,災害,サイガイ,サイガイ
対策	名詞,サ変接続,*,*,*,*,対策,タイサク,タイサク
」	記号,括弧閉,*,*,*,*,」,」,」
2	名詞,数,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
博物館	名詞,一般,*,*,*,*,博物館,ハクブツカン,ハクブツカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
広報活動	名詞,固有名詞,一般,*,*,*,広報活動,コウホウカツドウ,コーホーカツドー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
情報提供	名詞,固有名詞,一般,*,*,*,情報提供,ジョウホウテイキョウ,ジョーホーテイキョー
・	記号,一般,*,*,*,*,・,・,・
チラシ	名詞,一般,*,*,*,*,チラシ,チラシ,チラシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
効果	名詞,一般,*,*,*,*,効果,コウカ,コーカ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
手順	名詞,一般,*,*,*,*,手順,テジュン,テジュン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
視覚効果	名詞,固有名詞,一般,*,*,*,視覚効果,シカクコウカ,シカクコーカ
・	記号,一般,*,*,*,*,・,・,・
動画配信	名詞,固有名詞,一般,*,*,*,動画配信,ドウガハイシン,ドーガハイシン
」	記号,括弧閉,*,*,*,*,」,」,」
3	名詞,数,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
印刷	名詞,サ変接続,*,*,*,*,印刷,インサツ,インサツ
デザイン	名詞,サ変接続,*,*,*,*,デザイン,デザイン,デザイン
・	記号,一般,*,*,*,*,・,・,・
色	名詞,一般,*,*,*,*,色,イロ,イロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
組合せ	名詞,一般,*,*,*,*,組合せ,クミアワセ,クミアワセ
・	記号,一般,*,*,*,*,・,・,・
webデザイン	名詞,固有名詞,一般,*,*,*,Webデザイン,ウェブデザイン,ウェブデザイン
・	記号,一般,*,*,*,*,・,・,・
浮世絵	名詞,一般,*,*,*,*,浮世絵,ウキヨエ,ウキヨエ
・	記号,一般,*,*,*,*,・,・,・
自画	名詞,一般,*,*,*,*,自画,ジガ,ジガ
像	名詞,接尾,一般,*,*,*,像,ゾウ,ゾー
・	記号,一般,*,*,*,*,・,・,・
名品	名詞,一般,*,*,*,*,名品,メイヒン,メイヒン
絵画	名詞,一般,*,*,*,*,絵画,カイガ,カイガ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構図	名詞,一般,*,*,*,*,構図,コウズ,コーズ
」	記号,括弧閉,*,*,*,*,」,」,」
4	名詞,数,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
場所	名詞,一般,*,*,*,*,場所,バショ,バショ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
もつ	動詞,自立,*,*,五段・タ行,基本形,もつ,モツ,モツ
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ
・	記号,一般,*,*,*,*,・,・,・
作品	名詞,一般,*,*,*,*,作品,サクヒン,サクヒン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
設置	名詞,サ変接続,*,*,*,*,設置,セッチ,セッチ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
場所	名詞,一般,*,*,*,*,場所,バショ,バショ
・	記号,一般,*,*,*,*,・,・,・
作品	名詞,一般,*,*,*,*,作品,サクヒン,サクヒン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
空間	名詞,一般,*,*,*,*,空間,クウカン,クーカン
・	記号,一般,*,*,*,*,・,・,・
パブリックアート	名詞,固有名詞,一般,*,*,*,パブリックアート,パブリックアート,パブリックアート
」	記号,括弧閉,*,*,*,*,」,」,」
5	名詞,数,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
絵画	名詞,一般,*,*,*,*,絵画,カイガ,カイガ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
複製	名詞,サ変接続,*,*,*,*,複製,フクセイ,フクセイ
画	名詞,接尾,一般,*,*,*,画,ガ,ガ
・	記号,一般,*,*,*,*,・,・,・
実物	名詞,一般,*,*,*,*,実物,ジツブツ,ジツブツ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
複製	名詞,サ変接続,*,*,*,*,複製,フクセイ,フクセイ
・	記号,一般,*,*,*,*,・,・,・
修復	名詞,サ変接続,*,*,*,*,修復,シュウフク,シューフク
・	記号,一般,*,*,*,*,・,・,・
