ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
インタラクティヴ	名詞,一般,*,*,*,*,*
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ダイナミズム	名詞,一般,*,*,*,*,ダイナミズム,ダイナミズム,ダイナミズム
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
明らか	名詞,形容動詞語幹,*,*,*,*,明らか,アキラカ,アキラカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
演劇の歴史	名詞,固有名詞,一般,*,*,*,演劇の歴史,エンゲキノレキシ,エンゲキノレキシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
，	記号,読点,*,*,*,*,，,，,，
テクスト	名詞,一般,*,*,*,*,テクスト,テクスト,テクスト
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
，	記号,読点,*,*,*,*,，,，,，
パフォーマンス	名詞,一般,*,*,*,*,パフォーマンス,パフォーマンス,パフォーマンス
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
たどる	動詞,自立,*,*,五段・ラ行,基本形,たどる,タドル,タドル
。	記号,句点,*,*,*,*,。,。,。
シェイクスピア	名詞,固有名詞,人名,姓,*,*,シェイクスピア,シェイクスピア,シェイクスピア
の	助詞,連体化,*,*,*,*,の,ノ,ノ
受容	名詞,サ変接続,*,*,*,*,受容,ジュヨウ,ジュヨー
・	記号,一般,*,*,*,*,・,・,・
上演	名詞,サ変接続,*,*,*,*,上演,ジョウエン,ジョーエン
史	名詞,接尾,一般,*,*,*,史,シ,シ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考察	名詞,サ変接続,*,*,*,*,考察,コウサツ,コーサツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
，	記号,読点,*,*,*,*,，,，,，
自明	名詞,形容動詞語幹,*,*,*,*,自明,ジメイ,ジメイ
視	名詞,接尾,サ変接続,*,*,*,視,シ,シ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
がち	名詞,接尾,形容動詞語幹,*,*,*,がち,ガチ,ガチ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
「	記号,括弧開,*,*,*,*,「,「,「
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ
」	記号,括弧閉,*,*,*,*,」,」,」
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
「	記号,括弧開,*,*,*,*,「,「,「
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
」	記号,括弧閉,*,*,*,*,」,」,」
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
相対	名詞,一般,*,*,*,*,相対,ソウタイ,ソータイ
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
定め	動詞,自立,*,*,一段,未然形,定める,サダメ,サダメ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
サウンディングズ	名詞,一般,*,*,*,*,*
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
英米	名詞,固有名詞,一般,*,*,*,英米,エイベイ,エイベイ
文学	名詞,一般,*,*,*,*,文学,ブンガク,ブンガク
会	名詞,接尾,一般,*,*,*,会,カイ,カイ
（	記号,括弧開,*,*,*,*,（,（,（
編	名詞,一般,*,*,*,*,編,ヘン,ヘン
）	記号,括弧閉,*,*,*,*,）,）,）
『	記号,括弧開,*,*,*,*,『,『,『
書斎	名詞,一般,*,*,*,*,書斎,ショサイ,ショサイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
外	名詞,一般,*,*,*,*,外,ソト,ソト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
シェイクスピア	名詞,固有名詞,人名,姓,*,*,シェイクスピア,シェイクスピア,シェイクスピア
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
金	名詞,固有名詞,人名,姓,*,*,金,キム,キム
聖堂	名詞,一般,*,*,*,*,聖堂,セイドウ,セイドー
）	記号,括弧閉,*,*,*,*,）,）,）
宮川	名詞,固有名詞,人名,姓,*,*,宮川,ミヤガワ,ミヤガワ
朝子	名詞,固有名詞,人名,名,*,*,朝子,アサコ,アサコ
『	記号,括弧開,*,*,*,*,『,『,『
イギリス	名詞,固有名詞,地域,国,*,*,イギリス,イギリス,イギリス
中世	名詞,一般,*,*,*,*,中世,チュウセイ,チューセイ
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
変容	名詞,サ変接続,*,*,*,*,変容,ヘンヨウ,ヘンヨー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
英宝社	名詞,固有名詞,一般,*,*,*,英宝社,エイホウシャ,エイホウシャ
）	記号,括弧閉,*,*,*,*,）,）,）
ホッジス	名詞,固有名詞,一般,*,*,*,ホッジス,ホッジス,ホッジス
『	記号,括弧開,*,*,*,*,『,『,『
シェイクスピア	名詞,固有名詞,人名,姓,*,*,シェイクスピア,シェイクスピア,シェイクスピア
の	助詞,連体化,*,*,*,*,の,ノ,ノ
劇場	名詞,一般,*,*,*,*,劇場,ゲキジョウ,ゲキジョー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
ちくま文庫	名詞,固有名詞,一般,*,*,*,ちくま文庫,チクマブンコ,チクマブンコ
）	記号,括弧閉,*,*,*,*,）,）,）
松田隆美	名詞,固有名詞,人名,一般,*,*,松田隆美,マツダタカミ,マツダタカミ
（	記号,括弧開,*,*,*,*,（,（,（
編	名詞,一般,*,*,*,*,編,ヘン,ヘン
）	記号,括弧閉,*,*,*,*,）,）,）
『	記号,括弧開,*,*,*,*,『,『,『
イギリス	名詞,固有名詞,地域,国,*,*,イギリス,イギリス,イギリス
中世	名詞,一般,*,*,*,*,中世,チュウセイ,チューセイ
・	記号,一般,*,*,*,*,・,・,・
チューダー朝	名詞,固有名詞,一般,*,*,*,チューダー朝,チューダーチョウ,チューダーチョー
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ
事典	名詞,一般,*,*,*,*,事典,ジテン,ジテン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
慶應義塾大学出版会	名詞,固有名詞,一般,*,*,*,慶應義塾大学出版会,ケイオウギジュクダイガクシュッパンカイ,ケイオーギジュクダイガクシュッパンカイ
）	記号,括弧閉,*,*,*,*,）,）,）
小林	名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ
潤司	名詞,固有名詞,人名,名,*,*,潤司,ジユンジ,ジユンジ
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
『	記号,括弧開,*,*,*,*,『,『,『
シェイクスピア	名詞,固有名詞,人名,姓,*,*,シェイクスピア,シェイクスピア,シェイクスピア
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
松籟社	名詞,固有名詞,一般,*,*,*,松籟社,ショウライシャ,ショーライシャ
）	記号,括弧閉,*,*,*,*,）,）,）
日本シェイクスピア協会	名詞,固有名詞,組織,*,*,*,日本シェイクスピア協会,ニホンシェイクスピアキョウカイ,ニホンシェイクスピアキョーカイ
（	記号,括弧開,*,*,*,*,（,（,（
編	名詞,一般,*,*,*,*,編,ヘン,ヘン
）	記号,括弧閉,*,*,*,*,）,）,）
『	記号,括弧開,*,*,*,*,『,『,『
新編	名詞,一般,*,*,*,*,新編,シンペン,シンペン
シェイクスピア	名詞,固有名詞,人名,姓,*,*,シェイクスピア,シェイクスピア,シェイクスピア
案内	名詞,サ変接続,*,*,*,*,案内,アンナイ,アンナイ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
研究社	名詞,固有名詞,一般,*,*,*,研究社,ケンキュウシャ,ケンキューシャ
）	記号,括弧閉,*,*,*,*,）,）,）
ブレイニー	名詞,一般,*,*,*,*,*
『	記号,括弧開,*,*,*,*,『,『,『
シェイクスピア	名詞,固有名詞,人名,姓,*,*,シェイクスピア,シェイクスピア,シェイクスピア
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ファースト・フォリオ	名詞,固有名詞,一般,*,*,*,ファースト・フォリオ,ファーストフォリオ,ファーストフォリオ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
水声社	名詞,固有名詞,一般,*,*,*,水声社,スイセイシャ,スイセイシャ
）	記号,括弧閉,*,*,*,*,）,）,）
鹿児島	名詞,固有名詞,地域,一般,*,*,鹿児島,カゴシマ,カゴシマ
近代	名詞,一般,*,*,*,*,近代,キンダイ,キンダイ
初期	名詞,一般,*,*,*,*,初期,ショキ,ショキ
英国	名詞,固有名詞,地域,国,*,*,英国,エイコク,エイコク
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ
研究	名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
会	名詞,接尾,一般,*,*,*,会,カイ,カイ
（	記号,括弧開,*,*,*,*,（,（,（
訳	名詞,一般,*,*,*,*,訳,ワケ,ワケ
）	記号,括弧閉,*,*,*,*,）,）,）
『	記号,括弧開,*,*,*,*,『,『,『
王政復古	名詞,固有名詞,一般,*,*,*,王政復古,オウセイフッコ,オーセイフッコ
期	名詞,接尾,一般,*,*,*,期,キ,キ
シェイクスピア	名詞,固有名詞,人名,姓,*,*,シェイクスピア,シェイクスピア,シェイクスピア
改作	名詞,サ変接続,*,*,*,*,改作,カイサク,カイサク
戯曲	名詞,一般,*,*,*,*,戯曲,ギキョク,ギキョク
選集	名詞,一般,*,*,*,*,選集,センシュウ,センシュー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
九州大学出版会	名詞,固有名詞,一般,*,*,*,九州大学出版会,キュウシュウダイガクシュッパンカイ,キューシューダイガクシュッパンカイ
）	記号,括弧閉,*,*,*,*,）,）,）
喜志哲雄	名詞,固有名詞,人名,一般,*,*,喜志哲雄,キシテツオ,キシテツオ
（	記号,括弧開,*,*,*,*,（,（,（
監修	名詞,サ変接続,*,*,*,*,監修,カンシュウ,カンシュー
）	記号,括弧閉,*,*,*,*,）,）,）
『	記号,括弧開,*,*,*,*,『,『,『
イギリス	名詞,固有名詞,地域,国,*,*,イギリス,イギリス,イギリス
王政復古	名詞,固有名詞,一般,*,*,*,王政復古,オウセイフッコ,オーセイフッコ
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ
案内	名詞,サ変接続,*,*,*,*,案内,アンナイ,アンナイ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
松柏社	名詞,固有名詞,組織,*,*,*,松柏社,ショウハクシャ,ショーハクシャ
）	記号,括弧閉,*,*,*,*,）,）,）
安田	名詞,固有名詞,人名,姓,*,*,安田,ヤスダ,ヤスダ
蓁	名詞,固有名詞,人名,姓,*,*,蓁,シン,シン
『	記号,括弧開,*,*,*,*,『,『,『
チャールズ・ラム	名詞,固有名詞,人名,一般,*,*,チャールズ・ラム,チャールズラム,チャールズラム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ
論	名詞,接尾,一般,*,*,*,論,ロン,ロン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ
教育図書	名詞,固有名詞,一般,*,*,*,教育図書,キョウイクトショ,キョーイクトショ
）	記号,括弧閉,*,*,*,*,）,）,）
川島健	名詞,固有名詞,人名,一般,*,*,川島健,カワシマタケシ,カワシマタケシ
『	記号,括弧開,*,*,*,*,『,『,『
演出家	名詞,固有名詞,人名,一般,*,*,演出家,エンシュツカ,エンシュツカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
誕生	名詞,サ変接続,*,*,*,*,誕生,タンジョウ,タンジョー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
彩流社	名詞,固有名詞,一般,*,*,*,彩流社,サイリュウシャ,サイリューシャ
）	記号,括弧閉,*,*,*,*,）,）,）
梅山	名詞,固有名詞,人名,姓,*,*,梅山,ウメヤマ,ウメヤマ
いつき	動詞,自立,*,*,五段・カ行イ音便,連用形,いつく,イツキ,イツキ
『	記号,括弧開,*,*,*,*,『,『,『
アングラ演劇	名詞,固有名詞,一般,*,*,*,アングラ演劇,アングラエンゲキ,アングラエンゲキ
論	名詞,接尾,一般,*,*,*,論,ロン,ロン
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
作品社	名詞,固有名詞,組織,*,*,*,作品社,サクヒンシャ,サクヒンシャ
）	記号,括弧閉,*,*,*,*,）,）,）
佐々木健一	名詞,固有名詞,人名,一般,*,*,佐々木健一,ササキケンイチ,ササキケンイチ
『	記号,括弧開,*,*,*,*,『,『,『
演出	名詞,サ変接続,*,*,*,*,演出,エンシュツ,エンシュツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
春秋社	名詞,固有名詞,組織,*,*,*,春秋社,シュンジュウシャ,シュンジューシャ
）	記号,括弧閉,*,*,*,*,）,）,）
扇田昭彦	名詞,固有名詞,人名,一般,*,*,扇田昭彦,センダアキヒコ,センダアキヒコ
『	記号,括弧開,*,*,*,*,『,『,『
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
現代	名詞,一般,*,*,*,*,現代,ゲンダイ,ゲンダイ
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
岩波新書	名詞,固有名詞,一般,*,*,*,岩波新書,イワナミシンショ,イワナミシンショ
）	記号,括弧閉,*,*,*,*,）,）,）
鈴木忠志	名詞,固有名詞,人名,一般,*,*,鈴木忠志,スズキタダシ,スズキタダシ
『	記号,括弧開,*,*,*,*,『,『,『
演出家	名詞,固有名詞,人名,一般,*,*,演出家,エンシュツカ,エンシュツカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
発想	名詞,サ変接続,*,*,*,*,発想,ハッソウ,ハッソー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
太田出版	名詞,固有名詞,組織,*,*,*,太田出版,オオタシュッパン,オータシュッパン
）	記号,括弧閉,*,*,*,*,）,）,）
――	記号,一般,*,*,*,*,――,――,――
―	記号,一般,*,*,*,*,―,―,―
『	記号,括弧開,*,*,*,*,『,『,『
内角	名詞,一般,*,*,*,*,内角,ナイカク,ナイカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
和	名詞,一般,*,*,*,*,和,ワ,ワ
Ⅰ	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
而立	名詞,一般,*,*,*,*,而立,ジリツ,ジリツ
書房	名詞,一般,*,*,*,*,書房,ショボウ,ショボー
）	記号,括弧閉,*,*,*,*,）,）,）
――	記号,一般,*,*,*,*,――,――,――
―	記号,一般,*,*,*,*,―,―,―
『	記号,括弧開,*,*,*,*,『,『,『
内角	名詞,一般,*,*,*,*,内角,ナイカク,ナイカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
和	名詞,一般,*,*,*,*,和,ワ,ワ
Ⅱ	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
而立	名詞,一般,*,*,*,*,而立,ジリツ,ジリツ
書房	名詞,一般,*,*,*,*,書房,ショボウ,ショボー
）	記号,括弧閉,*,*,*,*,）,）,）
扇田昭彦	名詞,固有名詞,人名,一般,*,*,扇田昭彦,センダアキヒコ,センダアキヒコ
『	記号,括弧開,*,*,*,*,『,『,『
蜷川幸雄	名詞,固有名詞,人名,一般,*,*,蜷川幸雄,ニナガワユキオ,ニナガワユキオ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
劇	名詞,一般,*,*,*,*,劇,ゲキ,ゲキ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
朝日新聞出版	名詞,固有名詞,一般,*,*,*,朝日新聞出版,アサヒシンブンシュッパン,アサヒシンブンシュッパン
）	記号,括弧閉,*,*,*,*,）,）,）
高橋豊	名詞,固有名詞,人名,一般,*,*,高橋豊,タカハシユタカ,タカハシユタカ
『	記号,括弧開,*,*,*,*,『,『,『
蜷川幸雄	名詞,固有名詞,人名,一般,*,*,蜷川幸雄,ニナガワユキオ,ニナガワユキオ
伝説	名詞,一般,*,*,*,*,伝説,デンセツ,デンセツ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
河出書房新社	名詞,固有名詞,組織,*,*,*,河出書房新社,カワデショボウシンシャ,カワデショボーシンシャ
）	記号,括弧閉,*,*,*,*,）,）,）
蜷川幸雄	名詞,固有名詞,人名,一般,*,*,蜷川幸雄,ニナガワユキオ,ニナガワユキオ
『	記号,括弧開,*,*,*,*,『,『,『
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
力	名詞,一般,*,*,*,*,力,チカラ,チカラ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
日本経済新聞出版社	名詞,固有名詞,一般,*,*,*,日本経済新聞出版社,ニホンケイザイシンブンシュッパン,ニホンケイザイシンブンシュッパン
）	記号,括弧閉,*,*,*,*,）,）,）
――	記号,一般,*,*,*,*,――,――,――
―	記号,一般,*,*,*,*,―,―,―
『	記号,括弧開,*,*,*,*,『,『,『
千のナイフ	名詞,固有名詞,一般,*,*,*,千のナイフ,センノナイフ,センノナイフ
、	記号,読点,*,*,*,*,、,、,、
千	名詞,数,*,*,*,*,千,セン,セン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目	名詞,一般,*,*,*,*,目,メ,メ
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
紀伊国屋書店	名詞,固有名詞,一般,*,*,*,紀伊国屋書店,キノクニヤショテン,キノクニヤショテン
）	記号,括弧閉,*,*,*,*,）,）,）
――	記号,一般,*,*,*,*,――,――,――
―	記号,一般,*,*,*,*,―,―,―
『	記号,括弧開,*,*,*,*,『,『,『
蜷川幸雄	名詞,固有名詞,人名,一般,*,*,蜷川幸雄,ニナガワユキオ,ニナガワユキオ
・	記号,一般,*,*,*,*,・,・,・
闘う	動詞,自立,*,*,五段・ワ行促音便,基本形,闘う,タタカウ,タタカウ
劇場	名詞,一般,*,*,*,*,劇場,ゲキジョウ,ゲキジョー
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
NHKライブラリー	名詞,固有名詞,一般,*,*,*,NHKライブラリー,エヌエイチケイライブラリー,エヌエイチケイライブラリー
）	記号,括弧閉,*,*,*,*,）,）,）
――	記号,一般,*,*,*,*,――,――,――
―	記号,一般,*,*,*,*,―,―,―
『	記号,括弧開,*,*,*,*,『,『,『
Note	名詞,一般,*,*,*,*,*
1969	名詞,数,*,*,*,*,*
～	記号,一般,*,*,*,*,*
2001	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
河出書房新社	名詞,固有名詞,組織,*,*,*,河出書房新社,カワデショボウシンシャ,カワデショボーシンシャ
）	記号,括弧閉,*,*,*,*,）,）,）
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
学	名詞,接尾,一般,*,*,*,学,ガク,ガク
期末試験	名詞,固有名詞,一般,*,*,*,期末試験,キマツシケン,キマツシケン
（	記号,括弧開,*,*,*,*,（,（,（
５	名詞,数,*,*,*,*,５,ゴ,ゴ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
読書	名詞,サ変接続,*,*,*,*,読書,ドクショ,ドクショ
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
（	記号,括弧開,*,*,*,*,（,（,（
５	名詞,数,*,*,*,*,５,ゴ,ゴ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
％	名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
）	記号,括弧閉,*,*,*,*,）,）,）
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
イントロダクション	名詞,一般,*,*,*,*,イントロダクション,イントロダクション,イントロダクション
2	名詞,数,*,*,*,*,*
イングランド	名詞,固有名詞,地域,一般,*,*,イングランド,イングランド,イングランド
中世	名詞,一般,*,*,*,*,中世,チュウセイ,チューセイ
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
3	名詞,数,*,*,*,*,*
シェイクスピア	名詞,固有名詞,人名,姓,*,*,シェイクスピア,シェイクスピア,シェイクスピア
