ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
病	名詞,接尾,一般,*,*,*,病,ビョウ,ビョー
弱	名詞,接尾,一般,*,*,*,弱,ジャク,ジャク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
重症	名詞,一般,*,*,*,*,重症,ジュウショウ,ジューショー
心身	名詞,一般,*,*,*,*,心身,シンシン,シンシン
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
焦点	名詞,一般,*,*,*,*,焦点,ショウテン,ショーテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
当て	動詞,自立,*,*,一段,連用形,当てる,アテ,アテ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
心理	名詞,一般,*,*,*,*,心理,シンリ,シンリ
・	記号,一般,*,*,*,*,・,・,・
生理	名詞,一般,*,*,*,*,生理,セイリ,セイリ
・	記号,一般,*,*,*,*,・,・,・
病理	名詞,一般,*,*,*,*,病理,ビョウリ,ビョーリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
観点	名詞,一般,*,*,*,*,観点,カンテン,カンテン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
特性	名詞,一般,*,*,*,*,特性,トクセイ,トクセイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
深める	動詞,自立,*,*,一段,基本形,深める,フカメル,フカメル
。	記号,句点,*,*,*,*,。,。,。
さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
、	記号,読点,*,*,*,*,、,、,、
感覚	名詞,一般,*,*,*,*,感覚,カンカク,カンカク
機能	名詞,サ変接続,*,*,*,*,機能,キノウ,キノー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アセスメント	名詞,一般,*,*,*,*,アセスメント,アセスメント,アセスメント
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
および	助詞,接続助詞,*,*,*,*,および,オヨビ,オヨビ
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
基づく	動詞,自立,*,*,五段・カ行イ音便,基本形,基づく,モトヅク,モトズク
コミュニケーション	名詞,一般,*,*,*,*,コミュニケーション,コミュニケーション,コミュニケーション
の	助詞,連体化,*,*,*,*,の,ノ,ノ
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
・	記号,一般,*,*,*,*,・,・,・
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
在り方	名詞,一般,*,*,*,*,在り方,アリカタ,アリカタ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
基本的内容	名詞,固有名詞,一般,*,*,*,基本的内容,キホンテキナイヨウ,キホンテキナイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
病	名詞,接尾,一般,*,*,*,病,ビョウ,ビョー
弱	名詞,接尾,一般,*,*,*,弱,ジャク,ジャク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
重症	名詞,一般,*,*,*,*,重症,ジュウショウ,ジューショー
心身	名詞,一般,*,*,*,*,心身,シンシン,シンシン
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
処遇	名詞,サ変接続,*,*,*,*,処遇,ショグウ,ショグー
史	名詞,接尾,一般,*,*,*,史,シ,シ
、	記号,読点,*,*,*,*,、,、,、
生理心理学	名詞,固有名詞,一般,*,*,*,生理心理学,セイリシンリガク,セイリシンリガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
感覚	名詞,一般,*,*,*,*,感覚,カンカク,カンカク
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
、	記号,読点,*,*,*,*,、,、,、
コミュニケーション	名詞,一般,*,*,*,*,コミュニケーション,コミュニケーション,コミュニケーション
の	助詞,連体化,*,*,*,*,の,ノ,ノ
発達	名詞,サ変接続,*,*,*,*,発達,ハッタツ,ハッタツ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
生理心理学	名詞,固有名詞,一般,*,*,*,生理心理学,セイリシンリガク,セイリシンリガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
アプローチ	名詞,サ変接続,*,*,*,*,アプローチ,アプローチ,アプローチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
踏まえ	動詞,自立,*,*,一段,連用形,踏まえる,フマエ,フマエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
、	記号,読点,*,*,*,*,、,、,、
具体	名詞,一般,*,*,*,*,具体,グタイ,グタイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
特別支援学校	名詞,固有名詞,一般,*,*,*,特別支援学校,トクベツシエンガッコウ,トクベツシエンガッコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
教育課程	名詞,固有名詞,一般,*,*,*,教育課程,キョウイクカテイ,キョーイクカテイ
編成	名詞,サ変接続,*,*,*,*,編成,ヘンセイ,ヘンセイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
かかわり	名詞,一般,*,*,*,*,かかわり,カカワリ,カカワリ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
重症心身障害児	名詞,固有名詞,一般,*,*,*,重症心身障害児,ジュウショウシンシンショウガイジ,ジューショーシンシンショーガイジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
認知	名詞,サ変接続,*,*,*,*,認知,ニンチ,ニンチ
発達	名詞,サ変接続,*,*,*,*,発達,ハッタツ,ハッタツ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
援助	名詞,サ変接続,*,*,*,*,援助,エンジョ,エンジョ
－	記号,一般,*,*,*,*,*
生理心理学	名詞,固有名詞,一般,*,*,*,生理心理学,セイリシンリガク,セイリシンリガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
アプローチ	名詞,サ変接続,*,*,*,*,アプローチ,アプローチ,アプローチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
－	記号,一般,*,*,*,*,*
片桐	名詞,固有名詞,人名,姓,*,*,片桐,カタギリ,カタギリ
和雄	名詞,固有名詞,人名,名,*,*,和雄,カズオ,カズオ
・	記号,一般,*,*,*,*,・,・,・
小池敏英	名詞,固有名詞,人名,一般,*,*,小池敏英,コイケトシヒデ,コイケトシヒデ
・	記号,一般,*,*,*,*,・,・,・
北島	名詞,固有名詞,人名,姓,*,*,北島,キタジマ,キタジマ
善夫	名詞,固有名詞,人名,名,*,*,善夫,ヨシオ,ヨシオ
北大路書房	名詞,固有名詞,一般,*,*,*,北大路書房,キタオオジショボウ,キタオージショボー
ISBN	名詞,固有名詞,一般,*,*,*,ISBN,アイエスビーエヌ,アイエスビーエヌ
978	名詞,数,*,*,*,*,*
-4	名詞,固有名詞,一般,*,*,*,−4,マイナスヨン,マイナスヨン
-	記号,一般,*,*,*,*,*
7628	名詞,数,*,*,*,*,*
-2	名詞,固有名詞,一般,*,*,*,−2,マイナスニ,マイナスニ
153	名詞,数,*,*,*,*,*
-	記号,一般,*,*,*,*,*
0	名詞,数,*,*,*,*,*
￥	記号,一般,*,*,*,*,￥,エン,エン
3100	名詞,数,*,*,*,*,*
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
①	記号,一般,*,*,*,*,*
重い	形容詞,自立,*,*,形容詞・アウオ段,基本形,重い,オモイ,オモイ
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
生きる	動詞,自立,*,*,一段,基本形,生きる,イキル,イキル
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
髙谷	名詞,一般,*,*,*,*,*
清	名詞,固有名詞,人名,名,*,*,清,キヨシ,キヨシ
岩波書店	名詞,固有名詞,組織,*,*,*,岩波書店,イワナミショテン,イワナミショテン
\	記号,一般,*,*,*,*,*
740	名詞,数,*,*,*,*,*
.②	記号,一般,*,*,*,*,*
標準	名詞,一般,*,*,*,*,標準,ヒョウジュン,ヒョージュン
「	記号,括弧開,*,*,*,*,「,「,「
病弱児	名詞,固有名詞,一般,*,*,*,病弱児,ビョウジャクジ,ビョージャクジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
」	記号,括弧閉,*,*,*,*,」,」,」
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
療育	名詞,一般,*,*,*,*,療育,リョウイク,リョーイク
学会	名詞,一般,*,*,*,*,学会,ガッカイ,ガッカイ
(	記号,一般,*,*,*,*,*
編著	名詞,一般,*,*,*,*,編著,ヘンチョ,ヘンチョ
)	記号,一般,*,*,*,*,*
山本昌邦	名詞,固有名詞,人名,一般,*,*,山本昌邦,ヤマモトマサクニ,ヤマモトマサクニ
・	記号,一般,*,*,*,*,・,・,・
島治伸	名詞,固有名詞,人名,一般,*,*,島治伸,シマハルノブ,シマハルノブ
・	記号,一般,*,*,*,*,・,・,・
滝川	名詞,固有名詞,人名,姓,*,*,滝川,タキガワ,タキガワ
国芳	名詞,固有名詞,人名,名,*,*,国芳,クニヨシ,クニヨシ
(	記号,一般,*,*,*,*,*
編	名詞,接尾,一般,*,*,*,編,ヘン,ヘン
)	記号,一般,*,*,*,*,*
ジアース	名詞,固有名詞,一般,*,*,*,ジアース,ジアース,ジアース
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
新	接頭詞,名詞接続,*,*,*,*,新,シン,シン
社	名詞,一般,*,*,*,*,社,シャ,シャ
\	記号,一般,*,*,*,*,*
1800	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
100%	名詞,固有名詞,人名,一般,*,*,100%,ヒャクパーセント,ヒャクパーセント
レポート	名詞,サ変接続,*,*,*,*,レポート,レポート,レポート
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
必ず	副詞,助詞類接続,*,*,*,*,必ず,カナラズ,カナラズ
解答	名詞,サ変接続,*,*,*,*,解答,カイトウ,カイトー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
設問	名詞,サ変接続,*,*,*,*,設問,セツモン,セツモン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
2	名詞,数,*,*,*,*,*
問	名詞,接尾,助数詞,*,*,*,問,モン,モン
と	助詞,格助詞,引用,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
4	名詞,数,*,*,*,*,*
問	名詞,接尾,助数詞,*,*,*,問,モン,モン
中2	名詞,固有名詞,一般,*,*,*,中学2年,チュウニ,チューニ
問	名詞,一般,*,*,*,*,問,トイ,トイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
選択	名詞,サ変接続,*,*,*,*,選択,センタク,センタク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
計	接頭詞,数接続,*,*,*,*,計,ケイ,ケイ
4	名詞,数,*,*,*,*,*
問	名詞,接尾,助数詞,*,*,*,問,モン,モン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、	記号,読点,*,*,*,*,、,、,、
小論文	名詞,一般,*,*,*,*,小論文,ショウロンブン,ショーロンブン
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
解答	名詞,サ変接続,*,*,*,*,解答,カイトウ,カイトー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
求める	動詞,自立,*,*,一段,基本形,求める,モトメル,モトメル
。	記号,句点,*,*,*,*,。,。,。
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
、	記号,読点,*,*,*,*,、,、,、
各回	名詞,一般,*,*,*,*,各回,カクカイ,カクカイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
、	記号,読点,*,*,*,*,、,、,、
ノート	名詞,一般,*,*,*,*,ノート,ノート,ノート
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
参考	名詞,サ変接続,*,*,*,*,参考,サンコウ,サンコー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
期限	名詞,一般,*,*,*,*,期限,キゲン,キゲン
：	記号,一般,*,*,*,*,：,：,：
2022	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
31	名詞,数,*,*,*,*,*
.(	記号,一般,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
)	記号,一般,*,*,*,*,*
18	名詞,数,*,*,*,*,*
:	記号,一般,*,*,*,*,*
00	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
先	名詞,接尾,一般,*,*,*,先,サキ,サキ
：	記号,一般,*,*,*,*,：,：,：
ktajima	名詞,固有名詞,組織,*,*,*,*
@	記号,一般,*,*,*,*,*
faculty	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
chiba	名詞,固有名詞,組織,*,*,*,*
-	記号,一般,*,*,*,*,*
u.	名詞,固有名詞,人名,一般,*,*,U.,ユー,ユー
jp	名詞,固有名詞,人名,一般,*,*,JP,ジェーピー,ジェーピー
詳細	名詞,形容動詞語幹,*,*,*,*,詳細,ショウサイ,ショーサイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
Web	名詞,固有名詞,一般,*,*,*,Web,ウェブ,ウェブ
Class	名詞,固有名詞,一般,*,*,*,Class,クラス,クラス
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
掲示	名詞,サ変接続,*,*,*,*,掲示,ケイジ,ケイジ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
ガイダンス	名詞,一般,*,*,*,*,ガイダンス,ガイダンス,ガイダンス
：	記号,一般,*,*,*,*,：,：,：
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
3つの柱	名詞,固有名詞,一般,*,*,*,3つの柱,サンツノハシラ,サンツノハシラ
、	記号,読点,*,*,*,*,、,、,、
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
:	記号,一般,*,*,*,*,*
生理心理学	名詞,固有名詞,一般,*,*,*,生理心理学,セイリシンリガク,セイリシンリガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
アプローチ	名詞,サ変接続,*,*,*,*,アプローチ,アプローチ,アプローチ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
：	記号,一般,*,*,*,*,：,：,：
書評	名詞,サ変接続,*,*,*,*,書評,ショヒョウ,ショヒョー
(	記号,一般,*,*,*,*,*
Word	名詞,固有名詞,一般,*,*,*,Word,ワード,ワード
)	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
：	記号,一般,*,*,*,*,：,：,：
病弱児	名詞,固有名詞,一般,*,*,*,病弱児,ビョウジャクジ,ビョージャクジ
(	記号,一般,*,*,*,*,*
重症	名詞,一般,*,*,*,*,重症,ジュウショウ,ジューショー
児	名詞,接尾,一般,*,*,*,児,ジ,ジ
)	記号,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
：	記号,一般,*,*,*,*,：,：,：
事例	名詞,一般,*,*,*,*,事例,ジレイ,ジレイ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
(	記号,一般,*,*,*,*,*
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
)(	記号,一般,*,*,*,*,*
pdf	名詞,固有名詞,組織,*,*,*,*
)	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
1	名詞,数,*,*,*,*,*
章	名詞,接尾,助数詞,*,*,*,章,ショウ,ショー
1節	名詞,固有名詞,一般,*,*,*,1節,イッセツ,イッセツ
(	記号,一般,*,*,*,*,*
p	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
-3	名詞,固有名詞,一般,*,*,*,−3,マイナスサン,マイナスサン
)	記号,一般,*,*,*,*,*
重症	名詞,一般,*,*,*,*,重症,ジュウショウ,ジューショー
児	名詞,接尾,一般,*,*,*,児,ジ,ジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
処遇	名詞,サ変接続,*,*,*,*,処遇,ショグウ,ショグー
史	名詞,接尾,一般,*,*,*,史,シ,シ
①	記号,一般,*,*,*,*,*
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
：	記号,一般,*,*,*,*,：,：,：
1	名詞,数,*,*,*,*,*
章	名詞,接尾,助数詞,*,*,*,章,ショウ,ショー
1節	名詞,固有名詞,一般,*,*,*,1節,イッセツ,イッセツ
(	記号,一般,*,*,*,*,*
処遇	名詞,サ変接続,*,*,*,*,処遇,ショグウ,ショグー
史	名詞,接尾,一般,*,*,*,史,シ,シ
)(	記号,一般,*,*,*,*,*
ppt	名詞,固有名詞,一般,*,*,*,ppt,ピーピーティー,ピーピーティー
),	記号,一般,*,*,*,*,*
小林	名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ
提	名詞,一般,*,*,*,*,提,ヒサゲ,ヒサゲ
樹	名詞,接尾,一般,*,*,*,樹,ジュ,ジュ
・	記号,一般,*,*,*,*,・,・,・
島田	名詞,固有名詞,人名,姓,*,*,島田,シマダ,シマダ
療育	名詞,一般,*,*,*,*,療育,リョウイク,リョーイク
園	名詞,接尾,一般,*,*,*,園,エン,エン
(	記号,一般,*,*,*,*,*
pdf	名詞,固有名詞,組織,*,*,*,*
),	記号,一般,*,*,*,*,*
糸賀	名詞,固有名詞,人名,姓,*,*,糸賀,イトガ,イトガ
和雄	名詞,固有名詞,人名,名,*,*,和雄,カズオ,カズオ
・	記号,一般,*,*,*,*,・,・,・
びわこ	名詞,固有名詞,一般,*,*,*,びわこ,ビワコ,ビワコ
学園	名詞,一般,*,*,*,*,学園,ガクエン,ガクエン
(	記号,一般,*,*,*,*,*
pdf	名詞,固有名詞,組織,*,*,*,*
)	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
1	名詞,数,*,*,*,*,*
章	名詞,接尾,助数詞,*,*,*,章,ショウ,ショー
2節	名詞,固有名詞,一般,*,*,*,2節,ニセツ,ニセツ
(	記号,一般,*,*,*,*,*
p	名詞,固有名詞,組織,*,*,*,*
.	記号,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
-	記号,一般,*,*,*,*,*
7	名詞,数,*,*,*,*,*
)	記号,一般,*,*,*,*,*
重症	名詞,一般,*,*,*,*,重症,ジュウショウ,ジューショー
児	名詞,接尾,一般,*,*,*,児,ジ,ジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
定義	名詞,サ変接続,*,*,*,*,定義,テイギ,テイギ
