ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
【	記号,括弧開,*,*,*,*,【,【,【
飯島	名詞,固有名詞,人名,姓,*,*,飯島,イイジマ,イージマ
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ
分	名詞,接尾,一般,*,*,*,分,ブン,ブン
】	記号,括弧閉,*,*,*,*,】,】,】
耳鼻咽喉科	名詞,一般,*,*,*,*,耳鼻咽喉科,ジビインコウカ,ジビインコーカ
領域	名詞,一般,*,*,*,*,領域,リョウイキ,リョーイキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
健康	名詞,形容動詞語幹,*,*,*,*,健康,ケンコウ,ケンコー
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
・	記号,一般,*,*,*,*,・,・,・
保健指導	名詞,固有名詞,一般,*,*,*,保健指導,ホケンシドウ,ホケンシドー
、	記号,読点,*,*,*,*,、,、,、
健康診断	名詞,固有名詞,一般,*,*,*,健康診断,ケンコウシンダン,ケンコーシンダン
・	記号,一般,*,*,*,*,・,・,・
健康	名詞,形容動詞語幹,*,*,*,*,健康,ケンコウ,ケンコー
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
、	記号,読点,*,*,*,*,、,、,、
救急処置	名詞,固有名詞,一般,*,*,*,救急処置,キュウキュウショチ,キューキューショチ
、	記号,読点,*,*,*,*,、,、,、
疾病	名詞,一般,*,*,*,*,疾病,シッペイ,シッペイ
予防	名詞,サ変接続,*,*,*,*,予防,ヨボウ,ヨボー
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
、	記号,読点,*,*,*,*,、,、,、
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
環境	名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
安全	名詞,形容動詞語幹,*,*,*,*,安全,アンゼン,アンゼン
衛生	名詞,一般,*,*,*,*,衛生,エイセイ,エイセイ
、	記号,読点,*,*,*,*,、,、,、
健康	名詞,形容動詞語幹,*,*,*,*,健康,ケンコウ,ケンコー
相談	名詞,サ変接続,*,*,*,*,相談,ソウダン,ソーダン
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
養護教諭	名詞,固有名詞,人名,一般,*,*,養護教諭,ヨウゴキョウユ,ヨーゴキョーユ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
【	記号,括弧開,*,*,*,*,【,【,【
寺田先生	名詞,固有名詞,一般,*,*,*,寺田先生,テラダセンセイ,テラダセンセイ
分	名詞,接尾,一般,*,*,*,分,ブン,ブン
】	記号,括弧閉,*,*,*,*,】,】,】
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
保健	名詞,一般,*,*,*,*,保健,ホケン,ホケン
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
眼科	名詞,一般,*,*,*,*,眼科,ガンカ,ガンカ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
健康	名詞,形容動詞語幹,*,*,*,*,健康,ケンコウ,ケンコー
管理	名詞,サ変接続,*,*,*,*,管理,カンリ,カンリ
・	記号,一般,*,*,*,*,・,・,・
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
環境	名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
安全	名詞,形容動詞語幹,*,*,*,*,安全,アンゼン,アンゼン
衛生	名詞,一般,*,*,*,*,衛生,エイセイ,エイセイ
・	記号,一般,*,*,*,*,・,・,・
救急	名詞,一般,*,*,*,*,救急,キュウキュウ,キューキュー
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
保健	名詞,一般,*,*,*,*,保健,ホケン,ホケン
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
養護教諭	名詞,固有名詞,人名,一般,*,*,養護教諭,ヨウゴキョウユ,ヨーゴキョーユ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
眼	名詞,一般,*,*,*,*,眼,メ,メ
科学	名詞,一般,*,*,*,*,科学,カガク,カガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
【	記号,括弧開,*,*,*,*,【,【,【
飯島	名詞,固有名詞,人名,姓,*,*,飯島,イイジマ,イージマ
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ
分	名詞,接尾,一般,*,*,*,分,ブン,ブン
】	記号,括弧閉,*,*,*,*,】,】,】
救急処置	名詞,固有名詞,一般,*,*,*,救急処置,キュウキュウショチ,キューキューショチ
：	記号,一般,*,*,*,*,：,：,：
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
よく	副詞,一般,*,*,*,*,よく,ヨク,ヨク
遭遇	名詞,サ変接続,*,*,*,*,遭遇,ソウグウ,ソーグー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
救急	名詞,一般,*,*,*,*,救急,キュウキュウ,キューキュー
疾患	名詞,一般,*,*,*,*,疾患,シッカン,シッカン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
対処	名詞,サ変接続,*,*,*,*,対処,タイショ,タイショ
健康	名詞,形容動詞語幹,*,*,*,*,健康,ケンコウ,ケンコー
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
・	記号,一般,*,*,*,*,・,・,・
保健指導	名詞,固有名詞,一般,*,*,*,保健指導,ホケンシドウ,ホケンシドー
：	記号,一般,*,*,*,*,：,：,：
上気道	名詞,固有名詞,一般,*,*,*,上気道,ジョウキドウ,ジョーキドー
疾患	名詞,一般,*,*,*,*,疾患,シッカン,シッカン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
睡眠	名詞,サ変接続,*,*,*,*,睡眠,スイミン,スイミン
、	記号,読点,*,*,*,*,、,、,、
聴覚	名詞,一般,*,*,*,*,聴覚,チョウカク,チョーカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
保護	名詞,サ変接続,*,*,*,*,保護,ホゴ,ホゴ
、	記号,読点,*,*,*,*,、,、,、
難聴者	名詞,固有名詞,一般,*,*,*,難聴者,ナンチョウシャ,ナンチョーシャ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
、	記号,読点,*,*,*,*,、,、,、
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
（	記号,括弧開,*,*,*,*,（,（,（
変声期	名詞,一般,*,*,*,*,変声期,ヘンセイキ,ヘンセイキ
発声	名詞,サ変接続,*,*,*,*,発声,ハッセイ,ハッセイ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
）	記号,括弧閉,*,*,*,*,）,）,）
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対処	名詞,サ変接続,*,*,*,*,対処,タイショ,タイショ
健康診断	名詞,固有名詞,一般,*,*,*,健康診断,ケンコウシンダン,ケンコーシンダン
・	記号,一般,*,*,*,*,・,・,・
健康	名詞,形容動詞語幹,*,*,*,*,健康,ケンコウ,ケンコー
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
：	記号,一般,*,*,*,*,：,：,：
聴力	名詞,一般,*,*,*,*,聴力,チョウリョク,チョーリョク
検査	名詞,サ変接続,*,*,*,*,検査,ケンサ,ケンサ
、	記号,読点,*,*,*,*,、,、,、
健康診断	名詞,固有名詞,一般,*,*,*,健康診断,ケンコウシンダン,ケンコーシンダン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ
と	助詞,副詞化,*,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
疾患	名詞,一般,*,*,*,*,疾患,シッカン,シッカン
予防	名詞,サ変接続,*,*,*,*,予防,ヨボウ,ヨボー
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
：	記号,一般,*,*,*,*,：,：,：
音響外傷	名詞,固有名詞,一般,*,*,*,音響外傷,オンキョウガイショウ,オンキョーガイショー
、	記号,読点,*,*,*,*,、,、,、
スポーツ	名詞,一般,*,*,*,*,スポーツ,スポーツ,スポーツ
外傷	名詞,一般,*,*,*,*,外傷,ガイショウ,ガイショー
アレルギー	名詞,一般,*,*,*,*,アレルギー,アレルギー,アレルギー
疾患	名詞,一般,*,*,*,*,疾患,シッカン,シッカン
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対処	名詞,サ変接続,*,*,*,*,対処,タイショ,タイショ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
予防	名詞,サ変接続,*,*,*,*,予防,ヨボウ,ヨボー
処置	名詞,サ変接続,*,*,*,*,処置,ショチ,ショチ
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
環境	名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
安全	名詞,形容動詞語幹,*,*,*,*,安全,アンゼン,アンゼン
衛生	名詞,一般,*,*,*,*,衛生,エイセイ,エイセイ
事故	名詞,一般,*,*,*,*,事故,ジコ,ジコ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
起こ	動詞,自立,*,*,五段・ラ行,体言接続特殊２,起こる,オコ,オコ
やすい	形容詞,非自立,*,*,形容詞・アウオ段,基本形,やすい,ヤスイ,ヤスイ
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
把握	名詞,サ変接続,*,*,*,*,把握,ハアク,ハアク
と	助詞,並立助詞,*,*,*,*,と,ト,ト
防止策	名詞,固有名詞,一般,*,*,*,防止策,ボウシサク,ボーシサク
健康	名詞,形容動詞語幹,*,*,*,*,健康,ケンコウ,ケンコー
相談	名詞,サ変接続,*,*,*,*,相談,ソウダン,ソーダン
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
：	記号,一般,*,*,*,*,：,：,：
不眠	名詞,一般,*,*,*,*,不眠,フミン,フミン
、	記号,読点,*,*,*,*,、,、,、
耳鳴	名詞,一般,*,*,*,*,耳鳴り,ミミナリ,ミミナリ
、	記号,読点,*,*,*,*,、,、,、
難聴	名詞,一般,*,*,*,*,難聴,ナンチョウ,ナンチョー
、	記号,読点,*,*,*,*,、,、,、
無	接頭詞,名詞接続,*,*,*,*,無,ム,ム
呼吸	名詞,サ変接続,*,*,*,*,呼吸,コキュウ,コキュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
伴う	動詞,自立,*,*,五段・ワ行促音便,基本形,伴う,トモナウ,トモナウ
日中	名詞,一般,*,*,*,*,日中,ニッチュウ,ニッチュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
傾眠	名詞,固有名詞,一般,*,*,*,傾眠,ケイミン,ケイミン
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
影響	名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
対処法	名詞,固有名詞,一般,*,*,*,対処法,タイショホウ,タイショホー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
養護教諭	名詞,固有名詞,人名,一般,*,*,養護教諭,ヨウゴキョウユ,ヨーゴキョーユ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
不可欠	名詞,形容動詞語幹,*,*,*,*,不可欠,フカケツ,フカケツ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
習得	名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
【	記号,括弧開,*,*,*,*,【,【,【
寺田先生	名詞,固有名詞,一般,*,*,*,寺田先生,テラダセンセイ,テラダセンセイ
分	名詞,接尾,一般,*,*,*,分,ブン,ブン
】	記号,括弧閉,*,*,*,*,】,】,】
眼	名詞,一般,*,*,*,*,眼,メ,メ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
機能	名詞,サ変接続,*,*,*,*,機能,キノウ,キノー
、	記号,読点,*,*,*,*,、,、,、
主	名詞,形容動詞語幹,*,*,*,*,主,オモ,オモ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
眼科	名詞,一般,*,*,*,*,眼科,ガンカ,ガンカ
疾患	名詞,一般,*,*,*,*,疾患,シッカン,シッカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
症状	名詞,一般,*,*,*,*,症状,ショウジョウ,ショージョー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
病態	名詞,一般,*,*,*,*,病態,ビョウタイ,ビョータイ
生理	名詞,一般,*,*,*,*,生理,セイリ,セイリ
、	記号,読点,*,*,*,*,、,、,、
検査	名詞,サ変接続,*,*,*,*,検査,ケンサ,ケンサ
・	記号,一般,*,*,*,*,・,・,・
治療	名詞,サ変接続,*,*,*,*,治療,チリョウ,チリョー
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
救急	名詞,一般,*,*,*,*,救急,キュウキュウ,キューキュー
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
、	記号,読点,*,*,*,*,、,、,、
色覚異常	名詞,固有名詞,一般,*,*,*,色覚異常,シキカクイジョウ,シキカクイジョー
、	記号,読点,*,*,*,*,、,、,、
ロービジョンケア	名詞,固有名詞,一般,*,*,*,ロービジョンケア,ロービジョンケア,ロービジョンケア
、	記号,読点,*,*,*,*,、,、,、
眼科	名詞,一般,*,*,*,*,眼科,ガンカ,ガンカ
健康診断	名詞,固有名詞,一般,*,*,*,健康診断,ケンコウシンダン,ケンコーシンダン
・	記号,一般,*,*,*,*,・,・,・
健康	名詞,形容動詞語幹,*,*,*,*,健康,ケンコウ,ケンコー
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク
・	記号,一般,*,*,*,*,・,・,・
保健指導	名詞,固有名詞,一般,*,*,*,保健指導,ホケンシドウ,ホケンシドー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
。	記号,句点,*,*,*,*,。,。,。
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含め	動詞,自立,*,*,一段,連用形,含める,フクメ,フクメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
【	記号,括弧開,*,*,*,*,【,【,【
飯島	名詞,固有名詞,人名,姓,*,*,飯島,イイジマ,イージマ
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ
分	名詞,接尾,一般,*,*,*,分,ブン,ブン
】	記号,括弧閉,*,*,*,*,】,】,】
児童生徒	名詞,固有名詞,一般,*,*,*,児童生徒,ジドウセイト,ジドーセイト
等	名詞,接尾,一般,*,*,*,等,トウ,トー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
健康診断	名詞,固有名詞,一般,*,*,*,健康診断,ケンコウシンダン,ケンコーシンダン
マニュアル	名詞,一般,*,*,*,*,マニュアル,マニュアル,マニュアル
平成27年度	名詞,固有名詞,一般,*,*,*,2015年度,ヘイセイニジュウナナネンド,ヘイセイニジュウナナネンド
改定	名詞,サ変接続,*,*,*,*,改定,カイテイ,カイテイ
（	記号,括弧開,*,*,*,*,（,（,（
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
保健	名詞,一般,*,*,*,*,保健,ホケン,ホケン
会	名詞,接尾,一般,*,*,*,会,カイ,カイ
）	記号,括弧閉,*,*,*,*,）,）,）
（	記号,括弧開,*,*,*,*,（,（,（
2	名詞,数,*,*,*,*,*
,	記号,一般,*,*,*,*,*
160円	名詞,固有名詞,一般,*,*,*,160円,ヒャクロクジュウエン,ヒャクロクジュウエン
）	記号,括弧閉,*,*,*,*,）,）,）
学校医	名詞,固有名詞,一般,*,*,*,学校医,ガッコウイ,ガッコーイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
手引	名詞,一般,*,*,*,*,手引,テビキ,テビキ
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
8	名詞,数,*,*,*,*,*
版	名詞,接尾,助数詞,*,*,*,版,ハン,ハン
（	記号,括弧開,*,*,*,*,（,（,（
東京都	名詞,固有名詞,地域,一般,*,*,東京都,トウキョウト,トーキョート
医師会	名詞,固有名詞,一般,*,*,*,医師会,イシカイ,イシカイ
）	記号,括弧閉,*,*,*,*,）,）,）
耳鼻咽喉科	名詞,一般,*,*,*,*,耳鼻咽喉科,ジビインコウカ,ジビインコーカ
疾患	名詞,一般,*,*,*,*,疾患,シッカン,シッカン
ビジュアルブック	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
学研メディカル秀潤社	名詞,固有名詞,一般,*,*,*,学研メディカル秀潤社,ガッケンメディカルシュウジュンシ,ガッケンメディカルシュージュンシ
）	記号,括弧閉,*,*,*,*,）,）,）
（	記号,括弧開,*,*,*,*,（,（,（
3	名詞,数,*,*,*,*,*
,	記号,一般,*,*,*,*,*
240円	名詞,固有名詞,一般,*,*,*,240円,ニヒャクヨンジュウエン,ニヒャクヨンジュウエン
）	記号,括弧閉,*,*,*,*,）,）,）
随時	名詞,一般,*,*,*,*,随時,ズイジ,ズイジ
プリント	名詞,サ変接続,*,*,*,*,プリント,プリント,プリント
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー
提供	名詞,サ変接続,*,*,*,*,提供,テイキョウ,テイキョー
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
【	記号,括弧開,*,*,*,*,【,【,【
寺田先生	名詞,固有名詞,一般,*,*,*,寺田先生,テラダセンセイ,テラダセンセイ
分	名詞,接尾,一般,*,*,*,分,ブン,ブン
】	記号,括弧閉,*,*,*,*,】,】,】
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
看護学	名詞,固有名詞,一般,*,*,*,看護学,カンゴガク,カンゴガク
講座	名詞,一般,*,*,*,*,講座,コウザ,コーザ
専門	名詞,一般,*,*,*,*,専門,センモン,センモン
分野	名詞,一般,*,*,*,*,分野,ブンヤ,ブンヤ
Ⅱ	名詞,数,*,*,*,*,*
成人	名詞,サ変接続,*,*,*,*,成人,セイジン,セイジン
看護学	名詞,固有名詞,一般,*,*,*,看護学,カンゴガク,カンゴガク
13	名詞,数,*,*,*,*,*
眼	名詞,一般,*,*,*,*,眼,メ,メ
（	記号,括弧開,*,*,*,*,（,（,（
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
14	名詞,数,*,*,*,*,*
版	名詞,接尾,助数詞,*,*,*,版,ハン,ハン
）	記号,括弧閉,*,*,*,*,）,）,）
本体	名詞,一般,*,*,*,*,本体,ホンタイ,ホンタイ
1	名詞,数,*,*,*,*,*
,	記号,一般,*,*,*,*,*
800円	名詞,固有名詞,一般,*,*,*,800円,ハッピャクエン,ハッピャクエン
+	記号,一般,*,*,*,*,*
税	名詞,一般,*,*,*,*,税,ゼイ,ゼイ
著	名詞,接尾,人名,*,*,*,著,チョ,チョ
：	記号,一般,*,*,*,*,：,：,：
大鹿	名詞,固有名詞,人名,姓,*,*,大鹿,オオシカ,オーシカ
哲郎	名詞,固有名詞,人名,名,*,*,哲郎,テツロウ,テツロー
／	記号,一般,*,*,*,*,／,／,／
平井	名詞,固有名詞,人名,姓,*,*,平井,ヒライ,ヒライ
明美	名詞,固有名詞,人名,名,*,*,明美,アケミ,アケミ
医学書院	名詞,固有名詞,組織,*,*,*,医学書院,イガクショイン,イガクショイン
ISBN	名詞,固有名詞,一般,*,*,*,ISBN,アイエスビーエヌ,アイエスビーエヌ
978	名詞,数,*,*,*,*,*
-4	名詞,固有名詞,一般,*,*,*,−4,マイナスヨン,マイナスヨン
-2	名詞,固有名詞,一般,*,*,*,−2,マイナスニ,マイナスニ
60	名詞,数,*,*,*,*,*
-	記号,一般,*,*,*,*,*
03859	名詞,数,*,*,*,*,*
-1	名詞,固有名詞,一般,*,*,*,−1,マイナスイチ,マイナスイチ
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
【	記号,括弧開,*,*,*,*,【,【,【
