ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
生体	名詞,一般,*,*,*,*,生体,セイタイ,セイタイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
影響	名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
与える	動詞,自立,*,*,一段,基本形,与える,アタエル,アタエル
化学物質	名詞,固有名詞,一般,*,*,*,化学物質,カガクブッシツ,カガクブッシツ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
薬物	名詞,一般,*,*,*,*,薬物,ヤクブツ,ヤクブツ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
基本的	名詞,固有名詞,一般,*,*,*,基本的,キホンテキ,キホンテキ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
薬物	名詞,一般,*,*,*,*,薬物,ヤクブツ,ヤクブツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生体	名詞,一般,*,*,*,*,生体,セイタイ,セイタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
機能	名詞,サ変接続,*,*,*,*,機能,キノウ,キノー
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
作用	名詞,サ変接続,*,*,*,*,作用,サヨウ,サヨー
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
体内	名詞,一般,*,*,*,*,体内,タイナイ,タイナイ
動態	名詞,一般,*,*,*,*,動態,ドウタイ,ドータイ
（	記号,括弧開,*,*,*,*,（,（,（
吸収	名詞,サ変接続,*,*,*,*,吸収,キュウシュウ,キューシュー
・	記号,一般,*,*,*,*,・,・,・
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
・	記号,一般,*,*,*,*,・,・,・
代謝	名詞,サ変接続,*,*,*,*,代謝,タイシャ,タイシャ
・	記号,一般,*,*,*,*,・,・,・
排泄	名詞,サ変接続,*,*,*,*,排泄,ハイセツ,ハイセツ
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
薬物	名詞,一般,*,*,*,*,薬物,ヤクブツ,ヤクブツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
薬理学	名詞,固有名詞,一般,*,*,*,薬理学,ヤクリガク,ヤクリガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
修得	名詞,サ変接続,*,*,*,*,修得,シュウトク,シュートク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
1	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
薬	名詞,一般,*,*,*,*,薬,クスリ,クスリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
概念	名詞,一般,*,*,*,*,概念,ガイネン,ガイネン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
2	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
薬物	名詞,一般,*,*,*,*,薬物,ヤクブツ,ヤクブツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作用	名詞,サ変接続,*,*,*,*,作用,サヨウ,サヨー
様式	名詞,一般,*,*,*,*,様式,ヨウシキ,ヨーシキ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
列記	名詞,サ変接続,*,*,*,*,列記,レッキ,レッキ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
3	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
主	接頭詞,名詞接続,*,*,*,*,主,シュ,シュ
作用	名詞,サ変接続,*,*,*,*,作用,サヨウ,サヨー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
副作用	名詞,一般,*,*,*,*,副作用,フクサヨウ,フクサヨー
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
有害作用	名詞,固有名詞,一般,*,*,*,有害作用,ユウガイサヨウ,ユーガイサヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
相違	名詞,サ変接続,*,*,*,*,相違,ソウイ,ソーイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
4	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
薬物動態	名詞,固有名詞,一般,*,*,*,薬物動態,ヤクブツドウタイ,ヤクブツドータイ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
薬理	名詞,一般,*,*,*,*,薬理,ヤクリ,ヤクリ
用語	名詞,一般,*,*,*,*,用語,ヨウゴ,ヨーゴ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
挙げ	動詞,自立,*,*,一段,連用形,挙げる,アゲ,アゲ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
5	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
薬物	名詞,一般,*,*,*,*,薬物,ヤクブツ,ヤクブツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
体内	名詞,一般,*,*,*,*,体内,タイナイ,タイナイ
分布	名詞,サ変接続,*,*,*,*,分布,ブンプ,ブンプ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
6	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
薬物	名詞,一般,*,*,*,*,薬物,ヤクブツ,ヤクブツ
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
感受性	名詞,一般,*,*,*,*,感受性,カンジュセイ,カンジュセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
相違	名詞,サ変接続,*,*,*,*,相違,ソウイ,ソーイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
述べる	動詞,自立,*,*,一段,基本形,述べる,ノベル,ノベル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
7	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
薬物	名詞,一般,*,*,*,*,薬物,ヤクブツ,ヤクブツ
効果	名詞,一般,*,*,*,*,効果,コウカ,コーカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
影響	名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
与える	動詞,自立,*,*,一段,基本形,与える,アタエル,アタエル
因子	名詞,一般,*,*,*,*,因子,インシ,インシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
列挙	名詞,サ変接続,*,*,*,*,列挙,レッキョ,レッキョ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
機序	名詞,固有名詞,一般,*,*,*,機序,キジョ,キジョ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
述べる	動詞,自立,*,*,一段,基本形,述べる,ノベル,ノベル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
8	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
各種	名詞,一般,*,*,*,*,各種,カクシュ,カクシュ
疾患	名詞,一般,*,*,*,*,疾患,シッカン,シッカン
・	記号,一般,*,*,*,*,・,・,・
病態	名詞,一般,*,*,*,*,病態,ビョウタイ,ビョータイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
用い	動詞,自立,*,*,一段,未然形,用いる,モチイ,モチイ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
基本	名詞,一般,*,*,*,*,基本,キホン,キホン
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
薬物	名詞,一般,*,*,*,*,薬物,ヤクブツ,ヤクブツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
作用	名詞,サ変接続,*,*,*,*,作用,サヨウ,サヨー
、	記号,読点,*,*,*,*,、,、,、
作用機序	名詞,固有名詞,一般,*,*,*,作用機序,サヨウキジョ,サヨーキジョ
、	記号,読点,*,*,*,*,、,、,、
副作用	名詞,一般,*,*,*,*,副作用,フクサヨウ,フクサヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
列挙	名詞,サ変接続,*,*,*,*,列挙,レッキョ,レッキョ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
9.	名詞,固有名詞,一般,*,*,*,9.,キュウ,キュー
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
現状	名詞,一般,*,*,*,*,現状,ゲンジョウ,ゲンジョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
幅広く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,幅広い,ハバヒロク,ハバヒロク
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
10	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
薬物	名詞,一般,*,*,*,*,薬物,ヤクブツ,ヤクブツ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
正しい	形容詞,自立,*,*,形容詞・イ段,基本形,正しい,タダシイ,タダシイ
情報収集	名詞,固有名詞,一般,*,*,*,情報収集,ジョホウシュウシュウ,ジョホウシュウシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
児童	名詞,一般,*,*,*,*,児童,ジドウ,ジドー
、	記号,読点,*,*,*,*,、,、,、
生徒	名詞,一般,*,*,*,*,生徒,セイト,セイト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
関連	名詞,サ変接続,*,*,*,*,関連,カンレン,カンレン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
医薬品	名詞,一般,*,*,*,*,医薬品,イヤクヒン,イヤクヒン
、	記号,読点,*,*,*,*,、,、,、
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ
風邪	名詞,一般,*,*,*,*,風邪,カゼ,カゼ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
糖尿病	名詞,固有名詞,一般,*,*,*,糖尿病,トウニョウビョウ,トーニョービョー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
治療薬	名詞,固有名詞,一般,*,*,*,治療薬,チリョウヤク,チリョーヤク
、	記号,読点,*,*,*,*,、,、,、
ワクチン	名詞,一般,*,*,*,*,ワクチン,ワクチン,ワクチン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
避妊	名詞,サ変接続,*,*,*,*,避妊,ヒニン,ヒニン
薬	名詞,接尾,一般,*,*,*,薬,ヤク,ヤク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
予防	名詞,サ変接続,*,*,*,*,予防,ヨボウ,ヨボー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
関連	名詞,サ変接続,*,*,*,*,関連,カンレン,カンレン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
医薬品	名詞,一般,*,*,*,*,医薬品,イヤクヒン,イヤクヒン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
具体的	名詞,固有名詞,一般,*,*,*,具体的,グタイテキ,グタイテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
南江堂	名詞,固有名詞,組織,*,*,*,南江堂,ナンコウドウ,ナンコードー
今日	名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
治療薬	名詞,固有名詞,一般,*,*,*,治療薬,チリョウヤク,チリョーヤク
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
便覧	名詞,一般,*,*,*,*,便覧,ベンラン,ベンラン
2022	名詞,数,*,*,*,*,*
ISBN	名詞,固有名詞,一般,*,*,*,ISBN,アイエスビーエヌ,アイエスビーエヌ
：	記号,一般,*,*,*,*,：,：,：
978	名詞,数,*,*,*,*,*
-4	名詞,固有名詞,一般,*,*,*,−4,マイナスヨン,マイナスヨン
524232116	名詞,数,*,*,*,*,*
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
配布	名詞,サ変接続,*,*,*,*,配布,ハイフ,ハイフ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ハンドアウト	名詞,固有名詞,一般,*,*,*,ハンドアウト,ハンドアウト,ハンドアウト
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
・	記号,一般,*,*,*,*,・,・,・
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
態度	名詞,一般,*,*,*,*,態度,タイド,タイド
12%	名詞,固有名詞,一般,*,*,*,12%,ジュウニパーセント,ジュウニパーセント
宿題	名詞,サ変接続,*,*,*,*,宿題,シュクダイ,シュクダイ
1	名詞,数,*,*,*,*,*
.	記号,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
*	記号,一般,*,*,*,*,*
16	名詞,数,*,*,*,*,*
=	記号,一般,*,*,*,*,*
24%	名詞,固有名詞,一般,*,*,*,24%,ニジュウヨンパーセント,ニジュウヨンパーセント
レビュー	名詞,サ変接続,*,*,*,*,レビュー,レビュー,レビュー
クイズ	名詞,一般,*,*,*,*,クイズ,クイズ,クイズ
4	名詞,数,*,*,*,*,*
*	記号,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
=	記号,一般,*,*,*,*,*
24%	名詞,固有名詞,一般,*,*,*,24%,ニジュウヨンパーセント,ニジュウヨンパーセント
プレゼンテーション	名詞,一般,*,*,*,*,プレゼンテーション,プレゼンテーション,プレゼンテーション
10%	名詞,固有名詞,一般,*,*,*,10%,ジュウパーセント,ジュウパーセント
期末試験	名詞,固有名詞,一般,*,*,*,期末試験,キマツシケン,キマツシケン
30%	名詞,固有名詞,一般,*,*,*,30%,サンジュウパーセント,サンジュウパーセント
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
•	記号,一般,*,*,*,*,*
薬	名詞,一般,*,*,*,*,薬,クスリ,クスリ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
？•	記号,一般,*,*,*,*,*
医薬品	名詞,一般,*,*,*,*,医薬品,イヤクヒン,イヤクヒン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
分類	名詞,サ変接続,*,*,*,*,分類,ブンルイ,ブンルイ
2	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
薬理作用	名詞,固有名詞,一般,*,*,*,薬理作用,ヤクリサヨウ,ヤクリサヨー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
機序	名詞,固有名詞,一般,*,*,*,機序,キジョ,キジョ
影響	名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
因子	名詞,一般,*,*,*,*,因子,インシ,インシ
（	記号,括弧開,*,*,*,*,（,（,（
薬用	名詞,一般,*,*,*,*,薬用,ヤクヨウ,ヤクヨー
量	名詞,接尾,一般,*,*,*,量,リョウ,リョウ
、	記号,読点,*,*,*,*,、,、,、
年齢	名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ
、	記号,読点,*,*,*,*,、,、,、
性別	名詞,一般,*,*,*,*,性別,セイベツ,セイベツ
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
）	記号,括弧閉,*,*,*,*,）,）,）
3	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
レビュー	名詞,サ変接続,*,*,*,*,レビュー,レビュー,レビュー
クイズ	名詞,一般,*,*,*,*,クイズ,クイズ,クイズ
1	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
薬物依存	名詞,固有名詞,一般,*,*,*,薬物依存,ヤクブツイゾン,ヤクブツイゾン
•	記号,一般,*,*,*,*,*
ﾌﾟﾗｾﾎﾞ	名詞,一般,*,*,*,*,*
効果	名詞,一般,*,*,*,*,効果,コウカ,コーカ
4	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
薬物	名詞,一般,*,*,*,*,薬物,ヤクブツ,ヤクブツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
吸収	名詞,サ変接続,*,*,*,*,吸収,キュウシュウ,キューシュー
、	記号,読点,*,*,*,*,、,、,、
分布	名詞,サ変接続,*,*,*,*,分布,ブンプ,ブンプ
、	記号,読点,*,*,*,*,、,、,、
代謝	名詞,サ変接続,*,*,*,*,代謝,タイシャ,タイシャ
、	記号,読点,*,*,*,*,、,、,、
排泄	名詞,サ変接続,*,*,*,*,排泄,ハイセツ,ハイセツ
•	記号,一般,*,*,*,*,*
医薬品	名詞,一般,*,*,*,*,医薬品,イヤクヒン,イヤクヒン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
剤形	名詞,固有名詞,一般,*,*,*,剤形,ザイケイ,ザイケイ
5	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
レビュー	名詞,サ変接続,*,*,*,*,レビュー,レビュー,レビュー
クイズ	名詞,一般,*,*,*,*,クイズ,クイズ,クイズ
2	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
薬	名詞,一般,*,*,*,*,薬,クスリ,クスリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
副作用	名詞,一般,*,*,*,*,副作用,フクサヨウ,フクサヨー
•	記号,一般,*,*,*,*,*
相互作用	名詞,固有名詞,一般,*,*,*,相互作用,ソウゴサヨウ,ソーゴサヨー
6	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
感冒	名詞,一般,*,*,*,*,感冒,カンボウ,カンボー
薬	名詞,接尾,一般,*,*,*,薬,ヤク,ヤク
7	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
レビュー	名詞,サ変接続,*,*,*,*,レビュー,レビュー,レビュー
クイズ	名詞,一般,*,*,*,*,クイズ,クイズ,クイズ
3	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
消化	名詞,サ変接続,*,*,*,*,消化,ショウカ,ショーカ
器	名詞,接尾,一般,*,*,*,器,キ,キ
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ
治療薬	名詞,固有名詞,一般,*,*,*,治療薬,チリョウヤク,チリョーヤク
8	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
アレルギー	名詞,一般,*,*,*,*,アレルギー,アレルギー,アレルギー
治療薬	名詞,固有名詞,一般,*,*,*,治療薬,チリョウヤク,チリョーヤク
•	記号,一般,*,*,*,*,*
喘息	名詞,一般,*,*,*,*,喘息,ゼンソク,ゼンソク
治療薬	名詞,固有名詞,一般,*,*,*,治療薬,チリョウヤク,チリョーヤク
9	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
レビュー	名詞,サ変接続,*,*,*,*,レビュー,レビュー,レビュー
クイズ	名詞,一般,*,*,*,*,クイズ,クイズ,クイズ
4	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
糖尿病	名詞,固有名詞,一般,*,*,*,糖尿病,トウニョウビョウ,トーニョービョー
治療薬	名詞,固有名詞,一般,*,*,*,治療薬,チリョウヤク,チリョーヤク
10	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
糖尿病	名詞,固有名詞,一般,*,*,*,糖尿病,トウニョウビョウ,トーニョービョー
治療薬	名詞,固有名詞,一般,*,*,*,治療薬,チリョウヤク,チリョーヤク
11	名詞,数,*,*,*,*,*
•	記号,一般,*,*,*,*,*
レビュー	名詞,サ変接続,*,*,*,*,レビュー,レビュー,レビュー
クイズ	名詞,一般,*,*,*,*,クイズ,クイズ,クイズ
5	名詞,数,*,*,*,*,*
