ねらい	名詞,一般,*,*,*,*,狙い,ネライ,ネライ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
し	助詞,接続助詞,*,*,*,*,し,シ,シ
くみ	名詞,一般,*,*,*,*,くみ,クミ,クミ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
成り立っ	動詞,自立,*,*,五段・タ行,連用タ接続,成り立つ,ナリタッ,ナリタッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
臓器	名詞,一般,*,*,*,*,臓器,ゾウキ,ゾーキ
、	記号,読点,*,*,*,*,、,、,、
器官	名詞,一般,*,*,*,*,器官,キカン,キカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
位置	名詞,サ変接続,*,*,*,*,位置,イチ,イチ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
役割	名詞,一般,*,*,*,*,役割,ヤクワリ,ヤクワリ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
解剖学	名詞,固有名詞,一般,*,*,*,解剖学,カイボウガク,カイボーガク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
生理学	名詞,一般,*,*,*,*,生理学,セイリガク,セイリガク
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
医学	名詞,一般,*,*,*,*,医学,イガク,イガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
最も	副詞,一般,*,*,*,*,最も,モットモ,モットモ
基礎	名詞,一般,*,*,*,*,基礎,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
学問	名詞,サ変接続,*,*,*,*,学問,ガクモン,ガクモン
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
解剖学	名詞,固有名詞,一般,*,*,*,解剖学,カイボウガク,カイボーガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
十分	名詞,一般,*,*,*,*,十分,ジュウブン,ジューブン
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
学ぶ	動詞,自立,*,*,五段・バ行,基本形,学ぶ,マナブ,マナブ
医学	名詞,一般,*,*,*,*,医学,イガク,イガク
、	記号,読点,*,*,*,*,、,、,、
看護学	名詞,固有名詞,一般,*,*,*,看護学,カンゴガク,カンゴガク
、	記号,読点,*,*,*,*,、,、,、
養護	名詞,サ変接続,*,*,*,*,養護,ヨウゴ,ヨーゴ
学	名詞,接尾,一般,*,*,*,学,ガク,ガク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
養護教諭	名詞,固有名詞,人名,一般,*,*,養護教諭,ヨウゴキョウユ,ヨーゴキョーユ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
身	名詞,一般,*,*,*,*,身,ミ,ミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
つける	動詞,自立,*,*,一段,基本形,つける,ツケル,ツケル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
土台	名詞,一般,*,*,*,*,土台,ドダイ,ドダイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
教科書	名詞,一般,*,*,*,*,教科書,キョウカショ,キョーカショ
：	記号,一般,*,*,*,*,：,：,：
「	記号,括弧開,*,*,*,*,「,「,「
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー
看護学	名詞,固有名詞,一般,*,*,*,看護学,カンゴガク,カンゴガク
講座	名詞,一般,*,*,*,*,講座,コウザ,コーザ
解剖	名詞,サ変接続,*,*,*,*,解剖,カイボウ,カイボー
生理学	名詞,一般,*,*,*,*,生理学,セイリガク,セイリガク
人体	名詞,一般,*,*,*,*,人体,ジンタイ,ジンタイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
構造	名詞,一般,*,*,*,*,構造,コウゾウ,コーゾー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
機能	名詞,サ変接続,*,*,*,*,機能,キノウ,キノー
１	名詞,数,*,*,*,*,１,イチ,イチ
」	記号,括弧閉,*,*,*,*,」,」,」
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
11	名詞,数,*,*,*,*,*
版	名詞,接尾,助数詞,*,*,*,版,ハン,ハン
坂井	名詞,固有名詞,人名,姓,*,*,坂井,サカイ,サカイ
建雄	名詞,固有名詞,人名,名,*,*,建雄,タツオ,タツオ
・	記号,一般,*,*,*,*,・,・,・
岡田隆夫	名詞,固有名詞,人名,一般,*,*,岡田隆夫,オカダタカオ,オカダタカオ
・	記号,一般,*,*,*,*,・,・,・
宇賀	名詞,固有名詞,地域,一般,*,*,宇賀,ウガ,ウガ
貴紀	名詞,固有名詞,人名,名,*,*,貴紀,タカノリ,タカノリ
医学書院	名詞,固有名詞,組織,*,*,*,医学書院,イガクショイン,イガクショイン
4180円	名詞,固有名詞,一般,*,*,*,4180円,ヨンセンヒャクハチジュウエン,ヨンセンヒャクハチジュウエン
参考文献	名詞,固有名詞,一般,*,*,*,参考文献,サンコウブンケン,サンコーブンケン
成績評価	名詞,固有名詞,一般,*,*,*,成績評価,セイセキヒョウカ,セイセキヒョーカ
方法	名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー
期末テスト	名詞,固有名詞,一般,*,*,*,期末テスト,キマツテスト,キマツテスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
成績	名詞,一般,*,*,*,*,成績,セイセキ,セイセキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー
スケジュール	名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール
（	記号,括弧開,*,*,*,*,（,（,（
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
）	記号,括弧閉,*,*,*,*,）,）,）
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
1	名詞,数,*,*,*,*,*
オリエンテーション	名詞,一般,*,*,*,*,オリエンテーション,オリエンテーション,オリエンテーション
2	名詞,数,*,*,*,*,*
栄養	名詞,一般,*,*,*,*,栄養,エイヨウ,エイヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
消化	名詞,サ変接続,*,*,*,*,消化,ショウカ,ショーカ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
吸収	名詞,サ変接続,*,*,*,*,吸収,キュウシュウ,キューシュー
[	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
]	記号,一般,*,*,*,*,*
口腔	名詞,一般,*,*,*,*,口腔,コウコウ,コーコー
胃	名詞,一般,*,*,*,*,胃,イ,イ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
：	記号,一般,*,*,*,*,：,：,：
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
次回	名詞,副詞可能,*,*,*,*,次回,ジカイ,ジカイ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
3	名詞,数,*,*,*,*,*
栄養	名詞,一般,*,*,*,*,栄養,エイヨウ,エイヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
消化	名詞,サ変接続,*,*,*,*,消化,ショウカ,ショーカ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
吸収	名詞,サ変接続,*,*,*,*,吸収,キュウシュウ,キューシュー
[	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
]	記号,一般,*,*,*,*,*
腸	名詞,一般,*,*,*,*,腸,チョウ,チョー
，	記号,読点,*,*,*,*,，,，,，
膵	名詞,固有名詞,組織,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
肝	名詞,一般,*,*,*,*,肝,キモ,キモ
，	記号,読点,*,*,*,*,，,，,，
胆	名詞,一般,*,*,*,*,胆,キモ,キモ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
：	記号,一般,*,*,*,*,：,：,：
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
次回	名詞,副詞可能,*,*,*,*,次回,ジカイ,ジカイ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
4	名詞,数,*,*,*,*,*
呼吸	名詞,サ変接続,*,*,*,*,呼吸,コキュウ,コキュー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
血液	名詞,一般,*,*,*,*,血液,ケツエキ,ケツエキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
はたらき	名詞,一般,*,*,*,*,はたらき,ハタラキ,ハタラキ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
：	記号,一般,*,*,*,*,：,：,：
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
次回	名詞,副詞可能,*,*,*,*,次回,ジカイ,ジカイ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
5	名詞,数,*,*,*,*,*
血液	名詞,一般,*,*,*,*,血液,ケツエキ,ケツエキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
循環	名詞,サ変接続,*,*,*,*,循環,ジュンカン,ジュンカン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
調節	名詞,サ変接続,*,*,*,*,調節,チョウセツ,チョーセツ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
：	記号,一般,*,*,*,*,：,：,：
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
次回	名詞,副詞可能,*,*,*,*,次回,ジカイ,ジカイ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
6	名詞,数,*,*,*,*,*
体液	名詞,一般,*,*,*,*,体液,タイエキ,タイエキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
調節	名詞,サ変接続,*,*,*,*,調節,チョウセツ,チョーセツ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
尿	名詞,一般,*,*,*,*,尿,ニョウ,ニョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生成	名詞,サ変接続,*,*,*,*,生成,セイセイ,セイセイ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
：	記号,一般,*,*,*,*,：,：,：
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
次回	名詞,副詞可能,*,*,*,*,次回,ジカイ,ジカイ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
7	名詞,数,*,*,*,*,*
内蔵	名詞,サ変接続,*,*,*,*,内蔵,ナイゾウ,ナイゾー
機能	名詞,サ変接続,*,*,*,*,機能,キノウ,キノー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
調節	名詞,サ変接続,*,*,*,*,調節,チョウセツ,チョーセツ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
：	記号,一般,*,*,*,*,：,：,：
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
次回	名詞,副詞可能,*,*,*,*,次回,ジカイ,ジカイ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
8	名詞,数,*,*,*,*,*
からだ	名詞,一般,*,*,*,*,からだ,カラダ,カラダ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
支持	名詞,サ変接続,*,*,*,*,支持,シジ,シジ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
[	記号,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
]	記号,一般,*,*,*,*,*
体幹	名詞,固有名詞,一般,*,*,*,体幹,タイカン,タイカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
骨	名詞,一般,*,*,*,*,骨,ホネ,ホネ
・	名詞,数,*,*,*,*,・,・,・
筋	名詞,接尾,助数詞,*,*,*,筋,スジ,スジ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
：	記号,一般,*,*,*,*,：,：,：
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
次回	名詞,副詞可能,*,*,*,*,次回,ジカイ,ジカイ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
9	名詞,数,*,*,*,*,*
からだ	名詞,一般,*,*,*,*,からだ,カラダ,カラダ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
支持	名詞,サ変接続,*,*,*,*,支持,シジ,シジ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
[	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
]	記号,一般,*,*,*,*,*
上肢	名詞,一般,*,*,*,*,上肢,ジョウシ,ジョーシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
骨	名詞,一般,*,*,*,*,骨,ホネ,ホネ
・	名詞,数,*,*,*,*,・,・,・
筋	名詞,接尾,助数詞,*,*,*,筋,スジ,スジ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
学習	名詞,サ変接続,*,*,*,*,学習,ガクシュウ,ガクシュー
：	記号,一般,*,*,*,*,：,：,：
講義	名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
次回	名詞,副詞可能,*,*,*,*,次回,ジカイ,ジカイ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
復習	名詞,サ変接続,*,*,*,*,復習,フクシュウ,フクシュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
10	名詞,数,*,*,*,*,*
からだ	名詞,一般,*,*,*,*,からだ,カラダ,カラダ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
支持	名詞,サ変接続,*,*,*,*,支持,シジ,シジ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー
[	記号,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
]	記号,一般,*,*,*,*,*
下肢	名詞,一般,*,*,*,*,下肢,カシ,カシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
骨	名詞,一般,*,*,*,*,骨,ホネ,ホネ
・	名詞,数,*,*,*,*,・,・,・
筋	名詞,接尾,助数詞,*,*,*,筋,スジ,スジ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
